Date,Close/Last,Volume,Open,High,Low
09/06/2024,$248.69,2429465,$250.09,$252.03,$248.0519
09/05/2024,$249.54,2328981,$253.17,$253.91,$247.29
09/04/2024,$253.91,1631396,$253.79,$254.53,$251.33
09/03/2024,$252.32,2449117,$252.20,$254.83,$251.08
08/30/2024,$252.20,2817633,$249.62,$254.35,$248.80
08/29/2024,$250.01,1982700,$247.39,$250.23,$245.99
08/28/2024,$248.26,2482306,$245.96,$248.34,$245.35
08/27/2024,$245.57,2883306,$243.11,$245.93,$242.05
08/26/2024,$242.45,2087177,$242.37,$245.00,$241.745
08/23/2024,$241.25,1544660,$239.95,$241.43,$238.95
08/22/2024,$240.22,1563125,$237.62,$240.405,$236.985
08/21/2024,$237.32,1813982,$240.44,$240.80,$235.42
08/20/2024,$238.75,1436892,$238.96,$239.1615,$237.145
08/19/2024,$237.78,1366339,$235.19,$237.83,$234.75
08/16/2024,$235.88,2600504,$237.16,$238.04,$234.06
08/15/2024,$236.77,3898122,$237.50,$238.45,$234.51
08/14/2024,$234.34,2915103,$227.00,$234.74,$226.52
08/13/2024,$222.33,1649898,$222.67,$224.46,$220.33
08/12/2024,$222.99,2350292,$224.79,$225.75,$221.5101
08/09/2024,$221.73,1730730,$219.30,$221.89,$217.915
08/08/2024,$218.36,2482632,$214.99,$219.72,$214.99
08/07/2024,$215.88,2082119,$213.61,$218.31,$213.47
08/06/2024,$214.05,2705103,$213.20,$217.2985,$212.27
08/05/2024,$210.91,2820299,$216.94,$218.035,$208.13
08/02/2024,$216.94,1769793,$216.52,$219.51,$214.51
08/01/2024,$215.28,2208041,$216.50,$217.43,$212.38
07/31/2024,$214.12,2321997,$214.79,$215.62,$212.67
07/30/2024,$215.68,1595511,$214.10,$217.68,$213.81
07/29/2024,$213.63,1793759,$215.86,$216.99,$213.41
07/26/2024,$215.68,1972284,$213.09,$216.32,$213.09
07/25/2024,$212.77,2288805,$215.99,$217.23,$212.09
07/24/2024,$215.44,2312822,$216.55,$217.425,$214.87
07/23/2024,$215.90,3085037,$216.31,$216.4522,$214.71
07/22/2024,$216.30,2945697,$214.01,$218.62,$213.17
07/19/2024,$219.35,3207517,$224.50,$224.79,$218.7181
07/18/2024,$224.53,3522290,$223.31,$229.00,$223.31
07/17/2024,$221.35,4422764,$214.80,$221.46,$214.64
07/16/2024,$210.00,3736053,$222.52,$223.84,$208.37
