Date,Close/Last,Volume,Open,High,Low
09/06/2024,$571.31,755196,$577.00,$584.44,$570.68
09/05/2024,$575.20,515849,$574.73,$576.83,$568.455
09/04/2024,$576.95,469491,$575.71,$581.58,$572.20
09/03/2024,$575.35,737046,$592.87,$595.555,$571.99
08/30/2024,$600.20,622700,$592.83,$601.305,$588.69
08/29/2024,$591.22,413038,$593.24,$599.5299,$588.91
08/28/2024,$588.01,325857,$589.96,$592.485,$583.75
08/27/2024,$590.09,348686,$588.12,$593.92,$584.7859
08/26/2024,$591.25,431302,$595.24,$597.33,$587.36
08/23/2024,$593.82,492647,$591.70,$594.10,$586.38
08/22/2024,$587.30,384482,$588.20,$593.15,$582.88
08/21/2024,$585.94,942064,$585.50,$589.4462,$582.4237
08/20/2024,$582.29,603547,$585.84,$589.60,$578.41
08/19/2024,$586.50,518614,$586.00,$591.08,$582.0547
08/16/2024,$583.40,577741,$590.84,$591.45,$582.49
08/15/2024,$590.84,657762,$588.00,$593.28,$583.40
08/14/2024,$578.39,718391,$573.81,$580.01,$573.77
08/13/2024,$571.53,583616,$570.00,$573.95,$563.845
08/12/2024,$567.78,595861,$569.96,$573.645,$563.60
08/09/2024,$569.81,920574,$571.11,$576.5398,$562.44
08/08/2024,$568.08,1418399,$560.01,$569.42,$554.285
08/07/2024,$512.50,1066714,$520.24,$531.50,$510.38
08/06/2024,$518.02,638870,$510.00,$526.07,$505.79
08/05/2024,$506.31,913802,$504.74,$514.47,$493.63
08/02/2024,$518.51,700329,$524.21,$531.43,$507.67
08/01/2024,$534.54,1047376,$558.03,$565.56,$527.55
07/31/2024,$561.16,576321,$559.19,$568.92,$557.04
07/30/2024,$551.21,403620,$552.19,$557.28,$546.36
07/29/2024,$548.52,326727,$555.00,$556.865,$548.05
07/26/2024,$554.61,544023,$550.63,$558.525,$547.52
07/25/2024,$545.13,813265,$533.66,$554.72,$529.34
07/24/2024,$529.26,1113807,$546.77,$549.255,$528.98
07/23/2024,$551.66,789366,$551.17,$559.2969,$550.315
07/22/2024,$552.12,517277,$551.95,$553.57,$542.95
07/19/2024,$544.65,600474,$550.62,$550.62,$541.88
07/18/2024,$547.67,818125,$553.84,$564.81,$545.74
07/17/2024,$557.94,918731,$565.14,$566.78,$556.80
07/16/2024,$568.68,1087654,$549.05,$568.90,$546.76
07/15/2024,$544.74,704502,$540.20,$548.755,$536.97
07/12/2024,$537.90,800939,$534.50,$545.73,$532.0001
07/11/2024,$528.16,761903,$523.95,$533.945,$520.06
07/10/2024,$523.17,642864,$506.76,$524.20,$506.76
07/09/2024,$508.68,417002,$508.52,$511.30,$505.79
07/08/2024,$508.77,434374,$507.71,$509.79,$505.55
07/05/2024,$505.50,548772,$511.49,$512.115,$500.71
07/03/2024,$512.72,439124,$511.33,$516.15,$509.18
07/02/2024,$510.03,542208,$500.00,$510.31,$498.84
07/01/2024,$501.01,568550,$513.45,$514.005,$496.57
06/28/2024,$505.81,2809368,$505.86,$513.54,$503.03
06/27/2024,$504.22,595903,$501.11,$504.82,$500.8454
06/26/2024,$502.63,520485,$502.69,$504.26,$497.57
06/25/2024,$505.30,572688,$508.47,$509.85,$499.655
06/24/2024,$510.29,640787,$507.54,$515.30,$504.1284
06/21/2024,$504.16,886938,$508.90,$508.92,$499.00
06/20/2024,$507.99,635066,$505.29,$509.6949,$501.55
06/18/2024,$506.83,705637,$507.59,$511.61,$505.46
06/17/2024,$506.03,994484,$499.49,$509.40,$492.71
06/14/2024,$503.30,1363822,$513.25,$517.34,$493.23
06/13/2024,$528.90,667146,$530.05,$530.05,$523.01
06/12/2024,$532.96,740130,$529.11,$539.35,$528.24
06/11/2024,$523.00,540584,$523.00,$524.51,$519.00
06/10/2024,$526.00,948619,$517.66,$526.08,$516.64
06/07/2024,$516.14,702088,$513.48,$520.73,$512.00
06/06/2024,$515.22,594090,$522.27,$524.85,$513.30
06/05/2024,$523.20,645837,$515.89,$523.306,$513.54
06/04/2024,$512.45,932002,$512.35,$514.76,$508.1301
06/03/2024,$513.08,1029577,$534.10,$534.10,$506.18
05/31/2024,$531.52,1250579,$530.39,$532.50,$522.00
05/30/2024,$524.46,591700,$523.49,$525.86,$519.90
05/29/2024,$523.19,585257,$524.09,$526.2599,$519.64
05/28/2024,$526.54,738001,$535.65,$537.07,$524.67
05/24/2024,$529.83,644009,$527.88,$530.84,$522.73
05/23/2024,$526.57,1117636,$548.62,$548.62,$525.311
05/22/2024,$546.07,506369,$546.76,$551.21,$541.655
05/21/2024,$546.87,549194,$546.61,$548.55,$545.13
05/20/2024,$548.00,627596,$545.43,$551.67,$543.29
05/17/2024,$545.11,823330,$545.99,$547.21,$541.49
05/16/2024,$539.49,1146267,$551.53,$551.53,$537.655
05/15/2024,$553.27,670557,$552.60,$556.835,$552.16
05/14/2024,$549.40,646423,$550.66,$551.795,$545.12
05/13/2024,$551.03,548669,$561.21,$562.99,$550.67
05/10/2024,$561.13,489130,$565.00,$568.81,$559.81
05/09/2024,$560.69,434243,$554.08,$562.45,$552.98
05/08/2024,$554.91,315921,$548.40,$557.50,$548.20
05/07/2024,$550.18,475443,$552.77,$557.3499,$549.03
05/06/2024,$550.79,674698,$543.91,$552.89,$543.00
05/03/2024,$536.18,970079,$536.49,$547.345,$532.54
05/02/2024,$530.68,1732926,$525.20,$535.00,$515.82
05/01/2024,$542.96,903773,$542.36,$552.19,$540.475
04/30/2024,$544.91,625426,$552.83,$558.95,$544.52
04/29/2024,$554.44,535605,$553.64,$555.98,$550.85
04/26/2024,$553.64,548739,$550.01,$554.62,$549.15
04/25/2024,$549.38,522373,$540.00,$552.04,$534.63
04/24/2024,$546.35,664592,$552.38,$556.87,$539.22
04/23/2024,$550.40,375745,$545.46,$552.86,$543.22
04/22/2024,$539.72,533731,$537.79,$546.65,$534.36
04/19/2024,$534.65,557975,$540.77,$543.295,$531.7754
04/18/2024,$538.09,393024,$545.00,$547.935,$537.38
04/17/2024,$540.57,515366,$548.39,$548.39,$536.39
04/16/2024,$544.14,634754,$545.00,$546.91,$536.84
04/15/2024,$543.37,671312,$560.71,$561.90,$540.88
04/12/2024,$550.32,462892,$550.08,$554.32,$546.3705
04/11/2024,$555.79,391294,$553.20,$558.15,$550.58
04/10/2024,$555.37,538388,$553.32,$560.64,$547.96
04/09/2024,$561.35,488136,$568.00,$568.88,$547.99
04/08/2024,$565.93,449606,$566.73,$568.78,$562.96
04/05/2024,$566.67,484472,$554.23,$566.98,$553.48
04/04/2024,$555.65,610227,$565.12,$570.1499,$551.745
04/03/2024,$558.57,564512,$550.00,$561.115,$548.50
04/02/2024,$547.44,625526,$551.49,$551.49,$545.14
