Date,Close/Last,Volume,Open,High,Low
09/06/2024,$130.20,2570698,$128.93,$132.60,$128.93
09/05/2024,$128.27,1816271,$128.65,$129.39,$127.11
09/04/2024,$128.29,1844744,$127.83,$128.44,$125.34
09/03/2024,$128.79,2032297,$131.69,$134.2099,$127.56
08/30/2024,$131.65,2316953,$131.25,$132.29,$129.2494
08/29/2024,$130.13,1206025,$131.41,$131.96,$129.07
08/28/2024,$131.11,1227781,$130.95,$132.69,$130.11
08/27/2024,$131.58,1149427,$132.40,$133.0268,$131.03
08/26/2024,$133.63,1386888,$135.25,$136.47,$133.41
08/23/2024,$135.13,2783667,$131.16,$135.59,$130.21
08/22/2024,$129.22,1656314,$128.65,$129.99,$128.03
08/21/2024,$128.54,2025579,$127.06,$129.685,$126.37
08/20/2024,$124.74,1389953,$125.55,$127.1104,$124.31
08/19/2024,$125.18,1429956,$123.66,$125.21,$122.44
08/16/2024,$122.59,1439831,$122.01,$124.33,$121.72
08/15/2024,$122.52,1644074,$123.00,$123.395,$120.50
08/14/2024,$121.87,1683597,$124.13,$124.99,$121.32
08/13/2024,$123.58,1350044,$122.89,$124.73,$122.33
08/12/2024,$121.96,1294536,$123.02,$123.35,$120.75
08/09/2024,$123.02,1564136,$122.77,$124.6798,$121.805
08/08/2024,$122.13,1261742,$121.40,$122.94,$120.16
08/07/2024,$119.98,2348557,$125.42,$127.02,$119.911
08/06/2024,$123.65,2051961,$122.11,$127.15,$120.89
08/05/2024,$123.36,2254997,$119.08,$125.36,$118.45
08/02/2024,$127.67,1964243,$126.29,$129.08,$124.1443
08/01/2024,$129.28,2417863,$132.94,$133.53,$128.03
07/31/2024,$132.00,1866763,$134.16,$135.6204,$130.80
07/30/2024,$133.18,2031280,$133.15,$134.64,$131.87
07/29/2024,$132.91,2915659,$130.50,$133.505,$129.59
07/26/2024,$129.99,2541442,$128.28,$130.93,$127.6301
07/25/2024,$125.00,2618171,$123.18,$127.0488,$122.05
07/24/2024,$122.56,2765686,$125.32,$125.875,$122.415
07/23/2024,$125.67,3585326,$120.705,$126.96,$120.00
07/22/2024,$125.64,2564574,$124.28,$125.67,$122.8001
07/19/2024,$124.76,2098768,$124.60,$126.31,$123.58
07/18/2024,$124.80,3257706,$123.66,$129.85,$123.44
07/17/2024,$121.72,2643503,$123.34,$124.30,$121.60
07/16/2024,$124.56,2862347,$118.34,$124.80,$117.95
07/15/2024,$116.24,2146351,$116.85,$118.27,$115.89
07/12/2024,$116.33,2337251,$114.98,$117.55,$114.98
07/11/2024,$113.84,2625807,$110.98,$114.94,$110.41
07/10/2024,$107.15,1439586,$105.37,$107.31,$105.085
07/09/2024,$104.70,1445429,$104.78,$106.50,$104.25
07/08/2024,$105.26,1543420,$104.97,$105.86,$104.02
07/05/2024,$103.95,1853271,$104.80,$105.385,$103.2401
07/03/2024,$105.06,1180686,$104.27,$106.65,$103.88
07/02/2024,$104.52,2588535,$103.07,$105.12,$102.75
07/01/2024,$106.23,2152339,$110.49,$110.99,$105.95
06/28/2024,$110.10,3680695,$110.11,$111.52,$109.04
06/27/2024,$109.75,1203988,$109.96,$110.375,$109.21
06/26/2024,$110.05,1224183,$109.36,$110.41,$109.00
06/25/2024,$110.04,1496298,$112.40,$112.40,$109.10
06/24/2024,$112.68,1521983,$111.57,$113.83,$111.3675
06/21/2024,$111.57,3713704,$110.98,$111.57,$108.775
06/20/2024,$110.69,2068266,$110.93,$112.265,$109.33
06/18/2024,$111.14,1916849,$113.22,$113.74,$110.765
06/17/2024,$114.41,1324741,$113.75,$114.475,$112.90
06/14/2024,$114.09,1458787,$114.04,$114.54,$112.44
06/13/2024,$115.47,908241,$115.38,$115.92,$113.69
06/12/2024,$115.36,2509801,$116.62,$118.10,$114.83
06/11/2024,$110.95,1247004,$112.56,$112.93,$110.60
06/10/2024,$113.40,1828300,$110.72,$113.54,$110.2773
06/07/2024,$111.54,1627981,$110.88,$112.03,$108.84
06/06/2024,$114.49,1477432,$115.59,$115.87,$113.83
06/05/2024,$115.57,1333843,$113.41,$115.69,$112.40
06/04/2024,$112.89,1364114,$114.71,$115.31,$112.16
06/03/2024,$115.49,1481354,$117.79,$117.79,$115.29
05/31/2024,$117.32,3452509,$116.53,$117.42,$115.26
05/30/2024,$115.77,1343416,$113.58,$115.87,$113.30
05/29/2024,$112.54,1512042,$112.09,$113.28,$111.50
05/28/2024,$113.26,1335827,$114.54,$115.02,$112.46
05/24/2024,$114.30,812989,$113.97,$114.79,$113.62
05/23/2024,$112.74,1378366,$114.92,$115.205,$112.29
05/22/2024,$114.20,2004006,$116.68,$117.35,$113.11
05/21/2024,$117.90,1084785,$118.95,$119.40,$117.37
05/20/2024,$119.20,1541101,$119.03,$120.28,$119.03
05/17/2024,$119.07,1320031,$119.07,$119.465,$117.85
05/16/2024,$118.66,1872974,$121.66,$122.72,$118.41
05/15/2024,$122.07,2897936,$118.55,$122.35,$118.45
05/14/2024,$116.18,1351893,$117.03,$117.30,$115.84
05/13/2024,$116.38,1254406,$118.56,$118.56,$116.28
05/10/2024,$117.68,1614469,$117.22,$118.0806,$116.86
05/09/2024,$116.99,1277888,$116.13,$117.6533,$116.0301
05/08/2024,$115.79,1293408,$115.80,$116.705,$115.08
05/07/2024,$116.95,1887417,$117.78,$118.75,$116.921
05/06/2024,$117.65,1653836,$118.13,$118.74,$116.955
05/03/2024,$116.64,1874965,$117.62,$120.74,$116.59
05/02/2024,$113.85,1679082,$112.91,$113.9098,$111.00
05/01/2024,$111.82,1416303,$111.58,$114.88,$110.44
04/30/2024,$111.42,1547814,$113.27,$114.33,$111.07
04/29/2024,$114.56,1238944,$114.49,$115.29,$113.66
04/26/2024,$113.80,1747255,$112.30,$114.71,$112.02
04/25/2024,$111.36,1889876,$110.00,$111.64,$107.11
04/24/2024,$112.26,2045283,$113.40,$114.62,$111.19
04/23/2024,$112.76,3514512,$107.06,$113.25,$105.82
04/22/2024,$107.83,2698896,$106.32,$107.83,$105.185
04/19/2024,$105.43,2319309,$106.25,$107.99,$104.60
04/18/2024,$105.96,1905538,$109.50,$109.66,$105.92
04/17/2024,$106.15,1285052,$108.06,$108.19,$105.97
04/16/2024,$106.86,1577056,$107.37,$107.63,$105.35
04/15/2024,$108.79,1839593,$110.91,$111.54,$108.42
04/12/2024,$110.89,1535394,$109.90,$110.91,$109.28
04/11/2024,$110.58,1175421,$109.42,$111.57,$109.42
04/10/2024,$109.40,2238961,$110.99,$111.86,$109.10
04/09/2024,$115.39,1307193,$115.88,$116.01,$112.76
04/08/2024,$115.05,1679828,$116.57,$116.99,$115.01
04/05/2024,$116.35,1298977,$114.10,$116.64,$113.865
04/04/2024,$113.84,1778807,$117.09,$117.75,$113.245
04/03/2024,$115.62,1461013,$113.70,$115.74,$113.51
04/02/2024,$114.20,2025412,$115.83,$116.04,$112.36
04/01/2024,$118.43,1246522,$120.49,$121.075,$117.86
03/28/2024,$120.62,1624236,$118.18,$120.89,$118.09
03/27/2024,$118.01,1407662,$117.01,$118.2567,$116.32
03/26/2024,$115.99,1360921,$115.88,$116.83,$115.71
03/25/2024,$115.69,1107359,$115.80,$117.275,$115.65
03/22/2024,$116.45,1645645,$116.34,$117.41,$115.49
03/21/2024,$116.06,1625592,$115.29,$117.17,$115.26
03/20/2024,$113.99,1512754,$111.55,$114.59,$110.86
03/19/2024,$111.41,1635549,$109.56,$111.61,$109.13
03/18/2024,$110.18,1596402,$111.31,$111.735,$109.02
03/15/2024,$110.90,4465558,$108.60,$111.45,$108.59
03/14/2024,$109.72,2828881,$114.36,$114.635,$109.22
03/13/2024,$114.28,1988343,$112.55,$114.80,$112.09
03/12/2024,$112.16,1528420,$110.62,$112.94,$109.74
03/11/2024,$110.85,1464379,$112.22,$112.335,$109.11
03/08/2024,$112.68,1285024,$114.36,$115.20,$111.89
03/07/2024,$113.80,1864321,$112.49,$114.72,$112.49
03/06/2024,$111.44,2046489,$111.45,$111.66,$110.27
03/05/2024,$110.45,2096298,$110.64,$113.07,$109.79
03/04/2024,$111.03,2510049,$112.23,$113.43,$110.79
03/01/2024,$111.21,1715985,$108.38,$111.41,$108.05
02/29/2024,$108.38,2580275,$107.28,$108.73,$106.95
02/28/2024,$106.43,1226744,$106.50,$107.30,$105.80
02/27/2024,$106.86,1653313,$106.82,$107.9099,$106.07
02/26/2024,$106.20,1527430,$105.94,$107.19,$105.715
02/23/2024,$105.74,1013267,$105.12,$106.83,$105.12
02/22/2024,$104.68,1462398,$104.63,$106.12,$104.215
02/21/2024,$103.62,1265004,$104.62,$105.874,$102.59
02/20/2024,$103.04,1704535,$100.50,$103.25,$100.24
02/16/2024,$101.45,1528127,$103.06,$103.40,$101.29
02/15/2024,$104.48,1336873,$104.41,$104.93,$103.165
02/14/2024,$103.82,1390627,$103.47,$104.51,$102.22
