Date,Close/Last,Volume,Open,High,Low
09/06/2024,$201.81,463993,$203.60,$206.53,$201.10
09/05/2024,$203.98,595581,$205.00,$205.73,$201.05
09/04/2024,$204.56,430951,$205.28,$207.25,$204.27
09/03/2024,$206.08,631604,$207.68,$209.43,$205.17
08/30/2024,$209.54,848805,$206.92,$210.11,$206.31
08/29/2024,$206.65,354501,$205.91,$206.90,$204.73
08/28/2024,$205.08,396784,$204.28,$206.84,$204.195
08/27/2024,$204.91,453678,$203.74,$205.12,$203.53
08/26/2024,$204.40,357639,$204.89,$206.74,$203.84
08/23/2024,$203.81,318937,$202.64,$204.58,$201.945
08/22/2024,$201.79,280697,$201.84,$202.2199,$200.27
08/21/2024,$201.09,438095,$198.19,$201.11,$197.55
08/20/2024,$196.74,515029,$197.74,$197.74,$196.60
08/19/2024,$197.01,414598,$196.86,$198.255,$196.41
08/16/2024,$196.60,1392788,$195.03,$197.04,$194.49
08/15/2024,$195.77,643033,$195.85,$199.33,$195.495
08/14/2024,$194.34,613038,$195.20,$195.395,$193.38
08/13/2024,$194.38,413652,$194.49,$195.21,$192.03
08/12/2024,$193.33,409788,$194.43,$195.36,$192.91
08/09/2024,$194.07,451514,$196.24,$197.58,$193.61
08/08/2024,$196.77,398125,$194.38,$197.06,$193.715
08/07/2024,$193.42,561425,$198.40,$198.84,$193.09
08/06/2024,$196.67,785081,$191.33,$198.48,$190.01
08/05/2024,$191.68,572193,$194.35,$194.35,$189.40
08/02/2024,$196.69,509410,$196.23,$197.985,$193.60
08/01/2024,$198.00,651135,$200.19,$201.99,$196.15
07/31/2024,$199.87,595690,$198.47,$201.74,$197.075
07/30/2024,$197.74,499466,$198.08,$199.875,$197.27
07/29/2024,$198.40,390948,$199.60,$199.60,$197.15
07/26/2024,$199.00,745432,$195.46,$199.42,$195.025
07/25/2024,$194.24,661480,$194.62,$197.74,$193.615
07/24/2024,$193.28,941518,$195.02,$199.00,$192.67
07/23/2024,$192.82,872598,$193.93,$194.105,$191.79
07/22/2024,$193.44,600352,$191.52,$194.41,$191.52
07/19/2024,$191.21,802281,$193.44,$193.44,$190.96
07/18/2024,$192.56,774729,$190.26,$194.42,$190.26
07/17/2024,$191.56,748230,$191.04,$193.66,$191.04
07/16/2024,$190.98,411939,$186.33,$191.13,$186.33
07/15/2024,$185.76,356080,$185.39,$188.46,$185.39
07/12/2024,$185.44,470302,$183.80,$186.63,$181.76
07/11/2024,$182.77,418992,$181.34,$184.22,$180.605
07/10/2024,$179.67,432190,$177.93,$179.76,$177.58
07/09/2024,$176.32,510133,$178.83,$179.87,$176.07
