Date,Close/Last,Volume,Open,High,Low
09/06/2024,$125.81,8412610,$125.06,$126.445,$125.00
09/05/2024,$125.18,5638231,$126.88,$127.45,$125.03
09/04/2024,$126.61,5340838,$126.00,$127.41,$125.29
09/03/2024,$125.71,6352596,$123.57,$126.185,$123.21
08/30/2024,$123.29,5602949,$122.73,$123.45,$122.32
08/29/2024,$122.55,3619544,$122.86,$122.86,$121.76
08/28/2024,$122.57,4430029,$122.65,$123.05,$121.95
08/27/2024,$122.41,3511787,$121.76,$122.545,$121.29
08/26/2024,$121.25,3061832,$120.03,$121.60,$120.03
08/23/2024,$120.15,2896459,$120.10,$120.27,$119.57
08/22/2024,$120.10,4156337,$120.01,$120.21,$119.10
08/21/2024,$120.00,4159668,$119.17,$120.09,$118.96
08/20/2024,$118.98,3837898,$118.46,$119.10,$118.09
08/19/2024,$118.45,3701451,$118.14,$118.84,$117.95
08/16/2024,$118.06,3707409,$118.11,$118.40,$117.23
08/15/2024,$117.89,4422255,$117.19,$117.95,$116.61
08/14/2024,$117.20,4067977,$117.32,$118.08,$117.09
08/13/2024,$117.91,5328216,$116.13,$118.07,$115.87
08/12/2024,$116.09,4860454,$116.10,$116.77,$115.72
08/09/2024,$116.01,3814669,$116.29,$116.58,$115.62
08/08/2024,$116.29,3548525,$115.17,$116.87,$114.94
08/07/2024,$115.74,3645019,$114.40,$116.425,$114.20
08/06/2024,$114.20,6275497,$113.56,$115.415,$113.20
08/05/2024,$113.56,10890810,$116.92,$117.96,$113.15
08/02/2024,$117.82,7405946,$118.09,$119.06,$115.16
08/01/2024,$117.46,7088736,$115.78,$117.83,$114.91
07/31/2024,$115.16,5519642,$114.20,$116.27,$113.99
07/30/2024,$114.70,5122843,$114.09,$114.83,$113.62
07/29/2024,$114.40,4835028,$113.32,$114.473,$112.43
07/26/2024,$113.36,5381717,$113.20,$113.50,$112.56
07/25/2024,$113.20,6976925,$111.83,$113.68,$111.41
07/24/2024,$111.44,7366125,$109.93,$111.69,$109.37
07/23/2024,$109.56,7560262,$109.25,$111.36,$108.00
07/22/2024,$107.22,5601159,$107.63,$107.72,$106.76
07/19/2024,$107.12,4819336,$108.19,$108.575,$106.97
07/18/2024,$107.46,4510489,$107.26,$109.18,$107.184
07/17/2024,$108.31,5411106,$106.35,$108.81,$106.35
07/16/2024,$106.10,2731570,$105.23,$106.14,$104.84
07/15/2024,$105.07,3607006,$106.00,$106.13,$104.92
07/12/2024,$105.95,3541781,$105.18,$106.6299,$105.00
07/11/2024,$105.00,3952547,$102.76,$105.00,$102.75
07/10/2024,$102.76,3089512,$101.76,$102.92,$101.68
07/09/2024,$101.67,4460097,$102.72,$102.90,$101.62
07/08/2024,$102.59,6081328,$102.07,$102.95,$101.85
07/05/2024,$102.12,3569063,$101.15,$102.35,$100.80
07/03/2024,$101.42,1647837,$101.78,$101.93,$101.11
07/02/2024,$101.64,3893055,$101.29,$101.94,$101.11
07/01/2024,$101.25,2906375,$101.98,$103.29,$101.175
06/28/2024,$101.33,7299472,$101.53,$101.76,$100.92
06/27/2024,$101.57,4145656,$102.20,$102.29,$101.09
06/26/2024,$101.96,4321716,$101.47,$102.26,$101.45
06/25/2024,$102.04,7268321,$102.00,$102.16,$101.35
06/24/2024,$101.87,6487138,$100.19,$102.055,$99.86
06/21/2024,$99.92,10033100,$99.89,$100.50,$98.93
06/20/2024,$101.20,4646060,$101.46,$101.735,$100.60
06/18/2024,$101.24,5990946,$99.33,$101.87,$99.3067
06/17/2024,$102.05,4838144,$101.68,$102.20,$101.23
06/14/2024,$102.20,5643631,$101.95,$102.325,$101.51
06/13/2024,$101.98,4264375,$102.67,$102.67,$101.58
06/12/2024,$102.65,4083643,$104.25,$104.31,$102.24
06/11/2024,$103.82,3751330,$103.48,$103.96,$102.58
06/10/2024,$103.68,3821639,$103.55,$103.88,$102.60
06/07/2024,$103.61,2506958,$103.92,$104.35,$103.56
06/06/2024,$104.24,4847607,$104.00,$104.90,$103.53
06/05/2024,$104.07,5266737,$103.95,$104.235,$102.98
06/04/2024,$103.79,5080937,$102.91,$104.11,$102.56
06/03/2024,$102.96,6332707,$101.24,$103.18,$100.62
05/31/2024,$101.38,7528798,$99.28,$101.52,$99.28
05/30/2024,$99.41,3875991,$99.69,$99.80,$98.96
05/29/2024,$99.60,4465027,$99.85,$99.99,$99.21
05/28/2024,$100.05,3560149,$99.34,$100.13,$99.0475
05/24/2024,$99.93,4053913,$100.24,$100.79,$99.59
05/23/2024,$99.65,4573188,$100.61,$100.61,$99.205
05/22/2024,$101.07,4407813,$99.53,$101.18,$99.21
05/21/2024,$100.23,6199576,$99.90,$100.81,$99.34
05/20/2024,$99.59,5340322,$99.87,$100.47,$99.422
05/17/2024,$99.83,5307800,$100.94,$100.94,$99.80
05/16/2024,$100.66,4417444,$100.71,$101.46,$100.52
05/15/2024,$100.57,3230563,$100.00,$100.64,$99.84
05/14/2024,$99.84,3292760,$99.50,$100.1399,$99.41
05/13/2024,$99.29,3853790,$99.98,$100.23,$99.025
05/10/2024,$99.66,4149342,$99.60,$99.99,$99.34
