Date,Close/Last,Volume,Open,High,Low
09/06/2024,$176.70,1679479,$180.71,$182.11,$175.565
09/05/2024,$180.95,1230953,$183.80,$184.27,$179.72
09/04/2024,$182.36,1621558,$184.50,$185.23,$181.08
09/03/2024,$184.50,1572343,$184.19,$185.84,$183.45
08/30/2024,$185.09,1978286,$183.17,$185.57,$183.17
08/29/2024,$183.04,1034043,$182.71,$184.56,$180.12
08/28/2024,$181.78,1577731,$178.58,$183.26,$178.58
08/27/2024,$179.15,1335678,$178.02,$179.27,$177.355
08/26/2024,$178.11,1009659,$179.29,$179.96,$177.70
08/23/2024,$178.10,1753016,$176.15,$180.19,$175.75
08/22/2024,$174.92,1531431,$173.56,$175.73,$173.21
08/21/2024,$173.37,1082923,$174.10,$174.35,$172.19
08/20/2024,$173.59,1323813,$173.69,$174.45,$173.14
08/19/2024,$174.50,971523,$173.47,$174.81,$173.145
08/16/2024,$173.00,1365469,$171.80,$174.00,$171.80
08/15/2024,$171.82,1838125,$171.90,$173.13,$171.25
08/14/2024,$168.37,1764379,$168.31,$169.20,$167.00
08/13/2024,$168.21,1567034,$168.37,$168.37,$166.4201
08/12/2024,$167.02,1772269,$170.63,$171.94,$166.80
08/09/2024,$169.92,710475,$170.11,$170.52,$169.40
08/08/2024,$170.28,1497312,$168.39,$170.59,$168.3219
08/07/2024,$166.75,1729130,$171.70,$172.73,$166.63
08/06/2024,$169.09,2114859,$165.94,$170.14,$165.15
08/05/2024,$165.82,3319115,$166.14,$166.81,$162.15
08/02/2024,$170.00,2917005,$173.82,$173.82,$169.09
08/01/2024,$175.99,2237926,$181.33,$181.86,$175.28
07/31/2024,$181.10,1863386,$181.50,$182.7924,$180.3701
07/30/2024,$181.98,1639885,$182.00,$182.84,$180.80
07/29/2024,$181.00,1782422,$181.36,$181.831,$180.20
07/26/2024,$181.21,1824138,$180.48,$182.42,$180.05
07/25/2024,$180.00,1843334,$178.21,$182.505,$177.545
07/24/2024,$177.40,2710404,$179.49,$180.65,$176.46
07/23/2024,$178.62,1401218,$176.51,$179.60,$175.71
07/22/2024,$177.15,1995217,$175.19,$177.23,$173.01
07/19/2024,$175.51,1601122,$176.67,$177.93,$174.20
07/18/2024,$176.07,2183854,$178.46,$180.97,$174.98
07/17/2024,$179.71,2562473,$177.40,$180.86,$176.555
07/16/2024,$176.98,5412704,$168.75,$177.83,$168.75
07/15/2024,$169.02,2719193,$168.75,$170.91,$167.75
07/12/2024,$168.56,2435860,$167.50,$169.68,$167.17
07/11/2024,$168.30,3299033,$165.81,$169.11,$165.36
07/10/2024,$164.30,2218936,$161.25,$164.46,$161.185
07/09/2024,$161.51,1879130,$158.04,$162.07,$157.72
07/08/2024,$158.77,1261470,$158.87,$159.94,$157.565
07/05/2024,$156.51,975132,$158.10,$158.31,$155.90
07/03/2024,$157.79,914084,$159.12,$159.12,$157.57
07/02/2024,$158.84,1326021,$155.52,$158.90,$155.45
07/01/2024,$156.14,1583461,$155.94,$157.72,$155.46
06/28/2024,$155.48,2706290,$153.08,$155.85,$152.84
06/27/2024,$151.93,1008781,$151.13,$152.39,$150.60
06/26/2024,$151.81,1842288,$150.98,$152.5899,$150.28
06/25/2024,$151.90,1420482,$154.22,$155.44,$151.84
06/24/2024,$154.90,1445466,$154.05,$156.845,$152.945
06/21/2024,$153.20,2598345,$153.19,$153.36,$151.13
06/20/2024,$153.18,1300128,$153.01,$153.955,$152.37
06/18/2024,$154.48,1420216,$152.59,$154.88,$152.00
06/17/2024,$152.78,974065,$150.67,$152.87,$150.02
06/14/2024,$151.09,887888,$150.07,$151.4587,$149.05
06/13/2024,$151.75,918325,$152.33,$152.66,$150.37
06/12/2024,$152.64,1669631,$153.14,$154.29,$152.02
06/11/2024,$150.25,2732300,$151.40,$151.40,$148.08
06/10/2024,$152.69,1783385,$154.15,$154.50,$150.98
06/07/2024,$155.88,698758,$153.75,$156.695,$153.75
06/06/2024,$154.97,1290781,$154.56,$155.79,$154.20
06/05/2024,$154.60,1219240,$154.90,$155.22,$153.50
06/04/2024,$154.16,2098871,$153.33,$155.385,$153.0384
06/03/2024,$155.01,1450738,$158.00,$158.35,$153.29
05/31/2024,$157.39,2894495,$154.30,$157.62,$153.665
05/30/2024,$153.92,2865664,$152.51,$154.79,$151.64
05/29/2024,$151.16,1832958,$150.11,$152.30,$149.13
05/28/2024,$152.34,1224159,$154.33,$154.73,$152.27
05/24/2024,$154.26,1486425,$153.29,$154.31,$152.53
05/23/2024,$152.77,1704495,$156.41,$156.49,$152.66
05/22/2024,$156.50,1141369,$157.61,$158.55,$155.77
05/21/2024,$158.55,1167970,$157.29,$158.66,$157.00
05/20/2024,$157.14,1428101,$160.32,$160.6288,$156.91
05/17/2024,$160.35,1075124,$162.07,$162.07,$160.28
05/16/2024,$160.89,1521944,$161.32,$161.485,$160.041
05/15/2024,$161.34,1313252,$160.91,$161.88,$160.22
05/14/2024,$159.40,1127862,$159.00,$159.81,$158.21
05/13/2024,$158.05,1359457,$158.51,$158.80,$157.63
05/10/2024,$157.58,984955,$157.84,$158.525,$157.23
05/09/2024,$157.12,1558822,$155.90,$157.76,$155.36
05/08/2024,$157.21,1254443,$155.29,$157.90,$155.05
05/07/2024,$156.15,1092292,$157.04,$157.37,$155.595
05/06/2024,$156.43,1189237,$158.00,$158.20,$156.00
05/03/2024,$156.22,1141551,$157.36,$158.25,$156.12
05/02/2024,$155.68,1172875,$155.81,$156.09,$153.93
05/01/2024,$153.98,1436631,$153.24,$156.72,$152.895
04/30/2024,$153.26,1632909,$154.75,$155.52,$152.94
04/29/2024,$155.78,1400872,$156.13,$157.15,$155.48
04/26/2024,$156.11,979208,$156.07,$157.67,$155.357
04/25/2024,$156.30,1220285,$157.37,$158.00,$154.445
04/24/2024,$158.06,1320921,$156.17,$158.33,$155.80
04/23/2024,$157.61,2137057,$156.50,$158.36,$155.861
04/22/2024,$155.93,2212315,$152.76,$156.07,$152.24
04/19/2024,$152.30,2370097,$148.99,$152.70,$148.66
04/18/2024,$147.89,1352896,$147.36,$149.12,$146.89
04/17/2024,$147.25,1897146,$149.06,$149.46,$145.78
04/16/2024,$146.54,3350292,$147.18,$148.00,$143.5184
04/15/2024,$149.56,2160034,$152.36,$154.4199,$149.31
04/12/2024,$150.63,1487412,$150.17,$152.00,$149.69
04/11/2024,$154.08,1361753,$155.43,$155.43,$151.8101
04/10/2024,$155.03,1827236,$158.90,$158.90,$154.13
04/09/2024,$161.40,1306833,$161.26,$162.14,$159.35
04/08/2024,$160.96,1950044,$158.19,$161.475,$157.57
04/05/2024,$157.37,1874032,$156.75,$157.71,$155.82
04/04/2024,$156.88,1548155,$158.92,$159.295,$156.12
04/03/2024,$157.14,1388699,$157.63,$159.5275,$156.29
04/02/2024,$157.54,1509187,$159.00,$159.37,$157.46
04/01/2024,$159.94,1396973,$161.40,$161.54,$159.67
03/28/2024,$161.60,1725504,$159.98,$162.24,$159.88
03/27/2024,$159.97,1712915,$155.97,$160.10,$155.51
03/26/2024,$155.03,1179228,$155.14,$156.37,$154.74
03/25/2024,$155.04,1136647,$156.16,$157.18,$154.49
03/22/2024,$155.51,1595527,$158.20,$158.80,$155.50
03/21/2024,$157.81,2656400,$154.62,$158.46,$154.615
03/20/2024,$153.81,1408333,$149.69,$154.54,$149.065
03/19/2024,$150.11,2053050,$149.31,$150.94,$149.115
03/18/2024,$149.60,1316503,$149.36,$150.00,$146.98
03/15/2024,$148.78,3969641,$147.22,$150.19,$147.22
03/14/2024,$148.49,2084552,$151.79,$154.48,$147.275
03/13/2024,$152.72,1893671,$151.52,$153.23,$151.38
03/12/2024,$150.98,1840340,$153.00,$153.685,$150.32
03/11/2024,$152.84,1882649,$150.36,$153.00,$149.00
03/08/2024,$150.33,1324508,$151.60,$151.75,$150.185
03/07/2024,$150.44,2112876,$151.42,$153.235,$149.60
03/06/2024,$150.38,7478855,$148.81,$152.66,$147.09
03/05/2024,$155.12,2748516,$153.32,$157.31,$152.93
03/04/2024,$153.74,5796844,$150.99,$156.385,$150.34
03/01/2024,$147.81,1750314,$147.46,$148.16,$145.28
02/29/2024,$147.20,2726050,$147.95,$148.75,$145.93
02/28/2024,$145.69,1178563,$145.20,$147.735,$145.20
02/27/2024,$145.95,1206959,$145.47,$146.76,$144.87
02/26/2024,$144.85,1416292,$145.40,$147.00,$144.73
02/23/2024,$146.12,1837940,$145.26,$147.83,$144.71
02/22/2024,$145.39,2457282,$145.79,$148.00,$144.83
02/21/2024,$146.57,2795335,$145.57,$146.71,$139.69
02/20/2024,$146.70,2044297,$148.02,$148.42,$146.39
02/16/2024,$148.85,1466190,$148.42,$149.91,$147.69
02/15/2024,$149.63,1992033,$148.75,$150.2575,$147.37
02/14/2024,$147.87,1265543,$146.63,$147.885,$145.97
02/13/2024,$145.26,2121422,$146.78,$147.20,$142.80
02/12/2024,$149.14,1612711,$147.77,$150.16,$147.345
02/09/2024,$147.77,1157621,$147.87,$148.38,$146.68
02/08/2024,$147.93,1492596,$147.17,$148.18,$145.835
02/07/2024,$148.17,3150185,$149.30,$149.88,$146.30
02/06/2024,$149.29,3915046,$145.80,$150.05,$145.64
02/05/2024,$145.83,1665530,$146.47,$147.84,$145.43
02/02/2024,$148.13,4080557,$143.98,$148.90,$142.40
02/01/2024,$145.44,5011103,$151.54,$151.735,$144.89
01/31/2024,$151.21,2041207,$151.77,$155.40,$150.89
01/30/2024,$154.25,1236821,$153.30,$154.72,$152.81
01/29/2024,$153.48,1176476,$151.00,$153.51,$150.835
01/26/2024,$151.60,999345,$151.07,$152.28,$150.58
01/25/2024,$151.25,1368848,$152.00,$152.00,$149.25
01/24/2024,$150.23,1368740,$150.90,$151.555,$150.0283
01/23/2024,$149.91,1843933,$149.82,$150.77,$148.165
01/22/2024,$149.43,2767574,$151.09,$152.63,$149.315
01/19/2024,$150.79,2222643,$147.00,$150.94,$146.29
01/18/2024,$146.29,2708276,$148.95,$149.385,$145.06
01/17/2024,$148.82,2878507,$147.26,$152.315,$146.44
01/16/2024,$149.02,4158964,$147.72,$149.88,$143.83
01/12/2024,$148.92,3013415,$151.79,$152.86,$147.96
01/11/2024,$152.54,2239787,$154.53,$154.54,$149.88
01/10/2024,$155.18,1515710,$154.50,$155.42,$153.21
01/09/2024,$154.51,1678466,$156.22,$156.22,$154.015
01/08/2024,$157.52,1522941,$156.00,$157.69,$154.5801
01/05/2024,$156.23,2116278,$153.17,$157.14,$152.30
01/04/2024,$152.53,2785840,$151.89,$154.12,$151.82
01/03/2024,$151.66,2098627,$154.80,$155.4506,$151.395
01/02/2024,$156.50,2473197,$153.98,$157.405,$153.13
12/29/2023,$154.85,1572627,$155.27,$156.11,$154.52
