Date,Close/Last,Volume,Open,High,Low
09/06/2024,$85.12,1068385,$85.11,$86.27,$84.57
09/05/2024,$85.16,1178363,$86.00,$87.18,$84.44
09/04/2024,$86.09,1001052,$86.03,$86.78,$85.68
09/03/2024,$86.47,1145165,$87.95,$88.80,$85.83
08/30/2024,$88.69,1530197,$87.37,$88.77,$86.98
08/29/2024,$86.99,1137501,$86.80,$88.06,$85.70
08/28/2024,$85.96,717947,$85.89,$86.435,$85.60
08/27/2024,$85.82,849349,$86.25,$86.86,$85.45
08/26/2024,$86.65,679039,$87.25,$87.46,$86.19
08/23/2024,$86.82,1159678,$84.92,$86.94,$84.22
08/22/2024,$84.30,884739,$84.97,$85.195,$84.14
08/21/2024,$84.82,1110946,$84.52,$85.22,$83.9214
08/20/2024,$84.16,1134421,$84.72,$85.06,$83.58
08/19/2024,$84.89,802180,$84.91,$85.613,$84.585
08/16/2024,$84.52,1194409,$84.70,$85.50,$84.31
08/15/2024,$84.74,1665487,$84.50,$85.075,$83.64
08/14/2024,$83.13,1505135,$84.80,$85.01,$83.02
08/13/2024,$84.81,1303772,$83.42,$85.06,$82.85
08/12/2024,$82.86,690757,$84.07,$84.475,$82.6426
08/09/2024,$84.37,880822,$83.69,$84.82,$82.745
08/08/2024,$83.51,836514,$82.43,$83.64,$81.72
08/07/2024,$81.49,1479912,$83.58,$84.62,$81.42
08/06/2024,$82.59,1471780,$81.45,$83.965,$80.78
08/05/2024,$81.16,1263737,$80.95,$82.7025,$79.29
08/02/2024,$83.58,1053090,$84.16,$84.20,$82.235
08/01/2024,$85.87,1249345,$87.82,$88.66,$84.99
07/31/2024,$87.87,1578765,$89.00,$89.63,$87.58
07/30/2024,$88.16,1026692,$88.44,$88.98,$87.45
07/29/2024,$87.88,1037355,$88.50,$88.675,$87.21
07/26/2024,$88.50,1736555,$87.38,$88.965,$87.12
07/25/2024,$86.11,3152999,$84.18,$88.225,$83.9603
07/24/2024,$83.80,4271319,$87.53,$88.47,$83.54
07/23/2024,$87.19,4465280,$86.14,$87.74,$84.94
07/22/2024,$79.99,2318595,$79.71,$80.035,$78.13
07/19/2024,$78.84,2174548,$79.15,$79.62,$78.145
07/18/2024,$79.79,2650650,$80.94,$82.31,$79.62
07/17/2024,$81.76,1468709,$82.67,$83.44,$81.74
07/16/2024,$83.28,1781208,$80.78,$83.44,$80.21
07/15/2024,$80.05,2781292,$79.38,$81.01,$78.82
07/12/2024,$79.23,1502291,$79.14,$80.13,$78.20
07/11/2024,$78.48,3079092,$77.10,$79.33,$77.10
07/10/2024,$75.74,1610298,$75.57,$75.925,$75.07
07/09/2024,$75.01,1333578,$75.13,$75.615,$74.97
07/08/2024,$75.20,1768569,$74.82,$75.65,$74.69
07/05/2024,$74.39,1407816,$74.54,$74.54,$73.45
07/03/2024,$74.74,577099,$74.95,$75.37,$74.355
07/02/2024,$74.74,1705919,$74.30,$75.07,$74.08
07/01/2024,$74.42,1572756,$77.18,$77.55,$74.24
06/28/2024,$76.67,2499510,$76.41,$77.76,$76.055
06/27/2024,$76.05,2697241,$75.15,$76.48,$74.72
06/26/2024,$75.08,2407622,$73.44,$75.25,$72.63
06/25/2024,$74.31,4062531,$76.56,$77.50,$74.2668
06/24/2024,$80.00,1530909,$79.72,$80.87,$79.48
06/21/2024,$79.47,1954665,$79.44,$79.78,$78.08
06/20/2024,$79.32,2137517,$79.38,$80.38,$79.02
06/18/2024,$79.59,2003359,$78.02,$79.59,$78.02
06/17/2024,$78.02,1035754,$77.22,$78.03,$76.71
06/14/2024,$77.33,1202934,$77.78,$77.995,$75.96
06/13/2024,$78.90,780872,$79.49,$79.785,$78.19
06/12/2024,$79.99,1083280,$79.49,$80.88,$79.31
06/11/2024,$77.92,748402,$78.32,$78.365,$77.35
06/10/2024,$78.60,1683188,$77.32,$78.615,$77.32
06/07/2024,$77.55,1509178,$77.80,$78.29,$77.12
06/06/2024,$78.35,1349626,$80.03,$80.11,$77.85
06/05/2024,$80.27,1472772,$79.19,$80.46,$78.60
06/04/2024,$78.95,1656946,$79.65,$80.09,$78.72
06/03/2024,$79.90,1196411,$81.58,$81.69,$79.01
05/31/2024,$81.38,2428365,$79.54,$81.58,$79.43
05/30/2024,$79.33,1097222,$78.75,$79.4328,$78.32
05/29/2024,$78.43,1104072,$78.01,$78.98,$78.01
05/28/2024,$78.95,2405567,$83.02,$83.02,$78.60
05/24/2024,$82.75,806407,$82.74,$83.17,$82.32
05/23/2024,$82.53,919503,$84.33,$84.34,$82.17
05/22/2024,$84.09,700274,$84.28,$84.99,$83.39
05/21/2024,$84.27,714556,$84.55,$84.75,$84.12
05/20/2024,$84.61,660576,$84.16,$85.20,$83.86
05/17/2024,$83.95,802664,$83.99,$83.99,$83.29
05/16/2024,$83.59,1117923,$84.64,$85.05,$83.531
05/15/2024,$85.08,1170787,$83.95,$85.84,$83.95
05/14/2024,$83.19,896220,$83.05,$83.23,$82.43
05/13/2024,$82.63,957149,$83.55,$83.7675,$82.35
05/10/2024,$83.32,773439,$84.25,$84.25,$83.29
05/09/2024,$83.85,1053019,$83.37,$83.99,$82.8817
05/08/2024,$83.36,1304893,$82.46,$83.54,$82.26
05/07/2024,$83.02,1367147,$82.59,$83.46,$81.91
05/06/2024,$81.88,1086679,$80.59,$81.94,$80.3345
05/03/2024,$79.61,1639365,$79.91,$80.77,$79.485
05/02/2024,$78.85,1860257,$79.49,$79.99,$77.835
05/01/2024,$79.07,919811,$79.08,$80.435,$78.25
04/30/2024,$79.09,1826284,$80.25,$81.57,$78.98
04/29/2024,$80.55,1416920,$80.02,$80.71,$79.84
04/26/2024,$79.96,959329,$79.40,$80.63,$79.22
04/25/2024,$79.20,1775400,$78.07,$79.905,$76.95
04/24/2024,$78.99,2262587,$78.93,$79.46,$77.54
04/23/2024,$78.47,4132603,$80.71,$81.84,$77.83
04/22/2024,$79.20,2221664,$78.84,$80.27,$78.375
04/19/2024,$78.53,1195835,$78.43,$79.31,$78.02
04/18/2024,$78.48,1192088,$79.47,$79.53,$78.28
04/17/2024,$79.18,920787,$80.61,$80.61,$78.78
04/16/2024,$80.05,1080507,$80.12,$80.36,$78.875
04/15/2024,$80.32,1235127,$82.89,$83.0972,$80.22
04/12/2024,$81.10,1460472,$80.81,$81.42,$80.50
04/11/2024,$81.78,1596249,$82.56,$82.63,$81.14
04/10/2024,$82.45,1332552,$81.85,$82.98,$81.05
04/09/2024,$83.72,1445175,$83.90,$83.91,$82.36
04/08/2024,$83.31,1506276,$84.27,$84.44,$83.22
04/05/2024,$83.57,909607,$82.79,$84.22,$82.745
04/04/2024,$82.80,2118754,$84.30,$84.82,$82.4075
04/03/2024,$83.46,1377304,$82.80,$83.87,$82.74
04/02/2024,$83.24,1954557,$84.00,$84.25,$82.67
04/01/2024,$84.41,1431186,$85.45,$85.49,$84.315
03/28/2024,$85.44,1938177,$85.02,$85.81,$84.765
03/27/2024,$85.02,1973848,$83.36,$85.04,$82.99
03/26/2024,$82.64,764409,$82.73,$83.48,$82.62
03/25/2024,$82.72,898528,$83.94,$84.31,$82.69
03/22/2024,$83.94,1602026,$83.87,$84.525,$83.44
03/21/2024,$84.72,2805837,$82.83,$85.01,$82.83
03/20/2024,$82.28,1473095,$81.72,$82.55,$81.55
03/19/2024,$81.77,2288818,$80.87,$82.23,$80.81
03/18/2024,$80.64,922253,$80.99,$81.24,$80.42
03/15/2024,$80.63,2092340,$79.71,$81.06,$79.71
03/14/2024,$80.61,1159814,$81.74,$81.97,$79.8452
03/13/2024,$82.03,1509567,$81.72,$82.49,$81.72
03/12/2024,$81.94,2457559,$81.17,$82.57,$80.91
03/11/2024,$81.25,1523741,$80.85,$81.455,$80.26
03/08/2024,$81.22,1777531,$81.97,$82.2599,$80.86
03/07/2024,$81.56,2526871,$80.00,$81.87,$79.88
03/06/2024,$79.17,1730049,$78.07,$80.14,$77.98
03/05/2024,$77.45,1471917,$78.35,$78.55,$77.05
03/04/2024,$78.47,1656367,$78.19,$79.24,$77.92
03/01/2024,$78.33,1320131,$77.955,$78.51,$77.415
02/29/2024,$77.79,2445319,$76.59,$78.02,$76.395
02/28/2024,$76.67,1666716,$76.47,$77.31,$76.17
02/27/2024,$76.51,1809016,$76.20,$76.63,$75.82
02/26/2024,$75.95,1355688,$76.64,$77.02,$75.921
02/23/2024,$76.76,1341448,$75.68,$76.89,$75.54
02/22/2024,$75.29,1391840,$75.08,$75.59,$74.52
02/21/2024,$74.63,1733888,$74.61,$74.65,$73.96
02/20/2024,$74.61,1815963,$74.23,$74.93,$73.98
02/16/2024,$74.92,1537419,$75.40,$75.94,$74.71
02/15/2024,$75.43,1095541,$75.31,$75.615,$74.55
