Date,Close/Last,Volume,Open,High,Low
09/06/2024,$214.75,559605,$216.10,$217.7156,$211.27
09/05/2024,$216.11,940840,$213.55,$221.61,$211.88
09/04/2024,$212.51,1282479,$206.63,$219.5244,$204.02
09/03/2024,$206.69,718293,$202.00,$206.78,$199.685
08/30/2024,$202.77,606040,$207.99,$209.22,$201.15
08/29/2024,$205.15,702853,$205.92,$207.30,$204.35
08/28/2024,$204.42,1271539,$191.77,$205.46,$191.77
08/27/2024,$192.58,1211471,$186.15,$196.52,$183.313
08/26/2024,$180.69,416475,$185.04,$185.16,$180.31
08/23/2024,$185.04,502606,$187.13,$188.25,$182.545
08/22/2024,$185.66,569155,$186.76,$186.76,$183.12
08/21/2024,$185.80,663438,$183.85,$186.58,$183.43
08/20/2024,$182.47,1268910,$192.73,$193.45,$180.84
08/19/2024,$195.92,483422,$194.57,$198.11,$193.68
08/16/2024,$193.51,510272,$195.12,$196.94,$191.94
08/15/2024,$195.03,533584,$194.46,$196.90,$193.19
08/14/2024,$191.54,542388,$193.24,$196.48,$191.52
08/13/2024,$194.59,711057,$189.00,$195.2483,$188.73
08/12/2024,$188.05,932929,$183.24,$191.66,$181.23
08/09/2024,$182.19,2129777,$174.21,$187.80,$173.00
08/08/2024,$199.79,924656,$190.00,$200.27,$189.215
08/07/2024,$190.39,963696,$190.00,$196.00,$186.815
08/06/2024,$196.35,727593,$190.59,$197.80,$189.05
08/05/2024,$190.58,778773,$188.80,$194.06,$185.16
08/02/2024,$196.45,843823,$196.87,$197.02,$186.65
08/01/2024,$197.25,548325,$194.82,$198.095,$190.66
07/31/2024,$194.35,750157,$195.37,$197.12,$191.10
07/30/2024,$193.79,503831,$192.71,$195.54,$191.07
07/29/2024,$191.83,770464,$193.74,$194.75,$186.64
07/26/2024,$193.30,1848011,$196.58,$198.23,$180.45
07/25/2024,$190.88,778919,$192.62,$197.55,$190.64
07/24/2024,$194.38,298830,$196.54,$198.44,$191.92
07/23/2024,$196.76,312580,$195.11,$199.48,$193.23
07/22/2024,$194.23,399113,$196.40,$197.25,$191.36
07/19/2024,$195.03,653929,$197.01,$198.59,$191.99
07/18/2024,$194.96,671179,$197.65,$202.54,$190.48
07/17/2024,$197.65,656724,$199.33,$205.26,$195.89
07/16/2024,$201.39,828266,$200.62,$205.66,$198.95
07/15/2024,$198.87,531929,$201.27,$204.13,$197.95
07/12/2024,$201.98,618633,$204.00,$209.35,$201.84
07/11/2024,$203.62,485912,$199.70,$205.40,$197.80
07/10/2024,$197.67,449799,$195.96,$197.97,$190.985
07/09/2024,$195.17,585876,$198.36,$198.68,$193.73
07/08/2024,$198.67,466097,$196.21,$201.00,$192.29
