Date,Close/Last,Volume,Open,High,Low
09/06/2024,$341.37,356079,$342.82,$346.47,$339.91
09/05/2024,$341.97,290297,$345.44,$345.44,$340.62
09/04/2024,$344.53,389995,$338.58,$345.11,$337.36
09/03/2024,$340.00,429695,$350.53,$352.10,$339.72
08/30/2024,$351.62,454875,$352.27,$354.865,$349.7701
08/29/2024,$350.82,177817,$353.79,$355.705,$348.82
08/28/2024,$349.625,164004,$350.78,$353.6975,$349.12
08/27/2024,$351.92,188112,$354.11,$355.705,$350.06
08/26/2024,$356.62,176231,$360.00,$362.2555,$356.07
08/23/2024,$358.52,182509,$350.00,$358.82,$348.17
08/22/2024,$348.08,172096,$349.17,$351.00,$345.30
08/21/2024,$351.00,221208,$349.99,$351.75,$345.03
08/20/2024,$346.10,186893,$345.07,$349.1228,$345.07
08/19/2024,$345.59,199010,$345.28,$347.56,$343.95
08/16/2024,$345.28,193659,$345.98,$350.88,$344.905
08/15/2024,$347.09,345820,$348.80,$350.84,$342.82
08/14/2024,$344.04,265134,$348.61,$349.77,$343.89
08/13/2024,$347.90,358192,$345.09,$349.85,$343.67
08/12/2024,$344.07,317427,$349.21,$349.64,$341.12
08/09/2024,$349.21,252764,$350.73,$350.93,$347.40
08/08/2024,$350.73,390058,$350.50,$357.34,$349.10
08/07/2024,$349.26,435869,$356.25,$360.29,$348.92
08/06/2024,$354.53,379347,$352.31,$358.89,$348.94
08/05/2024,$349.83,524518,$344.20,$356.82,$335.57
08/02/2024,$353.39,514480,$357.87,$357.87,$348.91
08/01/2024,$365.56,539645,$372.91,$377.365,$361.57
07/31/2024,$374.04,426793,$374.61,$382.76,$368.59
07/30/2024,$372.50,443338,$369.21,$373.60,$368.36
07/29/2024,$369.13,447238,$371.14,$374.13,$366.31
07/26/2024,$371.82,787168,$364.55,$374.88,$361.845
07/25/2024,$359.94,1077759,$350.00,$363.35,$339.175
07/24/2024,$327.19,429884,$336.35,$336.87,$326.19
07/23/2024,$338.06,358852,$331.57,$338.26,$329.60
07/22/2024,$331.57,322276,$331.00,$332.11,$323.545
07/19/2024,$328.52,299360,$330.64,$331.75,$323.805
07/18/2024,$330.64,402671,$333.41,$341.88,$330.01
07/17/2024,$336.43,426649,$332.76,$340.88,$331.03
07/16/2024,$336.90,523288,$327.40,$340.00,$325.00
07/15/2024,$327.04,475535,$329.14,$336.94,$325.63
07/12/2024,$328.40,799694,$319.81,$332.29,$319.255
07/11/2024,$317.36,714222,$303.79,$320.36,$303.79
07/10/2024,$298.87,585862,$298.84,$299.69,$294.46
07/09/2024,$296.17,520848,$303.73,$307.01,$293.51
07/08/2024,$304.48,430693,$300.03,$305.50,$299.91
07/05/2024,$299.78,324827,$301.09,$302.00,$298.10
07/03/2024,$301.09,315981,$300.95,$303.48,$298.07
07/02/2024,$301.40,351521,$308.69,$308.69,$300.485
07/01/2024,$307.69,472340,$307.33,$310.2128,$304.73
06/28/2024,$307.33,795705,$308.85,$312.29,$306.05
06/27/2024,$307.57,582812,$310.56,$311.08,$306.0901
06/26/2024,$312.28,463844,$307.09,$314.06,$306.03
06/25/2024,$310.74,1978289,$299.24,$320.00,$299.24
06/24/2024,$337.91,564038,$338.50,$340.84,$334.16
06/21/2024,$337.92,771594,$334.00,$338.16,$329.76
06/20/2024,$333.49,446129,$337.41,$337.41,$331.305
06/18/2024,$337.89,312739,$340.83,$343.00,$337.47
06/17/2024,$343.18,324957,$338.63,$343.985,$338.63
06/14/2024,$341.31,224397,$340.56,$343.60,$336.86
06/13/2024,$343.00,276921,$346.29,$346.29,$337.05
06/12/2024,$346.73,494975,$350.79,$361.30,$341.8657
06/11/2024,$342.61,279722,$342.05,$346.15,$338.85
06/10/2024,$342.40,273186,$338.09,$343.43,$337.60
06/07/2024,$340.86,327578,$343.21,$344.66,$339.82
06/06/2024,$346.98,296260,$355.10,$357.03,$346.53
06/05/2024,$356.00,205043,$356.07,$358.93,$352.10
06/04/2024,$354.09,251651,$358.28,$358.28,$351.97
06/03/2024,$361.13,247942,$364.29,$364.69,$355.16
05/31/2024,$363.55,383680,$356.82,$364.04,$354.6992
05/30/2024,$356.13,504203,$351.69,$359.32,$351.55
05/29/2024,$351.14,454228,$354.98,$357.34,$350.71
05/28/2024,$357.65,325932,$363.73,$366.10,$355.07
05/24/2024,$362.46,243351,$366.48,$367.69,$362.14
05/23/2024,$365.09,382347,$367.54,$367.54,$357.54
05/22/2024,$367.60,304878,$371.72,$374.98,$365.77
05/21/2024,$371.14,226279,$368.29,$371.50,$363.47
05/20/2024,$368.29,204650,$366.71,$370.96,$365.47
05/17/2024,$366.90,220841,$369.62,$369.99,$364.03
05/16/2024,$369.23,336133,$382.42,$382.42,$369.21
05/15/2024,$383.07,315145,$377.49,$383.89,$374.74
05/14/2024,$377.50,228230,$377.68,$378.52,$374.43
05/13/2024,$373.09,231329,$377.76,$378.62,$372.05
05/10/2024,$374.21,255845,$372.30,$377.26,$370.06
05/09/2024,$373.00,210079,$365.43,$373.455,$364.54
05/08/2024,$365.82,272091,$369.67,$370.12,$361.63
05/07/2024,$372.68,309607,$372.57,$377.12,$372.005
05/06/2024,$370.77,340312,$367.15,$371.24,$363.88
05/03/2024,$364.65,430034,$366.59,$371.31,$364.27
05/02/2024,$360.11,368811,$365.41,$368.00,$357.605
05/01/2024,$359.50,397536,$362.53,$367.29,$354.51
04/30/2024,$362.53,453294,$368.30,$368.32,$360.93
04/29/2024,$369.61,379598,$371.83,$372.555,$364.53
04/26/2024,$371.17,437342,$366.08,$377.61,$364.42
04/25/2024,$370.00,1065525,$367.62,$380.225,$358.43
04/24/2024,$377.39,550354,$371.83,$378.72,$371.83
04/23/2024,$374.99,503441,$368.13,$379.16,$366.38
04/22/2024,$365.88,299933,$363.82,$368.89,$361.566
04/19/2024,$361.13,329057,$362.91,$365.64,$360.94
04/18/2024,$362.91,235511,$365.16,$369.355,$362.67
04/17/2024,$364.15,322693,$374.41,$375.99,$363.91
04/16/2024,$369.98,375089,$373.03,$374.74,$368.00
04/15/2024,$373.60,259530,$382.77,$385.12,$372.49
04/12/2024,$380.20,398938,$375.98,$380.54,$373.64
04/11/2024,$379.14,445063,$379.95,$385.66,$378.26
04/10/2024,$381.35,479593,$388.96,$389.82,$381.11
04/09/2024,$400.08,280129,$397.95,$402.45,$396.85
04/08/2024,$396.83,221050,$398.61,$400.76,$396.09
04/05/2024,$396.25,247629,$393.48,$398.25,$391.88
04/04/2024,$395.18,374105,$397.93,$401.96,$393.685
04/03/2024,$392.01,314105,$390.47,$394.795,$388.80
04/02/2024,$391.68,397454,$396.95,$396.95,$387.65
04/01/2024,$401.30,341870,$403.00,$403.61,$398.12
03/28/2024,$403.50,711594,$406.00,$410.60,$401.12
03/27/2024,$414.62,262680,$406.57,$415.05,$403.24
03/26/2024,$402.56,252162,$411.39,$414.34,$402.14
03/25/2024,$408.17,413615,$414.30,$418.32,$407.075
03/22/2024,$416.38,230150,$419.37,$419.995,$415.53
03/21/2024,$418.97,321273,$412.92,$420.98,$411.91
03/20/2024,$409.46,256651,$405.26,$411.245,$401.80
03/19/2024,$405.13,272626,$398.38,$405.67,$398.11
03/18/2024,$397.30,374369,$399.40,$402.355,$394.08
03/15/2024,$399.31,389881,$393.72,$400.305,$393.32
03/14/2024,$395.34,534015,$406.42,$407.64,$388.34
03/13/2024,$405.58,207619,$405.25,$409.01,$402.53
03/12/2024,$405.08,352500,$402.20,$408.25,$399.94
03/11/2024,$402.20,295922,$414.92,$417.48,$401.885
03/08/2024,$415.06,267484,$416.56,$422.73,$413.82
03/07/2024,$414.15,370838,$407.68,$415.50,$404.97
03/06/2024,$406.51,314804,$410.02,$410.77,$405.23
03/05/2024,$409.00,383635,$401.32,$409.34,$401.32
03/04/2024,$402.14,252832,$401.10,$408.56,$400.14
03/01/2024,$403.41,275072,$395.81,$405.61,$390.67
02/29/2024,$398.12,465078,$395.00,$401.49,$394.10
02/28/2024,$393.09,220450,$387.69,$393.33,$386.24
02/27/2024,$391.06,231240,$389.04,$391.45,$386.025
02/26/2024,$386.40,369176,$385.14,$391.25,$385.035
02/23/2024,$387.61,449763,$378.84,$388.585,$375.35
02/22/2024,$379.08,1049668,$367.26,$406.74,$367.26
02/21/2024,$389.10,549985,$384.92,$390.79,$381.4072
02/20/2024,$384.77,236092,$380.89,$386.04,$378.95
02/16/2024,$387.30,293730,$385.07,$390.6112,$382.92
02/15/2024,$389.13,227291,$384.93,$389.37,$384.67
02/14/2024,$382.78,309993,$379.51,$382.89,$375.16
02/13/2024,$375.88,316702,$379.41,$383.71,$373.50
02/12/2024,$392.90,200544,$387.38,$395.203,$385.445
02/09/2024,$386.65,216098,$387.27,$391.01,$384.415
02/08/2024,$387.34,242505,$382.21,$387.73,$379.585
02/07/2024,$380.85,350659,$375.24,$383.87,$369.93
02/06/2024,$373.57,175808,$366.62,$373.78,$366.62
02/05/2024,$366.68,316862,$368.87,$369.71,$362.36
02/02/2024,$373.85,343689,$372.80,$377.495,$361.16
02/01/2024,$377.08,330756,$373.17,$377.21,$367.30
01/31/2024,$371.25,315638,$379.84,$381.80,$370.09
01/30/2024,$379.65,240836,$382.85,$384.10,$379.41
01/29/2024,$383.43,262715,$378.47,$384.02,$375.67
01/26/2024,$377.39,300234,$378.74,$380.37,$373.65
01/25/2024,$378.56,306659,$382.92,$385.15,$377.88
01/24/2024,$380.90,278404,$394.19,$395.80,$376.925
01/23/2024,$390.66,198730,$402.37,$402.37,$387.675
01/22/2024,$399.79,254014,$389.99,$400.50,$388.03
01/19/2024,$386.84,272228,$387.01,$388.98,$381.66
01/18/2024,$387.00,235435,$379.64,$387.30,$379.275
01/17/2024,$377.06,223741,$377.61,$381.53,$374.30
01/16/2024,$381.61,287629,$377.90,$382.97,$374.71
01/12/2024,$381.82,149952,$387.50,$389.23,$377.50
01/11/2024,$384.88,266813,$387.22,$389.82,$379.44
01/10/2024,$389.85,290169,$383.00,$390.05,$376.105
01/09/2024,$381.53,129380,$377.06,$383.135,$377.06
01/08/2024,$381.44,214406,$374.63,$382.825,$374.63
01/05/2024,$377.73,266076,$371.60,$379.735,$371.60
01/04/2024,$372.87,257866,$370.33,$377.34,$370.33
01/03/2024,$373.78,309467,$382.87,$383.02,$373.34
01/02/2024,$388.15,346115,$394.26,$397.91,$385.43
12/29/2023,$398.71,201470,$401.28,$403.98,$398.05
12/28/2023,$402.39,131710,$403.01,$404.79,$401.04
12/27/2023,$403.74,193411,$402.36,$405.01,$399.475
12/26/2023,$400.89,199764,$396.66,$402.205,$395.50
12/22/2023,$396.11,177982,$395.83,$397.76,$393.10
12/21/2023,$395.63,222197,$395.04,$398.64,$392.54
12/20/2023,$390.63,362755,$391.41,$400.00,$389.2799
12/19/2023,$391.53,270830,$392.45,$398.19,$390.18
12/18/2023,$389.81,378897,$392.67,$393.045,$386.2823
12/15/2023,$392.40,726987,$394.22,$397.53,$388.63
12/14/2023,$396.30,1130449,$371.40,$398.92,$371.40
12/13/2023,$365.04,383422,$351.90,$365.65,$349.75
12/12/2023,$351.79,355409,$355.87,$361.00,$349.99
12/11/2023,$355.875,279661,$355.32,$361.26,$352.99
12/08/2023,$354.12,331417,$360.25,$361.87,$353.51
12/07/2023,$363.74,287778,$362.30,$364.12,$357.5999
12/06/2023,$362.51,351874,$356.81,$366.075,$356.545
12/05/2023,$353.60,298313,$350.81,$353.75,$348.72
12/04/2023,$353.64,317895,$356.84,$362.475,$351.31
12/01/2023,$357.64,345373,$346.74,$357.975,$345.015
11/30/2023,$347.32,593656,$346.49,$348.83,$338.915
11/29/2023,$345.32,431401,$347.78,$351.38,$343.00
11/28/2023,$350.31,205459,$350.89,$354.0962,$348.89
11/27/2023,$351.60,249045,$353.10,$353.87,$348.95
11/24/2023,$354.75,62569,$354.31,$356.14,$353.18
11/22/2023,$356.26,248628,$354.87,$357.86,$353.01
11/21/2023,$352.40,249973,$347.64,$353.44,$343.90
11/20/2023,$349.08,275433,$350.19,$350.9828,$345.87
11/17/2023,$350.22,240403,$353.07,$354.07,$347.75
11/16/2023,$347.37,318886,$348.94,$350.855,$346.76
11/15/2023,$350.59,466811,$351.31,$360.60,$350.26
11/14/2023,$349.31,485333,$340.00,$355.79,$338.50
11/13/2023,$328.34,198017,$327.95,$330.415,$324.62
11/10/2023,$330.54,295794,$331.31,$331.31,$325.22
11/09/2023,$329.03,273750,$338.28,$338.28,$328.15
11/08/2023,$335.49,303121,$332.95,$337.38,$331.63
11/07/2023,$334.24,238442,$329.43,$336.19,$326.47
11/06/2023,$330.01,341800,$336.28,$336.28,$327.27
11/03/2023,$336.66,440442,$331.11,$338.285,$329.115
11/02/2023,$326.23,341428,$326.82,$331.68,$325.66
11/01/2023,$319.28,422863,$315.77,$319.55,$311.83
10/31/2023,$315.77,436547,$315.82,$318.095,$313.685
10/30/2023,$316.64,298456,$313.09,$319.33,$310.48
