Date,Close/Last,Volume,Open,High,Low
09/06/2024,$124.78,1210495,$125.00,$126.28,$124.38
09/05/2024,$125.28,1076815,$126.92,$127.025,$124.90
09/04/2024,$126.67,965693,$128.06,$128.6275,$126.48
09/03/2024,$127.95,1451183,$128.74,$129.85,$127.55
08/30/2024,$129.73,2175023,$129.60,$130.445,$128.41
08/29/2024,$128.84,962853,$128.39,$129.4794,$127.15
08/28/2024,$127.64,993483,$127.14,$128.36,$126.96
08/27/2024,$127.11,936726,$126.87,$127.67,$126.60
08/26/2024,$126.90,618873,$126.94,$127.95,$126.55
08/23/2024,$126.53,1092894,$125.47,$127.12,$125.3401
08/22/2024,$125.16,1048749,$125.36,$125.59,$124.46
08/21/2024,$124.95,1060626,$123.66,$125.06,$123.22
08/20/2024,$123.00,715430,$122.90,$123.60,$122.465
08/19/2024,$123.25,1078527,$122.77,$123.405,$122.31
08/16/2024,$122.40,2562143,$121.86,$122.515,$120.85
08/15/2024,$122.07,1273619,$121.29,$122.73,$120.80
08/14/2024,$119.87,1348771,$119.21,$120.37,$118.57
08/13/2024,$119.26,1497339,$118.72,$119.78,$118.09
08/12/2024,$118.40,1397182,$118.54,$119.26,$118.14
08/09/2024,$119.24,1092940,$119.02,$120.045,$118.41
08/08/2024,$119.23,1601827,$118.94,$120.295,$118.915
08/07/2024,$118.32,2159852,$119.83,$121.76,$118.07
08/06/2024,$119.06,2536541,$119.22,$121.44,$118.96
08/05/2024,$119.39,1739161,$122.19,$122.19,$118.96
08/02/2024,$123.46,1250185,$125.58,$125.58,$122.50
08/01/2024,$125.88,1463814,$127.62,$128.3764,$125.17
07/31/2024,$126.98,2236525,$127.85,$128.6214,$126.35
07/30/2024,$127.21,1507408,$126.84,$128.05,$126.84
07/29/2024,$127.74,1265259,$127.35,$128.58,$126.92
07/26/2024,$127.55,1579781,$126.23,$127.61,$125.56
07/25/2024,$125.94,1497293,$125.33,$127.56,$124.87
07/24/2024,$125.24,1639580,$127.00,$127.285,$125.13
07/23/2024,$126.72,1624655,$128.43,$128.63,$126.541
07/22/2024,$128.37,1608278,$128.70,$129.43,$126.9005
07/19/2024,$128.04,4342564,$127.50,$129.07,$126.405
07/18/2024,$131.71,2434600,$132.74,$135.57,$131.58
07/17/2024,$133.76,2259047,$133.01,$135.00,$132.66
07/16/2024,$133.23,1720911,$131.33,$133.84,$131.15
07/15/2024,$130.88,1546206,$130.28,$132.63,$130.28
07/12/2024,$130.62,950524,$130.56,$131.35,$129.84
07/11/2024,$129.71,1235733,$128.12,$129.84,$127.60
07/10/2024,$126.64,1147446,$126.50,$126.875,$125.30
07/09/2024,$125.26,1071254,$126.67,$126.97,$125.17
07/08/2024,$127.00,1245197,$125.88,$127.11,$125.88
07/05/2024,$125.23,1123179,$124.52,$125.44,$124.04
07/03/2024,$124.87,703007,$124.97,$125.68,$124.48
07/02/2024,$124.88,1284065,$124.02,$125.39,$123.67
07/01/2024,$123.98,1202736,$126.01,$126.4299,$123.66
06/28/2024,$125.89,2585591,$124.88,$126.1389,$124.66
06/27/2024,$124.90,1056184,$125.29,$125.625,$124.735
06/26/2024,$125.25,1927288,$124.37,$125.90,$123.8353
06/25/2024,$125.22,2146909,$127.39,$127.52,$124.48
