Date,Close/Last,Volume,Open,High,Low
09/06/2024,$32.07,5450791,$32.27,$32.315,$32.041
09/05/2024,$32.15,6375239,$32.45,$32.54,$32.08
09/04/2024,$32.21,4731268,$32.21,$32.425,$32.025
09/03/2024,$32.11,4805375,$31.89,$32.315,$31.835
08/30/2024,$31.91,3252226,$31.77,$31.945,$31.5641
08/29/2024,$31.75,4681977,$31.74,$31.77,$31.30
08/28/2024,$31.76,4992889,$31.82,$32.12,$31.745
08/27/2024,$31.73,3797545,$31.89,$31.98,$31.695
08/26/2024,$31.91,4094194,$31.86,$32.02,$31.815
08/23/2024,$31.79,4449738,$31.69,$31.82,$31.58
08/22/2024,$31.55,5368805,$31.51,$31.725,$31.49
08/21/2024,$31.55,3551750,$31.46,$31.63,$31.405
08/20/2024,$31.48,3341287,$31.40,$31.56,$31.34
08/19/2024,$31.38,2920644,$31.20,$31.3951,$31.17
08/16/2024,$31.17,3614467,$31.06,$31.23,$30.91
08/15/2024,$30.98,4472308,$30.85,$31.14,$30.76
08/14/2024,$31.05,5126408,$30.84,$31.255,$30.78
08/13/2024,$30.92,7027737,$30.90,$31.05,$30.775
08/12/2024,$30.83,6658016,$30.60,$30.855,$30.44
08/09/2024,$30.52,4107477,$30.53,$30.56,$29.97
08/08/2024,$30.51,4704338,$30.33,$30.71,$30.24
08/07/2024,$30.50,8403123,$30.34,$30.955,$30.18
08/06/2024,$30.23,8158637,$30.09,$30.59,$30.07
08/05/2024,$30.05,8209127,$30.97,$31.16,$29.975
08/02/2024,$30.64,11185680,$30.50,$31.455,$30.03
08/01/2024,$30.31,5784690,$29.87,$30.345,$29.75
07/31/2024,$29.72,6863537,$30.00,$30.06,$29.605
07/30/2024,$29.97,5763331,$29.58,$30.095,$29.58
07/29/2024,$29.65,3113029,$29.45,$29.78,$29.35
07/26/2024,$29.44,4653379,$29.32,$29.535,$29.25
07/25/2024,$29.22,4525291,$29.30,$29.79,$29.11
07/24/2024,$29.17,4035416,$29.00,$29.29,$28.895
07/23/2024,$28.77,3350451,$29.01,$29.06,$28.75
07/22/2024,$29.00,3707545,$28.68,$29.065,$28.62
07/19/2024,$28.62,4314309,$28.86,$28.86,$28.49
07/18/2024,$28.72,3801111,$28.51,$29.12,$28.51
07/17/2024,$28.71,3640075,$28.39,$28.92,$28.31
07/16/2024,$28.29,3485137,$28.10,$28.399,$27.98
07/15/2024,$27.97,4392838,$28.24,$28.33,$27.93
07/12/2024,$28.44,6501799,$28.26,$28.505,$28.21
07/11/2024,$28.22,4781046,$27.86,$28.41,$27.79
07/10/2024,$27.68,5942069,$27.47,$27.68,$27.285
07/09/2024,$27.41,5303113,$27.33,$27.60,$27.25
07/08/2024,$27.40,4215413,$27.38,$27.465,$27.235
07/05/2024,$27.41,5873046,$27.54,$27.60,$27.31
07/03/2024,$27.53,2935179,$27.52,$27.86,$27.39
07/02/2024,$27.42,3467049,$27.42,$27.55,$27.29
07/01/2024,$27.36,3414648,$27.79,$27.89,$27.345
06/28/2024,$27.65,7194990,$27.81,$27.85,$27.52
06/27/2024,$27.75,3286497,$27.73,$27.78,$27.58
06/26/2024,$27.70,4745519,$27.67,$27.82,$27.495
06/25/2024,$27.80,3241429,$28.09,$28.14,$27.77
06/24/2024,$28.17,5666728,$27.99,$28.33,$27.88
