Date,Close/Last,Volume,Open,High,Low
09/06/2024,$113.25,2979272,$117.81,$118.49,$112.60
09/05/2024,$117.78,1472722,$120.30,$120.48,$117.00
09/04/2024,$119.55,1405708,$121.04,$122.025,$118.59
09/03/2024,$120.70,1351552,$120.09,$121.45,$119.67
08/30/2024,$121.16,2141459,$120.06,$121.45,$119.69
08/29/2024,$119.80,1294645,$119.44,$120.56,$118.0701
08/28/2024,$118.78,1056610,$117.81,$119.32,$117.79
08/27/2024,$117.92,1069391,$118.11,$118.225,$117.345
08/26/2024,$118.01,1299849,$118.00,$119.17,$117.50
08/23/2024,$117.41,1091052,$115.79,$117.70,$115.50
08/22/2024,$115.24,1056481,$114.40,$115.34,$114.17
08/21/2024,$114.35,1022994,$113.46,$114.47,$113.00
08/20/2024,$113.26,1311517,$114.50,$114.81,$113.06
08/19/2024,$115.77,1288352,$114.63,$115.90,$114.63
08/16/2024,$114.89,3366205,$113.93,$115.00,$113.70
08/15/2024,$113.56,2023315,$113.07,$114.13,$111.97
08/14/2024,$111.40,1781498,$109.57,$111.76,$109.50
08/13/2024,$109.50,1444554,$109.13,$109.68,$107.6601
08/12/2024,$108.40,1375788,$110.48,$110.81,$108.172
08/09/2024,$109.46,1150485,$108.79,$109.70,$108.25
08/08/2024,$108.72,1673166,$107.69,$109.19,$107.5407
08/07/2024,$106.76,1802873,$108.82,$109.78,$106.69
08/06/2024,$107.05,2098391,$105.70,$108.28,$105.70
08/05/2024,$105.53,4022730,$108.17,$108.17,$104.445
08/02/2024,$110.26,5436589,$118.32,$120.88,$108.49
08/01/2024,$122.49,2740647,$126.48,$127.34,$121.74
07/31/2024,$125.32,1708971,$126.00,$126.78,$125.19
07/30/2024,$125.96,1073587,$124.93,$126.55,$124.93
07/29/2024,$124.34,855779,$124.30,$124.59,$123.50
07/26/2024,$124.14,1315951,$123.80,$124.98,$123.44
07/25/2024,$123.09,1140985,$123.78,$125.31,$123.03
07/24/2024,$123.38,966559,$124.21,$125.08,$123.21
07/23/2024,$124.43,1087005,$124.17,$125.009,$123.83
07/22/2024,$124.61,1233137,$123.82,$124.84,$123.345
07/19/2024,$123.76,1427335,$125.43,$125.46,$123.58
07/18/2024,$125.30,1604537,$126.27,$128.07,$124.82
07/17/2024,$127.32,1360774,$126.80,$128.525,$126.60
07/16/2024,$126.52,1539684,$125.31,$127.57,$125.25
07/15/2024,$125.54,1457019,$123.39,$126.04,$123.39
07/12/2024,$123.27,1298341,$122.73,$124.19,$122.68
07/11/2024,$122.38,1460584,$120.50,$122.4705,$120.13
07/10/2024,$120.39,1451908,$118.88,$120.42,$118.76
07/09/2024,$118.63,1120791,$117.00,$119.63,$116.71
07/08/2024,$117.04,741472,$117.37,$118.21,$116.7701
07/05/2024,$116.84,919690,$118.00,$118.25,$116.47
07/03/2024,$118.55,718184,$118.55,$119.62,$118.065
07/02/2024,$118.55,1009003,$116.82,$118.63,$116.82
07/01/2024,$117.53,1069863,$118.00,$118.91,$116.98
06/28/2024,$117.19,2257039,$117.50,$118.31,$116.76
06/27/2024,$117.33,958273,$117.45,$118.08,$116.72
06/26/2024,$117.62,1278308,$117.92,$118.09,$116.43
06/25/2024,$118.59,1124390,$119.11,$119.66,$118.06
06/24/2024,$119.16,1474912,$118.19,$120.07,$117.96
06/21/2024,$117.73,3252009,$117.34,$117.89,$116.72
06/20/2024,$117.04,1217617,$115.57,$117.255,$115.1406
06/18/2024,$115.67,1101997,$114.46,$115.72,$114.16
06/17/2024,$114.51,1303472,$113.16,$114.66,$112.8401
06/14/2024,$113.11,1065223,$112.77,$113.40,$112.17
06/13/2024,$113.97,1091993,$114.96,$114.96,$112.95
06/12/2024,$114.96,1499068,$115.29,$116.54,$114.23
06/11/2024,$114.30,1792961,$116.69,$116.69,$113.77
06/10/2024,$117.37,1308495,$117.39,$117.82,$116.4275
06/07/2024,$117.84,930348,$117.05,$118.70,$116.87
06/06/2024,$117.21,1096061,$117.82,$118.24,$116.66
06/05/2024,$117.73,1606007,$117.97,$118.455,$116.2537
06/04/2024,$117.98,1467519,$118.71,$119.86,$117.76
06/03/2024,$119.62,1106181,$120.58,$120.598,$118.395
05/31/2024,$120.35,2191363,$118.81,$120.44,$118.28
05/30/2024,$118.54,1070327,$117.42,$118.73,$117.04
05/29/2024,$117.49,1106924,$116.86,$117.79,$116.1625
05/28/2024,$117.73,1196957,$119.36,$119.36,$117.15
05/24/2024,$119.36,1254163,$118.58,$119.41,$118.23
05/23/2024,$117.85,1337005,$119.24,$119.275,$117.62
05/22/2024,$119.49,1599425,$119.07,$120.285,$118.645
05/21/2024,$117.84,1043744,$117.70,$118.55,$117.66
05/20/2024,$117.70,1376804,$119.95,$120.32,$117.61
05/17/2024,$121.31,1725673,$120.59,$121.395,$119.96
05/16/2024,$119.93,1528877,$119.65,$120.53,$119.51
05/15/2024,$119.60,1138735,$119.53,$119.70,$118.6896
05/14/2024,$118.88,1373889,$118.22,$119.08,$118.105
05/13/2024,$117.80,1329882,$119.00,$119.60,$117.75
05/10/2024,$118.83,1427130,$118.50,$119.01,$117.98
05/09/2024,$117.95,1154563,$116.60,$118.145,$116.52
05/08/2024,$116.69,1086143,$116.27,$116.93,$115.65
05/07/2024,$116.23,1666642,$116.13,$116.8401,$115.85
05/06/2024,$115.26,1712647,$113.47,$115.31,$112.82
05/03/2024,$112.26,1028916,$112.21,$112.7873,$110.605
05/02/2024,$111.29,1798274,$112.65,$113.37,$110.28
05/01/2024,$112.30,2451316,$109.65,$113.64,$108.95
04/30/2024,$110.48,2375217,$111.26,$111.475,$110.33
04/29/2024,$111.93,1361482,$110.79,$112.1354,$110.77
04/26/2024,$110.50,1110106,$110.74,$111.25,$110.09
04/25/2024,$111.18,996379,$112.34,$112.64,$110.65
04/24/2024,$112.76,1174076,$111.66,$112.92,$111.39
04/23/2024,$112.05,1500173,$111.70,$112.30,$111.38
04/22/2024,$111.47,1085834,$111.39,$112.13,$110.51
04/19/2024,$110.61,1470960,$109.03,$110.748,$108.845
04/18/2024,$108.70,1450401,$108.19,$108.90,$107.66
04/17/2024,$107.35,1230417,$108.18,$108.465,$106.7901
04/16/2024,$107.59,1216324,$108.23,$108.50,$107.27
04/15/2024,$108.36,1438563,$111.47,$111.67,$108.12
04/12/2024,$109.69,1754748,$110.60,$111.49,$109.26
04/11/2024,$111.33,1729268,$112.37,$112.44,$110.65
04/10/2024,$112.72,1484906,$113.26,$113.665,$111.86
04/09/2024,$114.30,1375287,$115.62,$116.08,$113.29
04/08/2024,$115.48,1145384,$115.83,$116.28,$115.23
04/05/2024,$115.71,1054241,$115.43,$116.33,$115.09
04/04/2024,$115.89,1194885,$117.77,$118.69,$115.55
04/03/2024,$116.87,1128032,$116.24,$117.50,$116.24
04/02/2024,$116.30,1275509,$116.32,$117.03,$115.94
04/01/2024,$116.29,829199,$117.32,$117.38,$115.93
03/28/2024,$117.40,1177760,$117.49,$117.92,$117.08
03/27/2024,$117.02,1298053,$116.44,$117.17,$116.21
03/26/2024,$115.82,1224001,$115.57,$116.30,$115.39
03/25/2024,$115.63,1298056,$114.60,$115.92,$114.60
03/22/2024,$114.60,1274520,$116.05,$116.62,$114.53
03/21/2024,$115.69,1415709,$115.78,$116.50,$115.39
03/20/2024,$115.33,1616375,$113.27,$115.57,$112.91
03/19/2024,$113.80,1463688,$113.37,$114.18,$113.2734
03/18/2024,$113.08,1368565,$112.91,$113.88,$112.4204
03/15/2024,$112.84,3355660,$110.83,$113.03,$110.83
03/14/2024,$111.74,1876323,$112.50,$112.95,$110.88
03/13/2024,$112.83,1629955,$111.84,$113.505,$111.835
03/12/2024,$111.74,1501107,$111.78,$112.27,$111.015
03/11/2024,$111.52,1242193,$110.19,$111.60,$110.19
03/08/2024,$111.10,1440606,$111.41,$111.91,$110.80
03/07/2024,$110.72,1721757,$110.00,$111.37,$109.82
03/06/2024,$109.61,1346548,$109.52,$109.83,$108.1101
03/05/2024,$108.93,1785587,$106.86,$109.34,$106.84
03/04/2024,$107.09,1539992,$107.60,$108.30,$106.64
03/01/2024,$108.01,1361470,$108.84,$109.12,$107.41
02/29/2024,$108.99,2455622,$108.91,$109.255,$108.075
02/28/2024,$108.01,1172709,$107.41,$108.69,$107.41
02/27/2024,$107.67,945757,$107.06,$108.04,$107.06
02/26/2024,$107.05,1378114,$107.87,$108.38,$106.77
02/23/2024,$108.07,1817233,$108.71,$109.49,$108.07
02/22/2024,$108.32,1513327,$107.73,$108.75,$107.65
02/21/2024,$107.66,1305171,$107.56,$107.84,$106.69
02/20/2024,$107.31,1249553,$106.39,$108.2699,$106.1389
02/16/2024,$107.28,1340743,$107.44,$108.22,$107.01
02/15/2024,$109.29,2473907,$107.19,$110.12,$107.02
02/14/2024,$106.40,1627442,$105.72,$107.32,$105.65
02/13/2024,$105.24,2019429,$106.69,$107.53,$104.02
02/12/2024,$107.23,1907532,$105.88,$108.11,$105.84
02/09/2024,$105.58,2616476,$107.52,$107.65,$105.00
02/08/2024,$108.61,1844516,$108.74,$109.63,$107.39
02/07/2024,$109.13,4004855,$105.64,$109.47,$103.28
02/06/2024,$103.39,2050809,$102.72,$103.86,$102.67
02/05/2024,$102.73,1834005,$102.01,$103.32,$101.72
02/02/2024,$103.21,1523201,$102.73,$103.66,$102.25
02/01/2024,$102.69,2286592,$103.96,$104.13,$100.60
01/31/2024,$104.93,2240938,$106.48,$106.80,$104.74
01/30/2024,$106.63,1473167,$105.29,$106.68,$105.15
01/29/2024,$105.58,1199436,$105.87,$106.07,$104.8101
01/26/2024,$106.22,1171621,$106.00,$106.32,$105.73
01/25/2024,$105.77,1424890,$104.95,$105.81,$104.76
01/24/2024,$104.79,1112192,$105.10,$105.66,$104.56
01/23/2024,$104.32,1060972,$104.46,$105.08,$104.2039
01/22/2024,$104.42,1361193,$104.00,$104.86,$103.745
01/19/2024,$103.44,1359770,$102.45,$103.59,$101.43
01/18/2024,$101.84,1092254,$101.76,$102.06,$100.81
01/17/2024,$101.85,1061870,$101.73,$102.86,$101.39
01/16/2024,$102.53,1244259,$102.36,$102.6236,$101.67
01/12/2024,$103.23,973433,$104.00,$104.36,$102.61
01/11/2024,$103.36,1213502,$103.52,$103.64,$102.615
01/10/2024,$103.72,1072916,$103.12,$103.88,$102.87
01/09/2024,$103.28,1461583,$103.71,$103.7293,$102.681
01/08/2024,$104.52,1344150,$104.13,$104.66,$103.575
01/05/2024,$104.31,1434764,$102.80,$104.59,$102.7649
01/04/2024,$102.88,1527276,$102.72,$104.215,$102.62
01/03/2024,$102.79,1668174,$103.12,$103.64,$102.60
01/02/2024,$104.57,1476386,$103.50,$105.07,$103.46
12/29/2023,$103.71,974403,$104.24,$104.40,$103.4115
12/28/2023,$104.23,737173,$103.57,$104.33,$103.57
12/27/2023,$103.82,805128,$103.40,$103.96,$102.96
12/26/2023,$103.73,598584,$103.30,$104.08,$103.23
12/22/2023,$103.54,1137200,$103.47,$104.2942,$103.165
12/21/2023,$103.23,1274493,$102.63,$103.34,$102.0402
12/20/2023,$102.51,1912246,$103.73,$104.80,$102.48
12/19/2023,$104.34,2777857,$103.27,$104.745,$103.10
12/18/2023,$103.17,2981730,$104.03,$104.34,$103.03
12/15/2023,$103.86,4282704,$104.24,$104.925,$103.42
12/14/2023,$105.21,3808840,$105.14,$106.69,$105.00
12/13/2023,$104.14,3253922,$102.10,$104.37,$101.85
12/12/2023,$102.18,1796236,$102.12,$102.5301,$101.52
12/11/2023,$101.43,1970195,$101.00,$102.57,$100.975
12/08/2023,$100.87,2120921,$99.75,$101.13,$99.43
12/07/2023,$99.66,2254454,$98.50,$99.75,$98.24
12/06/2023,$97.93,1460714,$98.70,$99.7087,$97.76
12/05/2023,$98.04,1738911,$97.91,$98.755,$97.7048
12/04/2023,$98.36,1759335,$97.03,$98.54,$96.87
12/01/2023,$97.74,1774155,$97.42,$98.13,$96.95
11/30/2023,$97.78,2638505,$96.80,$97.99,$96.45
11/29/2023,$96.60,1263689,$96.25,$97.20,$96.23
11/28/2023,$95.89,1327539,$95.75,$96.26,$95.10
11/27/2023,$95.82,1063033,$95.31,$95.96,$94.92
11/24/2023,$95.74,657560,$95.20,$96.32,$95.15
11/22/2023,$95.12,1032428,$94.38,$95.26,$93.985
11/21/2023,$94.22,920633,$94.03,$94.745,$93.60
11/20/2023,$94.28,1158769,$93.96,$94.649,$93.3211
11/17/2023,$95.75,1776053,$95.30,$95.88,$95.085
11/16/2023,$94.63,1192712,$94.52,$95.21,$94.11
11/15/2023,$94.61,1449010,$94.53,$95.34,$94.15
11/14/2023,$94.28,1737932,$92.57,$94.875,$92.57
11/13/2023,$91.50,1658312,$91.25,$92.22,$91.07
11/10/2023,$92.03,1155995,$91.42,$92.18,$90.90
11/09/2023,$90.89,1247509,$91.07,$91.60,$90.56
11/08/2023,$90.69,1477695,$90.83,$91.03,$90.295
11/07/2023,$90.71,1712827,$91.29,$91.495,$89.90
11/06/2023,$91.81,2466190,$94.28,$94.28,$91.23
11/03/2023,$94.15,2006752,$92.93,$94.76,$92.61
11/02/2023,$91.67,2395881,$93.44,$94.75,$90.62
11/01/2023,$91.32,2238840,$91.72,$91.76,$89.95
10/31/2023,$91.44,1763147,$91.00,$91.53,$90.43
10/30/2023,$90.68,1905697,$89.41,$91.08,$89.09
10/27/2023,$88.61,1469843,$90.51,$90.57,$87.95
10/26/2023,$90.31,1412181,$89.36,$91.36,$89.36
10/25/2023,$89.31,1127934,$89.80,$90.395,$89.17
10/24/2023,$89.93,1064719,$90.00,$90.5971,$89.52
10/23/2023,$89.33,1555936,$90.10,$90.49,$89.04
10/20/2023,$90.49,1756973,$93.02,$93.31,$90.07
10/19/2023,$93.29,1259765,$94.54,$95.37,$93.01
10/18/2023,$94.81,1313753,$96.00,$96.20,$94.375
10/17/2023,$96.93,1119702,$95.38,$97.62,$95.215
10/16/2023,$95.70,1342346,$94.60,$96.30,$94.43
10/13/2023,$93.87,1018534,$94.77,$95.29,$93.36
10/12/2023,$94.05,1009225,$95.17,$95.17,$92.97
10/11/2023,$94.86,1203984,$94.26,$95.14,$93.61
10/10/2023,$93.99,1092523,$94.00,$94.72,$93.84
10/09/2023,$93.41,991389,$92.39,$93.51,$92.27
10/06/2023,$92.89,1337983,$91.14,$93.52,$91.07
10/05/2023,$91.84,1302775,$90.39,$92.09,$90.39
10/04/2023,$91.19,1465551,$91.32,$91.60,$89.66
10/03/2023,$91.34,1629189,$92.52,$92.67,$90.67
10/02/2023,$93.38,1270758,$94.19,$94.76,$92.50
09/29/2023,$94.89,1296463,$95.02,$95.88,$94.36
09/28/2023,$94.86,1147558,$94.32,$95.23,$94.25
09/27/2023,$94.52,1222692,$95.26,$95.40,$93.56
09/26/2023,$95.14,1222491,$96.48,$97.15,$94.90
09/25/2023,$97.06,757026,$95.93,$97.11,$95.905
09/22/2023,$96.42,1210043,$97.13,$97.48,$96.245
09/21/2023,$96.97,1531388,$98.42,$98.48,$96.84
09/20/2023,$98.93,1194369,$99.47,$99.96,$98.83
09/19/2023,$98.92,1243485,$99.21,$99.73,$98.5301
09/18/2023,$98.91,1340668,$98.62,$99.18,$97.91
09/15/2023,$98.69,3161886,$98.33,$99.46,$98.158
09/14/2023,$99.14,2299023,$98.00,$99.45,$97.52
09/13/2023,$96.58,1508635,$97.02,$97.255,$95.76
09/12/2023,$96.60,1633747,$95.43,$97.4799,$95.425
09/11/2023,$95.26,1178129,$95.71,$96.46,$95.12
09/08/2023,$95.09,1318733,$94.26,$95.88,$94.00
09/07/2023,$94.28,1098892,$94.05,$94.67,$93.68
09/06/2023,$94.32,1195938,$94.22,$94.77,$93.68
09/05/2023,$94.45,1322738,$96.00,$96.47,$94.43
09/01/2023,$96.09,1367340,$95.62,$96.255,$95.355
08/31/2023,$94.67,2189589,$94.65,$95.26,$94.54
08/30/2023,$94.44,1133929,$94.67,$95.24,$94.32
08/29/2023,$94.43,1121088,$93.99,$94.4907,$93.485
08/28/2023,$93.66,1143482,$94.01,$94.94,$93.30
08/25/2023,$93.74,1556223,$93.87,$94.37,$92.84
08/24/2023,$93.42,2083993,$92.12,$94.15,$92.02
08/23/2023,$91.43,1431159,$90.40,$91.55,$90.09
08/22/2023,$90.22,1331389,$91.34,$91.85,$89.93
08/21/2023,$91.21,1105620,$91.90,$92.2709,$90.52
08/18/2023,$92.80,1592789,$92.08,$93.34,$91.91
08/17/2023,$92.92,1283352,$93.81,$94.24,$92.7624
08/16/2023,$93.18,1392629,$92.99,$94.235,$92.7314
08/15/2023,$93.29,1628173,$93.95,$94.365,$92.96
08/14/2023,$95.14,1017955,$94.68,$95.24,$94.18
08/11/2023,$95.21,1108938,$94.16,$95.50,$94.16
08/10/2023,$94.62,1168160,$95.63,$96.37,$94.34
08/09/2023,$95.07,1708382,$97.23,$97.41,$94.99
08/08/2023,$97.31,1441045,$96.19,$97.33,$95.07
08/07/2023,$98.13,1661358,$97.34,$98.42,$97.03
08/04/2023,$96.51,1999415,$97.23,$98.0698,$96.10
08/03/2023,$96.79,1844427,$94.83,$97.335,$94.80
08/02/2023,$95.31,2466052,$95.28,$96.33,$93.57
08/01/2023,$96.34,1835539,$96.68,$96.90,$95.80
07/31/2023,$96.49,1861120,$96.55,$97.415,$96.27
07/28/2023,$96.28,1138548,$97.08,$97.31,$95.725
07/27/2023,$96.38,1382318,$97.05,$97.68,$96.0908
07/26/2023,$96.83,1415454,$95.39,$97.1845,$95.39
07/25/2023,$95.39,1452733,$96.50,$96.64,$95.22
07/24/2023,$96.52,1656539,$94.92,$97.2099,$94.8858
07/21/2023,$94.77,1296530,$95.22,$95.22,$94.08
07/20/2023,$95.02,1295637,$94.42,$95.03,$94.02
07/19/2023,$94.30,1121954,$93.39,$94.64,$93.21
07/18/2023,$93.69,1603103,$92.56,$94.39,$92.51
07/17/2023,$92.50,1271709,$91.12,$92.95,$91.08
07/14/2023,$91.55,1231704,$93.25,$93.26,$90.86
07/13/2023,$92.81,1645212,$92.12,$93.01,$91.6119
07/12/2023,$91.91,1415633,$93.03,$93.44,$91.62
07/11/2023,$91.88,1855650,$90.31,$92.00,$89.91
07/10/2023,$89.42,1940530,$89.44,$90.10,$89.1852
07/07/2023,$89.85,1554468,$88.60,$90.78,$88.60
07/06/2023,$88.66,1420887,$87.94,$88.80,$87.589
07/05/2023,$88.78,1465854,$88.46,$89.16,$87.57
07/03/2023,$89.15,799016,$88.45,$89.72,$88.3621
06/30/2023,$88.22,1761065,$88.47,$88.895,$87.912
06/29/2023,$87.84,1387805,$86.86,$87.88,$86.69
06/28/2023,$86.29,1463308,$86.38,$86.46,$85.51
06/27/2023,$86.66,1637189,$85.33,$87.04,$85.04
06/26/2023,$85.23,1791186,$84.15,$85.539,$84.02
06/23/2023,$83.89,2175717,$83.81,$84.52,$83.34
06/22/2023,$84.66,1593492,$85.24,$85.42,$83.94
06/21/2023,$85.39,3152595,$84.64,$85.92,$84.47
06/20/2023,$85.05,3192998,$86.05,$86.1974,$83.65
06/16/2023,$87.03,3976740,$86.81,$87.465,$86.31
06/15/2023,$86.76,3614617,$85.17,$87.11,$85.06
06/14/2023,$85.54,3676761,$86.97,$88.02,$85.31
06/13/2023,$86.49,2522741,$84.94,$87.03,$84.7001
06/12/2023,$84.61,1437380,$84.50,$85.3131,$84.1381
06/09/2023,$84.55,1414406,$84.98,$85.21,$84.31
06/08/2023,$84.84,1623382,$85.38,$86.005,$84.1771
06/07/2023,$85.76,1945738,$84.33,$86.38,$84.02
06/06/2023,$83.93,1818366,$83.33,$84.73,$83.165
06/05/2023,$83.06,2254510,$83.65,$83.42,$82.02
06/02/2023,$83.04,2581668,$81.44,$83.79,$81.23
06/01/2023,$80.13,2123046,$79.43,$80.53,$78.53
05/31/2023,$78.69,3812083,$80.21,$80.45,$78.40
05/30/2023,$81.18,1980284,$80.50,$81.32,$79.30
05/26/2023,$80.14,1679992,$80.22,$80.64,$79.65
05/25/2023,$80.07,2053866,$79.49,$80.326,$78.77
05/24/2023,$79.52,1777488,$80.87,$81.45,$79.2971
05/23/2023,$81.79,1713414,$81.97,$83.26,$81.76
05/22/2023,$82.00,1818901,$80.91,$82.13,$80.46
05/19/2023,$82.04,2538159,$83.07,$83.28,$81.545
05/18/2023,$82.39,2338616,$80.83,$82.47,$80.09
05/17/2023,$81.08,2455267,$78.82,$81.19,$78.815
05/16/2023,$78.04,2334458,$79.25,$79.62,$77.97
05/15/2023,$79.40,2452283,$78.92,$79.61,$78.81
05/12/2023,$78.94,3246823,$80.96,$81.01,$77.87
05/11/2023,$80.51,2351269,$79.46,$80.585,$78.94
05/10/2023,$80.35,2089742,$82.13,$82.25,$79.63
05/09/2023,$81.50,1856205,$81.73,$82.09,$80.97
05/08/2023,$82.57,1450334,$83.10,$83.54,$82.0101
05/05/2023,$82.05,2561871,$80.81,$82.42,$80.58
05/04/2023,$79.11,3343694,$80.55,$80.95,$77.22
05/03/2023,$81.36,4207110,$83.00,$84.86,$80.97
05/02/2023,$83.54,3155957,$85.81,$86.00,$82.66
05/01/2023,$86.31,1652702,$86.50,$87.40,$86.19
04/28/2023,$87.00,2578063,$85.30,$87.17,$85.01
04/27/2023,$85.59,2754998,$84.04,$85.74,$84.01
04/26/2023,$83.70,1924062,$83.59,$85.00,$83.19
04/25/2023,$83.88,1955380,$84.92,$84.92,$83.57
04/24/2023,$85.87,1472282,$85.58,$86.08,$85.25
04/21/2023,$85.71,1510516,$86.34,$86.34,$85.07
04/20/2023,$86.44,1981254,$87.14,$87.72,$86.155
04/19/2023,$87.85,2044827,$87.01,$88.05,$86.6407
04/18/2023,$87.00,2012970,$87.80,$87.81,$86.631
04/17/2023,$87.08,2192186,$84.99,$87.15,$84.605
04/14/2023,$85.58,1372715,$85.93,$86.30,$84.90
04/13/2023,$84.87,1842189,$84.66,$85.11,$83.80
04/12/2023,$84.84,2076374,$86.29,$86.77,$84.40
04/11/2023,$85.41,1928154,$84.43,$86.01,$84.22
04/10/2023,$84.15,1654155,$83.24,$84.26,$83.14
04/06/2023,$83.36,1921499,$83.18,$83.925,$82.8501
04/05/2023,$82.84,2343311,$80.92,$82.88,$80.6767
04/04/2023,$82.24,2839613,$84.40,$84.5199,$81.62
04/03/2023,$82.43,2309952,$82.75,$83.49,$82.34
03/31/2023,$82.74,2493833,$82.35,$82.90,$82.08
03/30/2023,$81.75,2525169,$82.37,$82.94,$81.29
03/29/2023,$81.19,2280522,$80.78,$81.27,$80.05
03/28/2023,$79.40,1792289,$79.30,$80.17,$78.81
03/27/2023,$79.40,2802025,$79.46,$80.15,$78.12
03/24/2023,$77.58,2824057,$76.02,$77.645,$75.37
03/23/2023,$77.23,3022220,$78.75,$79.77,$76.53
03/22/2023,$78.68,3363688,$82.19,$82.42,$78.66
03/21/2023,$82.45,3006710,$82.53,$83.43,$82.08
03/20/2023,$80.31,3254127,$79.06,$81.4751,$78.57
03/17/2023,$78.02,16323700,$80.94,$81.28,$77.45
03/16/2023,$82.19,5200885,$78.82,$82.77,$76.90
03/15/2023,$80.16,5423678,$80.73,$81.27,$78.47
03/14/2023,$83.67,4857412,$85.82,$86.82,$82.935
03/13/2023,$82.18,6310687,$85.05,$85.95,$81.41
03/10/2023,$88.52,4192588,$89.45,$90.52,$87.79
03/09/2023,$90.70,2459747,$94.68,$94.69,$90.23
03/08/2023,$94.73,1836942,$95.91,$96.49,$93.98
03/07/2023,$95.96,1977565,$97.92,$98.43,$95.38
03/06/2023,$98.56,1717440,$99.04,$99.60,$98.40
03/03/2023,$99.08,1632216,$98.60,$99.33,$97.72
03/02/2023,$98.01,1976853,$99.28,$99.60,$97.24
03/01/2023,$99.95,1683595,$100.01,$101.50,$99.63
