Date,Close/Last,Volume,Open,High,Low
09/06/2024,$345.63,860113,$341.75,$346.715,$339.91
09/05/2024,$341.17,723996,$346.60,$347.77,$340.72
09/04/2024,$343.95,805786,$343.27,$346.55,$339.97
09/03/2024,$341.68,646308,$342.60,$345.075,$339.81
08/30/2024,$343.72,942084,$343.63,$344.32,$338.65
08/29/2024,$341.72,730319,$340.77,$342.275,$336.88
08/28/2024,$340.77,540682,$341.37,$343.04,$337.13
08/27/2024,$342.59,575999,$337.10,$343.47,$337.08
08/26/2024,$339.66,420934,$342.54,$342.99,$338.72
08/23/2024,$340.94,548286,$334.48,$341.71,$333.93
08/22/2024,$333.24,845867,$329.21,$333.73,$326.51
08/21/2024,$327.79,572317,$326.13,$329.05,$322.1054
08/20/2024,$325.55,544467,$323.50,$325.82,$323.00
08/19/2024,$323.08,484997,$320.40,$323.24,$319.555
08/16/2024,$319.41,554949,$316.57,$320.00,$315.93
08/15/2024,$317.23,676947,$319.91,$320.53,$315.21
08/14/2024,$320.88,607821,$316.14,$322.72,$316.14
08/13/2024,$316.45,469138,$316.20,$317.12,$313.44
08/12/2024,$314.34,575923,$316.41,$316.41,$311.27
08/09/2024,$317.04,558213,$314.18,$318.5025,$311.32
08/08/2024,$313.17,561452,$309.02,$313.34,$307.8201
08/07/2024,$310.15,906277,$313.01,$316.98,$309.60
08/06/2024,$312.64,1029996,$303.64,$315.26,$301.59
08/05/2024,$303.66,1395916,$305.87,$314.57,$302.86
08/02/2024,$311.90,1217011,$299.67,$312.39,$298.14
08/01/2024,$300.08,763784,$298.29,$300.40,$295.78
07/31/2024,$295.92,1623004,$289.784,$303.19,$287.03
07/30/2024,$304.37,537689,$303.89,$305.84,$300.87
07/29/2024,$302.80,457198,$300.51,$303.44,$297.03
07/26/2024,$300.74,368091,$296.25,$301.94,$295.44
07/25/2024,$294.92,544948,$297.50,$301.215,$293.44
07/24/2024,$295.55,704427,$302.34,$303.295,$295.455
07/23/2024,$301.97,969369,$303.97,$305.26,$301.31
07/22/2024,$304.42,557637,$302.46,$305.67,$297.4701
07/19/2024,$301.65,494421,$304.85,$305.83,$301.02
07/18/2024,$303.62,815548,$308.71,$314.93,$303.06
07/17/2024,$309.98,703297,$305.65,$310.54,$304.81
07/16/2024,$305.65,700963,$303.52,$306.63,$301.86
07/15/2024,$302.04,478354,$303.92,$304.78,$298.89
07/12/2024,$302.63,679339,$300.00,$305.60,$297.27
07/11/2024,$296.63,676485,$291.48,$298.10,$289.92
07/10/2024,$287.40,569636,$289.96,$290.50,$285.74
07/09/2024,$288.99,420011,$290.42,$291.09,$284.41
07/08/2024,$290.44,466654,$289.94,$291.61,$288.435
07/05/2024,$289.67,514949,$288.37,$290.23,$285.96
07/03/2024,$287.34,360209,$285.52,$289.35,$284.90
07/02/2024,$285.39,626446,$283.96,$285.87,$282.17
07/01/2024,$283.13,618246,$284.75,$287.41,$280.51
06/28/2024,$287.65,1790167,$287.53,$288.86,$284.24
06/27/2024,$286.55,905600,$290.20,$290.20,$283.33
06/26/2024,$288.12,383236,$287.975,$289.87,$286.41
06/25/2024,$289.57,714303,$291.99,$291.99,$285.47
06/24/2024,$292.31,625347,$290.21,$296.50,$288.9539
06/21/2024,$291.05,1488557,$292.59,$293.50,$290.03
06/20/2024,$291.97,799272,$289.75,$292.76,$287.59
06/18/2024,$291.45,899063,$284.43,$291.78,$283.135
06/17/2024,$283.80,753658,$280.53,$284.14,$278.355
06/14/2024,$283.25,617232,$281.31,$284.17,$281.31
06/13/2024,$282.60,747626,$276.92,$282.64,$276.13
06/12/2024,$275.74,723398,$278.00,$281.92,$275.64
06/11/2024,$274.64,782820,$271.90,$275.8632,$271.00
06/10/2024,$274.02,1006504,$273.05,$275.4496,$270.25
06/07/2024,$273.82,890202,$271.80,$275.27,$269.55
06/06/2024,$276.14,617432,$275.70,$277.36,$273.60
06/05/2024,$277.14,561811,$279.49,$279.675,$276.0369
06/04/2024,$278.97,608769,$274.33,$281.81,$274.00
06/03/2024,$274.39,472136,$274.25,$275.01,$271.64
05/31/2024,$273.83,1232062,$270.49,$274.17,$267.53
05/30/2024,$268.24,782201,$266.08,$268.27,$264.52
05/29/2024,$263.80,865987,$267.26,$267.98,$263.34
05/28/2024,$270.49,589450,$274.39,$275.67,$270.39
05/24/2024,$272.39,665196,$275.43,$275.43,$271.87
05/23/2024,$274.36,756295,$282.51,$282.51,$274.24
05/22/2024,$283.01,347697,$281.74,$285.72,$281.20
05/21/2024,$283.03,434802,$285.55,$285.92,$281.00
05/20/2024,$285.90,537958,$287.45,$289.28,$285.47
05/17/2024,$288.67,764099,$288.61,$290.84,$287.00
05/16/2024,$287.02,721215,$289.77,$290.00,$286.01
05/15/2024,$286.65,773095,$284.16,$287.71,$283.62
05/14/2024,$279.83,622167,$279.70,$282.92,$278.40
05/13/2024,$276.91,318217,$276.84,$278.10,$275.16
05/10/2024,$275.94,383268,$275.77,$276.775,$274.13
05/09/2024,$275.39,443561,$270.34,$275.73,$269.92
05/08/2024,$269.02,466452,$271.64,$271.64,$268.11
05/07/2024,$273.20,520298,$271.77,$273.98,$270.46
05/06/2024,$269.19,592433,$267.67,$269.47,$264.96
05/03/2024,$265.76,662239,$267.93,$269.79,$264.63
05/02/2024,$263.93,927450,$262.43,$265.47,$259.61
05/01/2024,$260.15,1219926,$256.31,$266.78,$256.31
04/30/2024,$259.45,934607,$260.46,$262.34,$258.71
04/29/2024,$262.93,846379,$259.75,$263.87,$259.49
04/26/2024,$257.73,577684,$259.25,$262.10,$257.09
04/25/2024,$258.68,598435,$259.26,$260.95,$257.72
04/24/2024,$262.17,699043,$260.30,$263.2599,$257.05
04/23/2024,$262.22,512857,$261.81,$263.98,$261.11
04/22/2024,$261.44,769858,$261.13,$261.7001,$258.3801
04/19/2024,$260.38,737577,$261.17,$261.465,$259.09
04/18/2024,$260.28,748977,$262.43,$262.945,$258.90
04/17/2024,$261.81,420782,$263.02,$265.47,$261.58
04/16/2024,$262.22,775587,$264.89,$265.52,$260.67
04/15/2024,$265.76,809532,$272.92,$275.56,$264.255
04/12/2024,$272.14,516298,$274.32,$275.635,$271.6001
04/11/2024,$275.18,498501,$276.87,$277.555,$271.83
04/10/2024,$275.85,834317,$285.33,$285.50,$273.48
04/09/2024,$293.34,607408,$289.59,$293.94,$289.48
04/08/2024,$287.62,468752,$283.61,$287.85,$282.80
04/05/2024,$282.57,437131,$280.64,$283.30,$279.25
04/04/2024,$280.64,499691,$282.50,$286.54,$279.48
04/03/2024,$280.32,642820,$283.55,$284.13,$277.97
04/02/2024,$283.38,590839,$283.61,$285.47,$281.70
04/01/2024,$286.50,473343,$294.86,$294.86,$286.31
03/28/2024,$290.06,841389,$290.70,$291.3273,$287.90
03/27/2024,$288.10,687022,$277.40,$288.26,$277.28
03/26/2024,$275.29,496965,$276.19,$277.34,$274.98
03/25/2024,$275.78,378932,$278.93,$280.515,$275.76
03/22/2024,$279.37,550156,$282.55,$282.955,$277.21
03/21/2024,$281.86,629832,$283.59,$285.05,$280.05
03/20/2024,$282.03,500116,$277.04,$282.87,$275.26
03/19/2024,$277.31,859520,$277.31,$280.61,$276.53
03/18/2024,$277.58,676319,$277.68,$278.96,$276.04
03/15/2024,$277.04,1651891,$277.21,$280.77,$274.95
03/14/2024,$280.64,833875,$290.14,$290.14,$278.31
03/13/2024,$288.85,836489,$291.25,$292.78,$287.81
03/12/2024,$290.56,550006,$287.47,$291.32,$285.98
03/11/2024,$291.68,689664,$293.50,$295.20,$291.60
03/08/2024,$293.13,1151632,$287.31,$294.20,$287.22
03/07/2024,$286.08,746053,$284.38,$286.65,$281.63
03/06/2024,$283.73,759150,$282.20,$283.90,$279.70
03/05/2024,$279.51,646254,$284.31,$286.30,$277.785
03/04/2024,$285.08,795558,$282.20,$285.38,$278.0468
03/01/2024,$283.24,904463,$282.13,$284.87,$279.56
02/29/2024,$283.87,1184768,$281.90,$285.69,$280.00
02/28/2024,$280.29,1137085,$276.46,$281.7047,$272.53
02/27/2024,$279.58,627925,$280.92,$282.15,$279.535
02/26/2024,$278.62,707290,$284.00,$285.24,$278.55
02/23/2024,$284.78,498579,$285.00,$287.13,$283.72
02/22/2024,$285.39,706379,$288.73,$291.61,$285.23
02/21/2024,$288.62,1357944,$293.02,$296.05,$284.79
02/20/2024,$284.12,1201592,$281.00,$285.50,$279.2767
02/16/2024,$281.52,852797,$282.82,$285.39,$281.38
02/15/2024,$286.26,619791,$284.05,$286.73,$282.80
02/14/2024,$280.48,707314,$277.69,$281.92,$275.615
02/13/2024,$276.64,643309,$275.91,$277.97,$272.03
02/12/2024,$281.34,515307,$284.57,$285.72,$280.97
02/09/2024,$284.07,557100,$284.63,$286.34,$280.59
02/08/2024,$284.90,495641,$281.15,$285.37,$281.07
02/07/2024,$281.21,686653,$278.63,$283.81,$278.335
02/06/2024,$278.65,649733,$274.15,$279.685,$273.93
02/05/2024,$274.16,782614,$277.06,$277.54,$273.24
02/02/2024,$280.56,730577,$282.47,$283.06,$277.00
02/01/2024,$286.46,723624,$282.61,$286.46,$281.1807
01/31/2024,$283.19,759214,$286.30,$288.465,$281.40
01/30/2024,$284.76,666478,$286.74,$289.67,$284.66
01/29/2024,$289.81,629615,$290.00,$290.00,$287.14
01/26/2024,$289.88,562335,$292.95,$293.25,$288.72
01/25/2024,$291.68,634782,$291.63,$293.92,$289.48
01/24/2024,$288.71,558965,$294.29,$295.1885,$288.27
01/23/2024,$291.85,594731,$294.67,$296.16,$289.53
01/22/2024,$293.65,627731,$292.68,$295.57,$292.22
01/19/2024,$291.92,651020,$291.25,$293.475,$289.23
01/18/2024,$290.97,939254,$294.28,$295.04,$287.505
01/17/2024,$294.50,951471,$290.85,$295.92,$290.61
01/16/2024,$294.85,692510,$293.00,$294.94,$290.73
01/12/2024,$295.03,791375,$292.73,$295.79,$290.04
01/11/2024,$290.35,1108480,$293.69,$295.00,$288.97
01/10/2024,$295.22,1104566,$296.90,$296.90,$293.71
01/09/2024,$296.90,623231,$297.22,$297.735,$295.5101
01/08/2024,$300.12,857917,$297.87,$300.27,$296.85
01/05/2024,$298.61,615304,$298.98,$301.94,$296.02
01/04/2024,$300.18,745121,$302.17,$303.8725,$299.56
01/03/2024,$303.01,675506,$309.12,$309.12,$302.86
01/02/2024,$311.83,823066,$304.97,$312.25,$303.9901
12/29/2023,$305.00,558167,$306.90,$308.01,$304.64
12/28/2023,$307.80,532485,$306.01,$308.35,$305.29
12/27/2023,$305.28,526288,$302.13,$305.53,$301.56
12/26/2023,$301.88,380473,$298.76,$303.05,$298.59
12/22/2023,$297.93,415531,$297.57,$300.94,$295.93
12/21/2023,$297.14,580494,$295.88,$297.36,$293.45
12/20/2023,$292.99,762239,$295.26,$298.48,$292.87
12/19/2023,$294.86,770396,$290.52,$296.105,$288.695
12/18/2023,$289.00,679378,$290.11,$290.93,$287.49
12/15/2023,$290.06,2184874,$290.63,$291.415,$286.68
12/14/2023,$291.10,1716756,$287.46,$292.13,$287.18
12/13/2023,$282.55,1515780,$273.71,$284.41,$272.6064
12/12/2023,$273.00,929644,$272.63,$274.08,$271.1026
12/11/2023,$276.83,817072,$273.00,$277.11,$272.565
12/08/2023,$273.81,748966,$272.70,$275.43,$271.4911
12/07/2023,$273.09,995086,$270.00,$274.56,$269.05
12/06/2023,$269.66,1385182,$269.02,$269.90,$266.6801
12/05/2023,$268.83,883549,$268.56,$269.95,$267.55
12/04/2023,$269.30,1207464,$265.63,$269.51,$264.75
12/01/2023,$266.00,1301844,$258.43,$266.62,$257.79
11/30/2023,$258.76,1748483,$255.78,$260.15,$255.78
11/29/2023,$257.90,1091404,$258.75,$259.615,$256.56
11/28/2023,$256.66,985044,$255.77,$257.255,$253.9789
11/27/2023,$256.62,817203,$255.10,$258.22,$252.962
11/24/2023,$255.03,297762,$252.92,$255.25,$251.49
11/22/2023,$254.72,587854,$259.59,$259.71,$253.70
11/21/2023,$257.21,535323,$256.54,$258.31,$255.27
11/20/2023,$258.08,876702,$257.38,$259.77,$255.975
11/17/2023,$257.70,868003,$261.78,$261.78,$257.625
11/16/2023,$259.51,1071590,$261.78,$262.76,$259.38
11/15/2023,$260.59,1004021,$259.51,$262.41,$259.13
11/14/2023,$260.00,1627824,$252.70,$261.49,$250.515
11/13/2023,$246.33,1143081,$243.20,$247.43,$241.60
11/10/2023,$244.78,1430469,$248.435,$248.56,$244.40
11/09/2023,$246.61,1205451,$250.95,$252.79,$246.45
11/08/2023,$250.69,1851438,$250.62,$254.60,$249.41
11/07/2023,$247.98,1183918,$248.51,$249.0592,$246.24
11/06/2023,$248.12,827685,$252.58,$253.81,$247.43
11/03/2023,$253.26,1182793,$252.50,$259.25,$252.50
11/02/2023,$248.26,994001,$244.79,$251.41,$244.79
11/01/2023,$242.59,1243987,$241.05,$243.26,$234.59
10/31/2023,$238.71,1485253,$244.62,$246.75,$233.18
10/30/2023,$238.82,1355633,$238.09,$240.275,$233.87
10/27/2023,$238.57,964484,$238.75,$240.89,$234.93
