Date,Close/Last,Volume,Open,High,Low
09/06/2024,$164.76,1079964,$168.99,$169.79,$164.44
09/05/2024,$168.50,1096544,$169.64,$170.035,$167.56
09/04/2024,$170.21,908608,$173.12,$173.12,$170.06
09/03/2024,$173.62,812138,$178.36,$179.15,$172.84
08/30/2024,$179.09,1490077,$178.74,$180.00,$175.675
08/29/2024,$177.11,975410,$175.28,$178.735,$175.28
08/28/2024,$173.88,787642,$175.35,$176.075,$173.45
08/27/2024,$176.06,1092255,$174.95,$176.35,$173.30
08/26/2024,$175.95,373647,$178.00,$178.29,$175.37
08/23/2024,$177.31,766541,$176.23,$177.49,$174.77
08/22/2024,$174.97,413155,$177.70,$178.6095,$174.73
08/21/2024,$177.55,378044,$176.54,$177.63,$176.06
08/20/2024,$176.17,434995,$176.46,$177.16,$175.69
08/19/2024,$176.34,567515,$173.85,$176.429,$173.52
08/16/2024,$173.56,445658,$172.95,$174.81,$172.795
08/15/2024,$173.36,552888,$174.56,$175.185,$172.86
08/14/2024,$172.42,641980,$171.99,$172.68,$169.91
08/13/2024,$172.09,417713,$170.77,$172.98,$169.41
08/12/2024,$170.19,443440,$173.50,$174.04,$169.77
08/09/2024,$173.15,737870,$170.42,$173.50,$169.80
08/08/2024,$170.42,547973,$169.06,$171.49,$167.92
08/07/2024,$167.17,826445,$171.93,$172.35,$166.66
08/06/2024,$169.10,1024023,$169.38,$172.56,$168.49
08/05/2024,$168.18,1835026,$168.01,$170.00,$164.56
08/02/2024,$172.05,1301984,$173.09,$173.42,$169.38
08/01/2024,$175.87,1211775,$173.83,$181.04,$172.21
07/31/2024,$177.85,1098547,$178.55,$179.855,$177.62
07/30/2024,$176.47,622212,$177.81,$180.31,$175.27
07/29/2024,$177.22,1022844,$174.27,$177.43,$173.07
07/26/2024,$173.80,765251,$174.95,$176.78,$173.48
07/25/2024,$173.87,1037563,$173.87,$175.99,$171.09
07/24/2024,$172.32,636607,$176.71,$177.12,$172.02
07/23/2024,$177.77,649969,$178.48,$181.19,$177.22
07/22/2024,$178.41,651490,$176.72,$179.18,$175.20
07/19/2024,$175.92,624041,$176.68,$176.70,$173.90
07/18/2024,$176.08,917210,$179.77,$179.77,$175.42
07/17/2024,$179.77,1038914,$183.01,$184.00,$179.62
07/16/2024,$184.08,1364355,$184.97,$186.415,$183.11
07/15/2024,$184.53,969878,$183.21,$184.68,$182.10
07/12/2024,$182.73,976584,$179.77,$183.99,$178.60
07/11/2024,$179.77,968273,$178.19,$181.14,$177.12
07/10/2024,$176.69,1519263,$177.62,$177.935,$173.38
07/09/2024,$177.48,2132021,$180.40,$182.66,$174.32
07/08/2024,$187.32,670260,$186.46,$187.78,$185.39
07/05/2024,$186.46,456461,$183.43,$186.62,$183.14
07/03/2024,$183.97,408690,$182.69,$184.51,$182.07
07/02/2024,$182.89,769236,$181.02,$184.23,$181.02
07/01/2024,$181.02,653175,$180.83,$181.81,$178.87
06/28/2024,$181.67,1660068,$181.88,$184.48,$181.26
06/27/2024,$181.26,876369,$177.60,$181.29,$175.74
06/26/2024,$177.60,466897,$176.55,$178.24,$174.53
06/25/2024,$177.03,648321,$177.95,$178.70,$175.94
06/24/2024,$177.60,680759,$176.95,$179.13,$176.815
06/21/2024,$177.21,1051490,$176.83,$177.63,$175.065
06/20/2024,$176.03,636908,$172.50,$176.09,$172.24
06/18/2024,$173.03,805548,$172.61,$173.725,$172.155
06/17/2024,$172.68,747016,$173.50,$173.69,$171.835
06/14/2024,$173.50,425947,$174.58,$174.88,$171.925
06/13/2024,$174.27,499587,$176.12,$177.35,$173.90
06/12/2024,$176.96,613753,$176.04,$179.69,$175.02
06/11/2024,$174.50,619461,$174.66,$176.015,$173.065
06/10/2024,$175.54,577049,$173.00,$176.18,$173.00
06/07/2024,$174.48,408117,$175.00,$175.96,$173.60
06/06/2024,$174.60,512053,$172.51,$175.16,$172.51
06/05/2024,$172.18,913859,$172.27,$172.495,$171.25
06/04/2024,$171.47,1287608,$171.78,$172.07,$168.18
06/03/2024,$174.11,733641,$177.00,$178.77,$172.09
05/31/2024,$176.24,1578153,$174.74,$176.52,$171.83
05/30/2024,$173.86,766328,$176.43,$176.72,$173.01
05/29/2024,$177.31,661053,$178.07,$178.88,$176.59
05/28/2024,$179.56,757865,$182.79,$182.97,$178.66
05/24/2024,$183.00,550430,$181.51,$183.77,$180.52
05/23/2024,$182.60,590021,$185.00,$185.00,$181.83
05/22/2024,$183.76,440080,$182.87,$184.00,$182.51
05/21/2024,$182.67,496171,$183.60,$183.94,$182.16
05/20/2024,$184.00,667092,$183.92,$185.99,$183.385
05/17/2024,$184.22,1222430,$185.00,$185.00,$182.75
05/16/2024,$184.21,746039,$183.17,$185.14,$181.60
05/15/2024,$183.85,458677,$182.33,$184.485,$181.655
