Date,Close/Last,Volume,Open,High,Low
09/06/2024,$247.92,594450,$252.12,$254.86,$247.075
09/05/2024,$251.39,808040,$254.92,$255.13,$250.15
09/04/2024,$255.67,684191,$255.91,$257.67,$253.65
09/03/2024,$257.60,1250049,$270.89,$272.59,$255.76
08/30/2024,$275.13,682714,$271.91,$275.665,$270.465
08/29/2024,$271.05,593377,$269.00,$276.32,$266.47
08/28/2024,$267.50,649910,$270.36,$271.47,$266.96
08/27/2024,$270.36,448646,$269.86,$272.04,$266.00
08/26/2024,$271.01,391834,$273.28,$276.31,$270.37
08/23/2024,$273.17,504110,$269.54,$274.41,$266.925
08/22/2024,$267.80,534296,$269.66,$271.00,$265.88
08/21/2024,$269.36,900479,$266.63,$272.54,$265.27
08/20/2024,$266.86,456499,$268.06,$269.53,$264.23
08/19/2024,$268.10,514427,$265.94,$268.33,$262.90
08/16/2024,$265.89,544061,$267.92,$269.99,$263.63
08/15/2024,$267.94,584584,$266.91,$270.67,$265.20
08/14/2024,$263.47,776458,$263.04,$264.37,$260.24
08/13/2024,$262.00,699424,$262.73,$264.23,$256.38
08/12/2024,$260.04,652174,$260.84,$262.56,$257.55
08/09/2024,$259.62,802331,$262.85,$265.00,$256.42
08/08/2024,$262.80,1195401,$253.49,$263.27,$249.365
08/07/2024,$248.50,1349476,$254.96,$257.32,$248.05
08/06/2024,$248.03,1035523,$243.02,$252.25,$240.01
08/05/2024,$239.58,1641915,$230.00,$242.57,$227.11
08/02/2024,$240.92,1787626,$247.68,$248.42,$240.04
08/01/2024,$254.88,1718114,$261.01,$266.10,$249.85
07/31/2024,$265.38,1427007,$259.90,$270.79,$258.05
07/30/2024,$251.60,908939,$257.00,$261.24,$249.81
07/29/2024,$256.22,722802,$257.60,$261.6299,$254.16
07/26/2024,$256.73,642343,$254.35,$259.15,$253.745
07/25/2024,$248.81,1074741,$253.50,$254.44,$246.175
07/24/2024,$251.92,841954,$261.11,$262.2058,$250.74
07/23/2024,$264.46,958276,$267.50,$270.20,$262.85
07/22/2024,$267.71,796929,$261.94,$267.81,$260.91
07/19/2024,$258.56,1122240,$266.83,$266.83,$257.25
07/18/2024,$264.71,2218206,$262.92,$265.6299,$255.00
07/17/2024,$244.94,1764792,$256.78,$259.27,$244.21
07/16/2024,$259.37,1317171,$259.58,$261.92,$253.28
07/15/2024,$257.24,1263457,$266.78,$266.905,$256.87
07/12/2024,$268.81,751393,$267.59,$271.38,$265.00
07/11/2024,$264.14,838457,$260.55,$265.2599,$260.55
07/10/2024,$257.87,562239,$254.79,$258.33,$251.92
07/09/2024,$254.79,648474,$254.66,$256.98,$254.00
07/08/2024,$254.66,553468,$254.21,$256.9899,$252.6483
07/05/2024,$252.53,637919,$253.63,$254.79,$248.68
07/03/2024,$254.60,601443,$249.03,$255.09,$248.03
07/02/2024,$247.78,1011657,$247.61,$249.6999,$245.17
07/01/2024,$247.61,1352078,$255.96,$256.28,$246.15
06/28/2024,$254.09,2163579,$266.39,$267.63,$251.57
06/27/2024,$267.06,652553,$267.48,$267.935,$264.86
06/26/2024,$266.57,948100,$270.93,$271.175,$264.80
06/25/2024,$272.97,701980,$273.36,$273.61,$268.75
06/24/2024,$274.23,826946,$273.65,$277.07,$271.00
06/21/2024,$274.00,1388326,$273.09,$274.505,$266.1101
06/20/2024,$273.97,948169,$281.20,$282.97,$272.06
06/18/2024,$281.20,740007,$276.58,$282.68,$276.36
06/17/2024,$276.58,642688,$272.90,$278.82,$272.12
06/14/2024,$273.29,762135,$273.63,$274.615,$269.1101
06/13/2024,$276.70,481700,$276.24,$278.00,$273.01
06/12/2024,$276.79,683122,$275.53,$281.60,$275.04
06/11/2024,$271.56,667674,$270.23,$272.00,$267.01
06/10/2024,$271.57,594532,$269.00,$272.30,$267.00
06/07/2024,$269.32,502372,$266.98,$271.08,$265.42
06/06/2024,$267.28,809237,$275.67,$278.42,$266.5457
06/05/2024,$275.93,772455,$270.45,$276.47,$270.12
06/04/2024,$270.02,1258844,$270.99,$271.97,$265.40
06/03/2024,$271.97,1046613,$278.27,$279.40,$265.02
05/31/2024,$275.94,1867899,$281.10,$284.315,$269.61
05/30/2024,$279.76,632060,$278.13,$281.37,$277.009
05/29/2024,$277.97,877550,$276.25,$281.80,$276.25
05/28/2024,$279.64,1251315,$286.87,$286.87,$278.74
05/24/2024,$283.43,1165810,$278.00,$285.97,$278.00
05/23/2024,$276.55,2084216,$275.79,$281.08,$273.118
05/22/2024,$271.10,588444,$272.96,$274.13,$268.45
05/21/2024,$272.05,751227,$266.28,$272.68,$266.28
05/20/2024,$267.66,657249,$264.40,$268.57,$264.40
05/17/2024,$264.40,795648,$266.84,$266.84,$262.73
05/16/2024,$263.82,701969,$269.72,$271.16,$263.74
05/15/2024,$270.79,803195,$265.51,$271.54,$265.50
05/14/2024,$263.36,1041883,$266.18,$268.12,$260.15
05/13/2024,$265.43,743476,$272.00,$273.00,$265.15
05/10/2024,$271.48,949873,$272.54,$272.87,$267.805
05/09/2024,$270.17,1013320,$266.43,$271.91,$264.99
05/08/2024,$264.98,977864,$265.84,$266.99,$263.88
05/07/2024,$266.88,1116727,$270.62,$271.965,$266.81
05/06/2024,$269.50,1382064,$259.86,$270.4199,$259.4717
05/03/2024,$256.33,970817,$257.46,$257.8658,$251.29
05/02/2024,$255.00,1442824,$245.00,$257.81,$245.00
05/01/2024,$256.01,1184277,$258.00,$260.74,$252.91
04/30/2024,$258.56,1066683,$260.90,$264.89,$257.635
04/29/2024,$262.34,884687,$263.97,$265.71,$261.33
04/26/2024,$261.66,1180022,$256.33,$262.91,$255.20
04/25/2024,$255.19,604248,$251.28,$256.26,$247.74
04/24/2024,$253.18,1027751,$253.85,$259.41,$251.625
04/23/2024,$251.95,816974,$248.12,$252.535,$246.3001
04/22/2024,$245.56,739984,$246.03,$248.49,$243.60
04/19/2024,$243.26,1134686,$246.66,$248.2067,$242.61
04/18/2024,$245.68,1114463,$246.92,$251.61,$244.47
04/17/2024,$245.96,911892,$249.07,$250.255,$243.015
04/16/2024,$248.69,756348,$247.75,$250.08,$245.30
04/15/2024,$248.89,794727,$258.71,$259.71,$248.27
04/12/2024,$254.69,632500,$255.99,$257.87,$252.94
04/11/2024,$258.00,617560,$254.19,$258.2307,$251.95
04/10/2024,$254.30,749914,$250.65,$257.04,$249.31
04/09/2024,$256.40,1026894,$263.19,$263.52,$253.645
04/08/2024,$262.26,534701,$263.95,$264.39,$260.73
04/05/2024,$263.20,652214,$259.49,$265.00,$259.49
04/04/2024,$258.29,969143,$264.95,$265.82,$256.88
04/03/2024,$262.29,862279,$255.28,$263.11,$255.28
04/02/2024,$256.10,917031,$256.93,$256.93,$252.69
04/01/2024,$259.26,810032,$259.86,$260.37,$257.03
03/28/2024,$259.80,745698,$259.69,$261.34,$259.06
03/27/2024,$259.75,626475,$261.94,$262.01,$258.395
03/26/2024,$259.18,1093193,$257.04,$260.60,$256.01
03/25/2024,$255.54,693136,$255.50,$256.51,$253.15
03/22/2024,$255.92,910530,$256.59,$257.52,$255.2148
03/21/2024,$256.30,973941,$252.25,$256.45,$251.14
03/20/2024,$249.51,822416,$246.00,$250.38,$245.665
03/19/2024,$246.39,583485,$243.36,$246.695,$242.605
03/18/2024,$243.81,527656,$245.00,$246.955,$242.68
03/15/2024,$242.75,1008023,$240.07,$243.99,$240.07
03/14/2024,$242.36,714866,$244.34,$245.4275,$239.815
03/13/2024,$241.83,484657,$241.50,$243.03,$240.51
03/12/2024,$241.77,777195,$239.61,$242.51,$237.82
03/11/2024,$239.14,843186,$240.78,$242.1407,$236.57
03/08/2024,$242.06,801959,$243.51,$245.175,$240.51
03/07/2024,$244.32,851775,$243.50,$245.42,$242.49
03/06/2024,$241.80,688012,$240.97,$243.58,$240.57
03/05/2024,$239.71,1123005,$241.81,$243.95,$239.14
03/04/2024,$243.34,806283,$242.27,$245.405,$240.56
03/01/2024,$240.89,845969,$239.92,$242.54,$238.98
02/29/2024,$241.51,1712693,$239.81,$242.15,$236.85
02/28/2024,$238.63,722997,$239.91,$239.91,$236.51
02/27/2024,$239.57,1200329,$239.02,$241.0725,$236.19
02/26/2024,$235.64,1315702,$234.38,$239.00,$233.22
02/23/2024,$234.39,1515278,$235.51,$237.31,$230.72
02/22/2024,$232.93,2317100,$222.20,$235.99,$221.07
02/21/2024,$211.22,1116118,$207.87,$212.065,$206.58
02/20/2024,$209.20,968955,$208.48,$209.36,$206.61
02/16/2024,$211.44,712528,$214.04,$214.12,$211.01
02/15/2024,$214.06,684531,$213.91,$214.485,$210.745
02/14/2024,$212.64,943473,$208.84,$212.95,$207.95
02/13/2024,$206.84,725198,$207.67,$209.00,$205.82
02/12/2024,$211.60,724054,$209.37,$212.115,$209.37
02/09/2024,$210.11,684242,$208.00,$211.00,$206.425
02/08/2024,$207.77,751536,$208.83,$211.775,$207.07
02/07/2024,$208.90,1020298,$207.59,$210.94,$206.20
02/06/2024,$206.11,1010108,$202.14,$206.29,$200.23
02/05/2024,$202.19,924075,$202.39,$204.07,$200.51
02/02/2024,$204.50,1131740,$198.73,$206.09,$197.46
02/01/2024,$200.26,1134516,$195.64,$201.37,$195.575
01/31/2024,$194.05,1195087,$197.46,$197.705,$193.52
01/30/2024,$197.25,1297291,$196.21,$197.5724,$194.48
01/29/2024,$197.06,1013751,$196.00,$197.6299,$194.90
01/26/2024,$196.30,870497,$198.40,$198.65,$194.42
01/25/2024,$197.99,1067545,$195.69,$198.67,$193.50
01/24/2024,$193.28,1200177,$196.28,$196.89,$192.62
01/23/2024,$195.56,3326326,$204.46,$204.46,$187.27
01/22/2024,$203.46,668426,$203.23,$204.514,$202.21
01/19/2024,$202.43,617912,$203.00,$203.43,$199.41
01/18/2024,$201.91,455500,$201.27,$203.5035,$200.06
01/17/2024,$200.16,400928,$199.06,$201.02,$198.9801
01/16/2024,$201.37,589926,$200.95,$202.26,$200.30
01/12/2024,$202.46,525401,$203.67,$203.67,$201.555
01/11/2024,$202.47,743287,$203.93,$204.085,$200.66
01/10/2024,$203.64,696465,$203.77,$204.33,$200.14
01/09/2024,$204.10,597263,$203.62,$204.41,$201.3592
01/08/2024,$205.57,1071324,$199.08,$205.96,$198.04
01/05/2024,$199.08,722014,$199.47,$201.3244,$198.125
01/04/2024,$200.07,1271697,$200.94,$202.84,$199.74
01/03/2024,$201.74,1354574,$204.04,$205.57,$201.43
01/02/2024,$209.27,1068804,$213.59,$214.83,$208.265
12/29/2023,$215.80,457112,$215.69,$216.8749,$214.54
12/28/2023,$216.47,474190,$217.00,$217.25,$215.35
12/27/2023,$215.95,454145,$215.14,$216.03,$214.51
12/26/2023,$214.66,395145,$214.30,$215.48,$214.08
12/22/2023,$214.04,766940,$213.62,$214.16,$210.937
12/21/2023,$212.45,1014871,$214.12,$215.73,$211.13
12/20/2023,$212.90,1441961,$216.61,$219.17,$212.74
12/19/2023,$217.71,1537118,$216.02,$218.50,$215.00
12/18/2023,$215.00,893600,$215.16,$216.10,$213.96
12/15/2023,$215.02,1792689,$215.47,$216.96,$212.99
12/14/2023,$215.80,1496843,$212.37,$217.2499,$212.29
12/13/2023,$210.28,1481084,$205.32,$211.5552,$205.32
12/12/2023,$205.27,1050588,$201.79,$206.58,$201.50
12/11/2023,$201.76,962688,$199.25,$201.77,$199.13
12/08/2023,$199.25,1477662,$195.00,$199.59,$194.72
12/07/2023,$194.38,1266282,$191.81,$194.745,$191.81
12/06/2023,$191.85,1007286,$191.14,$193.155,$190.18
12/05/2023,$189.43,896458,$189.15,$190.92,$187.1573
12/04/2023,$189.64,686442,$189.17,$190.63,$188.33
12/01/2023,$190.55,1012912,$187.81,$192.875,$186.58
11/30/2023,$188.31,1889933,$187.09,$188.78,$186.175
11/29/2023,$185.61,1580600,$183.02,$186.43,$182.635
11/28/2023,$181.34,1185342,$185.43,$186.43,$180.97
11/27/2023,$185.71,1191145,$182.13,$185.88,$181.45
11/24/2023,$182.58,329322,$183.65,$184.285,$182.00
11/22/2023,$183.81,789566,$183.51,$184.485,$182.21
11/21/2023,$183.36,733487,$183.82,$184.95,$183.07
11/20/2023,$184.13,806381,$183.21,$185.05,$181.77
11/17/2023,$183.11,633921,$184.28,$185.20,$182.205
11/16/2023,$183.30,846466,$183.19,$185.48,$182.20
11/15/2023,$183.72,1517938,$184.14,$187.30,$183.60
11/14/2023,$182.85,1520776,$180.00,$184.78,$179.57
11/13/2023,$176.24,1273853,$174.03,$177.54,$173.615
11/10/2023,$174.07,1406032,$171.31,$174.47,$169.71
11/09/2023,$169.57,1670645,$171.72,$174.99,$168.095
11/08/2023,$169.76,1801913,$170.18,$171.02,$167.116
11/07/2023,$165.08,1093746,$167.02,$167.51,$163.935
11/06/2023,$168.46,1114444,$169.05,$169.27,$165.37
11/03/2023,$169.18,1758331,$176.54,$177.9999,$167.355
11/02/2023,$175.08,3054511,$170.00,$175.25,$166.24
11/01/2023,$159.62,4261980,$164.06,$164.85,$153.74
10/31/2023,$167.12,1573542,$164.83,$167.68,$164.05
