Date,Close/Last,Volume,Open,High,Low
09/06/2024,$104.35,1745872,$107.67,$108.20,$103.4675
09/05/2024,$108.08,921392,$107.58,$109.78,$106.99
09/04/2024,$108.85,955621,$107.64,$110.725,$107.10
09/03/2024,$108.11,1824821,$113.84,$113.88,$107.32
08/30/2024,$115.89,1760272,$116.27,$116.77,$114.03
08/29/2024,$113.87,1451646,$112.64,$117.90,$112.64
08/28/2024,$112.26,818258,$113.02,$113.92,$110.721
08/27/2024,$113.67,881121,$112.02,$114.335,$111.36
08/26/2024,$112.39,1012180,$115.20,$115.2463,$111.59
08/23/2024,$115.52,1271114,$112.08,$115.95,$111.31
08/22/2024,$110.43,985809,$113.21,$113.56,$109.47
08/21/2024,$112.92,698018,$111.80,$113.49,$111.59
08/20/2024,$111.23,911055,$112.51,$113.00,$110.69
08/19/2024,$112.34,1217460,$110.66,$112.43,$109.69
08/16/2024,$111.18,921645,$111.00,$112.52,$110.70
08/15/2024,$112.38,1651578,$109.73,$113.00,$109.64
08/14/2024,$108.52,988032,$111.08,$111.55,$108.10
08/13/2024,$111.01,1300537,$108.09,$111.10,$107.53
08/12/2024,$107.28,963689,$106.72,$109.02,$106.225
08/09/2024,$106.20,854451,$104.94,$107.36,$104.89
08/08/2024,$107.08,1653346,$103.77,$107.88,$101.64
08/07/2024,$100.60,1310617,$105.99,$106.83,$100.03
08/06/2024,$103.02,1300455,$104.94,$106.465,$102.92
08/05/2024,$104.61,1885099,$103.58,$106.91,$102.13
08/02/2024,$107.93,2386253,$108.55,$110.54,$107.26
08/01/2024,$110.65,2676729,$118.04,$119.0834,$109.21
07/31/2024,$119.80,3835280,$121.50,$121.94,$111.79
07/30/2024,$119.46,2788730,$122.66,$123.41,$118.64
07/29/2024,$122.47,1185389,$122.62,$124.87,$122.31
07/26/2024,$122.01,1099466,$121.62,$123.66,$120.375
07/25/2024,$118.67,1704879,$119.71,$122.79,$118.21
07/24/2024,$120.04,1682626,$124.26,$125.24,$119.845
07/23/2024,$125.14,865742,$124.31,$125.30,$123.98
07/22/2024,$125.49,1145832,$124.88,$125.88,$122.76
07/19/2024,$121.80,1178199,$124.36,$124.39,$121.12
