Date,Close/Last,Volume,Open,High,Low
09/06/2024,$156.55,1747229,$159.20,$161.39,$155.20
09/05/2024,$158.02,1167696,$158.65,$161.61,$157.61
09/04/2024,$158.77,1299688,$159.00,$160.8766,$157.35
09/03/2024,$159.65,2209283,$162.39,$163.74,$158.72
08/30/2024,$164.62,2604784,$168.20,$168.92,$161.10
08/29/2024,$166.84,974403,$168.71,$169.06,$166.46
08/28/2024,$166.94,1409019,$166.65,$168.11,$165.19
08/27/2024,$169.02,2078254,$162.00,$169.47,$161.17
08/26/2024,$162.05,1192983,$163.09,$163.09,$161.43
08/23/2024,$163.08,1794756,$158.49,$163.47,$158.00
08/22/2024,$157.89,1405949,$158.97,$159.41,$156.51
08/21/2024,$158.12,2178246,$159.43,$159.75,$156.21
08/20/2024,$158.84,2012605,$160.80,$161.25,$157.61
08/19/2024,$161.43,1654120,$158.40,$161.82,$157.80
08/16/2024,$157.80,1637377,$159.93,$160.16,$157.49
08/15/2024,$160.26,2303171,$155.46,$160.605,$154.29
08/14/2024,$152.71,1719972,$154.69,$155.90,$150.33
08/13/2024,$154.58,1647997,$155.01,$155.509,$151.85
08/12/2024,$153.86,2958579,$155.75,$157.98,$153.4009
08/09/2024,$155.75,3638727,$155.53,$159.08,$155.02
08/08/2024,$155.90,3313338,$149.70,$156.17,$149.50
08/07/2024,$147.53,4281039,$152.80,$155.90,$147.0501
08/06/2024,$150.26,5832914,$145.90,$153.70,$145.585
08/05/2024,$139.77,4038440,$132.73,$140.15,$130.08
08/02/2024,$138.85,4926693,$143.50,$143.715,$136.8308
08/01/2024,$148.09,4464092,$157.81,$157.93,$145.50
07/31/2024,$156.72,3728068,$159.28,$161.86,$155.67
07/30/2024,$156.94,2431080,$156.24,$157.87,$155.06
07/29/2024,$155.14,2939108,$154.80,$156.47,$151.66
07/26/2024,$153.56,3435885,$154.65,$156.65,$152.05
07/25/2024,$152.02,6499228,$163.50,$163.745,$151.93
07/24/2024,$164.51,2383509,$169.59,$171.00,$163.87
07/23/2024,$170.73,2160133,$168.24,$173.37,$168.13
07/22/2024,$168.53,2016345,$167.24,$169.52,$165.5001
07/19/2024,$168.29,1505646,$165.97,$169.00,$165.93
07/18/2024,$164.19,1651581,$165.70,$166.85,$163.06
07/17/2024,$164.46,2627339,$170.10,$170.34,$164.46
07/16/2024,$172.08,1893748,$168.10,$172.6399,$168.09
07/15/2024,$167.72,1744937,$167.00,$167.92,$164.21
07/12/2024,$166.40,2062621,$164.00,$166.66,$163.95
07/11/2024,$163.18,2993747,$161.00,$163.23,$157.79
07/10/2024,$162.68,1930216,$164.00,$164.68,$160.47
07/09/2024,$163.13,1930540,$160.00,$163.665,$159.96
07/08/2024,$160.83,2247594,$157.88,$162.93,$157.60
07/05/2024,$156.78,1235535,$156.00,$157.05,$154.47
07/03/2024,$155.38,1442431,$156.50,$156.74,$154.8786
07/02/2024,$156.61,1384022,$156.07,$157.72,$154.935
07/01/2024,$156.47,1915826,$159.75,$160.00,$154.52
06/28/2024,$159.43,2830399,$160.50,$162.50,$158.90
06/27/2024,$160.21,1417260,$161.62,$161.69,$158.4918
06/26/2024,$161.40,2391288,$160.00,$161.57,$158.86
06/25/2024,$160.73,3758608,$156.11,$161.68,$154.01
06/24/2024,$154.52,2174599,$152.79,$155.64,$150.77
06/21/2024,$151.12,2066752,$149.62,$151.20,$148.00
06/20/2024,$150.21,1341446,$150.87,$151.18,$148.87
06/18/2024,$151.48,1326731,$150.20,$151.53,$148.55
06/17/2024,$149.12,2348556,$147.32,$149.38,$144.55
06/14/2024,$148.50,3806958,$153.56,$153.7277,$146.0301
06/13/2024,$155.28,1197440,$156.65,$157.185,$153.53
06/12/2024,$157.48,1489862,$155.00,$157.58,$154.8822
06/11/2024,$153.19,1113908,$154.60,$154.93,$152.28
06/10/2024,$155.40,1187280,$153.53,$156.37,$153.53
06/07/2024,$154.57,996756,$154.15,$155.89,$153.63
06/06/2024,$154.55,1412749,$155.86,$156.8699,$153.17
06/05/2024,$156.33,1698166,$155.78,$156.93,$154.62
06/04/2024,$155.16,2601994,$150.46,$155.83,$150.345
06/03/2024,$150.97,1850835,$148.25,$151.16,$146.67
05/31/2024,$147.68,3423108,$147.87,$148.81,$143.95
05/30/2024,$147.49,1392477,$147.92,$149.00,$146.67
05/29/2024,$147.96,1455352,$148.36,$148.59,$146.45
05/28/2024,$150.13,1771578,$148.58,$150.33,$147.80
05/24/2024,$148.43,1870512,$147.00,$149.59,$147.00
05/23/2024,$146.31,2464379,$147.82,$148.86,$145.16
05/22/2024,$147.37,2191230,$150.27,$150.8583,$146.57
05/21/2024,$150.75,2470112,$146.86,$150.83,$146.37
05/20/2024,$147.70,3493745,$143.30,$150.90,$143.30
05/17/2024,$141.92,1286606,$143.16,$143.9458,$141.325
05/16/2024,$142.86,2658620,$141.00,$144.339,$140.41
05/15/2024,$140.64,1782922,$141.59,$141.59,$139.20
05/14/2024,$140.80,5311690,$142.03,$142.03,$140.09
05/13/2024,$140.84,1221005,$142.00,$142.80,$140.725
05/10/2024,$141.04,1154438,$143.00,$143.00,$140.43
05/09/2024,$141.74,1195870,$140.95,$142.39,$140.36
05/08/2024,$141.68,1287917,$140.18,$141.73,$140.0342
05/07/2024,$141.59,1656983,$142.71,$143.93,$141.55
05/06/2024,$143.25,2586680,$139.59,$143.29,$139.40
05/03/2024,$138.21,2091140,$138.68,$140.94,$137.99
05/02/2024,$137.38,2378379,$139.11,$139.25,$136.32
05/01/2024,$137.52,4288929,$138.50,$139.35,$134.72
04/30/2024,$139.63,2947302,$142.34,$142.34,$139.46
04/29/2024,$143.36,2664933,$141.00,$143.6167,$139.07
04/26/2024,$140.59,2759875,$139.26,$140.77,$138.25
04/25/2024,$137.47,5711330,$139.25,$140.94,$136.63
04/24/2024,$136.73,3002612,$136.71,$138.13,$136.25
04/23/2024,$136.67,2649883,$132.56,$137.55,$132.415
04/22/2024,$131.99,3315231,$129.98,$133.95,$129.535
04/19/2024,$129.21,2965320,$128.00,$129.72,$127.20
04/18/2024,$127.64,1981183,$128.43,$130.615,$127.10
04/17/2024,$127.97,2296321,$129.50,$130.17,$126.65
04/16/2024,$126.60,3058198,$125.65,$128.32,$125.0603
04/15/2024,$127.17,3353088,$130.97,$132.41,$126.26
04/12/2024,$127.67,3868021,$131.38,$131.43,$126.33
04/11/2024,$133.75,3514271,$130.89,$133.775,$130.14
04/10/2024,$130.90,2178612,$131.65,$133.57,$130.1437
04/09/2024,$133.18,3917081,$137.64,$138.1206,$129.69
04/08/2024,$138.29,1596350,$137.12,$139.50,$136.52
04/05/2024,$136.02,1917139,$137.00,$137.16,$134.56
04/04/2024,$135.04,4200150,$139.95,$141.70,$134.69
04/03/2024,$138.49,1687267,$137.20,$139.31,$136.92
04/02/2024,$137.45,5241287,$138.10,$138.10,$135.3301
04/01/2024,$140.56,2214559,$140.11,$140.58,$138.50
03/28/2024,$139.01,2770183,$139.67,$140.28,$136.98
03/27/2024,$139.72,2821860,$136.70,$141.62,$135.51
03/26/2024,$136.87,2072983,$136.80,$137.88,$135.92
03/25/2024,$136.27,2406982,$136.82,$138.31,$135.95
03/22/2024,$136.02,1563669,$135.48,$136.34,$135.20
03/21/2024,$135.79,2654774,$136.79,$137.44,$134.75
03/20/2024,$135.53,3017934,$129.41,$135.55,$128.99
03/19/2024,$129.41,1689736,$128.25,$129.60,$127.23
03/18/2024,$128.26,2786732,$129.76,$131.24,$128.17
03/15/2024,$128.92,2953072,$128.75,$130.605,$128.265
03/14/2024,$128.71,2406019,$132.20,$132.55,$128.605
03/13/2024,$132.11,3621556,$130.11,$133.09,$130.00
03/12/2024,$129.74,2493450,$128.74,$129.76,$127.19
03/11/2024,$127.80,2011449,$126.86,$128.41,$126.065
03/08/2024,$127.47,2451583,$125.39,$128.32,$125.3326
03/07/2024,$124.35,2351266,$128.32,$129.32,$124.24
03/06/2024,$127.00,1702251,$128.00,$128.92,$126.25
03/05/2024,$126.10,2025767,$124.48,$126.955,$124.30
03/04/2024,$125.30,1973173,$125.46,$127.22,$125.13
03/01/2024,$124.26,2622585,$123.25,$126.47,$122.50
02/29/2024,$123.35,2845019,$122.55,$123.44,$121.585
02/28/2024,$122.09,1957568,$121.52,$123.30,$121.18
02/27/2024,$123.25,3468397,$124.55,$126.685,$122.46
02/26/2024,$119.57,2612776,$122.82,$123.025,$119.48
02/23/2024,$121.91,2583812,$121.22,$123.36,$120.6024
02/22/2024,$122.56,6059800,$123.65,$124.92,$121.225
02/21/2024,$114.90,1587807,$114.51,$115.58,$113.56
02/20/2024,$115.14,2265020,$115.71,$115.859,$113.10
02/16/2024,$116.09,2080032,$116.92,$117.56,$115.72
02/15/2024,$117.81,2223486,$118.06,$120.15,$117.51
02/14/2024,$116.63,2598656,$117.62,$118.23,$114.495
02/13/2024,$116.57,3045595,$115.17,$117.81,$114.49
02/12/2024,$117.02,3140843,$116.64,$119.0831,$116.61
02/09/2024,$116.97,4447216,$120.84,$121.00,$115.58
02/08/2024,$120.97,3149584,$120.24,$123.005,$118.87
02/07/2024,$119.43,3007775,$121.02,$121.48,$119.38
02/06/2024,$120.57,2963947,$121.22,$122.21,$119.56
02/05/2024,$121.21,3007509,$121.90,$123.80,$120.27
02/02/2024,$123.44,5004281,$126.21,$126.2472,$120.301
02/01/2024,$126.96,7838002,$130.25,$133.77,$122.30
01/31/2024,$127.50,3840756,$125.82,$129.12,$124.55
01/30/2024,$126.36,2317501,$128.00,$129.48,$125.815
01/29/2024,$127.39,2587158,$123.63,$127.57,$123.58
01/26/2024,$123.46,2857925,$127.28,$127.535,$123.05
01/25/2024,$127.71,1909181,$126.59,$127.75,$125.81
01/24/2024,$125.49,1485959,$127.22,$127.23,$124.93
01/23/2024,$125.20,2306351,$126.09,$128.10,$124.821
01/22/2024,$126.74,2197525,$127.74,$128.265,$125.92
01/19/2024,$127.00,2394412,$126.01,$127.00,$123.86
01/18/2024,$125.28,2867954,$123.79,$126.61,$122.5605
01/17/2024,$122.42,1653293,$120.97,$123.61,$120.70
01/16/2024,$122.80,1888654,$119.93,$123.69,$119.27
01/12/2024,$121.21,1572801,$123.03,$123.31,$119.765
01/11/2024,$123.42,1329227,$123.55,$123.61,$121.29
01/10/2024,$123.60,1440663,$122.75,$124.8245,$122.28
01/09/2024,$123.57,1347623,$122.55,$124.21,$122.35
01/08/2024,$124.12,2146706,$123.85,$124.74,$122.10
01/05/2024,$122.65,2773900,$118.56,$123.11,$118.50
01/04/2024,$119.00,2737373,$118.01,$121.145,$117.63
01/03/2024,$117.45,3638454,$117.60,$119.18,$115.96
01/02/2024,$120.14,4642466,$127.26,$127.42,$118.96
12/29/2023,$129.49,2006268,$129.66,$130.97,$129.18
12/28/2023,$129.97,1527203,$129.95,$130.80,$128.81
12/27/2023,$129.92,1701303,$129.00,$129.95,$128.10
12/26/2023,$128.98,2039701,$127.70,$129.03,$126.81
12/22/2023,$128.21,1856275,$127.16,$128.95,$126.8078
12/21/2023,$127.12,3089749,$123.00,$127.20,$123.00
12/20/2023,$120.81,1858010,$123.20,$124.31,$120.76
12/19/2023,$123.88,2999490,$121.33,$124.23,$121.03
12/18/2023,$121.10,2210373,$122.68,$122.74,$121.08
12/15/2023,$122.52,4568063,$120.85,$123.72,$120.70
12/14/2023,$121.39,3363537,$121.00,$123.25,$120.54
12/13/2023,$120.47,3285583,$120.30,$120.795,$118.46
12/12/2023,$120.30,2227220,$120.50,$120.96,$119.56
12/11/2023,$120.41,1978993,$120.23,$120.775,$119.2203
12/08/2023,$120.47,2650598,$119.30,$120.58,$118.8479
12/07/2023,$119.49,2329054,$118.17,$119.83,$117.965
12/06/2023,$118.17,3987855,$115.00,$119.05,$114.99
12/05/2023,$114.29,2137473,$113.12,$114.34,$112.66
12/04/2023,$114.21,4200875,$110.75,$114.43,$110.66
12/01/2023,$110.73,2783349,$107.48,$110.74,$107.10
11/30/2023,$107.46,3220499,$106.51,$107.93,$106.12
11/29/2023,$105.91,2611308,$106.63,$108.75,$105.365
11/28/2023,$105.69,3011326,$106.28,$107.305,$105.56
11/27/2023,$106.43,2369113,$104.14,$107.13,$103.99
11/24/2023,$104.45,969657,$104.27,$105.02,$103.6064
11/22/2023,$104.96,2532821,$106.56,$107.76,$104.63
11/21/2023,$104.83,2626832,$104.63,$105.02,$102.77
11/20/2023,$105.81,1769416,$105.42,$106.28,$104.68
11/17/2023,$105.54,2731092,$104.285,$105.65,$103.70
11/16/2023,$103.69,3124695,$101.77,$103.80,$101.04
11/15/2023,$102.10,3286946,$103.37,$103.97,$101.00
11/14/2023,$102.81,3618586,$100.76,$103.2423,$100.50
11/13/2023,$97.81,3907438,$94.04,$98.68,$93.80
11/10/2023,$94.91,1607210,$92.97,$95.07,$92.55
11/09/2023,$92.60,2604352,$95.50,$96.36,$92.15
11/08/2023,$95.42,3787544,$93.45,$96.67,$93.14
11/07/2023,$92.96,2189832,$90.32,$93.06,$90.00
11/06/2023,$90.44,2298231,$92.37,$93.00,$89.745
11/03/2023,$92.36,3884253,$90.08,$92.77,$90.08
11/02/2023,$88.32,3182436,$86.93,$89.15,$86.75
11/01/2023,$85.27,3712700,$84.75,$85.785,$84.01
10/31/2023,$84.73,3394167,$86.06,$86.24,$83.25
10/30/2023,$85.86,4435670,$83.66,$86.15,$83.56
10/27/2023,$82.81,5109486,$84.17,$85.29,$82.29
10/26/2023,$82.88,9953753,$83.89,$85.50,$78.35
10/25/2023,$82.22,5235241,$81.51,$82.50,$81.17
10/24/2023,$82.48,3259382,$82.00,$83.30,$81.92
10/23/2023,$81.28,3863501,$80.19,$82.43,$79.385
10/20/2023,$80.04,4008890,$81.75,$82.31,$79.90
10/19/2023,$82.08,4056153,$82.85,$83.84,$81.9664
10/18/2023,$82.83,4635641,$85.65,$85.875,$82.74
10/17/2023,$86.50,2335583,$86.50,$88.0799,$85.77
10/16/2023,$86.70,2011647,$86.68,$87.98,$86.57
10/13/2023,$86.11,3203866,$88.10,$88.87,$85.32
10/12/2023,$88.87,2326606,$89.41,$90.27,$87.59
10/11/2023,$89.20,1759944,$89.33,$90.52,$87.855
10/10/2023,$89.33,2351949,$88.98,$91.26,$88.90
10/09/2023,$88.23,3089292,$88.00,$88.73,$86.42
10/06/2023,$90.88,2186045,$88.09,$91.66,$87.8401
10/05/2023,$88.77,2761984,$89.82,$90.7201,$88.66
10/04/2023,$89.36,3436061,$87.16,$89.55,$87.16
10/03/2023,$86.78,5288940,$90.51,$90.945,$86.19
10/02/2023,$91.70,2685549,$91.75,$93.22,$91.1238
09/29/2023,$92.14,3992248,$93.81,$95.9556,$91.15
09/28/2023,$94.13,2889202,$91.47,$94.7689,$91.38
09/27/2023,$91.96,2247964,$91.07,$92.4237,$90.2035
09/26/2023,$90.46,2407157,$90.00,$91.68,$89.8656
09/25/2023,$90.97,3065776,$90.45,$92.29,$89.56
09/22/2023,$91.24,3586001,$95.30,$95.30,$91.04
09/21/2023,$94.32,2314538,$95.00,$95.44,$93.58
09/20/2023,$96.21,1506065,$98.67,$98.9799,$96.21
09/19/2023,$98.32,2991799,$98.23,$98.9799,$97.34
09/18/2023,$95.92,2523018,$96.67,$97.38,$95.89
09/15/2023,$97.42,5411616,$98.78,$99.435,$96.72
09/14/2023,$99.77,4112315,$98.20,$100.41,$97.97
09/13/2023,$97.35,3310559,$97.77,$98.66,$96.80
09/12/2023,$99.00,2646174,$97.23,$100.36,$97.08
09/11/2023,$97.66,2331630,$98.25,$98.355,$94.88
09/08/2023,$97.35,2783199,$97.15,$98.60,$95.91
09/07/2023,$97.18,3173104,$98.08,$98.33,$95.96
09/06/2023,$98.86,3085685,$97.70,$99.10,$96.3701
09/05/2023,$98.96,3053585,$97.71,$99.20,$94.561
09/01/2023,$97.70,1856593,$99.21,$99.75,$97.045
08/31/2023,$98.94,2025518,$98.92,$99.865,$98.40
08/30/2023,$98.94,1794483,$100.50,$101.00,$98.72
08/29/2023,$100.53,2478666,$98.30,$101.18,$96.90
08/28/2023,$98.32,1591131,$100.00,$100.525,$98.07
08/25/2023,$99.77,2328228,$98.90,$100.37,$98.18
08/24/2023,$99.05,2519848,$101.25,$101.80,$99.02
08/23/2023,$102.41,3176192,$99.43,$103.90,$98.78
08/22/2023,$99.36,2677718,$100.00,$100.21,$97.59
08/21/2023,$99.27,1784531,$99.95,$100.41,$97.775
08/18/2023,$99.20,2750760,$98.10,$100.44,$97.77
08/17/2023,$99.53,3103398,$101.77,$102.24,$99.50
08/16/2023,$101.18,2024552,$102.63,$104.28,$101.09
08/15/2023,$103.51,1931020,$103.72,$104.34,$102.905
08/14/2023,$103.75,1708841,$102.68,$103.76,$101.51
08/11/2023,$102.82,1751783,$102.48,$103.155,$101.261
08/10/2023,$103.57,1806640,$104.20,$104.86,$102.51
08/09/2023,$103.17,2086290,$105.93,$106.41,$103.07
08/08/2023,$106.15,1901138,$106.30,$106.74,$105.14
08/07/2023,$108.06,3198382,$104.70,$108.24,$104.485
08/04/2023,$103.92,2127590,$105.00,$105.75,$102.70
08/03/2023,$104.72,2450064,$104.60,$107.08,$104.15
08/02/2023,$105.20,4673882,$106.50,$107.10,$104.09
08/01/2023,$107.44,3249083,$107.06,$108.70,$105.56
07/31/2023,$109.11,3211147,$109.67,$110.30,$107.50
07/28/2023,$108.57,4046283,$111.00,$112.95,$108.18
07/27/2023,$109.68,12693210,$109.00,$112.08,$105.75
07/26/2023,$100.88,3450974,$102.24,$102.58,$99.51
07/25/2023,$101.62,2168250,$102.11,$102.4999,$100.96
07/24/2023,$102.93,3169188,$102.17,$102.94,$99.94
07/21/2023,$102.38,3436720,$102.07,$102.8699,$101.3238
07/20/2023,$101.11,3128172,$99.15,$102.26,$98.6424
07/19/2023,$99.41,2529391,$99.17,$99.48,$98.16
07/18/2023,$99.37,3081491,$98.97,$100.83,$98.16
07/17/2023,$98.76,2919752,$97.55,$99.90,$97.30
07/14/2023,$97.76,2846230,$99.36,$99.55,$97.38
07/13/2023,$99.27,3406075,$100.19,$100.90,$98.27
07/12/2023,$99.31,4127584,$102.24,$102.52,$99.19
07/11/2023,$101.28,2390634,$103.27,$103.41,$100.5201
07/10/2023,$103.20,2435594,$101.85,$103.47,$100.96
07/07/2023,$102.01,1990845,$101.93,$103.15,$101.36
07/06/2023,$101.77,3050319,$101.38,$102.32,$100.67
07/05/2023,$103.24,3015791,$102.70,$104.17,$102.05
07/03/2023,$103.20,1906737,$103.50,$103.9099,$102.26
06/30/2023,$103.74,3653177,$103.03,$104.75,$102.63
06/29/2023,$101.56,3409418,$103.39,$103.98,$101.49
06/28/2023,$103.13,4766132,$101.43,$105.21,$101.01
06/27/2023,$101.43,5630593,$98.22,$101.715,$97.91
06/26/2023,$97.24,5418224,$94.25,$98.14,$93.65
06/23/2023,$97.92,4872880,$96.62,$98.35,$96.28
06/22/2023,$97.41,4791775,$97.21,$97.69,$96.65
06/21/2023,$97.35,3021567,$96.19,$97.70,$95.22
06/20/2023,$96.60,2706668,$94.69,$96.74,$94.4974
06/16/2023,$95.30,3913738,$96.55,$96.67,$94.83
06/15/2023,$95.91,3584403,$93.25,$96.25,$92.60
06/14/2023,$94.72,4322655,$95.80,$96.095,$93.09
06/13/2023,$95.80,5862830,$94.00,$96.62,$93.08
