Date,Close/Last,Volume,Open,High,Low
09/06/2024,$202.82,1033364,$205.53,$207.00,$202.795
09/05/2024,$205.43,672113,$207.71,$207.80,$204.37
09/04/2024,$207.71,792112,$206.00,$207.89,$205.60
09/03/2024,$205.83,1122162,$208.20,$208.59,$204.84
08/30/2024,$208.21,885446,$205.91,$208.645,$205.79
08/29/2024,$205.94,1164721,$207.92,$208.69,$205.46
08/28/2024,$207.35,531641,$207.59,$208.31,$206.405
08/27/2024,$206.97,575049,$207.24,$207.92,$205.95
08/26/2024,$206.83,536838,$206.61,$208.62,$206.51
08/23/2024,$206.27,675609,$207.30,$208.00,$205.47
08/22/2024,$206.91,547720,$206.69,$207.76,$206.13
08/21/2024,$205.82,455811,$205.71,$205.90,$204.80
08/20/2024,$205.30,450297,$205.47,$205.56,$204.51
08/19/2024,$204.96,574399,$203.17,$205.00,$202.83
08/16/2024,$203.27,747952,$203.24,$203.80,$202.555
08/15/2024,$202.88,583864,$202.82,$203.28,$201.67
08/14/2024,$202.45,484626,$200.00,$202.64,$199.50
08/13/2024,$200.39,640102,$200.06,$200.58,$199.075
08/12/2024,$199.51,1051892,$201.11,$201.11,$198.77
08/09/2024,$201.22,901387,$201.38,$201.525,$197.62
08/08/2024,$201.49,1141095,$201.32,$202.2954,$200.39
08/07/2024,$201.56,2852792,$197.30,$203.209,$197.30
08/06/2024,$196.70,1268796,$195.69,$199.50,$195.36
08/05/2024,$195.15,1912648,$200.00,$201.64,$193.75
08/02/2024,$200.00,1634452,$197.97,$200.05,$196.28
08/01/2024,$197.54,1585401,$194.87,$197.55,$193.80
07/31/2024,$194.32,1478121,$192.82,$194.96,$192.64
07/30/2024,$192.36,1007807,$192.20,$194.68,$192.11
07/29/2024,$192.16,1299620,$191.86,$193.46,$190.50
07/26/2024,$190.30,1860641,$189.46,$192.00,$188.82
07/25/2024,$189.34,2370317,$201.92,$202.55,$189.27
07/24/2024,$199.67,1951985,$198.29,$200.69,$197.81
07/23/2024,$199.04,2081098,$204.17,$204.315,$198.24
07/22/2024,$205.08,590416,$204.06,$205.17,$203.07
07/19/2024,$203.46,1141994,$206.06,$206.06,$203.15
07/18/2024,$204.57,869124,$204.97,$206.54,$204.04
07/17/2024,$205.42,1017131,$204.59,$206.48,$204.015
07/16/2024,$204.18,953276,$201.72,$204.25,$201.23
07/15/2024,$201.19,1082176,$200.50,$201.55,$200.12
07/12/2024,$200.25,893809,$199.31,$201.34,$199.0583
07/11/2024,$198.70,1213780,$197.35,$199.37,$197.15
07/10/2024,$196.88,923204,$195.78,$197.0652,$194.83
07/09/2024,$195.32,577221,$195.00,$195.78,$194.0718
07/08/2024,$195.29,1362573,$195.15,$196.12,$194.92
07/05/2024,$194.89,2240903,$194.00,$195.11,$192.4304
07/03/2024,$193.54,713290,$193.52,$193.925,$192.675
07/02/2024,$193.16,1653366,$192.23,$193.57,$191.54
07/01/2024,$192.88,1427729,$194.82,$195.07,$192.10
06/28/2024,$194.34,4550519,$194.94,$195.81,$194.065
06/27/2024,$194.82,707405,$194.68,$195.37,$194.1545
06/26/2024,$194.09,1495780,$193.45,$194.92,$193.16
06/25/2024,$194.50,1129291,$194.80,$195.28,$193.89
06/24/2024,$194.66,770330,$192.575,$194.84,$192.04
06/21/2024,$191.85,1305927,$192.32,$192.32,$191.35
06/20/2024,$191.83,815111,$191.56,$192.3799,$190.66
06/18/2024,$191.85,771755,$191.59,$192.30,$190.71
06/17/2024,$191.69,1014373,$188.22,$192.1399,$188.14
06/14/2024,$188.64,653923,$186.64,$188.80,$186.01
06/13/2024,$187.43,701405,$187.18,$187.58,$185.11
06/12/2024,$187.27,781943,$186.15,$187.69,$185.07
06/11/2024,$186.65,770228,$187.18,$187.63,$185.69
06/10/2024,$187.72,585484,$186.88,$188.13,$186.61
06/07/2024,$186.95,883144,$187.46,$189.28,$186.63
06/06/2024,$187.07,871726,$188.31,$188.86,$185.99
06/05/2024,$188.07,1173397,$187.59,$188.41,$185.43
06/04/2024,$187.36,1428306,$185.26,$187.41,$184.50
06/03/2024,$185.32,1668717,$184.67,$186.05,$183.805
05/31/2024,$185.19,2388027,$181.94,$185.25,$181.51
05/30/2024,$182.07,1210001,$181.59,$182.79,$180.915
05/29/2024,$181.59,787180,$182.82,$182.82,$181.44
05/28/2024,$183.51,866689,$186.17,$186.17,$183.34
05/24/2024,$186.81,832829,$186.75,$186.99,$184.86
05/23/2024,$186.33,605306,$186.77,$187.13,$185.88
05/22/2024,$186.77,694557,$186.52,$187.00,$185.57
05/21/2024,$186.48,718681,$186.28,$186.8144,$185.79
05/20/2024,$185.98,908494,$187.93,$187.93,$185.70
05/17/2024,$188.16,711695,$188.01,$188.63,$186.36
05/16/2024,$187.70,907724,$187.50,$187.96,$186.31
05/15/2024,$186.97,670713,$187.10,$188.25,$186.535
05/14/2024,$187.34,804061,$188.22,$189.22,$187.23
05/13/2024,$188.23,839046,$189.11,$189.8259,$188.025
05/10/2024,$189.24,689898,$188.81,$189.88,$188.79
05/09/2024,$188.13,954226,$187.30,$188.26,$187.06
05/08/2024,$187.33,1489073,$188.58,$189.32,$187.15
05/07/2024,$188.56,1097651,$187.39,$188.67,$187.20
05/06/2024,$186.71,1185060,$186.14,$186.72,$185.43
05/03/2024,$185.51,1219295,$186.64,$187.80,$183.93
05/02/2024,$186.44,2025722,$187.25,$188.00,$185.66
05/01/2024,$186.00,3286470,$187.75,$187.75,$181.365
04/30/2024,$191.70,2047935,$193.46,$196.76,$191.57
04/29/2024,$193.41,1181282,$191.82,$193.62,$191.73
04/26/2024,$191.92,1893272,$193.42,$193.68,$191.58
04/25/2024,$193.56,1358445,$191.68,$193.82,$190.61
04/24/2024,$191.99,1135805,$190.46,$192.59,$190.15
04/23/2024,$190.61,1348401,$192.31,$192.99,$190.03
04/22/2024,$191.76,1262728,$190.59,$192.75,$190.22
04/19/2024,$189.76,1576417,$190.25,$190.67,$188.85
04/18/2024,$188.97,1586288,$189.08,$189.83,$188.175
04/17/2024,$188.95,1460680,$188.62,$189.15,$187.10
04/16/2024,$187.48,1479865,$188.45,$188.98,$186.96
04/15/2024,$187.24,961928,$189.41,$189.91,$186.74
04/12/2024,$187.82,1006400,$188.79,$189.35,$187.03
04/11/2024,$189.18,1260415,$189.06,$189.51,$187.78
04/10/2024,$189.69,1411961,$188.00,$190.14,$187.623
04/09/2024,$188.80,1175053,$188.97,$189.36,$187.50
04/08/2024,$188.52,1222049,$187.62,$189.26,$187.52
04/05/2024,$188.40,735631,$187.48,$188.48,$186.38
04/04/2024,$186.78,1605522,$190.18,$190.46,$186.43
04/03/2024,$189.24,1051484,$188.86,$189.64,$188.42
04/02/2024,$188.92,1171019,$189.64,$190.33,$188.92
04/01/2024,$189.83,1473420,$190.69,$190.86,$189.27
03/28/2024,$191.44,1187601,$191.88,$192.06,$191.02
03/27/2024,$191.52,1228289,$190.325,$191.57,$189.70
03/26/2024,$189.69,1316692,$189.73,$190.42,$189.33
03/25/2024,$189.73,1112074,$190.45,$190.60,$188.9975
03/22/2024,$190.51,1239190,$189.75,$190.72,$188.97
03/21/2024,$189.12,2009930,$187.98,$189.40,$187.30
03/20/2024,$187.80,1193090,$188.51,$188.66,$187.2823
03/19/2024,$188.15,1097229,$188.28,$188.48,$187.455
03/18/2024,$187.58,788609,$186.31,$188.16,$186.28
03/15/2024,$186.31,1790581,$184.42,$186.61,$184.39
03/14/2024,$186.33,880008,$186.54,$186.78,$184.42
03/13/2024,$185.89,795340,$185.67,$186.03,$184.23
03/12/2024,$185.44,974299,$184.10,$186.10,$183.88
03/11/2024,$184.27,1037644,$184.00,$184.53,$182.82
03/08/2024,$184.19,816062,$183.39,$184.72,$182.77
03/07/2024,$184.00,925613,$184.80,$184.88,$183.40
03/06/2024,$183.80,1081712,$183.12,$184.74,$182.75
03/05/2024,$183.76,1008895,$185.00,$185.58,$182.57
03/04/2024,$184.94,914477,$183.67,$185.22,$183.48
03/01/2024,$183.64,1258601,$182.90,$184.07,$182.04
02/29/2024,$183.60,1933845,$185.00,$185.15,$182.755
02/28/2024,$185.95,2064241,$192.57,$192.57,$184.49
02/27/2024,$184.52,1324613,$184.71,$184.935,$183.33
02/26/2024,$184.87,1468916,$185.33,$186.20,$184.70
02/23/2024,$184.98,1233215,$183.59,$185.315,$183.53
02/22/2024,$183.33,1072068,$181.79,$183.99,$181.18
02/21/2024,$181.36,1074644,$180.01,$181.52,$179.62
02/20/2024,$180.01,1283592,$181.41,$182.27,$179.83
02/16/2024,$180.43,902825,$180.20,$181.34,$179.48
02/15/2024,$179.86,1441748,$178.50,$179.98,$177.026
02/14/2024,$178.74,2308902,$176.32,$178.78,$176.30
02/13/2024,$175.61,1828412,$173.21,$176.54,$172.23
02/12/2024,$172.00,1172652,$172.95,$173.2119,$171.06
02/09/2024,$173.49,1006397,$175.01,$175.07,$172.79
02/08/2024,$174.64,1131556,$175.01,$175.065,$173.09
02/07/2024,$174.56,967264,$174.15,$175.35,$173.215
02/06/2024,$173.68,1009219,$173.41,$173.75,$172.49
02/05/2024,$173.25,832383,$173.46,$174.12,$172.68
02/02/2024,$173.66,801200,$173.91,$174.46,$172.79
02/01/2024,$173.83,982650,$170.72,$173.86,$169.8267
01/31/2024,$171.12,2427372,$173.51,$173.55,$170.47
01/30/2024,$172.88,967976,$171.77,$172.96,$171.31
01/29/2024,$171.47,1257338,$171.10,$171.74,$170.58
01/26/2024,$171.29,1298199,$170.59,$171.36,$170.35
01/25/2024,$170.28,1506343,$168.72,$170.37,$168.58
01/24/2024,$169.34,2188879,$170.00,$170.375,$169.20
01/23/2024,$169.82,1109208,$168.68,$169.87,$168.01
01/22/2024,$168.83,927971,$168.70,$169.27,$167.51
01/19/2024,$168.68,1487546,$168.08,$169.15,$167.64
01/18/2024,$167.75,743380,$166.20,$167.80,$165.99
01/17/2024,$166.20,840344,$165.60,$168.2199,$165.25
01/16/2024,$165.64,952342,$165.68,$166.61,$165.06
01/12/2024,$166.14,1064122,$164.42,$166.22,$163.45
01/11/2024,$163.93,778207,$164.53,$164.71,$163.17
01/10/2024,$164.30,629204,$163.47,$164.38,$162.86
01/09/2024,$163.81,694010,$164.03,$164.615,$163.21
01/08/2024,$164.35,956639,$163.93,$164.40,$162.27
01/05/2024,$163.52,693494,$164.21,$164.49,$162.75
01/04/2024,$164.16,712974,$164.70,$165.90,$163.77
01/03/2024,$163.72,1343925,$165.76,$167.13,$163.69
01/02/2024,$164.94,1067953,$163.70,$166.02,$163.70
12/29/2023,$164.91,676106,$164.18,$165.06,$163.72
12/28/2023,$164.31,758790,$164.09,$164.88,$163.71
12/27/2023,$163.76,569562,$162.87,$163.82,$162.56
12/26/2023,$163.07,545034,$162.34,$163.41,$161.935
12/22/2023,$162.69,1213000,$161.99,$162.88,$161.34
12/21/2023,$161.65,1311403,$162.00,$163.415,$161.19
12/20/2023,$162.20,1389861,$162.39,$163.57,$162.18
12/19/2023,$162.80,1615139,$163.60,$163.98,$162.275
12/18/2023,$163.57,1063536,$162.87,$164.56,$162.64
12/15/2023,$162.08,2886331,$160.81,$162.55,$160.65
12/14/2023,$162.69,2212085,$166.80,$166.80,$162.35
12/13/2023,$167.11,1042049,$165.33,$167.17,$165.18
12/12/2023,$165.17,684770,$162.59,$165.32,$162.07
