Date,Close/Last,Volume,Open,High,Low
09/06/2024,$72.62,836426,$73.25,$73.685,$72.38
09/05/2024,$73.30,1070696,$73.12,$73.855,$72.91
09/04/2024,$72.90,916956,$72.90,$73.725,$72.521
09/03/2024,$72.50,827869,$72.21,$72.79,$72.01
08/30/2024,$72.69,1492941,$71.98,$72.89,$71.81
08/29/2024,$71.67,652740,$71.66,$71.78,$71.26
08/28/2024,$71.66,791051,$71.38,$71.77,$71.2654
08/27/2024,$71.27,891670,$70.95,$71.45,$70.54
08/26/2024,$71.25,717995,$71.87,$71.97,$71.06
08/23/2024,$71.42,1082400,$70.88,$71.73,$70.84
08/22/2024,$70.74,768565,$70.85,$71.04,$70.52
08/21/2024,$70.78,712741,$70.53,$70.98,$70.40
08/20/2024,$70.44,575488,$70.74,$70.97,$70.06
08/19/2024,$70.51,584562,$69.71,$70.59,$69.71
08/16/2024,$69.77,697498,$69.86,$70.21,$69.50
08/15/2024,$70.01,1735002,$70.31,$70.86,$69.88
08/14/2024,$70.26,726592,$69.83,$70.645,$69.745
08/13/2024,$69.89,944145,$70.12,$70.247,$69.28
08/12/2024,$69.76,692848,$70.07,$70.07,$69.32
08/09/2024,$70.41,785757,$70.06,$70.49,$69.72
08/08/2024,$69.89,898430,$69.08,$70.305,$69.08
08/07/2024,$69.61,1195330,$70.06,$70.91,$69.50
08/06/2024,$69.79,1130758,$68.06,$70.63,$68.00
08/05/2024,$68.41,1792215,$69.27,$70.49,$68.18
08/02/2024,$70.29,1996708,$70.00,$71.30,$68.92
08/01/2024,$68.56,1366289,$67.70,$68.60,$67.605
07/31/2024,$67.34,1429901,$67.86,$68.46,$67.22
07/30/2024,$68.39,1192219,$66.54,$68.68,$66.25
07/29/2024,$66.24,876132,$65.38,$66.46,$65.15
07/26/2024,$65.36,702631,$64.63,$65.64,$63.94
07/25/2024,$64.16,1336879,$65.27,$65.695,$63.96
07/24/2024,$64.79,1376098,$66.44,$66.65,$64.595
07/23/2024,$66.42,976760,$66.89,$66.98,$66.35
07/22/2024,$66.82,601617,$66.12,$66.865,$65.503
07/19/2024,$66.10,565713,$66.36,$66.36,$65.785
07/18/2024,$66.19,747980,$66.05,$66.89,$65.895
07/17/2024,$66.36,920538,$65.13,$66.45,$65.13
07/16/2024,$65.13,673225,$64.50,$65.29,$64.22
07/15/2024,$64.19,693338,$64.05,$64.52,$63.81
07/12/2024,$64.05,1147343,$63.52,$64.59,$63.29
07/11/2024,$63.22,1304970,$63.00,$63.70,$62.92
07/10/2024,$62.30,1197991,$62.31,$62.46,$61.93
07/09/2024,$62.08,971905,$62.12,$62.24,$61.635
07/08/2024,$61.74,740643,$61.92,$62.25,$61.34
07/05/2024,$61.95,649654,$61.76,$62.08,$61.39
