Date,Close/Last,Volume,Open,High,Low
09/06/2024,$22.17,8837397,$22.64,$22.83,$22.07
09/05/2024,$22.61,7210880,$23.00,$23.09,$22.49
09/04/2024,$22.83,6410920,$22.93,$23.11,$22.595
09/03/2024,$23.00,6637859,$23.08,$23.385,$22.955
08/30/2024,$23.42,13068450,$23.26,$23.47,$23.18
08/29/2024,$23.21,5318374,$23.07,$23.385,$22.77
08/28/2024,$22.98,4592216,$22.74,$23.15,$22.65
08/27/2024,$22.76,4990420,$22.68,$22.83,$22.58
08/26/2024,$22.79,6183499,$23.00,$23.09,$22.625
08/23/2024,$22.81,10817690,$22.31,$22.99,$22.25
08/22/2024,$22.16,6464279,$21.76,$22.275,$21.76
08/21/2024,$21.79,5965316,$21.92,$21.96,$21.505
08/20/2024,$21.84,7250277,$21.64,$21.92,$21.64
08/19/2024,$21.76,4141527,$21.51,$21.79,$21.50
08/16/2024,$21.50,5037660,$21.11,$21.53,$21.02
08/15/2024,$21.13,7098915,$21.28,$21.525,$21.04
08/14/2024,$20.89,5678998,$20.99,$21.06,$20.81
08/13/2024,$20.89,5943014,$20.90,$20.915,$20.60
08/12/2024,$20.75,9194238,$20.96,$21.245,$20.52
08/09/2024,$20.73,6177579,$20.82,$20.89,$20.66
08/08/2024,$20.83,4973068,$20.79,$20.935,$20.62
08/07/2024,$20.49,5303596,$21.06,$21.24,$20.48
08/06/2024,$20.69,5878793,$20.36,$20.97,$20.24
08/05/2024,$20.41,8178241,$20.28,$20.63,$19.88
08/02/2024,$20.88,8259515,$21.06,$21.11,$20.41
08/01/2024,$21.54,8660859,$22.38,$22.435,$21.43
07/31/2024,$22.37,8303212,$22.62,$22.74,$22.325
07/30/2024,$22.73,5419236,$22.64,$22.84,$22.47
07/29/2024,$22.43,6610774,$22.81,$22.88,$22.36
07/26/2024,$22.76,7329041,$22.61,$22.80,$22.485
07/25/2024,$22.55,7900702,$22.03,$22.855,$22.03
07/24/2024,$22.11,8384612,$22.39,$22.62,$22.06
07/23/2024,$22.39,11029860,$22.35,$22.84,$22.20
07/22/2024,$22.39,12762710,$22.14,$22.44,$21.82
07/19/2024,$22.09,18490760,$21.85,$22.52,$21.18
07/18/2024,$22.09,13159630,$22.00,$22.64,$21.98
07/17/2024,$22.11,7534857,$21.56,$22.25,$21.49
07/16/2024,$21.77,8772030,$21.01,$21.83,$20.90
07/15/2024,$21.00,8411768,$20.82,$21.16,$20.755
07/12/2024,$20.47,11522580,$20.75,$20.81,$20.45
07/11/2024,$20.71,12536660,$20.47,$20.80,$20.28
07/10/2024,$20.19,6046935,$20.11,$20.25,$20.00
07/09/2024,$20.11,7062492,$19.65,$20.21,$19.60
07/08/2024,$19.79,5822649,$19.65,$19.945,$19.59
07/05/2024,$19.51,10228000,$19.89,$19.95,$19.495
07/03/2024,$19.89,5070578,$20.19,$20.33,$19.89
07/02/2024,$20.09,6434344,$19.86,$20.1183,$19.84
07/01/2024,$19.90,9129339,$20.10,$20.44,$19.89
06/28/2024,$20.04,13355870,$19.35,$20.05,$19.31
06/27/2024,$19.20,7364795,$18.86,$19.21,$18.72
06/26/2024,$18.88,6873893,$18.87,$18.99,$18.665
06/25/2024,$19.02,6169395,$19.24,$19.4202,$19.00
06/24/2024,$19.31,6224865,$19.05,$19.41,$18.815
06/21/2024,$18.93,11028260,$18.855,$18.975,$18.68
06/20/2024,$18.91,4414895,$18.90,$19.01,$18.84
06/18/2024,$18.98,5321359,$18.90,$19.04,$18.80
06/17/2024,$18.90,5213961,$18.66,$18.91,$18.49
06/14/2024,$18.65,7175337,$18.54,$18.72,$18.49
06/13/2024,$18.75,8277204,$18.59,$18.78,$18.41
06/12/2024,$18.69,11038630,$18.73,$19.18,$18.575
06/11/2024,$18.19,11162200,$17.98,$18.22,$17.72
06/10/2024,$18.19,9004009,$18.26,$18.36,$18.00
06/07/2024,$18.60,5173254,$18.47,$18.67,$18.44
06/06/2024,$18.64,6845130,$18.76,$18.835,$18.53
06/05/2024,$18.73,3635658,$18.77,$18.78,$18.55
06/04/2024,$18.66,4834380,$18.66,$18.94,$18.605
06/03/2024,$18.92,5484894,$19.24,$19.29,$18.655
05/31/2024,$19.35,13353860,$19.10,$19.38,$18.995
05/30/2024,$19.00,5945643,$18.81,$19.01,$18.64
05/29/2024,$18.64,8225934,$18.71,$18.79,$18.31
05/28/2024,$19.06,5931640,$19.15,$19.275,$18.94
05/24/2024,$19.12,3559595,$18.97,$19.14,$18.905
05/23/2024,$18.92,6810112,$19.45,$19.4761,$18.835
05/22/2024,$19.48,5775675,$19.76,$19.78,$19.35
05/21/2024,$19.89,5415630,$19.96,$20.035,$19.825
05/20/2024,$19.88,3436860,$20.18,$20.21,$19.84
05/17/2024,$20.18,3248438,$20.27,$20.27,$20.07
05/16/2024,$20.10,4156284,$20.17,$20.285,$20.075
05/15/2024,$20.26,6375977,$20.28,$20.37,$20.095
05/14/2024,$20.10,7291191,$20.11,$20.355,$19.97
05/13/2024,$19.93,5749546,$19.93,$20.05,$19.86
05/10/2024,$19.83,7888569,$19.81,$19.88,$19.74
05/09/2024,$19.78,6587879,$19.62,$19.8164,$19.61
05/08/2024,$19.74,9638499,$19.52,$19.74,$19.43
05/07/2024,$19.65,7865407,$19.95,$20.00,$19.62
05/06/2024,$19.83,5926899,$20.00,$20.02,$19.76
05/03/2024,$19.80,4133671,$19.91,$20.08,$19.72
05/02/2024,$19.64,4897189,$19.79,$19.81,$19.39
05/01/2024,$19.57,7339310,$19.36,$19.98,$19.34
04/30/2024,$19.27,5531902,$19.51,$19.665,$19.25
04/29/2024,$19.67,4540190,$19.65,$19.80,$19.565
04/26/2024,$19.62,5245531,$19.66,$19.92,$19.53
04/25/2024,$19.61,9220858,$20.00,$20.03,$19.35
04/24/2024,$19.77,11041550,$19.14,$19.83,$19.13
04/23/2024,$19.35,10539800,$19.24,$19.51,$19.08
04/22/2024,$19.18,13334510,$18.84,$19.27,$18.70
04/19/2024,$18.90,18046100,$18.95,$18.96,$18.40
04/18/2024,$19.00,9397066,$18.89,$19.185,$18.83
04/17/2024,$18.86,8080318,$18.98,$19.04,$18.685
04/16/2024,$18.81,7244809,$19.00,$19.08,$18.66
04/15/2024,$19.22,6936603,$19.38,$19.65,$19.09
04/12/2024,$19.19,6276907,$19.05,$19.30,$18.94
04/11/2024,$19.41,8061078,$19.72,$19.76,$19.195
04/10/2024,$19.68,6684261,$20.29,$20.30,$19.535
04/09/2024,$20.69,5321354,$20.50,$20.69,$20.355
04/08/2024,$20.40,4611639,$20.25,$20.57,$20.18
04/05/2024,$20.15,3490358,$19.94,$20.185,$19.79
04/04/2024,$20.06,5238761,$20.54,$20.635,$20.00
04/03/2024,$20.23,4968904,$20.37,$20.54,$20.21
04/02/2024,$20.36,6915395,$20.44,$20.52,$20.215
04/01/2024,$20.56,5925474,$21.055,$21.06,$20.465
03/28/2024,$21.04,8206728,$20.68,$21.08,$20.68
03/27/2024,$20.68,6171277,$20.13,$20.69,$20.045
03/26/2024,$19.91,4329432,$20.05,$20.11,$19.895
03/25/2024,$19.95,5911309,$19.91,$20.13,$19.85
03/22/2024,$19.86,6199871,$20.25,$20.3494,$19.84
03/21/2024,$20.15,8544224,$19.91,$20.27,$19.91
03/20/2024,$19.77,6982408,$19.20,$19.865,$19.17
03/19/2024,$19.32,7664707,$19.13,$19.36,$19.03
03/18/2024,$19.18,5137027,$19.26,$19.36,$18.99
03/15/2024,$19.05,37178760,$18.73,$19.225,$18.67
03/14/2024,$18.89,8690855,$19.22,$19.40,$18.72
03/13/2024,$19.40,6076569,$19.40,$19.57,$19.29
03/12/2024,$19.35,8502700,$19.60,$19.69,$19.33
03/11/2024,$19.57,6778884,$19.62,$19.77,$19.50
03/08/2024,$19.69,8768296,$19.78,$19.89,$19.61
03/07/2024,$19.55,10504880,$19.51,$19.827,$19.45
03/06/2024,$19.32,10905540,$19.47,$19.515,$19.05
03/05/2024,$19.49,8543641,$18.95,$19.685,$18.95
03/04/2024,$19.02,8520722,$19.00,$19.205,$18.81
03/01/2024,$18.59,7490679,$18.49,$18.66,$18.16
02/29/2024,$18.63,11593880,$18.60,$18.87,$18.50
02/28/2024,$18.57,7011031,$18.50,$18.675,$18.46
02/27/2024,$18.58,5919761,$18.35,$18.59,$18.31
02/26/2024,$18.23,7313232,$18.22,$18.46,$18.12
02/23/2024,$18.28,5413866,$18.29,$18.42,$18.07
02/22/2024,$18.23,8950513,$18.33,$18.595,$18.04
