Date,Close/Last,Volume,Open,High,Low
09/06/2024,$115.20,808050,$117.58,$118.55,$114.49
09/05/2024,$117.58,861095,$119.70,$119.70,$117.12
09/04/2024,$119.15,960581,$119.13,$120.26,$118.21
09/03/2024,$119.28,878296,$118.64,$119.58,$117.98
08/30/2024,$119.57,961449,$118.70,$119.74,$118.0825
08/29/2024,$118.37,511825,$118.26,$118.99,$116.91
08/28/2024,$117.85,561599,$117.61,$118.42,$117.36
08/27/2024,$117.68,638919,$118.27,$118.53,$117.37
08/26/2024,$118.45,761446,$117.34,$118.585,$116.86
08/23/2024,$116.79,633478,$117.10,$117.76,$116.28
08/22/2024,$116.21,664350,$116.03,$116.81,$115.24
08/21/2024,$115.79,1009209,$115.63,$116.125,$114.72
08/20/2024,$115.58,776059,$115.81,$115.99,$115.14
08/19/2024,$115.93,567404,$116.03,$116.60,$115.40
08/16/2024,$115.95,722052,$115.04,$116.09,$114.78
08/15/2024,$115.27,886273,$116.27,$116.61,$114.285
08/14/2024,$114.91,1435845,$112.90,$115.43,$111.95
08/13/2024,$111.79,1099926,$110.97,$111.93,$110.06
08/12/2024,$110.12,1287267,$110.22,$110.50,$108.635
08/09/2024,$110.18,871630,$108.64,$110.66,$108.49
08/08/2024,$108.91,901856,$108.26,$109.16,$107.37
08/07/2024,$107.28,1079384,$108.96,$110.1599,$107.17
08/06/2024,$107.85,1810472,$105.98,$109.27,$105.35
08/05/2024,$106.39,2638338,$106.76,$109.08,$104.235
08/02/2024,$109.00,1809691,$110.15,$111.99,$106.99
08/01/2024,$112.17,1406693,$116.26,$117.16,$110.82
07/31/2024,$116.00,1417542,$116.05,$117.13,$114.33
07/30/2024,$115.51,987689,$116.28,$117.01,$114.51
07/29/2024,$115.47,1240472,$116.71,$117.715,$114.39
07/26/2024,$116.68,2179049,$118.28,$120.87,$116.56
07/25/2024,$118.01,2281922,$113.00,$118.11,$113.00
07/24/2024,$112.22,2426543,$112.16,$114.235,$111.23
07/23/2024,$111.81,2352135,$109.81,$112.16,$109.00
07/22/2024,$109.98,1836468,$109.24,$110.26,$108.57
07/19/2024,$108.62,3376543,$111.00,$111.40,$108.35
07/18/2024,$111.10,2213951,$113.18,$114.34,$110.27
07/17/2024,$113.36,4975754,$113.55,$114.13,$110.81
07/16/2024,$113.51,3689536,$117.47,$119.145,$112.84
07/15/2024,$121.11,1371063,$120.90,$122.25,$118.49
07/12/2024,$121.06,789394,$121.33,$122.42,$120.9485
07/11/2024,$120.70,1521348,$119.99,$120.87,$119.12
07/10/2024,$119.79,1156544,$118.54,$120.00,$118.02
07/09/2024,$118.67,961985,$117.17,$119.38,$117.17
07/08/2024,$117.47,843523,$119.32,$120.45,$117.27
07/05/2024,$119.51,740721,$120.29,$120.29,$118.99
07/03/2024,$120.73,604012,$122.27,$122.91,$120.55
07/02/2024,$122.08,823371,$122.53,$123.07,$121.55
07/01/2024,$123.20,624079,$123.56,$124.82,$123.04
06/28/2024,$123.61,1665130,$121.85,$123.75,$121.32
06/27/2024,$121.59,1049609,$121.10,$122.00,$121.02
06/26/2024,$121.52,770430,$121.00,$121.71,$120.66
06/25/2024,$121.69,873341,$122.09,$122.99,$120.98
06/24/2024,$122.38,1235385,$121.03,$123.57,$120.57
06/21/2024,$120.69,2491827,$119.23,$120.805,$118.29
06/20/2024,$119.06,1195784,$118.84,$119.1504,$117.45
06/18/2024,$118.96,1175083,$117.81,$119.45,$117.81
