Date,Close/Last,Volume,Open,High,Low
09/06/2024,$172.85,1012234,$173.03,$175.00,$170.49
09/05/2024,$173.40,500001,$172.44,$174.00,$171.58
09/04/2024,$172.35,467240,$172.47,$174.00,$171.13
09/03/2024,$173.88,767486,$169.91,$175.84,$169.06
08/30/2024,$171.26,449874,$171.89,$171.89,$168.88
08/29/2024,$170.67,442608,$170.39,$172.20,$168.24
08/28/2024,$169.47,530774,$170.21,$170.90,$167.315
08/27/2024,$172.45,399973,$170.40,$172.59,$169.4125
08/26/2024,$171.14,512560,$175.00,$176.00,$171.02
08/23/2024,$174.58,769705,$170.00,$174.84,$169.27
08/22/2024,$169.03,646850,$170.91,$171.32,$168.11
08/21/2024,$170.14,960352,$168.54,$171.09,$167.7878
08/20/2024,$166.74,740855,$166.96,$167.77,$164.555
08/19/2024,$167.01,948848,$164.30,$167.115,$163.80
08/16/2024,$163.28,889097,$163.99,$165.085,$161.43
08/15/2024,$164.27,1041128,$163.30,$166.97,$162.775
08/14/2024,$158.53,687714,$162.52,$162.595,$158.37
08/13/2024,$162.40,770329,$159.88,$162.87,$159.88
08/12/2024,$159.03,712798,$162.35,$163.17,$157.84
08/09/2024,$162.16,688800,$160.77,$162.46,$156.69
08/08/2024,$161.62,892569,$161.96,$163.09,$159.40
08/07/2024,$159.39,1251514,$165.00,$170.16,$158.51
08/06/2024,$164.95,1345419,$161.93,$167.85,$160.165
08/05/2024,$159.80,1179700,$157.125,$162.10,$155.96
08/02/2024,$164.40,1222510,$166.79,$167.82,$161.49
08/01/2024,$172.60,824605,$175.53,$176.43,$168.817
07/31/2024,$175.59,666936,$175.00,$177.44,$173.60
07/30/2024,$173.13,540719,$174.14,$174.47,$170.57
07/29/2024,$173.53,611857,$168.34,$173.71,$167.64
07/26/2024,$168.10,554928,$163.79,$169.58,$162.66
07/25/2024,$161.14,724885,$164.13,$164.45,$159.05
07/24/2024,$163.91,576571,$166.68,$167.7495,$163.22
07/23/2024,$167.01,395261,$167.49,$170.04,$166.55
07/22/2024,$168.21,585460,$166.64,$168.36,$163.45
07/19/2024,$165.31,812072,$167.14,$168.36,$165.00
07/18/2024,$167.77,659187,$170.60,$174.199,$167.215
07/17/2024,$169.72,1061510,$170.36,$173.02,$168.82
07/16/2024,$173.19,1193732,$171.99,$174.41,$169.37
07/15/2024,$171.06,1120875,$177.79,$179.98,$170.62
07/12/2024,$181.58,599593,$185.82,$185.82,$181.03
07/11/2024,$183.94,795881,$180.74,$184.74,$180.68
07/10/2024,$178.98,963570,$180.42,$180.86,$176.55
07/09/2024,$179.49,943500,$177.46,$180.98,$176.53
07/08/2024,$177.07,1226544,$170.23,$177.11,$170.04
07/05/2024,$168.67,825050,$167.21,$169.23,$166.55
07/03/2024,$167.72,438232,$169.08,$169.415,$167.07
07/02/2024,$168.74,887707,$171.91,$172.62,$168.64
07/01/2024,$172.07,867696,$175.65,$176.00,$169.44
06/28/2024,$175.06,1153167,$171.04,$175.43,$171.04
06/27/2024,$175.87,781825,$177.54,$179.25,$175.48
06/26/2024,$179.84,685195,$181.85,$182.24,$178.87
06/25/2024,$182.24,699140,$185.06,$186.225,$182.07
06/24/2024,$183.96,574919,$182.40,$184.73,$181.49
06/21/2024,$182.61,2172147,$184.21,$184.46,$180.60
06/20/2024,$184.58,930744,$182.50,$185.52,$181.36
06/18/2024,$181.89,847265,$181.72,$182.5899,$180.13
06/17/2024,$182.93,952801,$179.36,$183.815,$179.32
06/14/2024,$179.68,661692,$184.53,$186.56,$179.67
06/13/2024,$186.30,701143,$186.27,$186.77,$183.505
06/12/2024,$186.29,936593,$188.62,$190.06,$186.29
06/11/2024,$186.31,512504,$187.535,$187.595,$183.46
06/10/2024,$188.32,1094551,$180.62,$189.41,$180.50
06/07/2024,$181.77,644692,$182.18,$183.13,$180.67
06/06/2024,$181.98,728696,$185.80,$186.82,$181.75
06/05/2024,$184.41,627213,$182.00,$184.53,$180.735
06/04/2024,$181.14,851792,$184.19,$185.57,$180.51
06/03/2024,$185.28,920468,$187.20,$187.56,$183.71
05/31/2024,$186.88,1191555,$186.17,$187.50,$184.9771
05/30/2024,$185.44,1131165,$184.00,$187.10,$183.34
05/29/2024,$183.42,949288,$180.41,$183.73,$178.63
05/28/2024,$181.25,1343667,$174.57,$181.71,$173.63
05/24/2024,$173.45,1330527,$168.57,$173.64,$167.31
05/23/2024,$169.57,2282771,$160.02,$171.40,$159.10
05/22/2024,$164.20,1557052,$167.32,$168.855,$163.34
05/21/2024,$168.00,929805,$166.81,$168.428,$166.205
05/20/2024,$166.94,1059749,$167.53,$169.3399,$165.37
05/17/2024,$167.88,823224,$166.63,$168.25,$166.05
05/16/2024,$166.09,995053,$167.62,$168.82,$165.08
05/15/2024,$166.98,756897,$167.25,$168.57,$165.975
05/14/2024,$166.31,611483,$166.61,$167.82,$165.55
05/13/2024,$165.61,803688,$168.27,$169.32,$165.525
05/10/2024,$167.15,751970,$167.73,$168.15,$166.19
05/09/2024,$168.04,583359,$165.15,$168.87,$164.715
05/08/2024,$165.16,684972,$165.64,$167.20,$164.21
05/07/2024,$166.72,807816,$167.53,$170.185,$166.69
05/06/2024,$166.66,729705,$167.91,$168.45,$165.6811
05/03/2024,$166.64,549477,$166.36,$169.515,$166.36
05/02/2024,$164.92,748868,$165.29,$165.71,$162.47
05/01/2024,$163.62,1212138,$163.23,$165.64,$161.81
04/30/2024,$163.64,831794,$166.60,$166.86,$163.58
04/29/2024,$167.03,674214,$167.27,$168.64,$165.9325
04/26/2024,$166.48,704151,$166.37,$168.27,$165.29
04/25/2024,$166.93,823050,$165.99,$167.09,$162.365
04/24/2024,$168.21,1069546,$168.23,$170.92,$167.24
04/23/2024,$168.08,1260828,$162.79,$168.745,$162.755
04/22/2024,$161.97,1061184,$159.41,$162.69,$158.885
04/19/2024,$158.46,876400,$157.19,$159.80,$156.91
04/18/2024,$157.33,1079488,$159.74,$159.825,$157.00
04/17/2024,$159.25,720119,$162.22,$162.88,$158.85
04/16/2024,$160.89,1037009,$159.52,$161.665,$157.985
04/15/2024,$160.16,853031,$162.61,$164.36,$159.79
04/12/2024,$160.29,1319966,$163.65,$164.02,$160.11
04/11/2024,$165.02,1002625,$167.05,$167.275,$164.71
04/10/2024,$166.47,859819,$167.56,$168.14,$166.00
04/09/2024,$169.68,1423530,$170.61,$170.975,$166.95
