Date,Close/Last,Volume,Open,High,Low
09/06/2024,$244.87,579029,$245.49,$247.38,$240.95
09/05/2024,$244.78,769508,$244.96,$246.05,$242.20
09/04/2024,$244.75,980069,$239.90,$246.54,$236.48
09/03/2024,$244.90,997822,$244.47,$247.73,$243.77
08/30/2024,$245.02,1084175,$244.25,$246.22,$242.48
08/29/2024,$243.16,591180,$244.76,$245.00,$240.95
08/28/2024,$242.69,1226787,$240.54,$246.80,$239.37
08/27/2024,$242.25,1895945,$226.14,$242.60,$226.14
08/26/2024,$225.86,454107,$224.75,$228.29,$224.75
08/23/2024,$226.64,643776,$224.35,$226.74,$222.95
08/22/2024,$223.41,599531,$225.60,$225.60,$221.98
08/21/2024,$224.30,792966,$224.08,$226.66,$222.68
08/20/2024,$223.15,907983,$231.00,$231.29,$222.36
08/19/2024,$231.30,786682,$227.48,$231.50,$226.53
08/16/2024,$227.75,627190,$226.77,$227.92,$224.78
08/15/2024,$227.22,897021,$223.43,$228.02,$221.66
08/14/2024,$222.21,970174,$222.25,$223.09,$220.00
08/13/2024,$220.27,1079480,$216.56,$223.675,$216.56
08/12/2024,$214.65,547569,$216.60,$218.15,$214.56
08/09/2024,$216.59,542965,$215.82,$217.09,$212.97
08/08/2024,$214.19,946836,$212.16,$214.885,$209.66
08/07/2024,$210.94,1291417,$219.87,$219.87,$209.08
08/06/2024,$218.83,1079748,$216.28,$221.77,$215.34
08/05/2024,$215.68,1547514,$213.17,$220.20,$209.00
08/02/2024,$223.64,2659791,$210.00,$225.68,$204.63
08/01/2024,$214.56,1513719,$212.75,$216.78,$211.00
07/31/2024,$213.25,988895,$209.00,$215.855,$206.40
07/30/2024,$208.04,762813,$207.91,$210.48,$206.27
07/29/2024,$208.54,1069435,$200.12,$208.58,$198.60
07/26/2024,$197.04,1896839,$207.04,$207.04,$196.43
07/25/2024,$208.34,2024396,$204.85,$212.78,$203.86
07/24/2024,$206.20,653182,$208.35,$210.76,$206.12
07/23/2024,$209.53,391674,$207.74,$209.80,$205.91
07/22/2024,$207.28,664508,$204.37,$207.575,$203.475
07/19/2024,$203.15,715022,$206.94,$207.62,$202.76
07/18/2024,$203.88,606031,$206.58,$209.00,$203.43
07/17/2024,$205.95,709389,$205.00,$208.83,$204.03
07/16/2024,$206.80,738637,$205.69,$207.715,$204.50
07/15/2024,$205.31,1387329,$204.34,$207.19,$203.1775
07/12/2024,$204.83,753610,$200.98,$206.84,$200.50
07/11/2024,$199.78,694774,$195.13,$200.34,$195.00
07/10/2024,$192.33,510125,$191.74,$192.93,$189.15
07/09/2024,$190.33,956591,$193.48,$194.56,$188.56
07/08/2024,$192.92,805224,$194.35,$194.86,$191.90
07/05/2024,$194.74,670912,$190.50,$195.00,$189.32
07/03/2024,$189.40,383824,$189.59,$189.99,$188.06
07/02/2024,$189.35,808424,$187.50,$189.94,$187.50
07/01/2024,$186.94,871688,$190.91,$192.375,$186.22
06/28/2024,$191.42,3500754,$191.71,$194.595,$189.57
06/27/2024,$191.58,1271051,$189.50,$192.735,$187.57
06/26/2024,$186.53,1115314,$183.84,$187.32,$183.84
06/25/2024,$183.84,2163895,$185.07,$186.81,$180.34
06/24/2024,$182.20,4020884,$189.95,$193.73,$179.42
06/21/2024,$205.83,2734710,$213.36,$213.53,$200.00
06/20/2024,$213.27,1246046,$210.94,$214.97,$210.01
06/18/2024,$212.27,972918,$210.82,$212.62,$210.17
06/17/2024,$210.35,1028417,$209.06,$211.69,$205.379
06/14/2024,$211.73,1113732,$210.97,$212.00,$208.63
06/13/2024,$212.38,906463,$209.54,$213.71,$208.89
06/12/2024,$210.89,718090,$211.88,$214.54,$210.01
06/11/2024,$210.18,810506,$209.58,$212.755,$207.05
06/10/2024,$211.66,723052,$209.81,$211.82,$209.31
06/07/2024,$210.91,411980,$211.07,$214.285,$209.46
06/06/2024,$211.56,709184,$211.57,$212.49,$210.13
06/05/2024,$213.24,507181,$211.29,$214.05,$210.12
06/04/2024,$211.18,676392,$206.95,$212.23,$206.61
06/03/2024,$207.39,1772324,$207.84,$210.76,$204.41
05/31/2024,$206.33,2928056,$209.10,$210.94,$205.00
05/30/2024,$209.34,602077,$205.90,$210.02,$205.655
05/29/2024,$205.96,599076,$205.16,$207.74,$205.01
05/28/2024,$207.17,829545,$212.41,$213.53,$206.16
05/24/2024,$213.26,536176,$212.08,$214.49,$210.75
05/23/2024,$211.58,1046666,$218.10,$218.10,$210.24
05/22/2024,$218.27,555370,$217.63,$219.98,$216.28
05/21/2024,$218.28,452579,$218.26,$219.60,$216.66
05/20/2024,$218.74,500230,$218.57,$219.93,$216.73
05/17/2024,$218.57,450553,$219.82,$220.035,$217.53
05/16/2024,$219.97,649042,$220.14,$222.96,$218.80
05/15/2024,$220.63,649462,$218.07,$221.795,$217.67
05/14/2024,$215.85,724855,$216.27,$219.795,$213.82
05/13/2024,$217.89,781052,$215.00,$219.40,$213.8201
05/10/2024,$213.82,635286,$216.00,$217.55,$212.95
05/09/2024,$216.84,808997,$212.64,$217.51,$211.9676
05/08/2024,$212.88,993127,$211.37,$212.92,$210.39
05/07/2024,$216.16,813938,$217.20,$217.29,$215.70
05/06/2024,$216.94,844821,$218.14,$218.49,$215.42
05/03/2024,$216.98,655018,$219.63,$221.40,$216.72
05/02/2024,$218.15,1146122,$215.50,$218.25,$213.22
05/01/2024,$215.01,1306398,$212.65,$217.30,$211.36
04/30/2024,$213.99,1635753,$215.03,$215.41,$211.55
04/29/2024,$217.19,2165867,$214.11,$217.23,$210.20
04/26/2024,$218.06,4330840,$203.02,$218.38,$201.86
04/25/2024,$183.42,1124546,$183.07,$184.30,$179.00
04/24/2024,$183.78,973428,$185.88,$186.88,$183.02
04/23/2024,$184.22,1202959,$182.59,$184.83,$181.70
04/22/2024,$180.35,1218743,$180.00,$180.81,$178.49
04/19/2024,$178.85,1303527,$179.15,$179.43,$176.9225
04/18/2024,$177.61,1583566,$177.40,$179.80,$176.33
04/17/2024,$173.83,3005122,$182.00,$183.40,$172.19
04/16/2024,$184.86,411889,$184.46,$186.715,$183.37
04/15/2024,$185.09,605411,$187.95,$189.29,$184.78
04/12/2024,$185.86,659893,$188.62,$189.41,$184.39
04/11/2024,$189.51,696180,$195.14,$195.14,$189.40
04/10/2024,$193.80,915277,$190.72,$194.62,$190.5175
04/09/2024,$194.27,988292,$189.00,$194.38,$187.98
04/08/2024,$187.76,773962,$188.61,$188.965,$187.50
04/05/2024,$188.76,749100,$185.02,$189.56,$185.02
04/04/2024,$185.00,872947,$187.60,$188.15,$184.84
04/03/2024,$186.04,1456194,$185.99,$189.04,$185.39
04/02/2024,$184.36,984772,$187.59,$188.285,$182.29
04/01/2024,$189.32,1532670,$198.31,$198.31,$189.24
03/28/2024,$198.03,622676,$197.14,$198.535,$196.47
03/27/2024,$196.33,567412,$195.49,$196.75,$194.21
03/26/2024,$194.18,1108903,$193.50,$195.66,$192.99
03/25/2024,$193.31,1836891,$192.50,$194.59,$191.82
03/22/2024,$192.00,1130264,$193.60,$193.82,$191.12
03/21/2024,$193.73,1109771,$193.45,$194.39,$192.36
03/20/2024,$192.38,1205396,$191.69,$193.02,$190.18
03/19/2024,$193.02,1022485,$190.90,$193.08,$190.20
03/18/2024,$190.96,860765,$191.04,$192.04,$190.17
03/15/2024,$190.05,1438168,$188.84,$190.41,$187.84
03/14/2024,$191.75,1533754,$192.47,$194.37,$190.45
03/13/2024,$192.47,930409,$193.68,$194.23,$191.685
03/12/2024,$193.78,1390721,$189.25,$194.7095,$188.79
03/11/2024,$189.75,1332381,$185.55,$189.87,$184.38
03/08/2024,$188.44,980941,$192.00,$194.79,$185.97
03/07/2024,$192.60,1447316,$190.00,$194.26,$188.91
03/06/2024,$184.28,1030883,$178.98,$184.355,$178.92
03/05/2024,$177.63,659427,$181.18,$181.18,$176.32
03/04/2024,$180.72,1077709,$176.20,$181.18,$175.21
03/01/2024,$174.61,819794,$173.25,$175.795,$170.56
02/29/2024,$173.72,1613284,$174.43,$174.7399,$171.67
02/28/2024,$173.96,1410243,$180.99,$181.16,$171.99
02/27/2024,$180.99,666918,$183.15,$184.095,$180.96
02/26/2024,$183.29,965448,$184.04,$185.38,$181.70
