Date,Close/Last,Volume,Open,High,Low
09/06/2024,$49.59,1137454,$50.40,$50.75,$49.46
09/05/2024,$50.31,1323754,$50.62,$50.94,$50.01
09/04/2024,$50.73,885869,$50.55,$50.94,$50.35
09/03/2024,$50.49,1589486,$50.41,$51.28,$50.245
08/30/2024,$50.18,1340019,$50.10,$50.3997,$49.70
08/29/2024,$50.10,1004022,$50.32,$50.86,$50.03
08/28/2024,$50.25,1250245,$49.70,$50.42,$49.505
08/27/2024,$49.56,1949922,$49.64,$49.93,$49.19
08/26/2024,$49.70,1220684,$50.22,$50.50,$49.66
08/23/2024,$50.14,1070940,$50.35,$50.45,$49.87
08/22/2024,$50.25,985723,$50.14,$50.42,$50.01
08/21/2024,$50.05,1471890,$49.71,$50.39,$49.38
08/20/2024,$49.50,1548837,$49.08,$49.59,$48.75
08/19/2024,$49.13,852367,$48.18,$49.14,$48.064
08/16/2024,$48.18,1742127,$49.12,$49.15,$48.13
08/15/2024,$49.05,1169925,$48.71,$49.08,$48.50
08/14/2024,$48.50,1190191,$48.37,$48.64,$48.35
08/13/2024,$48.48,1955341,$48.33,$48.69,$47.51
08/12/2024,$47.78,1734134,$47.70,$48.27,$47.59
08/09/2024,$47.79,1512735,$47.61,$48.07,$47.43
08/08/2024,$47.61,1017840,$47.35,$47.67,$46.865
08/07/2024,$47.39,2399457,$48.14,$48.535,$47.39
08/06/2024,$47.85,1611634,$47.73,$48.55,$47.57
08/05/2024,$47.63,2009402,$48.22,$48.60,$47.44
08/02/2024,$48.01,1614863,$47.23,$48.28,$46.95
08/01/2024,$47.40,2205966,$47.89,$48.215,$47.39
07/31/2024,$47.91,2318143,$48.33,$48.89,$47.845
07/30/2024,$47.97,2327535,$47.57,$48.10,$47.4101
07/29/2024,$47.58,1984485,$46.13,$47.75,$46.06
07/26/2024,$45.93,2683808,$46.73,$46.76,$45.58
07/25/2024,$46.73,3335657,$49.39,$49.405,$46.64
07/24/2024,$49.95,1524348,$50.12,$50.54,$49.81
07/23/2024,$49.95,1281887,$50.71,$50.87,$49.86
07/22/2024,$50.65,1254830,$49.60,$50.66,$49.46
07/19/2024,$49.44,1126958,$49.15,$49.68,$49.15
07/18/2024,$49.25,1351444,$49.34,$49.73,$49.00
07/17/2024,$49.34,1388941,$49.18,$49.67,$49.04
07/16/2024,$49.26,1803024,$48.47,$49.29,$48.35
07/15/2024,$48.32,2157472,$49.36,$49.43,$48.27
07/12/2024,$49.41,2047494,$49.37,$49.59,$49.04
