Date,Close/Last,Volume,Open,High,Low
09/06/2024,$118.44,3983706,$119.65,$120.77,$118.07
09/05/2024,$119.64,5764523,$121.19,$121.61,$118.65
09/04/2024,$121.11,4484234,$121.10,$122.32,$120.77
09/03/2024,$120.99,5543868,$123.12,$123.66,$120.68
08/30/2024,$123.34,6371993,$122.05,$123.70,$121.96
08/29/2024,$122.29,3547768,$121.09,$122.74,$120.54
08/28/2024,$120.84,4287172,$119.77,$121.35,$119.68
08/27/2024,$119.49,4101156,$118.68,$119.59,$118.39
08/26/2024,$118.70,6260578,$118.69,$119.73,$118.385
08/23/2024,$118.52,3427510,$118.29,$118.89,$117.91
08/22/2024,$118.02,3743600,$117.36,$118.06,$117.175
08/21/2024,$117.26,3050998,$118.50,$118.64,$116.95
08/20/2024,$117.95,6129166,$118.33,$118.68,$117.24
08/19/2024,$118.35,5389909,$118.00,$118.52,$117.975
08/16/2024,$117.95,5251477,$117.87,$118.62,$117.57
08/15/2024,$118.36,5629874,$118.51,$118.9948,$117.53
08/14/2024,$117.65,5826695,$116.84,$117.83,$116.645
08/13/2024,$116.86,5911873,$116.79,$117.26,$116.07
08/12/2024,$116.60,8602006,$116.86,$117.44,$115.76
08/09/2024,$116.15,5534344,$115.04,$116.29,$114.87
08/08/2024,$115.10,8889121,$113.90,$115.8411,$113.70
08/07/2024,$114.15,5553236,$114.30,$115.98,$113.61
08/06/2024,$114.40,4642357,$115.59,$116.82,$114.115
08/05/2024,$115.17,5888641,$115.11,$116.44,$114.37
08/02/2024,$116.44,4578404,$116.25,$118.30,$115.07
08/01/2024,$116.74,5135066,$117.72,$117.99,$116.06
07/31/2024,$117.49,6780361,$117.50,$118.22,$116.46
07/30/2024,$116.88,6074374,$115.20,$117.03,$114.56
07/29/2024,$114.44,4138929,$114.00,$114.63,$113.30
07/26/2024,$113.95,7526513,$113.96,$115.23,$113.50
07/25/2024,$113.47,14997000,$110.23,$115.82,$109.45
07/24/2024,$104.83,7180244,$105.05,$105.86,$104.02
07/23/2024,$104.97,7602039,$103.77,$105.575,$103.62
07/22/2024,$103.77,6208088,$102.68,$103.82,$102.62
07/19/2024,$102.81,7229794,$104.50,$104.50,$102.64
07/18/2024,$103.84,4450279,$105.00,$105.46,$103.78
07/17/2024,$104.99,5432970,$103.82,$105.28,$103.82
07/16/2024,$103.68,4341192,$101.87,$103.69,$101.75
07/15/2024,$101.62,3776299,$102.29,$102.65,$101.52
07/12/2024,$101.28,6003137,$102.00,$102.85,$101.02
07/11/2024,$101.72,7595589,$100.52,$102.65,$100.22
07/10/2024,$100.68,6483597,$100.90,$101.18,$99.42
07/09/2024,$101.11,5649424,$100.24,$101.68,$100.02
07/08/2024,$100.10,8738074,$100.65,$101.2053,$99.98
07/05/2024,$100.37,6153519,$100.49,$100.57,$99.5648
07/03/2024,$100.74,2149212,$100.90,$101.04,$100.383
07/02/2024,$100.41,8299941,$99.29,$100.63,$99.071
07/01/2024,$99.55,4475275,$100.88,$101.68,$99.31
06/28/2024,$100.39,13853220,$100.90,$100.90,$100.06
06/27/2024,$100.62,6955459,$101.47,$101.78,$100.425
06/26/2024,$101.26,6953826,$100.93,$101.39,$100.1529
06/25/2024,$101.57,10306700,$101.39,$102.70,$100.03
06/24/2024,$101.96,13704770,$105.74,$107.475,$100.94
06/21/2024,$105.61,13311890,$105.19,$106.19,$104.68
06/20/2024,$105.07,6996421,$104.63,$105.73,$104.55
06/18/2024,$104.77,3991507,$104.57,$105.31,$104.375
06/17/2024,$104.47,3943685,$104.00,$104.49,$103.47
06/14/2024,$104.23,4917244,$104.59,$104.9889,$103.44
06/13/2024,$105.03,7112945,$106.57,$106.855,$103.84
06/12/2024,$106.77,3429992,$107.01,$107.72,$106.58
06/11/2024,$106.92,5769457,$106.39,$107.145,$106.14
06/10/2024,$107.09,5918493,$108.00,$108.10,$106.6701
06/07/2024,$108.11,3526533,$108.10,$108.56,$107.875
06/06/2024,$108.18,3875136,$108.38,$108.47,$107.75
06/05/2024,$108.44,3141222,$108.01,$108.515,$107.481
06/04/2024,$107.90,7998037,$107.41,$108.385,$106.92
06/03/2024,$107.37,5908797,$107.24,$108.65,$106.82
05/31/2024,$107.81,10411930,$105.82,$107.88,$105.46
05/30/2024,$105.72,4398900,$104.90,$105.85,$104.58
05/29/2024,$104.57,4796924,$105.02,$105.22,$104.50
05/28/2024,$105.52,5137171,$106.03,$106.35,$105.28
05/24/2024,$106.27,3431308,$105.83,$106.57,$105.83
05/23/2024,$105.41,5787127,$106.44,$107.32,$105.34
05/22/2024,$106.31,3626254,$105.63,$106.45,$105.41
05/21/2024,$105.43,4754825,$105.20,$105.93,$105.10
05/20/2024,$105.02,4412797,$104.41,$105.42,$104.35
05/17/2024,$104.18,8501013,$104.69,$104.775,$103.71
05/16/2024,$104.24,8723795,$104.50,$105.36,$104.15
05/15/2024,$105.35,5688303,$105.49,$105.98,$105.14
05/14/2024,$105.70,3726206,$105.80,$106.29,$105.65
05/13/2024,$105.80,6045495,$106.44,$107.815,$105.68
05/10/2024,$106.32,5626052,$106.00,$106.53,$105.54
05/09/2024,$105.74,7211300,$104.11,$105.76,$104.08
05/08/2024,$103.94,5177766,$103.24,$104.0899,$102.81
05/07/2024,$103.23,6933236,$102.27,$103.26,$102.12
05/06/2024,$101.91,3408663,$101.79,$102.05,$101.615
05/03/2024,$101.40,13324870,$102.00,$102.17,$100.67
05/02/2024,$101.89,6084415,$101.20,$101.91,$101.02
05/01/2024,$101.22,9982561,$101.32,$102.03,$101.14
04/30/2024,$101.52,5421771,$102.34,$102.82,$101.47
04/29/2024,$102.44,4470389,$101.85,$102.61,$101.65
04/26/2024,$101.41,4428318,$101.54,$101.80,$100.29
04/25/2024,$101.71,6186056,$100.90,$101.88,$100.59
04/24/2024,$101.02,7722056,$101.72,$101.89,$100.01
