Date,Close/Last,Volume,Open,High,Low
09/06/2024,$115.41,643237,$117.12,$118.82,$114.92
09/05/2024,$117.12,603152,$117.65,$117.76,$116.23
09/04/2024,$117.63,622589,$119.41,$119.81,$117.36
09/03/2024,$119.74,544635,$121.51,$122.81,$118.94
08/30/2024,$122.54,786607,$122.56,$123.24,$120.74
08/29/2024,$122.18,460690,$122.01,$122.97,$120.74
08/28/2024,$121.29,571201,$121.62,$123.41,$120.82
08/27/2024,$122.44,542033,$121.06,$122.54,$120.26
08/26/2024,$121.18,448435,$121.67,$122.125,$120.79
08/23/2024,$121.25,578662,$120.41,$121.86,$119.01
08/22/2024,$119.39,404177,$121.07,$121.345,$119.00
08/21/2024,$120.73,475592,$120.43,$120.91,$119.2425
08/20/2024,$119.50,558943,$120.34,$121.26,$119.43
08/19/2024,$120.24,552579,$119.91,$120.78,$119.30
08/16/2024,$119.66,597396,$119.53,$120.99,$119.02
08/15/2024,$119.98,531957,$118.25,$120.40,$117.77
08/14/2024,$117.44,475275,$119.44,$119.47,$116.955
08/13/2024,$119.07,526624,$118.30,$119.99,$117.67
08/12/2024,$117.98,485478,$118.75,$118.75,$116.62
08/09/2024,$118.75,512684,$118.73,$119.36,$117.75
08/08/2024,$119.13,519577,$115.64,$119.14,$115.20
08/07/2024,$115.64,1131143,$121.11,$121.14,$115.31
08/06/2024,$120.03,640803,$120.48,$123.64,$119.791
08/05/2024,$120.19,860115,$121.19,$122.05,$118.59
08/02/2024,$123.27,1063057,$124.05,$124.93,$118.7501
08/01/2024,$125.03,1113154,$126.43,$127.86,$123.01
07/31/2024,$125.61,893152,$127.20,$128.15,$125.04
07/30/2024,$127.16,1413466,$126.02,$127.70,$122.62
07/29/2024,$125.59,2220521,$121.44,$126.08,$118.11
07/26/2024,$115.15,1384132,$113.94,$116.775,$113.31
07/25/2024,$112.81,1216593,$111.40,$114.135,$111.40
07/24/2024,$111.61,887129,$110.34,$112.615,$110.32
07/23/2024,$110.04,742579,$112.29,$112.29,$108.99
07/22/2024,$110.69,520257,$109.01,$110.80,$108.03
07/19/2024,$108.15,615457,$109.99,$109.99,$106.92
07/18/2024,$109.87,873277,$111.86,$113.74,$109.405
07/17/2024,$113.38,799259,$113.12,$114.11,$112.47
07/16/2024,$113.12,1498572,$108.66,$113.79,$108.23
07/15/2024,$108.11,1109625,$109.29,$109.78,$107.64
07/12/2024,$109.52,1785726,$110.40,$111.67,$109.27
07/11/2024,$109.82,556635,$108.20,$110.85,$107.70
07/10/2024,$106.69,661788,$104.54,$106.97,$104.0525
07/09/2024,$104.01,488551,$104.84,$105.395,$102.88
07/08/2024,$104.64,660729,$104.90,$104.97,$103.695
07/05/2024,$103.56,475566,$102.99,$103.80,$101.86
07/03/2024,$102.56,381600,$102.63,$103.04,$101.295
07/02/2024,$102.01,650993,$102.95,$103.75,$101.72
07/01/2024,$103.00,1070691,$104.87,$107.18,$102.97
06/28/2024,$104.86,1670672,$105.62,$106.56,$103.11
06/27/2024,$105.71,1092608,$103.68,$106.02,$103.26
06/26/2024,$104.32,809058,$104.31,$104.85,$103.82
06/25/2024,$104.64,606368,$106.65,$106.74,$104.06
06/24/2024,$106.90,553238,$108.44,$108.44,$106.65
06/21/2024,$107.98,844991,$107.76,$109.07,$107.08
06/20/2024,$107.50,688600,$106.30,$107.73,$105.86
06/18/2024,$107.29,583157,$107.32,$108.375,$106.55
06/17/2024,$107.39,629802,$108.29,$109.11,$106.80
06/14/2024,$108.65,1078325,$110.01,$110.70,$107.62
06/13/2024,$110.72,2137041,$112.03,$112.37,$109.605
06/12/2024,$112.55,1010470,$111.36,$112.89,$111.33
06/11/2024,$109.70,832482,$108.80,$110.035,$108.02
06/10/2024,$109.30,919071,$110.39,$110.43,$108.515
06/07/2024,$110.92,736825,$110.30,$111.05,$109.60
06/06/2024,$111.02,713452,$107.31,$111.31,$106.10
06/05/2024,$109.86,497929,$108.68,$110.2706,$107.79
06/04/2024,$108.53,593255,$108.81,$110.00,$107.78
06/03/2024,$108.80,826356,$109.39,$110.82,$107.70
05/31/2024,$109.26,1451822,$108.61,$109.78,$107.29
05/30/2024,$108.34,2072984,$105.00,$108.62,$103.41
05/29/2024,$109.75,803464,$110.86,$111.28,$108.44
05/28/2024,$111.86,1166567,$113.05,$113.96,$111.03
05/24/2024,$113.27,647663,$112.15,$113.46,$111.755
05/23/2024,$111.89,1046536,$112.24,$113.23,$110.70
05/22/2024,$112.67,864122,$112.88,$114.335,$112.53
05/21/2024,$113.23,1052201,$111.54,$113.50,$109.6528
05/20/2024,$112.02,883877,$110.12,$112.255,$109.80
05/17/2024,$110.23,1087199,$108.78,$110.33,$107.44
05/16/2024,$108.46,1232419,$106.69,$109.615,$106.17
05/15/2024,$107.31,1477389,$108.20,$108.49,$107.17
05/14/2024,$106.53,884026,$106.53,$107.25,$104.69
05/13/2024,$105.55,550835,$104.94,$106.76,$104.94
05/10/2024,$104.80,608005,$104.83,$106.13,$104.565
05/09/2024,$104.34,403258,$102.68,$104.41,$102.03
05/08/2024,$102.83,489319,$102.97,$103.54,$102.75
05/07/2024,$103.17,502546,$103.32,$103.89,$102.8466
