Date,Close/Last,Volume,Open,High,Low
09/06/2024,$62.90,8331675,$63.77,$64.36,$62.45
09/05/2024,$63.69,5552141,$64.54,$64.66,$63.40
09/04/2024,$63.90,5489875,$64.80,$65.06,$63.38
09/03/2024,$64.79,6540792,$64.22,$65.00,$64.15
08/30/2024,$65.10,6549183,$65.10,$65.54,$64.54
08/29/2024,$64.93,6429705,$64.29,$65.04,$63.83
08/28/2024,$63.98,8135498,$63.91,$64.425,$63.21
08/27/2024,$63.91,7006043,$64.36,$64.4699,$63.705
08/26/2024,$64.48,7439339,$64.65,$65.2964,$64.15
08/23/2024,$64.39,13127820,$64.70,$65.13,$63.75
08/22/2024,$64.27,19988760,$62.675,$64.50,$62.60
08/21/2024,$64.57,7814383,$65.00,$65.11,$64.21
08/20/2024,$64.84,5381434,$65.50,$65.63,$64.72
08/19/2024,$65.58,4303599,$65.58,$66.145,$65.31
08/16/2024,$65.55,5335188,$65.02,$65.57,$64.925
08/15/2024,$65.23,7612773,$66.00,$66.38,$64.59
08/14/2024,$65.36,15942070,$63.75,$65.96,$63.16
08/13/2024,$62.49,8774010,$61.97,$62.51,$61.32
08/12/2024,$61.77,6993993,$62.69,$62.78,$61.21
08/09/2024,$62.41,4255160,$62.38,$62.80,$62.08
08/08/2024,$62.78,6138735,$62.79,$63.19,$62.13
08/07/2024,$62.22,7331055,$63.54,$63.95,$62.075
08/06/2024,$62.80,7691941,$62.42,$63.77,$61.58
08/05/2024,$62.29,7873798,$61.62,$62.92,$61.1506
08/02/2024,$63.39,10258520,$62.74,$64.10,$62.13
08/01/2024,$63.71,9895981,$65.20,$65.55,$63.405
07/31/2024,$65.19,6982733,$65.32,$65.56,$64.57
07/30/2024,$64.91,8022574,$65.92,$65.99,$64.17
07/29/2024,$65.30,9962882,$65.97,$66.39,$65.04
07/26/2024,$66.60,11168800,$66.54,$67.40,$66.48
07/25/2024,$66.24,12194250,$64.39,$66.89,$64.39
07/24/2024,$64.08,11836520,$65.31,$66.39,$64.00
07/23/2024,$65.14,14758590,$64.64,$66.37,$64.64
07/22/2024,$64.75,16727150,$62.94,$64.89,$62.87
07/19/2024,$62.08,14768630,$62.67,$62.78,$61.32
07/18/2024,$62.27,21576170,$62.89,$63.40,$61.85
07/17/2024,$63.80,42877570,$66.26,$66.60,$61.01
07/16/2024,$67.43,34310850,$70.21,$70.71,$67.39
07/15/2024,$75.07,10069320,$73.61,$76.10,$73.36
07/12/2024,$75.38,6543509,$76.32,$76.7001,$75.18
07/11/2024,$76.08,5797584,$74.97,$76.44,$74.70
07/10/2024,$74.63,4527335,$74.35,$74.73,$74.06
07/09/2024,$74.53,4973600,$73.03,$74.89,$72.89
07/08/2024,$73.24,5338165,$74.20,$74.51,$73.11
07/05/2024,$73.20,3232980,$73.87,$74.15,$73.15
07/03/2024,$74.13,2502054,$74.25,$74.61,$73.80
07/02/2024,$74.15,4925305,$73.25,$74.18,$73.22
07/01/2024,$73.42,3902863,$73.97,$74.17,$73.27
06/28/2024,$73.69,8997560,$74.00,$74.21,$73.10
06/27/2024,$73.56,5564410,$72.78,$73.62,$72.51
06/26/2024,$73.26,4684139,$73.57,$74.06,$73.18
06/25/2024,$73.90,5892959,$74.30,$74.3495,$73.49
06/24/2024,$74.53,8341007,$73.36,$74.97,$73.19
06/21/2024,$73.34,12242910,$72.58,$73.575,$71.93
06/20/2024,$72.70,5785202,$72.54,$73.02,$72.18
06/18/2024,$72.84,5868562,$72.76,$73.1386,$72.435
06/17/2024,$72.81,5689243,$72.91,$72.92,$72.025
06/14/2024,$73.25,5756153,$72.49,$73.49,$72.11
06/13/2024,$73.39,4147276,$73.52,$73.70,$72.71
06/12/2024,$73.56,5587336,$74.55,$75.00,$73.49
06/11/2024,$73.45,6048493,$73.77,$73.87,$72.62
06/10/2024,$74.11,5337768,$73.44,$74.18,$73.14
06/07/2024,$73.93,5371097,$74.00,$74.87,$73.72
06/06/2024,$74.25,4669390,$74.46,$74.60,$73.73
06/05/2024,$74.39,7010057,$72.42,$74.665,$72.33
06/04/2024,$71.99,3887905,$71.83,$72.54,$71.65
06/03/2024,$72.37,4365000,$73.21,$73.33,$72.0364
05/31/2024,$73.28,8617439,$71.76,$73.37,$71.58
05/30/2024,$71.88,7080032,$70.73,$72.00,$70.60
05/29/2024,$70.53,5617442,$69.90,$70.76,$69.48
05/28/2024,$70.79,8486314,$72.09,$72.09,$70.56
05/24/2024,$72.27,6152159,$72.64,$73.09,$72.17
05/23/2024,$72.34,14676490,$74.59,$74.73,$71.69
05/22/2024,$75.27,13806620,$78.66,$79.49,$75.01
05/21/2024,$78.90,6067529,$78.50,$79.34,$78.08
05/20/2024,$78.66,5559412,$78.80,$79.13,$78.15
05/17/2024,$78.78,6467194,$78.30,$79.22,$77.77
05/16/2024,$78.04,7992947,$78.07,$78.52,$77.32
05/15/2024,$78.68,6601314,$77.42,$78.79,$77.38
05/14/2024,$77.07,9566077,$75.00,$77.27,$74.85
05/13/2024,$74.70,5488050,$76.17,$76.41,$74.665
05/10/2024,$76.11,5103040,$75.80,$76.25,$75.53
05/09/2024,$75.44,6091501,$75.99,$76.345,$75.44
05/08/2024,$76.40,5190121,$75.44,$76.615,$75.32
05/07/2024,$75.54,7337005,$76.99,$77.05,$75.41
05/06/2024,$76.86,4857630,$76.50,$76.93,$75.87
05/03/2024,$76.04,5414735,$76.08,$76.47,$75.17
05/02/2024,$75.33,5591287,$75.37,$75.47,$74.35
05/01/2024,$74.57,7016117,$73.96,$75.37,$73.45
04/30/2024,$73.95,6725674,$74.37,$74.44,$73.62
04/29/2024,$74.56,5778877,$74.91,$75.49,$74.43
04/26/2024,$74.99,5560677,$74.96,$75.30,$74.52
04/25/2024,$74.89,6375353,$74.93,$75.46,$74.00
04/24/2024,$75.19,6038846,$74.47,$75.55,$74.36
04/23/2024,$75.23,9244359,$74.35,$75.37,$74.18
04/22/2024,$74.26,8847494,$73.96,$74.98,$73.22
04/19/2024,$73.42,8489366,$73.40,$73.88,$72.86
04/18/2024,$72.93,8208306,$72.53,$73.84,$71.96
04/17/2024,$72.50,9852765,$73.50,$73.8765,$72.32
04/16/2024,$73.07,12021570,$71.50,$73.26,$70.37
04/15/2024,$71.23,14417610,$70.50,$73.65,$70.47
04/12/2024,$70.03,8614981,$69.71,$70.87,$69.47
04/11/2024,$70.62,5891810,$70.86,$71.28,$69.82
04/10/2024,$71.10,7750362,$71.55,$72.07,$70.12
04/09/2024,$72.28,5024227,$72.54,$72.80,$71.49
04/08/2024,$72.37,5846226,$72.27,$72.775,$71.82
04/05/2024,$71.89,4255194,$71.48,$72.125,$71.21
04/04/2024,$71.35,7855327,$72.23,$72.97,$71.08
04/03/2024,$71.42,5296040,$71.43,$72.24,$71.28
04/02/2024,$71.46,5373777,$72.00,$72.16,$70.97
04/01/2024,$72.37,4070802,$72.29,$72.63,$71.85
03/28/2024,$72.34,6865003,$72.40,$72.60,$71.70
03/27/2024,$72.38,7358004,$71.40,$72.45,$71.30
03/26/2024,$71.00,5659141,$71.39,$71.53,$70.9139
03/25/2024,$71.33,6578712,$71.46,$72.32,$70.99
03/22/2024,$71.60,7231327,$72.64,$72.945,$71.56
03/21/2024,$71.85,10466850,$69.99,$72.00,$69.94
03/20/2024,$69.67,6836101,$68.37,$69.78,$68.06
03/19/2024,$68.35,7979213,$67.60,$68.455,$67.36
03/18/2024,$67.40,6567372,$66.72,$67.57,$66.67
03/15/2024,$67.04,11825850,$66.13,$67.81,$66.13
03/14/2024,$66.60,11673760,$66.72,$67.325,$66.03
03/13/2024,$67.13,8202506,$66.71,$67.61,$66.67
03/12/2024,$66.50,9498024,$67.17,$67.37,$65.85
03/11/2024,$66.95,8456529,$67.20,$67.665,$66.83
03/08/2024,$67.17,9029563,$68.41,$69.03,$67.15
03/07/2024,$68.19,5326207,$68.55,$68.82,$68.15
03/06/2024,$68.10,6624810,$68.49,$68.57,$67.13
03/05/2024,$68.10,6170180,$67.27,$68.47,$67.21
03/04/2024,$67.64,5805146,$66.64,$68.17,$66.615
03/01/2024,$66.47,7875353,$66.62,$66.915,$65.70
02/29/2024,$66.78,8522945,$66.02,$66.84,$65.8723
02/28/2024,$65.65,5123809,$65.18,$66.07,$64.89
02/27/2024,$65.35,5484227,$64.54,$65.41,$64.49
02/26/2024,$64.40,5377286,$64.44,$65.16,$64.28
02/23/2024,$64.44,4196879,$64.55,$65.15,$64.30
02/22/2024,$64.63,6084275,$64.71,$65.19,$64.34
02/21/2024,$64.13,5188122,$63.37,$64.175,$62.90
02/20/2024,$63.58,5357472,$63.93,$64.38,$63.38
02/16/2024,$64.40,6057159,$64.44,$64.90,$63.865
02/15/2024,$64.63,8268291,$63.26,$65.245,$63.20
02/14/2024,$63.03,6324862,$63.16,$63.40,$62.16
02/13/2024,$62.71,8998846,$63.65,$63.92,$61.68
02/12/2024,$64.50,6692541,$63.31,$65.12,$63.31
02/09/2024,$63.37,7562830,$62.52,$63.41,$62.345
02/08/2024,$62.47,5689098,$62.24,$62.91,$61.905
02/07/2024,$62.43,6990500,$62.07,$62.775,$61.68
02/06/2024,$61.89,6174606,$62.36,$62.88,$61.67
02/05/2024,$62.37,6953761,$62.50,$62.76,$61.48
02/02/2024,$62.94,9803067,$62.00,$63.32,$61.54
02/01/2024,$62.27,8942588,$62.92,$63.38,$61.165
01/31/2024,$62.92,8916099,$63.67,$64.165,$62.89
01/30/2024,$64.38,5641215,$63.58,$64.48,$63.37
01/29/2024,$63.94,5546779,$63.68,$64.08,$63.38
01/26/2024,$64.04,5108549,$63.95,$64.725,$63.74
01/25/2024,$63.71,5904430,$63.94,$64.05,$63.14
01/24/2024,$63.48,5977583,$64.50,$64.69,$63.43
01/23/2024,$63.92,5857433,$64.00,$64.29,$63.44
01/22/2024,$63.63,10041680,$63.85,$64.54,$63.29
01/19/2024,$63.78,12711190,$63.03,$63.80,$61.90
01/18/2024,$62.72,11301820,$63.23,$63.23,$61.925
01/17/2024,$63.45,24688390,$60.93,$63.87,$59.67
01/16/2024,$64.31,12604120,$64.30,$64.88,$63.75
01/12/2024,$65.23,8457692,$65.65,$66.05,$64.47
01/11/2024,$65.26,8294820,$65.49,$65.67,$64.82
01/10/2024,$65.82,7990068,$65.86,$66.33,$65.50
01/09/2024,$66.75,7069289,$67.00,$67.355,$66.61
01/08/2024,$67.80,6534226,$67.00,$68.16,$66.515
01/05/2024,$67.23,7243190,$66.91,$68.0399,$66.62
01/04/2024,$66.89,6754965,$66.74,$67.93,$66.43
01/03/2024,$67.05,10661910,$67.05,$67.615,$66.30
01/02/2024,$69.10,10111240,$68.13,$69.19,$67.55
12/29/2023,$68.80,6047722,$69.65,$69.70,$68.73
12/28/2023,$69.55,4352176,$69.32,$69.84,$69.26
12/27/2023,$69.27,4320167,$68.79,$69.37,$68.42
12/26/2023,$68.95,3565748,$68.40,$69.20,$68.27
12/22/2023,$68.58,4456929,$68.25,$69.13,$68.03
12/21/2023,$68.18,8674296,$67.62,$68.545,$67.335
12/20/2023,$67.12,11408640,$69.18,$71.00,$67.06
12/19/2023,$69.74,10781050,$69.26,$69.85,$68.87
12/18/2023,$69.31,12870830,$71.13,$71.34,$69.22
12/15/2023,$70.98,21428000,$70.67,$71.40,$70.10
12/14/2023,$70.94,26968360,$67.71,$71.17,$67.71
12/13/2023,$66.30,13922540,$64.74,$66.405,$64.295
12/12/2023,$64.57,8274239,$64.03,$64.625,$63.59
12/11/2023,$64.02,8281670,$63.95,$64.37,$63.64
12/08/2023,$64.07,10159700,$63.00,$64.33,$62.86
12/07/2023,$62.96,9500672,$62.69,$63.04,$62.08
12/06/2023,$62.16,8544485,$62.89,$63.615,$62.09
12/05/2023,$62.23,7172559,$62.31,$62.39,$61.52
12/04/2023,$62.64,11690880,$62.50,$63.35,$62.30
12/01/2023,$63.16,17131570,$60.87,$63.17,$60.36
11/30/2023,$61.32,20200290,$59.66,$61.80,$59.61
11/29/2023,$59.61,15656630,$56.00,$59.9308,$56.00
11/28/2023,$55.81,7865988,$55.97,$56.60,$55.59
11/27/2023,$56.00,8715157,$56.00,$56.34,$55.78
11/24/2023,$56.43,2725621,$56.09,$56.47,$55.795
11/22/2023,$55.93,6830255,$56.32,$56.48,$55.42
11/21/2023,$55.99,4901169,$56.39,$56.45,$55.90
11/20/2023,$56.56,8237270,$56.69,$56.97,$56.035
11/17/2023,$56.78,7367936,$56.41,$56.80,$55.85
11/16/2023,$55.67,10189370,$56.02,$56.12,$55.09
11/15/2023,$56.08,10245470,$55.30,$56.79,$55.27
11/14/2023,$54.79,15361390,$55.60,$55.935,$54.24
11/13/2023,$53.96,9827159,$53.98,$54.605,$53.60
11/10/2023,$54.41,6362153,$54.65,$54.65,$53.49
11/09/2023,$54.16,8548710,$55.00,$55.15,$53.96
11/08/2023,$54.90,6386779,$55.23,$55.335,$54.63
11/07/2023,$55.23,10955870,$55.51,$55.87,$54.41
11/06/2023,$55.62,10580060,$55.97,$56.20,$54.58
11/03/2023,$55.83,12839230,$56.41,$56.84,$55.47
11/02/2023,$54.93,14948760,$53.58,$55.085,$53.51
11/01/2023,$52.82,13862690,$52.06,$53.52,$51.86
10/31/2023,$52.04,13193510,$50.88,$52.17,$50.30
10/30/2023,$50.75,9292958,$50.72,$51.11,$49.71
10/27/2023,$50.12,10574810,$51.04,$51.39,$49.90
10/26/2023,$51.43,14097550,$49.19,$51.83,$49.16
10/25/2023,$49.37,8056408,$49.49,$49.61,$48.66
10/24/2023,$49.83,9022915,$49.73,$50.17,$49.28
10/23/2023,$49.33,10885590,$50.70,$50.91,$49.28
10/20/2023,$50.87,9786418,$51.50,$51.85,$50.53
10/19/2023,$51.90,9981699,$52.10,$52.50,$51.58
10/18/2023,$51.84,9949099,$53.50,$53.91,$51.655
10/17/2023,$53.69,15991280,$53.25,$54.305,$52.0714
10/16/2023,$53.72,20509440,$50.61,$54.5993,$50.33
10/13/2023,$51.33,12480280,$52.01,$52.2413,$51.08
10/12/2023,$51.51,9412324,$52.03,$52.13,$50.765
10/11/2023,$51.91,8068491,$51.87,$52.49,$51.1219
10/10/2023,$51.78,8373761,$52.16,$52.59,$51.71
10/09/2023,$51.75,8168646,$50.86,$51.78,$50.84
10/06/2023,$51.52,11471270,$50.54,$51.85,$49.66
10/05/2023,$51.06,8601704,$51.11,$51.405,$50.02
10/04/2023,$51.41,10421900,$51.26,$51.58,$50.735
10/03/2023,$51.30,15459410,$52.93,$53.01,$50.75
10/02/2023,$53.55,8859268,$54.74,$54.96,$53.27
09/29/2023,$54.90,8061705,$55.10,$55.8099,$54.64
09/28/2023,$54.55,6154271,$54.52,$54.78,$53.91
09/27/2023,$54.38,7746685,$54.43,$55.23,$54.115
09/26/2023,$54.20,8948773,$54.74,$54.98,$53.53
09/25/2023,$55.35,6994312,$54.96,$55.525,$54.56
09/22/2023,$55.15,7022755,$56.00,$56.20,$55.12
09/21/2023,$56.01,8687342,$56.24,$56.85,$55.95
09/20/2023,$56.67,8877239,$57.91,$58.39,$56.63
09/19/2023,$57.73,7314305,$57.84,$58.20,$57.39
09/18/2023,$57.86,8713543,$57.99,$58.25,$56.94
09/15/2023,$58.22,23653410,$58.00,$58.62,$56.82
09/14/2023,$59.76,8074216,$59.35,$59.93,$59.07
09/13/2023,$58.73,13621260,$60.80,$60.98,$57.895
09/12/2023,$60.52,9448205,$59.91,$61.15,$59.81
09/11/2023,$59.82,7641813,$59.89,$60.5903,$59.62
09/08/2023,$59.33,9556433,$57.63,$59.43,$57.58
09/07/2023,$57.82,6351593,$58.25,$58.6033,$57.62
09/06/2023,$58.27,8534787,$58.97,$59.30,$57.665
09/05/2023,$59.68,6085835,$60.70,$60.96,$59.625
09/01/2023,$60.50,9392583,$59.57,$60.86,$59.50
08/31/2023,$59.15,6687685,$59.78,$59.85,$59.03
08/30/2023,$59.78,10298980,$59.61,$60.255,$59.29
08/29/2023,$59.45,7604212,$59.12,$59.9012,$58.50
08/28/2023,$59.05,4952719,$58.52,$59.17,$58.47
08/25/2023,$58.15,8367181,$58.23,$58.55,$57.58
08/24/2023,$57.84,6727382,$58.00,$58.69,$57.39
08/23/2023,$58.02,10628410,$56.45,$58.115,$56.35
08/22/2023,$56.46,17506470,$59.70,$59.70,$56.26
08/21/2023,$59.40,7448788,$59.54,$59.69,$58.67
08/18/2023,$59.52,5949355,$59.09,$59.85,$58.96
08/17/2023,$59.77,8660735,$60.30,$60.64,$59.64
08/16/2023,$60.45,6402762,$60.51,$61.04,$60.365
08/15/2023,$60.97,8753427,$61.00,$61.36,$60.38
08/14/2023,$61.78,12327550,$63.73,$63.77,$61.535
08/11/2023,$64.08,6573186,$64.24,$64.875,$63.94
08/10/2023,$64.54,7346990,$65.24,$65.90,$64.495
08/09/2023,$65.29,6617525,$65.40,$65.935,$64.85
08/08/2023,$65.52,6325623,$64.78,$65.69,$63.86
08/07/2023,$65.97,5825119,$65.37,$66.07,$65.20
08/04/2023,$64.92,7367023,$65.81,$65.95,$64.715
08/03/2023,$65.87,7428392,$65.06,$66.26,$65.00
08/02/2023,$65.34,9587630,$65.13,$65.59,$64.83
08/01/2023,$65.72,5946189,$65.74,$65.94,$65.38
07/31/2023,$66.10,8653024,$66.12,$66.21,$65.23
07/28/2023,$65.96,6681313,$66.10,$66.57,$65.71
07/27/2023,$65.82,9199033,$66.45,$67.52,$65.58
07/26/2023,$66.62,6704694,$65.68,$67.07,$65.65
07/25/2023,$65.44,9973193,$66.20,$66.67,$65.1481
07/24/2023,$66.56,7414643,$66.69,$67.34,$66.34
07/21/2023,$66.48,9887944,$68.19,$68.26,$66.46
07/20/2023,$67.94,13621630,$65.97,$67.98,$65.78
07/19/2023,$66.04,22152960,$67.87,$68.80,$66.02
07/18/2023,$66.01,45988500,$64.65,$66.95,$64.00
07/17/2023,$58.64,15512650,$58.38,$59.3375,$58.10
07/14/2023,$58.52,12775200,$60.26,$60.27,$58.48
07/13/2023,$59.93,12598340,$58.74,$59.98,$58.70
07/12/2023,$58.41,8909938,$58.20,$58.80,$58.00
07/11/2023,$57.58,8436386,$58.00,$58.13,$57.38
07/10/2023,$57.83,8258896,$57.75,$57.99,$57.09
07/07/2023,$56.79,9493648,$55.81,$57.40,$55.73
07/06/2023,$55.96,8739480,$56.17,$56.50,$55.435
07/05/2023,$56.69,7985088,$57.38,$57.56,$56.5692
07/03/2023,$57.72,6410597,$56.64,$58.095,$56.64
06/30/2023,$56.68,18007610,$57.55,$57.82,$56.07
06/29/2023,$57.14,15151100,$56.82,$57.345,$56.49
06/28/2023,$55.78,9910623,$55.46,$55.81,$55.04
06/27/2023,$55.22,12367320,$53.74,$55.40,$53.07
06/26/2023,$53.41,10131400,$53.31,$53.64,$52.965
06/23/2023,$53.17,21942900,$52.70,$53.355,$52.51
06/22/2023,$53.21,9013342,$53.95,$53.98,$52.75
06/21/2023,$53.97,13934120,$53.80,$54.12,$53.41
06/20/2023,$53.93,9155499,$53.99,$54.14,$53.405
06/16/2023,$54.40,19693530,$55.89,$55.89,$54.265
06/15/2023,$55.51,12833830,$54.13,$55.60,$53.95
06/14/2023,$54.35,14994420,$54.20,$55.34,$53.71
06/13/2023,$54.75,10611600,$54.00,$55.12,$53.8277
06/12/2023,$53.97,11272120,$54.95,$55.04,$53.105
06/09/2023,$55.00,7866240,$55.14,$55.325,$54.7177
06/08/2023,$55.03,11732560,$55.46,$55.60,$53.91
06/07/2023,$55.63,15622220,$54.98,$56.12,$54.34
06/06/2023,$54.61,10894770,$53.84,$54.68,$53.69
06/05/2023,$54.41,8657951,$54.40,$54.59,$53.4533
06/02/2023,$54.37,12279840,$53.15,$54.6701,$53.15
06/01/2023,$52.70,10750340,$53.25,$53.31,$52.37
05/31/2023,$52.69,17631540,$53.38,$53.55,$52.4706
05/30/2023,$53.84,12334160,$54.00,$54.3538,$53.19
05/26/2023,$53.67,11521420,$54.22,$54.50,$53.375
05/25/2023,$54.24,18822360,$51.90,$54.265,$51.71
05/24/2023,$52.08,10073270,$52.27,$52.65,$51.94
05/23/2023,$52.79,14865320,$52.22,$53.345,$52.16
05/22/2023,$51.97,9277357,$52.00,$52.14,$51.255
05/19/2023,$51.67,11963870,$52.13,$52.2155,$51.12
05/18/2023,$51.75,12764920,$51.96,$52.15,$51.00
05/17/2023,$51.82,19884430,$50.71,$52.17,$50.0679
05/16/2023,$50.09,12361190,$50.67,$51.20,$50.08
05/15/2023,$50.94,22098030,$50.51,$51.795,$50.20
05/12/2023,$48.94,19336830,$48.70,$49.79,$48.32
05/11/2023,$47.73,11764020,$47.15,$47.78,$46.55
05/10/2023,$47.55,12343400,$48.64,$48.72,$47.195
05/09/2023,$47.94,11467370,$47.54,$48.28,$47.11
05/08/2023,$47.63,19204700,$49.98,$50.26,$47.50
05/05/2023,$49.24,22019600,$49.10,$50.28,$48.57
05/04/2023,$47.37,26316220,$47.18,$47.60,$45.65
05/03/2023,$48.03,22505350,$50.38,$50.59,$47.75
05/02/2023,$50.10,20934450,$51.60,$51.70,$49.05
05/01/2023,$51.81,11040990,$52.11,$53.08,$51.395
04/28/2023,$52.24,12797330,$51.16,$52.43,$50.7998
04/27/2023,$51.73,12315870,$50.73,$52.30,$50.355
04/26/2023,$50.60,11422580,$50.52,$51.27,$50.30
04/25/2023,$51.03,17042880,$52.63,$52.84,$50.86
04/24/2023,$53.12,13246070,$53.65,$54.22,$53.01
04/21/2023,$53.80,17572810,$54.26,$54.31,$53.10
04/20/2023,$54.00,24735680,$54.56,$55.88,$53.75
04/19/2023,$55.55,35415560,$54.00,$56.27,$53.99
04/18/2023,$54.00,36872340,$52.50,$54.25,$52.28
04/17/2023,$52.77,52377600,$49.50,$52.82,$49.00
04/14/2023,$50.77,32171900,$52.16,$52.28,$50.12
04/13/2023,$51.49,16165120,$51.62,$51.945,$51.30
04/12/2023,$51.92,19174380,$52.07,$52.78,$51.265
04/11/2023,$51.71,19861930,$51.55,$52.285,$51.23
04/10/2023,$51.72,31528540,$49.51,$52.17,$49.49
04/06/2023,$49.35,28155030,$48.80,$49.74,$48.571
04/05/2023,$48.87,37752990,$49.07,$49.42,$48.36
04/04/2023,$50.00,29144530,$51.65,$51.9392,$49.89
04/03/2023,$51.57,24883210,$52.78,$53.59,$51.54
03/31/2023,$52.38,43886080,$52.45,$52.6494,$50.76
