Date,Close/Last,Volume,Open,High,Low
09/06/2024,$360.83,1171249,$360.56,$364.31,$357.91
09/05/2024,$360.08,874304,$363.12,$363.44,$358.01
09/04/2024,$362.70,990288,$363.55,$365.64,$361.46
09/03/2024,$363.75,1446193,$368.36,$371.19,$362.42
08/30/2024,$369.37,1882204,$362.73,$370.27,$361.15
08/29/2024,$360.61,847527,$362.84,$363.15,$359.36
08/28/2024,$361.70,1156677,$360.79,$362.9225,$359.52
08/27/2024,$359.98,1380247,$360.69,$362.91,$359.06
08/26/2024,$360.69,1359341,$359.88,$363.125,$359.33
08/23/2024,$358.73,1358595,$359.37,$360.695,$357.27
08/22/2024,$357.91,1077661,$359.08,$360.31,$356.68
08/21/2024,$357.97,1238500,$355.34,$358.88,$354.43
08/20/2024,$355.34,1739771,$355.48,$358.50,$354.38
08/19/2024,$356.00,1457482,$354.82,$356.495,$353.56
08/16/2024,$354.40,1023717,$355.91,$356.55,$351.726
08/15/2024,$356.47,1277819,$355.05,$357.64,$353.835
08/14/2024,$352.15,1230808,$349.40,$352.36,$348.33
08/13/2024,$349.08,2487716,$343.24,$350.50,$343.01
08/12/2024,$343.24,1789958,$345.39,$345.895,$342.05
08/09/2024,$345.64,1763139,$341.75,$346.68,$341.75
08/08/2024,$342.71,1774129,$341.60,$344.58,$340.04
08/07/2024,$339.71,1909760,$346.66,$347.53,$338.861
08/06/2024,$344.12,2579245,$339.63,$346.51,$337.87
08/05/2024,$339.09,2539114,$341.08,$345.075,$336.1168
08/02/2024,$347.25,1446528,$348.42,$349.34,$342.57
08/01/2024,$350.38,1351574,$351.38,$353.58,$346.86
07/31/2024,$350.80,1785322,$354.49,$355.70,$348.06
07/30/2024,$351.84,1358247,$352.93,$356.69,$349.62
07/29/2024,$352.55,1322946,$349.48,$353.78,$348.79
07/26/2024,$349.22,1929018,$344.21,$351.99,$343.00
07/25/2024,$342.74,2536106,$335.40,$348.15,$335.40
07/24/2024,$332.02,1919999,$344.16,$344.60,$331.69
07/23/2024,$344.50,4163094,$339.00,$345.55,$331.735
07/22/2024,$322.35,2350465,$322.34,$323.33,$318.01
07/19/2024,$321.85,1537799,$324.80,$325.06,$320.90
07/18/2024,$325.46,2014016,$324.93,$329.8399,$324.4625
07/17/2024,$325.80,1824069,$324.57,$327.61,$322.35
07/16/2024,$326.40,2239867,$320.23,$326.53,$319.89
07/15/2024,$318.47,1961931,$317.50,$320.84,$316.76
07/12/2024,$318.37,1494727,$314.46,$320.07,$313.03
07/11/2024,$313.97,1603377,$308.45,$314.80,$306.63
07/10/2024,$305.37,1241809,$300.00,$305.90,$298.82
07/09/2024,$298.91,1229226,$300.08,$300.08,$297.855
07/08/2024,$300.25,1660480,$296.42,$300.46,$296.40
07/05/2024,$295.70,1098019,$296.76,$296.76,$294.32
07/03/2024,$297.22,1007010,$294.65,$297.69,$293.56
07/02/2024,$294.65,2354004,$295.51,$296.42,$292.33
07/01/2024,$295.79,1818476,$298.58,$299.12,$294.68
06/28/2024,$298.43,2175805,$297.00,$299.63,$295.87
06/27/2024,$297.00,1133241,$297.02,$297.9288,$295.565
06/26/2024,$296.86,1617453,$293.82,$297.42,$293.04
06/25/2024,$294.68,3308820,$300.24,$301.88,$292.27
06/24/2024,$300.55,1602321,$302.00,$304.57,$300.53
06/21/2024,$301.26,2312736,$302.66,$306.90,$299.67
06/20/2024,$301.35,1786400,$299.23,$303.78,$298.05
06/18/2024,$300.19,1973242,$302.49,$302.49,$298.74
06/17/2024,$302.85,1535446,$296.20,$303.16,$295.93
06/14/2024,$296.99,927859,$298.36,$299.95,$294.40
06/13/2024,$300.45,1333084,$298.93,$300.71,$296.00
06/12/2024,$299.29,1639759,$303.57,$306.29,$298.39
06/11/2024,$296.00,1082419,$293.18,$297.01,$291.77
06/10/2024,$293.11,2137359,$290.85,$294.90,$290.18
06/07/2024,$291.95,3302682,$293.69,$295.22,$282.09
06/06/2024,$304.06,1727318,$307.92,$308.52,$303.01
06/05/2024,$308.23,1607529,$306.17,$308.39,$301.955
06/04/2024,$305.84,3117714,$302.02,$306.95,$300.04
06/03/2024,$302.03,1971314,$304.98,$305.66,$298.205
05/31/2024,$303.80,6144790,$302.11,$304.62,$300.82
05/30/2024,$302.05,1149066,$297.98,$302.56,$296.35
05/29/2024,$297.43,1711673,$299.34,$300.29,$295.78
05/28/2024,$301.73,1735147,$304.28,$305.44,$301.04
05/24/2024,$304.84,1011191,$303.78,$307.39,$303.45
05/23/2024,$303.09,1569851,$307.54,$307.76,$302.855
05/22/2024,$307.22,1876349,$309.10,$310.66,$306.075
05/21/2024,$309.96,1529700,$310.01,$311.38,$308.67
05/20/2024,$309.42,1424448,$311.75,$312.3999,$308.88
05/17/2024,$312.40,968562,$315.89,$315.89,$311.235
05/16/2024,$314.02,1139692,$315.96,$316.35,$313.14
05/15/2024,$316.37,1509070,$316.35,$319.84,$315.60
05/14/2024,$314.05,2196064,$315.51,$316.11,$311.93
05/13/2024,$315.87,1153698,$321.50,$322.99,$315.64
05/10/2024,$320.86,1075749,$322.00,$322.275,$319.715
05/09/2024,$320.45,1287528,$319.01,$320.87,$317.35
05/08/2024,$319.00,933558,$318.01,$319.95,$317.47
05/07/2024,$318.75,1820371,$315.33,$319.83,$314.58
05/06/2024,$314.99,1533927,$313.64,$315.49,$311.66
05/03/2024,$311.30,2027799,$315.45,$315.57,$310.95
05/02/2024,$304.46,1521045,$304.65,$306.25,$300.635
05/01/2024,$303.34,1954586,$301.19,$307.74,$298.3657
04/30/2024,$299.61,1779405,$305.32,$305.32,$299.11
04/29/2024,$306.09,1869117,$307.51,$309.77,$304.91
04/26/2024,$306.45,1820261,$306.19,$309.91,$305.90
04/25/2024,$304.81,2004854,$303.27,$307.54,$299.82
04/24/2024,$303.73,2287853,$301.81,$304.19,$300.355
04/23/2024,$302.36,4426547,$297.83,$304.67,$294.55
04/22/2024,$309.26,1638127,$306.13,$311.99,$304.915
04/19/2024,$305.96,1563345,$310.84,$311.15,$305.37
04/18/2024,$309.38,1127484,$311.48,$313.24,$307.66
04/17/2024,$310.16,1523891,$310.79,$311.40,$307.8401
04/16/2024,$308.38,1440738,$310.58,$311.91,$306.93
04/15/2024,$313.97,1745225,$322.05,$322.05,$313.42
04/12/2024,$318.25,1280164,$317.60,$319.25,$315.05
04/11/2024,$319.92,1323415,$322.49,$322.49,$319.29
04/10/2024,$321.16,1563199,$327.40,$329.03,$321.01
04/09/2024,$334.55,789944,$336.65,$336.88,$327.32
04/08/2024,$332.30,1097787,$332.48,$333.54,$330.94
04/05/2024,$331.85,870262,$331.07,$332.52,$329.37
04/04/2024,$329.86,1316711,$337.64,$340.00,$328.66
04/03/2024,$334.29,1095152,$333.50,$335.50,$332.17
04/02/2024,$333.96,1608125,$334.83,$335.00,$331.60
04/01/2024,$338.16,992182,$346.44,$346.465,$337.81
03/28/2024,$347.33,995098,$346.58,$348.3739,$344.63
03/27/2024,$346.89,958608,$345.00,$347.04,$344.07
03/26/2024,$342.00,1127222,$342.23,$344.47,$341.79
03/25/2024,$342.00,1168751,$341.28,$342.52,$340.1267
03/22/2024,$342.87,889290,$347.00,$347.00,$342.66
03/21/2024,$347.23,1332219,$343.02,$347.62,$340.01
03/20/2024,$341.05,1222675,$337.78,$342.85,$336.13
03/19/2024,$336.58,855820,$336.35,$337.37,$334.83
03/18/2024,$335.27,1083191,$337.80,$338.34,$334.70
03/15/2024,$334.66,1623785,$331.43,$337.945,$330.82
03/14/2024,$334.92,1417133,$336.53,$338.73,$332.39
03/13/2024,$336.81,1835198,$341.71,$342.00,$333.59
03/12/2024,$342.70,1305098,$340.62,$343.29,$339.145
03/11/2024,$340.39,992723,$340.29,$340.64,$335.925
03/08/2024,$340.69,1297538,$346.06,$347.71,$340.07
03/07/2024,$344.66,1581397,$344.00,$346.14,$340.00
03/06/2024,$336.49,1097631,$336.28,$337.44,$334.21
03/05/2024,$333.28,1277824,$335.66,$339.50,$332.25
03/04/2024,$337.10,1146118,$334.31,$337.49,$334.14
03/01/2024,$335.23,1596399,$330.30,$335.94,$328.95
02/29/2024,$332.03,1852555,$330.86,$332.83,$329.73
02/28/2024,$329.68,1340364,$327.36,$330.73,$325.80
02/27/2024,$327.72,1434067,$325.00,$328.09,$323.38
02/26/2024,$322.51,1532171,$322.03,$324.50,$321.52
02/23/2024,$322.03,1387795,$320.75,$322.8618,$319.80
02/22/2024,$320.62,1020695,$315.00,$321.23,$314.55
02/21/2024,$314.29,1096965,$311.77,$314.765,$310.64
02/20/2024,$311.26,998164,$307.98,$312.01,$306.38
02/16/2024,$309.08,1699176,$311.83,$312.89,$308.79
02/15/2024,$312.51,977403,$313.00,$314.38,$311.57
02/14/2024,$311.03,945680,$308.97,$311.85,$307.43
02/13/2024,$307.21,974978,$305.65,$308.245,$301.98
02/12/2024,$310.42,991616,$311.96,$313.26,$310.2184
02/09/2024,$311.74,912517,$312.22,$312.99,$309.39
02/08/2024,$312.15,1259974,$311.11,$312.42,$307.47
02/07/2024,$309.86,1828600,$310.11,$312.98,$309.49
02/06/2024,$307.88,1517467,$304.50,$308.06,$303.89
02/05/2024,$304.49,2267522,$307.10,$308.04,$302.87
02/02/2024,$309.99,1526421,$306.32,$311.57,$304.445
02/01/2024,$309.08,1503104,$304.89,$309.53,$302.37
01/31/2024,$304.38,1910631,$307.50,$308.73,$304.001
01/30/2024,$307.63,1367705,$307.54,$310.00,$306.67
01/29/2024,$308.09,1564208,$301.85,$308.40,$301.77
01/26/2024,$301.85,1721578,$304.28,$306.26,$300.635
01/25/2024,$303.91,3830757,$295.00,$305.976,$292.00
01/24/2024,$301.06,1846978,$306.49,$307.83,$300.855
01/23/2024,$305.46,1409571,$308.70,$309.165,$305.04
01/22/2024,$307.48,1169076,$305.02,$308.45,$304.945
01/19/2024,$304.02,1673695,$307.42,$307.66,$302.925
01/18/2024,$306.37,1215636,$301.89,$306.80,$300.60
01/17/2024,$300.88,1562604,$297.76,$302.78,$297.50
01/16/2024,$300.08,1177784,$302.00,$302.84,$298.685
01/12/2024,$302.51,1515398,$298.87,$302.58,$296.39
01/11/2024,$297.42,1341237,$299.00,$299.345,$296.32
01/10/2024,$298.40,1824154,$297.47,$298.81,$296.495
01/09/2024,$297.51,1730381,$297.47,$298.72,$295.08
01/08/2024,$299.47,1334520,$296.88,$300.35,$294.57
01/05/2024,$296.68,1343023,$294.96,$299.27,$294.96
01/04/2024,$295.77,1711182,$295.23,$297.95,$293.17
