Date,Close/Last,Volume,Open,High,Low
09/06/2024,$120.27,1110894,$121.01,$122.35,$120.19
09/05/2024,$121.19,984877,$121.42,$121.8424,$120.48
09/04/2024,$120.53,1353336,$119.07,$121.46,$118.85
09/03/2024,$118.74,1557870,$114.50,$119.05,$114.50
08/30/2024,$114.68,1143032,$113.89,$115.50,$113.65
08/29/2024,$113.79,1466813,$114.50,$114.67,$112.82
08/28/2024,$114.73,3063959,$112.93,$116.13,$112.70
08/27/2024,$120.70,1686374,$121.36,$122.19,$120.07
08/26/2024,$121.36,974170,$122.32,$122.59,$120.66
08/23/2024,$122.04,579966,$121.31,$122.12,$121.00
08/22/2024,$121.05,696108,$121.44,$121.56,$119.90
08/21/2024,$120.97,624342,$121.95,$123.22,$120.521
08/20/2024,$121.58,641395,$120.79,$122.14,$120.79
08/19/2024,$120.93,880129,$119.12,$121.515,$119.12
08/16/2024,$118.81,929352,$118.33,$119.34,$117.58
08/15/2024,$119.49,754451,$120.23,$120.69,$118.85
08/14/2024,$119.71,664280,$118.84,$120.31,$118.42
08/13/2024,$118.34,900376,$117.38,$118.99,$116.86
08/12/2024,$117.38,1730323,$118.33,$118.425,$116.5522
08/09/2024,$118.46,616408,$117.94,$118.65,$116.65
08/08/2024,$118.15,644537,$118.77,$120.715,$117.95
08/07/2024,$119.48,1383436,$118.95,$121.33,$118.08
08/06/2024,$118.91,881790,$121.18,$122.35,$118.83
08/05/2024,$120.88,1439619,$123.52,$124.31,$119.60
08/02/2024,$122.40,1723212,$121.33,$122.62,$119.30
08/01/2024,$119.99,766955,$118.20,$120.13,$117.475
07/31/2024,$117.95,3586476,$118.39,$119.09,$117.01
07/30/2024,$118.96,1119807,$116.80,$119.65,$116.80
07/29/2024,$118.04,874041,$117.71,$118.91,$116.95
07/26/2024,$118.19,754998,$116.01,$118.39,$116.01
07/25/2024,$116.06,731666,$117.31,$119.54,$115.79
07/24/2024,$116.78,842986,$115.31,$117.36,$114.38
07/23/2024,$115.10,797520,$115.94,$116.27,$114.38
07/22/2024,$116.23,667480,$117.77,$118.88,$115.82
07/19/2024,$117.99,1242970,$120.62,$120.62,$117.44
07/18/2024,$120.46,795491,$120.16,$123.31,$120.11
07/17/2024,$121.23,1096270,$117.99,$121.72,$117.73
07/16/2024,$117.50,895306,$116.50,$117.73,$115.44
07/15/2024,$116.38,1298852,$113.93,$116.74,$113.40
07/12/2024,$113.16,1097837,$112.08,$114.48,$112.08
07/11/2024,$111.14,1143295,$110.40,$112.24,$109.55
07/10/2024,$109.37,840767,$109.39,$110.0777,$108.63
07/09/2024,$109.37,761290,$109.37,$109.99,$108.39
07/08/2024,$109.85,1687158,$109.90,$110.76,$109.53
07/05/2024,$109.89,896124,$108.94,$110.026,$108.54
07/03/2024,$109.12,646202,$110.35,$110.665,$108.46
07/02/2024,$110.65,1168913,$111.24,$111.44,$109.785
07/01/2024,$110.51,1419786,$109.41,$111.37,$109.10
06/28/2024,$109.04,1522340,$108.65,$109.21,$108.21
06/27/2024,$108.65,810903,$108.03,$109.08,$107.40
06/26/2024,$107.69,1081763,$107.01,$108.26,$105.69
06/25/2024,$108.07,1086979,$110.50,$110.86,$108.06
06/24/2024,$111.86,1411488,$109.20,$112.35,$108.70
06/21/2024,$108.70,2017984,$110.14,$111.40,$108.62
06/20/2024,$109.70,1022562,$111.56,$112.11,$109.56
06/18/2024,$112.35,945040,$112.05,$113.20,$111.81
06/17/2024,$112.18,1165643,$111.23,$112.54,$110.44
06/14/2024,$111.58,1098221,$110.83,$112.29,$110.56
06/13/2024,$110.96,1135766,$110.08,$111.32,$108.84
06/12/2024,$110.13,1071310,$113.11,$113.235,$109.98
06/11/2024,$112.97,1113367,$113.07,$113.48,$111.42
06/10/2024,$113.60,1484341,$114.45,$114.91,$112.995
06/07/2024,$114.98,1722209,$114.87,$117.56,$114.55
06/06/2024,$115.37,2323343,$114.37,$117.24,$113.6201
06/05/2024,$110.33,1136594,$110.82,$111.52,$109.70
06/04/2024,$111.70,1740235,$111.11,$112.17,$109.895
06/03/2024,$111.33,1545349,$111.47,$112.55,$111.00
05/31/2024,$111.64,4014712,$108.50,$111.81,$107.98
05/30/2024,$107.95,1246465,$107.75,$108.83,$107.34
05/29/2024,$107.47,1294023,$107.99,$108.20,$106.315
05/28/2024,$108.48,981135,$109.50,$110.35,$108.10
05/24/2024,$109.77,838496,$110.56,$110.81,$109.32
05/23/2024,$110.40,1158219,$111.60,$111.60,$109.92
05/22/2024,$111.82,1432148,$111.54,$112.285,$109.67
05/21/2024,$112.06,1196491,$114.21,$114.38,$112.03
05/20/2024,$114.31,844369,$115.13,$115.38,$114.175
05/17/2024,$115.21,1879616,$116.00,$116.03,$114.80
05/16/2024,$115.68,950954,$113.64,$115.75,$112.805
