Date,Close/Last,Volume,Open,High,Low
09/06/2024,$40.62,9864106,$41.20,$41.63,$40.3708
09/05/2024,$41.22,10621910,$41.69,$41.80,$40.96
09/04/2024,$41.32,10048570,$42.04,$42.39,$41.265
09/03/2024,$42.29,12685000,$43.16,$43.19,$42.00
08/30/2024,$43.99,10174700,$43.82,$44.04,$43.39
08/29/2024,$44.18,8000835,$44.24,$44.415,$43.41
08/28/2024,$43.74,9866391,$43.96,$44.155,$43.505
08/27/2024,$45.04,5199381,$45.45,$45.54,$44.78
08/26/2024,$45.60,6222096,$46.00,$46.16,$45.24
08/23/2024,$45.12,6244495,$44.50,$45.30,$44.385
08/22/2024,$44.12,7164342,$44.25,$44.435,$43.98
08/21/2024,$44.20,5529940,$44.54,$44.68,$44.11
08/20/2024,$44.03,7409020,$45.22,$45.34,$44.01
08/19/2024,$45.36,8046509,$45.14,$45.78,$45.01
08/16/2024,$44.78,6013015,$44.57,$45.04,$44.545
08/15/2024,$45.04,7940187,$44.47,$45.12,$44.335
08/14/2024,$43.78,6305307,$44.00,$44.07,$43.50
08/13/2024,$43.77,5253394,$43.60,$43.965,$43.39
08/12/2024,$43.90,6599215,$43.84,$44.125,$43.50
08/09/2024,$43.55,5418010,$43.48,$43.81,$43.32
08/08/2024,$43.69,6697408,$42.98,$43.75,$42.91
08/07/2024,$42.86,9258997,$43.99,$44.42,$42.81
08/06/2024,$43.40,8364003,$43.80,$44.165,$43.33
08/05/2024,$43.77,13010760,$43.48,$44.30,$43.32
08/02/2024,$44.93,11848370,$45.98,$46.01,$44.56
08/01/2024,$46.66,8952085,$48.28,$48.33,$46.245
07/31/2024,$48.29,6599755,$48.13,$48.57,$47.94
07/30/2024,$47.61,9880369,$47.54,$47.95,$47.15
07/29/2024,$47.86,9104446,$48.18,$48.81,$47.655
07/26/2024,$48.83,8231538,$48.79,$49.31,$48.16
07/25/2024,$48.23,9608106,$47.73,$48.895,$47.69
07/24/2024,$48.03,8552917,$49.10,$49.18,$47.86
07/23/2024,$49.05,10098970,$49.29,$49.93,$48.655
07/22/2024,$49.44,11212840,$49.34,$50.52,$49.2325
07/19/2024,$49.67,17680980,$49.48,$50.94,$48.35
07/18/2024,$48.72,10758680,$48.77,$49.34,$48.58
07/17/2024,$48.90,8453279,$48.75,$49.26,$48.56
07/16/2024,$48.72,8220212,$47.51,$48.95,$47.44
07/15/2024,$47.96,11441820,$46.79,$48.68,$46.57
07/12/2024,$46.42,6584010,$46.76,$46.76,$46.16
07/11/2024,$46.19,6240889,$45.38,$46.305,$45.15
07/10/2024,$45.28,8538315,$45.10,$45.30,$44.775
