Date,Close/Last,Volume,Open,High,Low
09/06/2024,$270.84,268433,$271.99,$275.15,$268.8975
09/05/2024,$272.09,458830,$278.71,$278.71,$270.78
09/04/2024,$279.07,202242,$279.56,$280.86,$277.30
09/03/2024,$279.56,340402,$282.42,$284.645,$277.83
08/30/2024,$283.74,292388,$282.88,$283.90,$279.83
08/29/2024,$281.14,268594,$282.46,$283.295,$280.42
08/28/2024,$280.18,212032,$282.28,$282.92,$279.73
08/27/2024,$282.13,225400,$282.63,$282.865,$281.24
08/26/2024,$282.99,193478,$285.00,$285.94,$282.18
08/23/2024,$283.84,194631,$279.25,$284.8517,$278.0054
08/22/2024,$277.67,185965,$278.92,$279.84,$277.20
08/21/2024,$278.92,150372,$277.08,$279.34,$276.05
08/20/2024,$275.35,130663,$275.92,$277.30,$274.60
08/19/2024,$277.36,155613,$275.49,$278.55,$275.49
08/16/2024,$276.19,242385,$275.75,$276.51,$274.445
08/15/2024,$276.13,141105,$276.99,$277.29,$273.91
08/14/2024,$273.23,155639,$272.41,$273.44,$270.37
08/13/2024,$272.50,150088,$268.98,$273.76,$267.9525
08/12/2024,$267.82,293398,$273.20,$273.95,$267.00
08/09/2024,$273.19,169045,$275.36,$275.65,$270.80
08/08/2024,$273.69,169807,$271.16,$274.685,$270.835
08/07/2024,$269.04,222658,$275.24,$276.70,$268.91
08/06/2024,$272.38,234935,$271.85,$276.605,$271.85
08/05/2024,$271.24,287499,$269.48,$275.00,$266.56
08/02/2024,$276.74,250543,$275.53,$277.4215,$272.92
08/01/2024,$278.98,319756,$286.58,$288.92,$276.722
07/31/2024,$287.03,322623,$286.00,$289.4375,$283.69
07/30/2024,$285.24,249071,$282.32,$286.00,$280.36
07/29/2024,$280.22,208602,$280.83,$281.4055,$278.95
07/26/2024,$280.66,258932,$276.64,$282.24,$276.64
07/25/2024,$273.47,296410,$270.45,$277.73,$270.45
07/24/2024,$270.07,273945,$273.71,$274.825,$269.34
07/23/2024,$274.78,260685,$273.79,$275.35,$273.28
07/22/2024,$274.74,300823,$272.00,$275.069,$269.26
07/19/2024,$270.90,421094,$272.02,$274.30,$269.14
07/18/2024,$270.54,747873,$270.00,$277.50,$266.5542
07/17/2024,$275.73,446328,$277.81,$282.00,$275.59
07/16/2024,$278.88,396231,$271.99,$279.64,$271.37
07/15/2024,$270.84,312566,$269.82,$273.24,$269.82
07/12/2024,$269.63,302367,$268.62,$271.92,$268.22
07/11/2024,$267.90,417753,$264.33,$268.62,$264.00
07/10/2024,$261.40,297976,$256.54,$261.43,$256.54
07/09/2024,$256.11,334518,$256.75,$257.78,$255.63
07/08/2024,$257.41,293057,$255.69,$258.065,$255.26
07/05/2024,$255.35,456599,$255.29,$255.595,$252.98
07/03/2024,$256.89,146092,$256.88,$258.03,$255.81
07/02/2024,$257.06,360962,$257.82,$258.00,$255.74
07/01/2024,$256.90,376381,$263.00,$263.27,$255.91
06/28/2024,$261.39,536535,$258.91,$261.94,$258.84
06/27/2024,$258.91,390781,$262.50,$262.845,$258.53
06/26/2024,$261.73,271553,$261.24,$262.54,$259.14
06/25/2024,$263.04,340251,$265.67,$265.71,$261.15
06/24/2024,$267.40,257554,$268.00,$271.50,$266.75
06/21/2024,$266.75,903611,$268.72,$270.77,$264.46
06/20/2024,$268.68,228097,$268.29,$269.97,$267.355
06/18/2024,$269.31,263115,$267.65,$270.48,$267.65
06/17/2024,$268.23,322404,$262.03,$269.13,$262.03
06/14/2024,$262.24,218804,$266.10,$267.025,$261.29
06/13/2024,$268.83,179936,$267.21,$269.58,$265.26
06/12/2024,$268.27,198487,$269.06,$272.02,$267.56
06/11/2024,$265.56,240517,$266.77,$266.84,$264.56
06/10/2024,$267.90,172265,$267.16,$269.38,$267.16
06/07/2024,$268.19,184445,$265.72,$268.72,$265.00
06/06/2024,$267.04,135874,$268.42,$269.98,$266.28
06/05/2024,$269.22,160377,$267.21,$269.53,$266.325
06/04/2024,$267.02,217907,$267.16,$268.34,$265.58
06/03/2024,$268.87,215951,$273.47,$273.595,$265.47
05/31/2024,$272.86,455522,$267.56,$273.28,$266.31
05/30/2024,$268.23,281485,$266.02,$269.72,$265.715
05/29/2024,$265.39,229134,$266.70,$267.80,$264.63
05/28/2024,$269.42,251096,$270.51,$272.575,$269.31
05/24/2024,$270.89,174455,$271.62,$272.66,$269.5652
05/23/2024,$270.28,195611,$276.42,$276.42,$269.47
05/22/2024,$276.17,167289,$275.37,$277.50,$274.78
05/21/2024,$276.10,192759,$278.81,$278.81,$275.68
05/20/2024,$279.34,215360,$278.98,$280.40,$277.6936
05/17/2024,$278.98,279247,$276.42,$279.41,$275.55
05/16/2024,$276.81,235811,$279.08,$279.08,$276.63
05/15/2024,$279.82,254056,$281.23,$281.41,$278.77
05/14/2024,$279.12,253544,$281.51,$282.055,$277.60
05/13/2024,$279.93,156027,$281.80,$282.265,$278.97
05/10/2024,$280.91,137350,$281.50,$282.18,$280.21
05/09/2024,$280.10,156326,$276.58,$280.13,$276.32
05/08/2024,$275.91,296131,$277.11,$278.29,$275.00
05/07/2024,$276.86,224936,$275.06,$277.94,$275.06
05/06/2024,$274.59,173257,$273.30,$274.73,$272.954
05/03/2024,$271.03,262537,$268.68,$271.12,$268.0042
05/02/2024,$266.87,339520,$268.56,$268.56,$266.51
05/01/2024,$267.74,358756,$268.34,$270.86,$267.54
04/30/2024,$267.96,325764,$270.70,$272.175,$267.30
04/29/2024,$272.25,267842,$270.60,$273.575,$270.60
04/26/2024,$270.70,237139,$270.89,$272.8695,$270.01
04/25/2024,$270.16,261209,$272.63,$273.00,$269.81
04/24/2024,$273.59,298991,$271.36,$275.14,$271.36
04/23/2024,$271.34,289165,$268.69,$272.76,$267.66
04/22/2024,$268.56,374444,$268.77,$271.05,$267.13
04/19/2024,$268.80,522146,$262.10,$269.10,$261.95
