Date,Close/Last,Volume,Open,High,Low
09/06/2024,$66.20,1299484,$65.53,$66.555,$64.5152
09/05/2024,$65.60,1437070,$65.06,$65.78,$64.08
09/04/2024,$65.11,1414907,$63.44,$65.53,$63.18
09/03/2024,$63.83,1140864,$63.52,$64.45,$63.345
08/30/2024,$64.11,2089475,$62.83,$65.00,$62.83
08/29/2024,$62.92,1463911,$60.17,$63.75,$60.01
08/28/2024,$60.05,794923,$60.36,$60.46,$59.35
08/27/2024,$60.55,770083,$59.83,$61.00,$59.61
08/26/2024,$60.18,938404,$61.38,$61.88,$59.67
08/23/2024,$61.40,642626,$60.17,$61.64,$59.90
08/22/2024,$59.77,710438,$59.91,$60.68,$59.48
08/21/2024,$59.66,936431,$59.58,$59.82,$58.76
08/20/2024,$59.45,771139,$59.21,$60.07,$59.21
08/19/2024,$59.45,1084316,$59.42,$60.35,$59.24
08/16/2024,$59.40,842937,$58.96,$59.99,$58.61
08/15/2024,$58.84,1013219,$58.25,$59.20,$57.86
08/14/2024,$57.78,867011,$58.41,$59.00,$57.48
08/13/2024,$58.22,978574,$57.26,$58.69,$56.69
08/12/2024,$57.71,1174914,$60.59,$60.675,$57.43
08/09/2024,$60.59,2411871,$60.00,$62.2399,$59.50
08/08/2024,$58.66,1333920,$55.90,$58.97,$55.62
08/07/2024,$55.90,1519334,$57.81,$58.28,$55.81
08/06/2024,$57.45,916594,$56.00,$58.06,$55.85
08/05/2024,$56.14,1136145,$55.06,$56.37,$54.26
08/02/2024,$57.31,1058480,$57.68,$58.19,$56.71
08/01/2024,$58.06,1049922,$58.81,$59.38,$57.38
07/31/2024,$58.88,1124958,$58.66,$59.82,$58.09
07/30/2024,$58.95,1379478,$57.58,$59.30,$57.14
07/29/2024,$57.34,1001946,$57.31,$57.745,$55.90
07/26/2024,$57.63,1122368,$58.06,$59.00,$57.3775
07/25/2024,$57.55,1540666,$57.50,$58.84,$56.69
07/24/2024,$58.09,2204515,$56.78,$59.97,$56.64
07/23/2024,$56.64,2073910,$56.31,$56.74,$55.55
07/22/2024,$54.13,1806251,$54.84,$55.11,$53.0329
07/19/2024,$54.60,2602402,$55.00,$56.00,$54.50
07/18/2024,$54.98,2776256,$52.71,$55.10,$52.40
07/17/2024,$53.00,2496657,$49.86,$53.39,$49.64
07/16/2024,$50.04,1488125,$47.26,$50.26,$47.16
07/15/2024,$48.22,905602,$48.78,$49.19,$48.12
07/12/2024,$49.00,1089566,$49.49,$50.36,$48.98
07/11/2024,$49.36,1327699,$48.45,$49.75,$48.24
07/10/2024,$48.18,1218128,$48.10,$48.53,$47.35
07/09/2024,$48.02,1714301,$49.39,$49.735,$47.98
07/08/2024,$49.64,1194388,$50.00,$50.42,$49.58
07/05/2024,$49.90,2060388,$50.50,$51.00,$49.53
07/03/2024,$50.85,891107,$51.63,$51.77,$50.61
07/02/2024,$51.60,1309792,$51.40,$51.83,$51.25
07/01/2024,$51.45,1360295,$53.00,$53.56,$51.205
06/28/2024,$52.88,4809448,$51.48,$53.11,$51.18
06/27/2024,$51.33,1634482,$50.50,$51.39,$50.49
06/26/2024,$50.75,1141091,$50.90,$51.23,$50.50
06/25/2024,$51.25,1628301,$51.24,$51.62,$50.63
06/24/2024,$51.30,2581723,$52.35,$53.00,$51.26
06/21/2024,$52.35,7696882,$53.83,$54.77,$52.20
06/20/2024,$53.80,1720999,$52.94,$54.085,$52.4382
06/18/2024,$53.32,1852703,$54.12,$55.07,$52.96
06/17/2024,$54.63,1406367,$54.42,$54.79,$53.19
06/14/2024,$54.56,1372090,$52.96,$54.78,$52.5817
06/13/2024,$54.13,1408545,$55.83,$56.70,$54.00
06/12/2024,$56.16,1040591,$56.87,$57.14,$56.13
06/11/2024,$56.54,1363209,$56.60,$56.79,$56.18
06/10/2024,$56.71,1733769,$56.05,$57.28,$56.05
06/07/2024,$56.41,1534965,$54.50,$56.78,$54.47
06/06/2024,$55.05,1806251,$55.38,$55.44,$54.47
06/05/2024,$55.73,1342648,$55.61,$56.005,$54.75
06/04/2024,$55.61,2111514,$56.82,$57.25,$55.50
06/03/2024,$57.05,1680845,$59.34,$59.87,$56.81
05/31/2024,$59.34,5801420,$58.06,$59.40,$57.19
05/30/2024,$58.35,3253706,$59.11,$59.16,$56.72
05/29/2024,$59.72,1050386,$59.23,$60.12,$59.23
05/28/2024,$59.86,1705111,$60.20,$60.25,$59.34
05/24/2024,$60.45,1269448,$59.81,$60.78,$59.06
05/23/2024,$59.93,1733174,$61.28,$61.60,$59.885
05/22/2024,$61.89,1403793,$61.07,$62.24,$60.92
05/21/2024,$61.22,1319804,$61.80,$62.25,$61.14
05/20/2024,$62.03,1459022,$62.46,$62.82,$61.85
05/17/2024,$62.38,1711108,$61.80,$62.42,$61.00
05/16/2024,$61.56,2653989,$62.00,$62.03,$60.57
05/15/2024,$62.44,2812481,$64.83,$65.18,$62.23
05/14/2024,$65.10,1627518,$63.61,$65.4012,$63.46
05/13/2024,$63.14,1510912,$64.00,$64.435,$63.1166
05/10/2024,$63.74,1916241,$63.80,$64.81,$63.03
05/09/2024,$64.83,3088693,$65.52,$67.50,$63.489
05/08/2024,$66.43,1910630,$65.23,$66.965,$65.15
05/07/2024,$65.56,2270340,$64.79,$65.895,$64.46
05/06/2024,$64.69,1200293,$64.70,$65.11,$64.30
05/03/2024,$64.65,1724999,$65.43,$65.56,$63.80
05/02/2024,$65.14,1697552,$65.00,$66.23,$64.70
05/01/2024,$65.15,1612395,$64.95,$66.85,$64.285
04/30/2024,$65.01,2132558,$65.21,$65.86,$63.75
04/29/2024,$65.91,2163617,$63.49,$66.67,$63.0402
04/26/2024,$64.43,1641165,$61.46,$64.69,$61.32
04/25/2024,$61.83,2938475,$62.75,$63.067,$60.72
04/24/2024,$63.54,1055100,$62.85,$64.175,$62.78
04/23/2024,$63.50,1505935,$62.03,$64.19,$61.851
04/22/2024,$62.07,1380397,$62.25,$62.76,$61.825
04/19/2024,$62.20,1469197,$63.58,$64.06,$61.9875
04/18/2024,$64.03,2070485,$61.84,$64.11,$61.38
04/17/2024,$61.75,1849789,$61.82,$62.67,$61.50
04/16/2024,$61.95,1583249,$62.00,$62.99,$61.6581
04/15/2024,$61.69,2043059,$62.10,$63.79,$61.56
04/12/2024,$62.75,1795364,$62.50,$63.25,$61.87
04/11/2024,$63.17,2396618,$63.57,$64.30,$62.30
04/10/2024,$63.89,2114791,$64.68,$64.93,$63.59
04/09/2024,$65.52,2894692,$65.48,$68.00,$65.01
04/08/2024,$67.01,4467678,$70.06,$71.655,$66.25
04/05/2024,$70.06,4216625,$65.97,$70.15,$65.175
04/04/2024,$67.00,5239733,$63.05,$68.165,$62.33
04/03/2024,$63.89,5177150,$65.53,$67.77,$63.86
04/02/2024,$66.90,9446891,$67.67,$68.59,$64.4653
04/01/2024,$69.10,14094860,$69.15,$72.40,$65.00
03/28/2024,$69.55,2869643,$78.00,$78.00,$69.00
03/27/2024,$75.00,454568,$80.00,$80.00,$74.18
03/26/2024,$80.00,353582,$91.05,$96.05,$79.10
