Date,Close/Last,Volume,Open,High,Low
09/06/2024,$82.10,2115424,$83.11,$83.26,$82.08
09/05/2024,$83.09,1433365,$84.22,$84.22,$82.795
09/04/2024,$83.40,1745238,$83.01,$84.28,$82.83
09/03/2024,$82.63,1614905,$82.01,$83.12,$81.47
08/30/2024,$82.18,3181664,$81.60,$82.46,$81.28
08/29/2024,$81.62,1873888,$81.73,$81.77,$80.232
08/28/2024,$81.65,2830069,$81.88,$82.28,$81.32
08/27/2024,$81.65,2240621,$81.95,$82.39,$81.17
08/26/2024,$82.10,1756202,$81.66,$82.57,$81.46
08/23/2024,$81.40,1974640,$81.60,$81.85,$81.16
08/22/2024,$81.31,1878551,$80.88,$81.42,$80.63
08/21/2024,$80.98,1620065,$80.90,$81.285,$80.68
08/20/2024,$80.76,1737728,$80.87,$81.15,$80.474
08/19/2024,$80.87,2223984,$80.00,$80.91,$79.98
08/16/2024,$79.99,3244268,$80.16,$80.31,$79.58
08/15/2024,$79.68,2588053,$78.35,$79.815,$78.22
08/14/2024,$78.71,2659419,$78.13,$79.385,$78.02
08/13/2024,$78.51,2976947,$79.26,$79.48,$78.20
08/12/2024,$78.99,1972183,$78.55,$79.06,$78.1264
08/09/2024,$78.41,2514487,$78.16,$78.53,$77.07
08/08/2024,$77.57,3444502,$76.75,$78.199,$76.665
08/07/2024,$77.26,4243550,$77.59,$78.14,$77.015
08/06/2024,$77.05,4744047,$78.50,$79.30,$77.05
08/05/2024,$78.70,4774951,$82.33,$82.37,$78.53
08/02/2024,$81.74,2695386,$82.78,$83.68,$80.84
08/01/2024,$81.48,2033191,$80.56,$81.50,$80.16
07/31/2024,$80.06,2159418,$80.27,$80.46,$79.49
07/30/2024,$80.22,2043130,$79.32,$80.377,$79.175
07/29/2024,$79.26,2071967,$78.74,$79.50,$78.305
07/26/2024,$78.55,2530372,$78.33,$79.15,$78.06
07/25/2024,$78.07,4582212,$79.63,$80.54,$78.03
07/24/2024,$79.12,3032317,$78.43,$79.48,$78.00
07/23/2024,$77.73,2186306,$77.77,$78.25,$77.53
07/22/2024,$77.99,2137829,$77.86,$78.19,$77.50
07/19/2024,$77.57,1559553,$78.20,$78.20,$77.22
07/18/2024,$77.77,2803957,$77.25,$79.46,$77.21
07/17/2024,$77.72,3448226,$76.56,$78.44,$76.345
07/16/2024,$76.37,3730080,$76.41,$76.57,$75.885
07/15/2024,$76.02,3392534,$76.58,$77.03,$75.83
07/12/2024,$77.05,3282229,$77.35,$77.77,$77.00
07/11/2024,$77.03,2992937,$76.39,$77.30,$76.27
07/10/2024,$76.10,1924980,$75.91,$76.26,$75.40
07/09/2024,$75.58,2133553,$75.22,$76.18,$75.01
07/08/2024,$75.18,2356144,$76.14,$76.30,$74.66
07/05/2024,$76.13,4498083,$75.14,$76.22,$74.75
07/03/2024,$75.17,1261368,$75.14,$75.86,$75.01
07/02/2024,$75.17,1875369,$75.04,$75.435,$74.90
07/01/2024,$74.97,2799129,$76.14,$76.40,$74.74
06/28/2024,$76.06,4925608,$76.27,$76.64,$75.47
06/27/2024,$75.94,2450111,$75.53,$76.17,$75.20
06/26/2024,$76.11,3441040,$74.89,$76.29,$74.50
06/25/2024,$75.44,2978077,$76.33,$76.58,$75.05
06/24/2024,$76.45,2246684,$75.50,$76.79,$75.38
06/21/2024,$75.27,5697203,$76.10,$76.50,$75.24
06/20/2024,$75.48,1885271,$75.00,$75.87,$74.83
06/18/2024,$75.10,2443090,$74.68,$75.34,$74.40
06/17/2024,$74.84,2712283,$75.57,$75.93,$74.76
06/14/2024,$75.97,2666810,$75.74,$76.095,$74.97
06/13/2024,$76.14,2401452,$75.75,$76.32,$74.81
06/12/2024,$75.65,2516941,$76.62,$76.64,$75.29
06/11/2024,$75.67,2329795,$74.65,$75.85,$74.4975
06/10/2024,$75.08,3684777,$75.23,$75.40,$74.735
06/07/2024,$75.33,3723479,$75.25,$75.85,$75.10
06/06/2024,$75.99,2174177,$76.18,$76.83,$75.85
06/05/2024,$76.48,2382914,$76.90,$76.935,$76.08
06/04/2024,$77.18,2758501,$76.51,$77.56,$76.245
06/03/2024,$76.71,2172385,$76.94,$77.52,$76.185
05/31/2024,$77.03,5316734,$74.78,$77.09,$74.28
05/30/2024,$74.42,2682953,$74.29,$74.64,$73.765
05/29/2024,$74.03,2660611,$74.82,$75.04,$73.7808
