Date,Close/Last,Volume,Open,High,Low
09/06/2024,$239.82,365096,$239.72,$242.03,$237.66
09/05/2024,$239.05,261358,$240.00,$241.12,$236.97
09/04/2024,$240.41,469456,$243.16,$244.44,$237.265
09/03/2024,$243.15,498266,$240.14,$245.81,$239.205
08/30/2024,$241.10,430575,$238.81,$241.35,$237.44
08/29/2024,$237.71,348801,$238.30,$239.95,$236.69
08/28/2024,$237.07,355625,$236.67,$238.24,$235.78
08/27/2024,$236.43,240678,$233.73,$237.01,$233.172
08/26/2024,$235.07,211474,$236.57,$237.78,$234.70
08/23/2024,$236.01,258467,$235.00,$236.84,$232.74
08/22/2024,$234.14,315939,$235.41,$235.65,$231.52
08/21/2024,$234.38,260813,$233.15,$235.81,$232.556
08/20/2024,$233.27,346396,$233.35,$234.655,$232.9059
08/19/2024,$233.57,446682,$231.06,$233.59,$231.06
08/16/2024,$232.34,558749,$230.17,$232.51,$229.22
08/15/2024,$230.32,442743,$233.16,$234.49,$230.00
08/14/2024,$232.79,382357,$233.70,$234.48,$231.73
08/13/2024,$233.79,295050,$233.94,$235.115,$232.1301
08/12/2024,$233.94,352561,$235.75,$236.64,$233.01
08/09/2024,$235.98,427048,$240.56,$240.56,$234.25
08/08/2024,$239.68,396771,$234.41,$241.09,$233.041
08/07/2024,$233.53,804479,$238.04,$243.37,$227.21
08/06/2024,$239.18,844914,$237.90,$243.19,$235.79
08/05/2024,$237.90,756072,$238.85,$240.56,$233.385
08/02/2024,$242.60,647501,$241.97,$242.91,$235.575
08/01/2024,$241.01,477149,$240.24,$242.10,$237.43
07/31/2024,$238.76,522989,$236.80,$241.76,$233.35
07/30/2024,$237.24,572057,$236.15,$239.97,$236.15
07/29/2024,$236.32,298132,$232.54,$237.20,$229.72
07/26/2024,$232.79,329376,$228.31,$234.6648,$227.02
07/25/2024,$227.56,345280,$231.12,$236.46,$227.16
07/24/2024,$231.72,334554,$232.15,$234.24,$230.06
07/23/2024,$231.70,422117,$229.41,$231.83,$229.075
07/22/2024,$228.77,330841,$225.32,$228.86,$223.69
07/19/2024,$224.29,386940,$227.52,$227.52,$223.36
07/18/2024,$225.45,370683,$227.18,$229.82,$223.695
07/17/2024,$228.71,327124,$227.83,$233.00,$227.06
07/16/2024,$227.64,417531,$221.05,$227.75,$219.19
07/15/2024,$220.50,280314,$221.48,$224.07,$219.888
07/12/2024,$221.72,371999,$218.43,$223.01,$216.725
07/11/2024,$217.84,487303,$216.45,$220.30,$215.72
07/10/2024,$215.40,493352,$214.10,$215.68,$211.3611
07/09/2024,$213.51,728577,$220.08,$220.08,$212.78
07/08/2024,$219.83,284863,$219.78,$221.065,$219.20
07/05/2024,$220.05,277419,$216.87,$220.79,$215.20
07/03/2024,$217.38,196801,$218.46,$218.46,$217.215
07/02/2024,$218.34,372715,$218.00,$219.35,$217.32
07/01/2024,$218.54,852686,$222.00,$222.00,$217.65
06/28/2024,$219.54,833571,$216.86,$219.74,$216.46
06/27/2024,$216.44,329082,$216.70,$216.70,$214.70
06/26/2024,$216.09,378764,$214.83,$217.344,$214.26
06/25/2024,$215.43,282746,$216.67,$217.11,$214.93
06/24/2024,$216.56,650826,$218.48,$219.51,$216.47
06/21/2024,$218.12,832075,$219.29,$220.77,$216.81
06/20/2024,$219.31,576287,$215.41,$220.485,$214.00
06/18/2024,$216.50,468771,$216.64,$218.19,$215.38
06/17/2024,$216.12,817591,$217.07,$218.30,$213.625
06/14/2024,$218.29,694341,$219.70,$220.965,$216.82
06/13/2024,$221.05,386249,$224.61,$224.61,$219.90
06/12/2024,$225.84,367748,$226.39,$227.925,$225.00
06/11/2024,$225.44,578320,$224.30,$227.33,$222.42
06/10/2024,$224.79,445204,$225.36,$227.02,$224.07
06/07/2024,$226.85,302994,$229.52,$230.665,$226.12
06/06/2024,$230.48,296526,$228.89,$230.76,$227.535
06/05/2024,$229.91,336810,$229.19,$230.24,$227.26
06/04/2024,$228.50,377934,$228.05,$228.93,$226.97
06/03/2024,$228.37,530818,$222.39,$228.71,$221.76
05/31/2024,$222.88,934289,$222.93,$224.51,$221.35
05/30/2024,$223.22,404311,$222.93,$223.69,$221.30
05/29/2024,$223.42,414181,$221.49,$224.50,$221.47
05/28/2024,$223.39,457429,$228.19,$229.28,$223.30
05/24/2024,$229.17,510545,$226.93,$229.47,$225.47
05/23/2024,$226.81,635803,$230.39,$230.76,$225.96
05/22/2024,$230.60,484889,$229.76,$231.55,$228.99
05/21/2024,$230.60,657302,$232.71,$233.74,$230.48
05/20/2024,$232.75,619584,$232.56,$233.39,$230.03
05/17/2024,$232.69,559440,$231.29,$233.335,$227.97
05/16/2024,$230.73,548244,$235.34,$235.34,$230.55
05/15/2024,$235.46,690052,$237.65,$239.19,$231.70
05/14/2024,$236.00,514044,$233.74,$236.12,$232.02
05/13/2024,$232.56,885105,$232.64,$233.07,$230.335
05/10/2024,$231.33,867834,$225.50,$231.735,$223.68
05/09/2024,$225.99,926048,$222.99,$226.99,$215.14
05/08/2024,$210.09,938227,$213.32,$213.74,$209.09
05/07/2024,$212.87,805581,$210.44,$213.60,$209.36
05/06/2024,$209.52,640578,$208.94,$209.59,$207.39
05/03/2024,$207.82,500555,$207.76,$208.55,$205.95
05/02/2024,$206.24,384284,$206.72,$207.195,$203.91
05/01/2024,$205.04,358970,$204.61,$207.56,$203.73
04/30/2024,$204.56,428959,$204.06,$205.15,$202.70
04/29/2024,$205.42,376503,$204.23,$206.065,$204.00
04/26/2024,$203.90,318142,$201.28,$204.64,$200.45
04/25/2024,$201.54,411721,$202.11,$202.21,$200.41
04/24/2024,$202.80,492086,$204.69,$205.0975,$202.44
04/23/2024,$205.99,561633,$201.85,$208.02,$201.00
04/22/2024,$200.90,369710,$200.72,$202.00,$198.13
04/19/2024,$199.51,535935,$201.73,$201.73,$197.8401
04/18/2024,$200.81,658479,$200.64,$201.74,$198.22
04/17/2024,$200.24,1115554,$199.32,$201.67,$197.82
04/16/2024,$199.01,784627,$200.99,$200.99,$198.40
04/15/2024,$201.21,847866,$206.12,$207.855,$200.93
04/12/2024,$204.00,678625,$204.37,$206.08,$203.335
04/11/2024,$206.28,850480,$211.05,$211.05,$206.15
04/10/2024,$209.21,579533,$211.50,$212.75,$208.16
04/09/2024,$214.72,598491,$213.39,$214.945,$212.04
04/08/2024,$212.65,616334,$213.23,$215.12,$212.59
04/05/2024,$213.48,434668,$213.67,$215.14,$212.96
04/04/2024,$213.40,455127,$218.11,$218.11,$213.01
04/03/2024,$216.65,452494,$216.49,$218.45,$215.70
04/02/2024,$216.27,415926,$220.11,$220.71,$215.73
04/01/2024,$221.03,316950,$224.00,$224.46,$218.595
03/28/2024,$224.82,497538,$225.85,$226.57,$223.54
03/27/2024,$225.52,467410,$223.13,$225.96,$223.06
03/26/2024,$221.52,509847,$221.38,$222.87,$219.50
03/25/2024,$220.67,696551,$228.87,$228.93,$220.21
03/22/2024,$229.00,623932,$226.89,$229.195,$225.4879
03/21/2024,$227.09,524259,$233.60,$235.00,$226.93
03/20/2024,$233.27,431782,$229.81,$233.455,$229.81
03/19/2024,$230.14,240900,$230.75,$231.55,$229.10
03/18/2024,$230.00,353781,$231.66,$232.5525,$229.83
03/15/2024,$230.05,603500,$226.92,$231.98,$226.92
03/14/2024,$231.56,341641,$232.33,$232.9385,$230.51
03/13/2024,$233.79,412238,$234.47,$234.68,$232.91
03/12/2024,$233.81,363501,$233.48,$234.85,$232.60
03/11/2024,$233.84,322378,$233.46,$234.55,$231.12
03/08/2024,$233.70,260568,$231.92,$235.04,$231.92
03/07/2024,$233.02,369069,$230.87,$233.59,$229.975
03/06/2024,$229.08,292552,$228.48,$230.505,$227.76
03/05/2024,$228.38,287584,$233.48,$234.38,$227.83
03/04/2024,$233.27,274560,$232.28,$234.085,$231.135
