Date,Close/Last,Volume,Open,High,Low
09/06/2024,$97.98,2612521,$100.30,$100.712,$97.33
09/05/2024,$100.81,1736407,$100.08,$102.14,$99.86
09/04/2024,$100.73,3916918,$96.10,$101.04,$94.70
09/03/2024,$96.78,1670290,$99.55,$99.55,$96.26
08/30/2024,$99.55,1975748,$98.82,$99.59,$97.93
08/29/2024,$97.54,2042834,$99.06,$100.34,$97.16
08/28/2024,$99.25,2058161,$100.00,$100.02,$97.435
08/27/2024,$100.71,2423619,$102.96,$102.98,$100.525
08/26/2024,$104.76,1404692,$103.75,$105.23,$102.95
08/23/2024,$104.41,949247,$104.34,$104.67,$103.48
08/22/2024,$103.23,989115,$104.82,$105.21,$102.91
08/21/2024,$104.44,1150123,$104.20,$104.90,$103.43
08/20/2024,$103.55,1703348,$103.83,$105.02,$102.825
08/19/2024,$103.96,2934411,$101.56,$103.99,$100.75
08/16/2024,$101.73,2494388,$100.20,$102.57,$99.36
08/15/2024,$99.61,2196997,$98.86,$100.16,$98.22
08/14/2024,$97.06,2176128,$98.82,$98.9942,$96.69
08/13/2024,$98.20,1637470,$97.19,$98.23,$96.71
08/12/2024,$95.83,1284629,$96.01,$97.09,$95.10
08/09/2024,$96.28,1483576,$95.21,$96.99,$94.28
08/08/2024,$95.45,2332538,$92.30,$95.62,$91.20
08/07/2024,$92.10,3288439,$94.67,$95.32,$92.04
08/06/2024,$93.68,3209089,$93.39,$95.88,$93.1074
08/05/2024,$92.54,3365736,$90.59,$93.90,$90.00
08/02/2024,$94.57,4205003,$95.50,$96.155,$93.45
08/01/2024,$99.01,3436972,$102.03,$104.185,$98.11
07/31/2024,$102.17,2670502,$102.35,$102.78,$100.21
07/30/2024,$99.10,3058358,$103.50,$103.70,$98.64
07/29/2024,$103.38,2977546,$104.08,$104.2999,$101.36
07/26/2024,$103.68,3069247,$105.01,$105.75,$102.88
07/25/2024,$103.96,4194859,$108.81,$109.065,$103.64
07/24/2024,$109.53,9398139,$109.00,$113.57,$107.16
07/23/2024,$105.30,3793929,$105.17,$106.59,$104.50
