Date,Close/Last,Volume,Open,High,Low
09/06/2024,$249.01,1171782,$246.86,$250.53,$246.86
09/05/2024,$248.29,1744007,$247.47,$249.615,$246.07
09/04/2024,$246.61,909524,$245.36,$247.8142,$244.03
09/03/2024,$246.78,1586690,$239.81,$249.455,$238.47
08/30/2024,$240.71,1305519,$239.69,$240.89,$236.37
08/29/2024,$237.97,1015018,$241.66,$241.66,$237.62
08/28/2024,$240.37,873668,$240.47,$241.42,$239.22
08/27/2024,$239.98,1315073,$243.15,$244.23,$239.18
08/26/2024,$243.11,960411,$244.26,$245.68,$242.43
08/23/2024,$245.18,637081,$244.82,$245.77,$244.29
08/22/2024,$243.70,681885,$245.61,$245.61,$242.86
08/21/2024,$244.74,814534,$244.03,$245.00,$242.80
08/20/2024,$243.05,1117144,$242.60,$245.77,$242.42
08/19/2024,$242.96,749076,$246.00,$246.11,$241.91
08/16/2024,$245.70,588553,$244.59,$247.15,$244.59
08/15/2024,$245.24,720076,$242.43,$246.51,$242.2136
08/14/2024,$241.08,612195,$238.77,$242.17,$238.77
08/13/2024,$240.10,977323,$239.19,$240.71,$237.47
08/12/2024,$238.80,733880,$241.38,$241.45,$238.25
08/09/2024,$241.41,890649,$239.47,$241.53,$237.6971
08/08/2024,$239.87,1017786,$236.60,$241.35,$236.25
08/07/2024,$237.81,757905,$239.15,$241.545,$237.57
08/06/2024,$238.52,1030627,$238.60,$241.57,$237.02
08/05/2024,$236.42,1791606,$244.08,$245.275,$235.57
08/02/2024,$246.94,1409592,$247.09,$247.09,$241.28
08/01/2024,$245.37,782669,$246.09,$247.5799,$243.66
07/31/2024,$245.16,1112473,$243.56,$247.09,$242.00
07/30/2024,$243.30,1133434,$246.25,$246.39,$242.55
07/29/2024,$246.17,1399815,$250.00,$250.545,$243.55
07/26/2024,$253.48,846431,$249.91,$254.13,$249.745
07/25/2024,$249.38,1053678,$248.00,$250.34,$247.02
07/24/2024,$246.88,968783,$246.00,$247.45,$244.54
07/23/2024,$245.98,932635,$244.44,$246.165,$243.4949
07/22/2024,$243.21,1271684,$245.00,$245.91,$241.585
07/19/2024,$245.45,781837,$249.47,$249.47,$245.40
07/18/2024,$248.26,882644,$247.17,$251.99,$246.63
07/17/2024,$248.23,1424983,$248.01,$251.19,$246.10
07/16/2024,$248.09,1552030,$250.00,$253.00,$247.10
07/15/2024,$249.53,2110084,$258.83,$260.605,$249.42
07/12/2024,$259.82,1032898,$260.00,$264.45,$259.66
07/11/2024,$259.37,926850,$253.32,$259.68,$252.88
07/10/2024,$253.08,1294361,$252.25,$254.84,$251.9503
07/09/2024,$252.09,1259623,$254.17,$256.69,$251.92
07/08/2024,$253.84,1268807,$259.32,$259.70,$253.005
07/05/2024,$259.14,1943356,$250.37,$259.16,$250.00
07/03/2024,$250.37,2670323,$263.81,$264.24,$248.00
07/02/2024,$258.94,1868564,$256.22,$259.30,$254.36
07/01/2024,$256.29,981093,$258.54,$259.8499,$255.5577
06/28/2024,$257.28,1518776,$256.18,$257.57,$254.68
06/27/2024,$255.91,1136493,$261.19,$261.4107,$254.71
06/26/2024,$261.07,790871,$260.28,$262.95,$259.74
06/25/2024,$261.68,966443,$263.72,$265.69,$260.49
06/24/2024,$265.13,1087880,$263.16,$265.70,$262.08
06/21/2024,$263.50,1387126,$263.45,$263.59,$260.93
06/20/2024,$262.83,1021025,$261.80,$264.52,$260.25
06/18/2024,$263.65,950321,$263.00,$264.39,$260.83
06/17/2024,$262.34,1574904,$252.91,$264.075,$252.91
