Date,Close/Last,Volume,Open,High,Low
09/06/2024,$44.72,3739985,$45.13,$45.615,$44.38
09/05/2024,$45.34,3258789,$45.82,$46.30,$45.00
09/04/2024,$45.57,5056877,$45.08,$46.16,$45.08
09/03/2024,$45.70,5512473,$46.32,$46.56,$45.41
08/30/2024,$47.42,6225696,$46.97,$47.59,$46.925
08/29/2024,$47.17,3098368,$47.20,$47.25,$46.67
08/28/2024,$47.07,4958188,$46.36,$47.486,$46.36
08/27/2024,$46.89,4821068,$46.26,$46.90,$45.86
08/26/2024,$46.18,4700882,$45.55,$46.52,$45.43
08/23/2024,$45.33,3891008,$44.61,$45.39,$44.455
08/22/2024,$43.79,4514317,$44.13,$44.46,$43.43
08/21/2024,$44.02,4669434,$42.94,$44.07,$42.64
08/20/2024,$43.01,3761074,$43.00,$43.55,$42.60
08/19/2024,$43.49,3677606,$42.53,$43.53,$42.46
08/16/2024,$42.91,4801391,$42.46,$43.02,$42.26
08/15/2024,$42.74,5062903,$41.18,$43.25,$41.18
08/14/2024,$41.21,4175928,$40.63,$41.49,$40.51
08/13/2024,$40.35,4026393,$39.25,$40.71,$39.12
08/12/2024,$38.85,2991692,$39.01,$39.25,$38.80
08/09/2024,$38.96,3452839,$38.91,$39.57,$38.55
08/08/2024,$39.31,3649731,$39.00,$40.08,$39.00
08/07/2024,$39.06,3048534,$40.81,$40.87,$38.965
08/06/2024,$40.33,3621093,$40.20,$40.95,$40.005
08/05/2024,$40.04,4282101,$39.74,$40.93,$39.54
08/02/2024,$41.78,3582808,$42.78,$42.78,$41.30
08/01/2024,$43.32,7035142,$44.80,$45.11,$42.92
07/31/2024,$44.84,11198960,$43.29,$45.74,$43.18
07/30/2024,$46.74,4676172,$47.14,$47.57,$46.10
07/29/2024,$47.55,11100380,$48.45,$48.56,$47.52
07/26/2024,$48.81,4084081,$47.72,$49.17,$47.71
07/25/2024,$47.69,5094092,$48.42,$48.51,$47.58
07/24/2024,$48.86,5061425,$48.29,$49.25,$48.21
07/23/2024,$49.11,5854737,$48.09,$49.50,$47.70
07/22/2024,$48.00,3955449,$46.51,$48.02,$46.3804
07/19/2024,$46.53,3633785,$46.82,$46.91,$46.31
07/18/2024,$46.82,10475490,$46.86,$47.34,$46.25
07/17/2024,$47.85,8435089,$48.61,$49.09,$47.825
07/16/2024,$49.26,7455012,$48.42,$49.445,$48.00
07/15/2024,$48.84,8170727,$48.35,$49.43,$48.26
07/12/2024,$49.08,41461230,$46.91,$49.31,$46.86
07/11/2024,$46.87,12526280,$45.48,$46.92,$45.35
07/10/2024,$45.83,9427792,$45.04,$46.24,$44.40
07/09/2024,$44.83,13739300,$44.76,$45.81,$44.32
07/08/2024,$46.22,67456790,$47.40,$47.60,$44.90
