Date,Close/Last,Volume,Open,High,Low
09/06/2024,$97.18,1169823,$98.36,$100.25,$96.82
09/05/2024,$98.36,1019468,$99.68,$99.99,$98.02
09/04/2024,$99.88,991178,$99.76,$101.02,$99.20
09/03/2024,$99.94,957429,$101.07,$102.19,$99.26
08/30/2024,$102.36,1179164,$102.50,$102.85,$100.5837
08/29/2024,$101.90,1092068,$101.62,$102.94,$100.2601
08/28/2024,$100.18,870270,$99.79,$101.26,$99.57
08/27/2024,$99.79,813928,$100.18,$100.25,$98.8401
08/26/2024,$100.85,981623,$101.00,$102.52,$100.47
08/23/2024,$100.40,1482547,$98.65,$100.57,$97.71
08/22/2024,$98.22,564119,$98.71,$99.02,$97.70
08/21/2024,$98.65,694013,$97.28,$98.71,$96.88
08/20/2024,$96.96,590026,$96.92,$97.61,$96.31
08/19/2024,$97.35,793959,$97.80,$98.24,$97.0137
08/16/2024,$97.32,915678,$96.60,$97.735,$96.075
08/15/2024,$96.79,929818,$97.07,$97.46,$95.56
08/14/2024,$95.40,891896,$96.88,$97.35,$95.1694
08/13/2024,$96.87,1485794,$93.79,$97.24,$93.245
08/12/2024,$93.00,1064829,$94.43,$94.90,$92.855
08/09/2024,$94.76,828600,$94.45,$94.96,$93.15
08/08/2024,$94.44,1016499,$94.27,$95.35,$94.0867
08/07/2024,$93.07,1790166,$98.12,$98.12,$93.03
08/06/2024,$96.26,1176962,$95.60,$99.13,$95.33
08/05/2024,$95.71,1828393,$93.51,$97.36,$92.03
08/02/2024,$98.63,1917066,$96.93,$98.73,$95.13
08/01/2024,$101.50,3025064,$105.49,$106.91,$100.82
07/31/2024,$105.62,4772593,$106.65,$108.15,$104.06
07/30/2024,$106.05,4228916,$104.13,$106.23,$102.2701
07/29/2024,$96.43,2980400,$95.55,$96.82,$95.10
07/26/2024,$95.43,3723760,$91.66,$96.94,$91.02
07/25/2024,$89.57,2631110,$86.39,$91.44,$86.17
07/24/2024,$86.39,809092,$87.93,$88.80,$86.27
07/23/2024,$88.09,1056973,$87.31,$88.60,$87.12
07/22/2024,$87.75,961734,$87.67,$88.00,$86.02
07/19/2024,$86.95,1389808,$87.68,$87.77,$86.30
07/18/2024,$87.37,1763032,$88.93,$91.68,$86.855
07/17/2024,$89.51,1344875,$89.14,$90.51,$88.57
07/16/2024,$90.04,1740536,$87.57,$90.59,$87.31
07/15/2024,$86.92,1880739,$88.20,$88.51,$86.64
07/12/2024,$88.41,1251444,$88.03,$88.87,$87.37
07/11/2024,$86.93,1549890,$85.04,$87.05,$84.38
07/10/2024,$83.08,935088,$80.82,$83.11,$80.64
07/09/2024,$80.85,1031989,$81.01,$81.515,$80.79
07/08/2024,$81.29,1473811,$80.24,$81.39,$80.13
07/05/2024,$79.58,1175756,$79.55,$79.95,$78.81
07/03/2024,$79.88,894537,$79.65,$80.74,$79.14
07/02/2024,$79.39,1391002,$77.99,$79.60,$77.83
07/01/2024,$77.75,1807144,$79.99,$80.36,$77.70
06/28/2024,$79.89,3419550,$81.70,$82.16,$78.885
06/27/2024,$81.45,983549,$81.40,$81.69,$80.75
06/26/2024,$81.53,1164086,$81.51,$81.89,$80.68
06/25/2024,$81.87,1313087,$84.46,$84.46,$81.61
06/24/2024,$84.74,1051353,$84.70,$85.95,$84.00
06/21/2024,$84.34,1902566,$84.05,$84.51,$82.8385
06/20/2024,$84.06,841267,$83.77,$84.73,$83.32
06/18/2024,$84.13,1155724,$84.36,$85.28,$83.51
06/17/2024,$84.36,944101,$83.20,$84.78,$83.20
06/14/2024,$83.55,855873,$84.71,$85.44,$82.62
06/13/2024,$85.89,1548293,$86.40,$86.86,$84.00
06/12/2024,$86.98,2173429,$86.16,$89.07,$86.14
06/11/2024,$83.69,1941050,$81.50,$84.10,$80.62
06/10/2024,$82.02,1549933,$81.69,$82.55,$81.31
06/07/2024,$82.46,1123052,$82.49,$83.43,$82.13
06/06/2024,$83.49,1076661,$84.02,$84.233,$82.94
06/05/2024,$84.42,1004439,$83.17,$84.53,$83.02
06/04/2024,$83.02,2187568,$84.39,$84.905,$82.97
06/03/2024,$86.99,1720052,$87.63,$87.90,$85.29
05/31/2024,$87.17,1512081,$85.50,$87.28,$85.30
05/30/2024,$85.35,1098355,$83.39,$85.40,$83.30
05/29/2024,$82.94,1053195,$84.00,$84.00,$82.89
05/28/2024,$84.92,1389164,$86.32,$86.455,$84.65
05/24/2024,$86.13,569831,$86.25,$86.82,$85.58
05/23/2024,$86.00,1220498,$87.19,$87.365,$85.35
05/22/2024,$87.17,1166311,$88.01,$88.60,$87.03
05/21/2024,$88.17,856317,$89.21,$89.295,$88.07
05/20/2024,$89.56,797076,$90.20,$90.39,$89.42
05/17/2024,$90.12,932231,$90.13,$90.21,$89.41
05/16/2024,$89.79,1570355,$91.02,$91.02,$89.38
05/15/2024,$91.39,1528043,$92.93,$93.335,$91.06
05/14/2024,$91.80,1294480,$91.17,$92.31,$91.10
05/13/2024,$90.20,1061304,$90.20,$91.48,$89.86
05/10/2024,$89.84,1344375,$88.62,$89.97,$88.4359
05/09/2024,$88.16,1318213,$85.78,$88.41,$85.77
05/08/2024,$85.88,1450717,$86.41,$86.4856,$85.77
05/07/2024,$87.29,1501574,$87.62,$88.16,$87.23
05/06/2024,$87.01,2757337,$87.17,$87.63,$86.56
05/03/2024,$85.80,3145797,$86.50,$88.3889,$84.49
05/02/2024,$84.99,7178565,$84.65,$85.40,$83.02
05/01/2024,$91.90,2941077,$90.98,$93.51,$89.90
04/30/2024,$91.40,2636286,$90.27,$92.50,$90.27
04/29/2024,$90.96,1145721,$90.47,$91.735,$90.33
04/26/2024,$89.71,1484232,$88.99,$90.36,$88.71
04/25/2024,$88.83,2399245,$89.00,$89.825,$87.38
04/24/2024,$90.27,1282576,$90.24,$91.11,$89.81
04/23/2024,$90.74,1095537,$89.50,$91.12,$89.43
04/22/2024,$89.35,1515635,$89.34,$90.17,$88.185
04/19/2024,$89.32,1121956,$89.14,$89.83,$88.75
04/18/2024,$89.32,984160,$89.56,$90.52,$88.48
04/17/2024,$89.33,1307362,$90.87,$91.11,$89.03
04/16/2024,$90.18,932888,$90.00,$90.93,$89.00
04/15/2024,$90.83,1819068,$92.42,$93.18,$90.185
04/12/2024,$91.48,906081,$92.12,$92.76,$91.12
04/11/2024,$93.32,691316,$93.12,$94.05,$92.17
04/10/2024,$92.91,1645723,$94.10,$94.66,$92.12
04/09/2024,$97.19,1412665,$95.79,$97.94,$95.56
04/08/2024,$95.25,749261,$95.95,$96.445,$95.17
04/05/2024,$95.41,589477,$94.84,$95.815,$94.605
04/04/2024,$94.94,1075276,$97.41,$97.995,$94.84
04/03/2024,$96.24,1048582,$94.38,$96.29,$94.15
04/02/2024,$94.49,1516196,$94.94,$94.97,$93.8601
04/01/2024,$95.46,1210929,$97.83,$97.89,$95.45
03/28/2024,$97.93,1492914,$97.39,$98.28,$96.33
03/27/2024,$97.06,1416494,$93.96,$97.08,$93.945
03/26/2024,$93.48,1081847,$94.64,$95.13,$93.44
03/25/2024,$94.43,1311776,$94.87,$95.71,$94.135
03/22/2024,$94.68,1018305,$96.19,$96.81,$94.40
03/21/2024,$95.81,1845974,$93.11,$96.34,$93.11
03/20/2024,$92.55,1351962,$90.99,$92.98,$90.86
03/19/2024,$90.66,1563782,$88.08,$90.89,$88.08
03/18/2024,$88.13,1608436,$88.50,$88.82,$87.10
03/15/2024,$88.15,2334491,$88.46,$89.865,$87.97
03/14/2024,$89.59,1876248,$91.83,$92.03,$88.60
03/13/2024,$92.12,1581964,$91.43,$92.68,$91.2781
03/12/2024,$91.39,1290360,$92.25,$92.77,$90.61
03/11/2024,$91.96,888263,$91.26,$92.00,$90.18
03/08/2024,$91.48,1086830,$91.80,$93.27,$91.47
