Date,Close/Last,Volume,Open,High,Low
09/06/2024,$98.79,2750860,$101.20,$101.535,$97.96
09/05/2024,$101.39,1746778,$101.19,$103.525,$100.935
09/04/2024,$102.52,1794074,$101.48,$104.24,$101.14
09/03/2024,$101.84,2878259,$107.78,$108.50,$101.23
08/30/2024,$109.59,1812934,$109.35,$110.74,$108.4057
08/29/2024,$107.70,2040042,$108.50,$110.76,$107.42
08/28/2024,$106.73,1435444,$107.37,$108.13,$105.68
08/27/2024,$107.70,1003253,$106.57,$108.22,$105.795
08/26/2024,$107.44,1477433,$108.57,$109.18,$107.24
08/23/2024,$109.21,2044717,$106.81,$109.49,$106.30
08/22/2024,$105.18,1638407,$107.97,$108.49,$104.67
08/21/2024,$107.87,1328604,$107.20,$108.2799,$106.665
08/20/2024,$106.22,1337401,$106.79,$107.13,$105.29
08/19/2024,$108.05,1558887,$107.16,$108.33,$106.18
08/16/2024,$107.32,1397787,$107.31,$108.65,$106.83
08/15/2024,$108.77,2233640,$107.02,$109.19,$106.48
08/14/2024,$104.88,2096988,$106.83,$107.04,$103.75
08/13/2024,$106.70,1981084,$103.38,$106.98,$102.81
08/12/2024,$102.47,1687154,$102.37,$103.36,$101.60
08/09/2024,$102.03,1197273,$101.42,$102.62,$100.475
08/08/2024,$102.78,3108322,$98.90,$103.50,$98.305
08/07/2024,$96.42,2895159,$101.78,$102.44,$96.15
08/06/2024,$99.23,2234032,$100.58,$102.07,$98.73
08/05/2024,$99.70,2762165,$100.47,$104.25,$98.49
08/02/2024,$104.70,3287132,$106.69,$106.98,$104.26
08/01/2024,$108.01,4206774,$112.41,$113.50,$106.31
07/31/2024,$113.62,6975685,$111.95,$114.16,$107.53
07/30/2024,$117.69,4471301,$117.53,$120.07,$117.12
07/29/2024,$117.41,2251592,$117.44,$118.95,$116.53
07/26/2024,$116.18,2207493,$115.33,$117.21,$113.87
07/25/2024,$112.68,2978911,$113.49,$116.50,$112.38
07/24/2024,$113.65,3016546,$116.98,$117.525,$113.37
07/23/2024,$117.50,1595173,$116.85,$118.17,$116.12
07/22/2024,$118.41,2412742,$117.18,$118.61,$115.405
07/19/2024,$114.26,2205712,$116.93,$117.005,$113.84
07/18/2024,$117.39,3074395,$117.19,$119.64,$115.915
07/17/2024,$116.56,5389871,$118.76,$120.12,$116.45
07/16/2024,$120.68,3388045,$116.35,$120.86,$115.67
07/15/2024,$115.88,3913495,$112.82,$116.69,$112.82
07/12/2024,$112.33,2820774,$111.00,$113.70,$109.97
07/11/2024,$109.95,1977357,$111.57,$111.69,$108.93
07/10/2024,$110.82,3173354,$107.27,$110.99,$106.72
07/09/2024,$106.41,1394674,$106.22,$106.96,$104.96
07/08/2024,$106.38,1573350,$106.26,$107.21,$106.07
07/05/2024,$105.56,3537208,$105.16,$106.59,$103.80
07/03/2024,$104.63,1811349,$107.17,$107.22,$104.19
07/02/2024,$106.96,1756732,$106.00,$107.69,$105.355
07/01/2024,$106.40,2025766,$106.47,$106.47,$103.95
06/28/2024,$106.58,2365016,$106.45,$107.50,$105.95
06/27/2024,$105.60,2434841,$106.19,$106.685,$104.83
06/26/2024,$106.14,2670264,$106.47,$107.515,$105.05
06/25/2024,$107.38,2393701,$105.52,$108.11,$105.05
06/24/2024,$104.96,2695215,$105.47,$107.055,$104.83
06/21/2024,$106.38,5346202,$105.30,$106.67,$104.7601
06/20/2024,$105.80,2672109,$107.38,$107.59,$105.44
06/18/2024,$106.46,2248872,$106.16,$107.075,$105.45
