Date,Close/Last,Volume,Open,High,Low
09/06/2024,$358.92,1001435,$358.67,$361.06,$355.72
09/05/2024,$358.00,1213820,$359.24,$360.30,$354.18
09/04/2024,$360.30,806252,$360.11,$364.36,$356.7901
09/03/2024,$359.62,860630,$360.04,$362.25,$357.79
08/30/2024,$360.42,1307583,$359.16,$360.82,$356.00
08/29/2024,$357.93,1107810,$358.29,$359.27,$355.90
08/28/2024,$356.15,1504890,$359.08,$359.0981,$353.60
08/27/2024,$358.51,1131383,$354.80,$359.13,$354.27
08/26/2024,$354.30,884876,$353.54,$355.86,$352.925
08/23/2024,$353.29,966116,$351.45,$354.00,$350.14
08/22/2024,$350.72,1143502,$348.67,$350.93,$345.55
08/21/2024,$345.32,666809,$343.99,$345.44,$342.54
08/20/2024,$342.93,772068,$342.56,$344.02,$340.9629
08/19/2024,$341.06,1062158,$336.93,$341.98,$336.93
08/16/2024,$337.89,838749,$334.25,$338.325,$333.255
08/15/2024,$334.17,1257823,$334.28,$337.45,$332.98
08/14/2024,$332.68,909806,$329.18,$332.92,$328.24
08/13/2024,$328.99,913934,$325.91,$330.10,$325.37
08/12/2024,$325.20,774070,$327.125,$327.57,$323.725
08/09/2024,$327.83,793813,$325.38,$328.49,$322.03
08/08/2024,$325.99,1019290,$320.94,$327.30,$320.78
08/07/2024,$319.60,1350572,$323.52,$324.435,$319.07
08/06/2024,$322.67,2477818,$317.81,$326.31,$316.01
08/05/2024,$315.94,2403422,$330.73,$330.73,$314.93
08/02/2024,$331.56,1738648,$333.00,$333.58,$324.01
08/01/2024,$333.17,1630542,$330.14,$335.90,$324.09
07/31/2024,$327.45,3543201,$330.50,$334.42,$320.00
07/30/2024,$330.22,2427267,$332.79,$336.08,$328.48
07/29/2024,$333.28,1719243,$332.26,$338.52,$330.08
07/26/2024,$331.67,1679993,$327.00,$334.07,$325.34
07/25/2024,$327.44,1695437,$339.49,$344.14,$326.87
07/24/2024,$340.42,1481458,$342.13,$342.65,$337.92
07/23/2024,$341.73,1245347,$342.83,$346.07,$340.79
07/22/2024,$342.39,1136559,$342.12,$344.19,$339.38
07/19/2024,$340.95,2421857,$333.37,$341.39,$331.97
07/18/2024,$331.23,920353,$330.94,$337.08,$330.17
07/17/2024,$334.64,1246310,$332.81,$344.49,$331.275
07/16/2024,$333.43,1336432,$328.90,$333.76,$328.01
07/15/2024,$328.56,1363394,$338.53,$338.58,$327.82
07/12/2024,$339.37,835719,$338.07,$340.99,$336.20
07/11/2024,$338.09,852737,$336.92,$339.92,$336.56
07/10/2024,$337.34,729566,$336.20,$337.39,$333.75
07/09/2024,$335.57,789570,$335.28,$336.66,$332.79
07/08/2024,$334.11,585985,$336.27,$337.21,$333.50
07/05/2024,$337.25,1007929,$334.23,$337.34,$330.20
07/03/2024,$332.02,522400,$334.00,$334.71,$331.76
07/02/2024,$334.30,844126,$335.41,$337.69,$332.01
07/01/2024,$336.50,778896,$341.20,$344.9433,$335.49
06/28/2024,$340.25,1894420,$341.00,$342.76,$338.08
06/27/2024,$340.54,723354,$341.37,$343.755,$339.45
06/26/2024,$340.51,1140399,$338.16,$341.77,$336.12
06/25/2024,$339.55,892402,$339.82,$340.76,$336.265
06/24/2024,$339.07,1040845,$342.94,$345.83,$339.02
06/21/2024,$342.64,1837959,$343.28,$343.28,$339.41
06/20/2024,$341.35,1670398,$348.14,$349.00,$340.666
06/18/2024,$348.67,839609,$345.00,$348.93,$344.455
06/17/2024,$344.70,815848,$343.21,$345.20,$341.74
06/14/2024,$344.98,746530,$343.62,$345.07,$341.01
06/13/2024,$343.02,939195,$345.23,$347.3464,$341.72
06/12/2024,$346.41,835076,$348.08,$349.93,$345.12
06/11/2024,$346.40,1129032,$347.92,$348.43,$341.05
06/10/2024,$348.17,898364,$348.09,$348.67,$344.76
06/07/2024,$349.33,847236,$349.82,$351.5605,$348.215
06/06/2024,$349.63,1050410,$346.44,$349.94,$344.52
06/05/2024,$345.99,1121558,$342.00,$346.91,$341.51
06/04/2024,$342.00,1729911,$339.00,$343.825,$338.53
06/03/2024,$339.39,1218298,$339.38,$341.14,$336.88
05/31/2024,$341.09,2175319,$340.52,$342.23,$337.35
05/30/2024,$340.52,1347259,$340.54,$342.55,$338.915
05/29/2024,$341.14,1918939,$336.69,$344.86,$336.20
05/28/2024,$339.31,1872435,$337.00,$339.89,$335.77
05/24/2024,$335.54,1230572,$330.69,$336.85,$330.69
05/23/2024,$330.12,943455,$334.79,$335.61,$329.87
05/22/2024,$335.42,1611455,$333.57,$336.26,$332.46
05/21/2024,$330.51,1256481,$330.35,$331.43,$328.58
05/20/2024,$329.73,1217831,$334.95,$335.33,$329.21
05/17/2024,$334.68,940474,$334.60,$334.98,$330.46
05/16/2024,$333.98,1168494,$332.00,$335.00,$331.35
05/15/2024,$331.99,1989178,$325.91,$332.22,$324.30
05/14/2024,$324.30,1712601,$324.09,$326.0225,$322.50
05/13/2024,$324.56,1609587,$331.32,$331.32,$323.51
05/10/2024,$330.58,1307926,$331.80,$332.815,$330.15
05/09/2024,$330.86,980439,$330.41,$332.7453,$329.29
05/08/2024,$329.28,1214050,$331.94,$335.395,$327.60
05/07/2024,$332.14,1331236,$327.93,$332.39,$326.63
05/06/2024,$325.50,1722244,$330.30,$331.00,$324.59
05/03/2024,$328.45,1589424,$328.65,$331.7625,$326.701
05/02/2024,$326.63,1846993,$331.68,$331.68,$322.51
05/01/2024,$328.12,2766931,$333.58,$335.725,$320.715
04/30/2024,$336.50,2480636,$337.65,$340.41,$336.32
04/29/2024,$338.87,1528296,$334.67,$340.42,$334.67
04/26/2024,$335.61,1063790,$335.19,$338.51,$334.44
04/25/2024,$337.15,1615335,$335.84,$337.87,$333.33
04/24/2024,$336.85,1515676,$335.28,$342.595,$334.20
04/23/2024,$334.91,1430549,$328.55,$335.12,$327.00
04/22/2024,$327.68,1688622,$327.71,$329.43,$323.75
04/19/2024,$325.43,1884151,$330.38,$330.38,$324.68
04/18/2024,$327.45,2143604,$336.07,$337.03,$326.59
04/17/2024,$336.03,1066062,$338.61,$339.395,$334.59
04/16/2024,$337.66,1239358,$341.14,$341.4325,$334.19
04/15/2024,$339.13,1087797,$345.79,$346.33,$337.97
04/12/2024,$342.05,1056840,$342.90,$344.12,$339.31
04/11/2024,$346.29,822222,$349.16,$349.42,$344.15
04/10/2024,$347.33,646025,$348.11,$351.00,$345.79
04/09/2024,$350.91,946487,$351.11,$351.265,$347.42
04/08/2024,$349.75,786526,$350.46,$350.99,$347.41
04/05/2024,$351.02,686625,$348.48,$351.67,$348.19
04/04/2024,$347.38,888870,$354.23,$354.59,$346.8301
04/03/2024,$351.00,905918,$350.86,$354.88,$350.22
04/02/2024,$349.38,997013,$352.29,$353.85,$348.45
04/01/2024,$354.67,760827,$357.03,$357.15,$353.39
03/28/2024,$357.87,1074753,$359.20,$359.50,$355.685
03/27/2024,$358.71,1404675,$351.99,$359.08,$351.89
03/26/2024,$350.38,785798,$351.17,$352.99,$350.00
03/25/2024,$351.03,792529,$353.25,$354.24,$349.845
03/22/2024,$352.62,1105369,$353.41,$354.95,$348.805
