Date,Close/Last,Volume,Open,High,Low
09/06/2024,$78.58,2155147,$79.00,$79.65,$78.41
09/05/2024,$78.98,4558240,$79.12,$79.29,$77.795
09/04/2024,$78.74,2330438,$78.12,$78.99,$77.93
09/03/2024,$78.27,2379148,$77.92,$78.99,$77.835
08/30/2024,$77.97,2346457,$77.92,$78.16,$77.51
08/29/2024,$77.53,2882774,$76.64,$77.86,$76.30
08/28/2024,$76.67,2519176,$76.20,$77.04,$76.03
08/27/2024,$76.20,2861789,$77.01,$77.02,$76.16
08/26/2024,$76.99,2246547,$77.53,$77.75,$76.82
08/23/2024,$77.16,2004921,$77.79,$77.83,$76.91
08/22/2024,$77.58,1808886,$77.18,$77.695,$76.74
08/21/2024,$77.13,1774509,$77.00,$77.28,$76.62
08/20/2024,$76.54,1409494,$76.83,$77.20,$76.48
08/19/2024,$76.91,2028172,$76.49,$77.0262,$76.34
08/16/2024,$76.57,2197203,$75.86,$76.60,$75.43
08/15/2024,$75.76,2768237,$76.50,$76.71,$75.10
08/14/2024,$76.01,3134362,$75.60,$76.455,$75.405
08/13/2024,$75.37,2023685,$75.35,$75.49,$74.4525
08/12/2024,$75.24,1657061,$75.61,$75.84,$74.91
08/09/2024,$75.63,2258827,$75.36,$75.86,$74.81
08/08/2024,$75.55,2672731,$75.31,$76.48,$75.31
08/07/2024,$75.25,3170264,$75.75,$76.46,$75.20
08/06/2024,$75.19,2726977,$74.83,$76.27,$74.54
08/05/2024,$74.62,4128475,$76.26,$77.25,$74.08
08/02/2024,$76.71,3313141,$76.06,$76.765,$75.22
08/01/2024,$75.81,2608974,$76.99,$77.49,$75.595
07/31/2024,$76.65,6846667,$76.65,$76.94,$75.6949
07/30/2024,$76.44,6630856,$74.75,$77.06,$72.74
07/29/2024,$73.26,3777855,$71.94,$73.52,$71.50
07/26/2024,$72.85,3196592,$72.50,$73.52,$72.20
07/25/2024,$72.12,3329021,$71.20,$72.64,$71.20
07/24/2024,$71.20,4224299,$72.80,$72.80,$70.42
07/23/2024,$73.18,2028332,$73.69,$73.775,$73.07
07/22/2024,$73.62,2320646,$73.50,$73.90,$73.01
07/19/2024,$73.62,2038520,$74.77,$74.77,$73.4994
07/18/2024,$74.36,1993950,$74.39,$75.68,$74.31
07/17/2024,$75.05,3013004,$72.79,$75.23,$72.705
07/16/2024,$73.03,2685405,$71.88,$73.071,$71.38
07/15/2024,$71.80,1930448,$71.71,$72.36,$71.55
07/12/2024,$72.17,1854775,$72.00,$72.40,$71.71
07/11/2024,$71.69,3187556,$69.76,$71.98,$69.74
07/10/2024,$69.64,2314715,$69.41,$69.76,$69.03
07/09/2024,$69.16,2050464,$69.61,$69.7899,$69.13
07/08/2024,$69.66,1673288,$70.00,$70.37,$69.25
07/05/2024,$69.75,2308655,$69.55,$69.86,$69.10
07/03/2024,$70.05,1781874,$70.35,$70.87,$70.05
07/02/2024,$70.59,2540039,$69.92,$70.65,$69.47
07/01/2024,$69.88,2456305,$71.72,$71.87,$69.74
06/28/2024,$71.39,15189200,$72.46,$72.67,$71.06
06/27/2024,$72.47,2393287,$72.21,$72.68,$72.00
06/26/2024,$72.28,3583189,$74.20,$74.36,$72.135
06/25/2024,$74.46,4596735,$74.46,$74.92,$74.20
06/24/2024,$74.58,4613975,$73.18,$74.69,$73.18
06/21/2024,$73.35,8655336,$73.02,$73.69,$72.565
06/20/2024,$72.75,5447748,$72.68,$73.53,$72.59
06/18/2024,$72.68,4875633,$73.22,$73.59,$72.54
06/17/2024,$72.94,3777177,$70.72,$73.27,$70.71
06/14/2024,$70.69,2201537,$70.74,$70.93,$70.225
06/13/2024,$71.04,2449600,$71.08,$71.38,$70.14
06/12/2024,$71.13,2582006,$71.98,$72.35,$71.08
06/11/2024,$71.72,2574630,$71.97,$72.25,$71.65
06/10/2024,$72.25,2313915,$72.41,$72.62,$71.90
06/07/2024,$72.66,2223010,$72.56,$72.99,$72.40
06/06/2024,$72.66,2750290,$72.21,$72.875,$71.93
06/05/2024,$72.24,3224371,$72.72,$73.10,$71.98
06/04/2024,$72.70,2917758,$73.05,$73.43,$72.53
06/03/2024,$73.19,2806969,$72.49,$73.5297,$72.33
05/31/2024,$72.82,6278741,$71.56,$72.85,$71.25
05/30/2024,$71.65,2767631,$71.71,$71.93,$71.52
05/29/2024,$71.47,4139708,$72.18,$72.89,$71.4375
05/28/2024,$72.47,4072202,$73.15,$73.58,$72.14
05/24/2024,$72.95,2249342,$73.10,$73.21,$72.13
