Date,Close/Last,Volume,Open,High,Low
09/06/2024,$1294.17,157071,$1330.62,$1335.73,$1293.29
09/05/2024,$1329.28,151861,$1348.00,$1348.38,$1316.985
09/04/2024,$1350.62,120054,$1333.77,$1353.60,$1333.77
09/03/2024,$1332.49,206746,$1368.60,$1379.47,$1327.355
08/30/2024,$1373.21,251827,$1366.68,$1380.83,$1356.76
08/29/2024,$1364.37,256817,$1340.00,$1376.16,$1335.9101
08/28/2024,$1333.06,168220,$1335.00,$1337.48,$1324.005
08/27/2024,$1326.23,160057,$1300.00,$1333.18,$1290.3372
08/26/2024,$1302.25,258416,$1326.60,$1329.21,$1300.51
08/23/2024,$1326.68,273198,$1308.03,$1339.29,$1305.97
08/22/2024,$1304.38,121728,$1316.74,$1320.00,$1302.45
08/21/2024,$1313.71,161546,$1315.00,$1319.01,$1306.73
08/20/2024,$1310.41,229893,$1309.85,$1315.00,$1297.28
08/19/2024,$1308.24,288695,$1280.08,$1310.25,$1278.51
08/16/2024,$1280.08,188182,$1275.00,$1281.07,$1266.88
08/15/2024,$1272.34,205043,$1267.29,$1275.00,$1253.99
08/14/2024,$1248.36,120211,$1245.36,$1254.47,$1237.56
08/13/2024,$1243.69,231304,$1239.99,$1245.16,$1222.24
08/12/2024,$1233.05,241077,$1243.88,$1243.88,$1224.36
08/09/2024,$1246.10,172042,$1231.51,$1249.24,$1221.04
08/08/2024,$1231.12,211264,$1215.09,$1243.77,$1214.85
08/07/2024,$1202.03,353592,$1250.92,$1253.79,$1201.72
08/06/2024,$1237.37,407953,$1221.85,$1269.495,$1221.85
08/05/2024,$1209.45,439962,$1196.27,$1218.75,$1176.31
08/02/2024,$1212.27,314682,$1249.77,$1249.77,$1202.24
08/01/2024,$1268.04,237424,$1287.42,$1296.78,$1258.285
07/31/2024,$1294.22,271670,$1285.52,$1302.45,$1273.81
07/30/2024,$1264.16,282964,$1248.55,$1273.94,$1248.55
07/29/2024,$1236.12,173045,$1241.30,$1246.80,$1227.31
07/26/2024,$1234.86,207905,$1240.86,$1253.19,$1232.63
07/25/2024,$1228.42,203326,$1250.42,$1262.92,$1228.21
07/24/2024,$1245.48,171229,$1274.93,$1274.93,$1241.165
07/23/2024,$1287.13,204036,$1262.13,$1296.38,$1259.035
07/22/2024,$1255.85,200921,$1245.76,$1259.36,$1237.18
07/19/2024,$1238.07,168121,$1259.27,$1259.27,$1234.33
07/18/2024,$1245.92,251453,$1246.29,$1263.26,$1239.2919
07/17/2024,$1241.47,207221,$1265.03,$1268.53,$1238.92
07/16/2024,$1280.50,218865,$1246.14,$1284.77,$1241.7705
07/15/2024,$1241.94,371133,$1250.03,$1250.03,$1230.2489
07/12/2024,$1242.31,409733,$1261.97,$1261.97,$1237.08
07/11/2024,$1255.64,299073,$1267.96,$1267.96,$1249.00
07/10/2024,$1272.68,232972,$1272.06,$1274.49,$1256.775
07/09/2024,$1270.46,167695,$1272.57,$1274.97,$1260.4801
07/08/2024,$1272.18,191877,$1278.00,$1281.34,$1261.77
07/05/2024,$1274.55,140336,$1280.57,$1280.57,$1261.515
07/03/2024,$1283.50,108123,$1278.05,$1288.15,$1274.03
07/02/2024,$1278.10,213942,$1243.82,$1280.04,$1243.82
07/01/2024,$1252.72,300850,$1298.46,$1298.46,$1249.36
06/28/2024,$1277.61,1220853,$1294.08,$1303.89,$1266.00
06/27/2024,$1288.65,322498,$1303.00,$1303.00,$1273.43
06/26/2024,$1300.83,241000,$1313.39,$1315.37,$1283.37
06/25/2024,$1320.36,189133,$1330.00,$1332.00,$1311.09
06/24/2024,$1328.05,262007,$1332.22,$1333.215,$1319.10
06/21/2024,$1321.09,397005,$1335.31,$1335.31,$1302.2077
06/20/2024,$1329.67,213312,$1347.87,$1349.00,$1325.26
06/18/2024,$1339.48,159628,$1322.18,$1345.95,$1315.35
06/17/2024,$1318.91,167416,$1292.13,$1328.195,$1292.13
06/14/2024,$1294.76,194186,$1310.00,$1310.00,$1281.37
06/13/2024,$1323.65,165735,$1316.29,$1325.46,$1301.52
06/12/2024,$1322.13,272459,$1304.93,$1332.97,$1295.67
06/11/2024,$1293.88,260197,$1301.05,$1304.35,$1279.87
06/10/2024,$1305.99,249712,$1308.36,$1317.12,$1304.38
06/07/2024,$1310.00,305705,$1335.07,$1341.65,$1309.59
06/06/2024,$1334.65,161781,$1365.20,$1369.575,$1325.89
06/05/2024,$1362.30,173561,$1347.27,$1364.22,$1328.60
06/04/2024,$1340.83,153184,$1334.34,$1342.32,$1322.115
06/03/2024,$1339.19,183325,$1356.98,$1356.98,$1315.55
05/31/2024,$1343.23,302783,$1321.00,$1348.89,$1314.98
05/30/2024,$1321.85,143548,$1317.77,$1324.065,$1305.42
05/29/2024,$1312.29,200686,$1316.13,$1333.85,$1312.26
05/28/2024,$1317.94,202774,$1356.53,$1363.6585,$1310.75
05/24/2024,$1350.31,136110,$1335.00,$1350.31,$1329.225
05/23/2024,$1330.72,173331,$1334.86,$1335.00,$1312.02
05/22/2024,$1326.19,251324,$1335.00,$1340.97,$1316.97
05/21/2024,$1336.84,212450,$1311.99,$1340.76,$1306.74
05/20/2024,$1312.76,179514,$1295.79,$1317.01,$1295.79
05/17/2024,$1291.95,210869,$1296.09,$1298.8499,$1281.98
05/16/2024,$1286.32,251269,$1287.29,$1295.55,$1283.80
05/15/2024,$1289.20,257907,$1278.88,$1292.12,$1276.88
05/14/2024,$1275.77,310688,$1276.41,$1279.40,$1260.05
05/13/2024,$1280.56,252274,$1317.81,$1317.81,$1279.89
05/10/2024,$1310.49,212403,$1328.22,$1330.8199,$1308.60
05/09/2024,$1318.86,229231,$1316.96,$1330.38,$1310.34
05/08/2024,$1315.00,250144,$1315.23,$1328.15,$1306.31
05/07/2024,$1310.40,443128,$1240.02,$1315.02,$1240.00
05/06/2024,$1301.63,330478,$1305.68,$1309.43,$1294.99
05/03/2024,$1293.80,238023,$1291.61,$1303.49,$1270.9273
05/02/2024,$1271.78,196565,$1254.61,$1274.215,$1250.185
05/01/2024,$1249.32,158892,$1245.57,$1269.4899,$1242.07
04/30/2024,$1248.03,238240,$1253.27,$1266.705,$1245.99
04/29/2024,$1258.72,124301,$1260.00,$1269.12,$1249.66
04/26/2024,$1259.15,140898,$1257.37,$1269.51,$1254.4901
04/25/2024,$1256.58,232694,$1240.05,$1265.25,$1225.50
04/24/2024,$1241.62,222452,$1250.00,$1255.59,$1213.785
04/23/2024,$1242.40,241828,$1215.00,$1244.66,$1212.41
04/22/2024,$1200.93,147923,$1195.94,$1213.655,$1186.12
04/19/2024,$1187.70,231376,$1225.37,$1226.33,$1185.78
04/18/2024,$1213.50,205492,$1218.92,$1237.39,$1211.565
04/17/2024,$1225.70,148008,$1233.52,$1235.28,$1212.71
04/16/2024,$1223.15,155244,$1210.09,$1228.08,$1210.09
04/15/2024,$1207.50,183178,$1243.00,$1248.39,$1206.96
04/12/2024,$1220.38,193470,$1223.03,$1231.86,$1207.115
04/11/2024,$1234.93,180243,$1214.67,$1237.51,$1206.87
04/10/2024,$1219.91,170186,$1206.76,$1224.62,$1205.21
04/09/2024,$1215.93,130082,$1234.29,$1234.29,$1198.32
04/08/2024,$1233.29,126761,$1236.91,$1239.26,$1227.88
04/05/2024,$1235.28,152933,$1212.55,$1237.125,$1212.55
04/04/2024,$1204.36,188064,$1242.04,$1246.22,$1200.00
04/03/2024,$1228.51,222982,$1201.71,$1234.95,$1201.71
04/02/2024,$1203.82,231730,$1209.30,$1209.30,$1196.77
04/01/2024,$1213.94,148762,$1229.77,$1229.77,$1208.90
03/28/2024,$1231.60,164404,$1233.80,$1238.9525,$1226.38
03/27/2024,$1233.80,140380,$1233.14,$1237.49,$1223.50
03/26/2024,$1223.11,113104,$1226.16,$1227.27,$1217.3101
03/25/2024,$1223.41,115583,$1238.13,$1238.13,$1218.07
03/22/2024,$1231.20,148930,$1232.38,$1238.00,$1226.885
03/21/2024,$1232.38,203827,$1215.93,$1238.34,$1212.49
03/20/2024,$1214.98,203978,$1199.70,$1217.00,$1198.535
03/19/2024,$1200.92,174658,$1184.70,$1202.70,$1177.76
03/18/2024,$1181.00,154520,$1181.83,$1188.90,$1177.45
03/15/2024,$1172.20,326702,$1173.08,$1182.25,$1163.82
03/14/2024,$1185.90,175841,$1189.63,$1192.58,$1179.845
03/13/2024,$1187.40,162030,$1176.34,$1190.1789,$1174.63
03/12/2024,$1183.13,228003,$1164.13,$1184.39,$1154.205
03/11/2024,$1151.74,253926,$1158.84,$1158.84,$1136.27
03/08/2024,$1164.99,204556,$1170.31,$1180.00,$1148.74
03/07/2024,$1174.69,162288,$1175.00,$1177.6496,$1169.54
03/06/2024,$1168.68,230331,$1169.28,$1174.97,$1162.69
03/05/2024,$1160.00,229864,$1172.27,$1178.97,$1154.3346
03/04/2024,$1173.41,264603,$1187.35,$1189.53,$1167.735
03/01/2024,$1183.27,196511,$1178.00,$1188.00,$1169.94
02/29/2024,$1177.74,314614,$1170.82,$1179.26,$1164.14
02/28/2024,$1172.00,286779,$1174.00,$1177.10,$1165.38
02/27/2024,$1174.22,194251,$1186.30,$1187.755,$1161.65
02/26/2024,$1187.40,168139,$1203.33,$1206.85,$1186.675
02/23/2024,$1199.89,163602,$1193.39,$1207.58,$1192.78
02/22/2024,$1192.95,261878,$1165.00,$1195.47,$1164.42
02/21/2024,$1164.35,183142,$1159.33,$1165.08,$1155.83
02/20/2024,$1159.01,227035,$1146.44,$1163.48,$1142.00
02/16/2024,$1146.39,197352,$1159.62,$1165.00,$1144.68
02/15/2024,$1157.79,232966,$1150.00,$1159.39,$1136.795
02/14/2024,$1147.13,219139,$1135.38,$1147.595,$1128.51
02/13/2024,$1122.26,270221,$1100.86,$1123.435,$1100.86
02/12/2024,$1109.17,219939,$1119.09,$1119.09,$1104.05
02/09/2024,$1119.89,283130,$1132.08,$1139.98,$1115.87
02/08/2024,$1128.57,442630,$1153.22,$1155.24,$1108.90
02/07/2024,$1147.01,369131,$1140.36,$1150.15,$1140.36
02/06/2024,$1140.60,287070,$1141.67,$1142.55,$1127.83
02/05/2024,$1135.08,230808,$1119.73,$1139.815,$1119.115
02/02/2024,$1123.76,188088,$1114.74,$1129.42,$1111.68
02/01/2024,$1113.68,228125,$1099.46,$1116.93,$1095.72
01/31/2024,$1092.68,312049,$1087.57,$1100.00,$1086.37
01/30/2024,$1085.94,174096,$1081.49,$1089.499,$1078.54
01/29/2024,$1081.73,145473,$1086.16,$1088.405,$1070.03
01/26/2024,$1082.48,244543,$1082.32,$1089.965,$1070.82
01/25/2024,$1078.87,260942,$1065.79,$1080.95,$1063.525
01/24/2024,$1059.92,144767,$1073.28,$1076.94,$1058.94
01/23/2024,$1071.85,153762,$1070.63,$1077.54,$1068.76
01/22/2024,$1072.21,200051,$1058.35,$1074.25,$1058.35
01/19/2024,$1057.13,171157,$1058.40,$1059.952,$1048.06
01/18/2024,$1053.00,201327,$1035.71,$1053.64,$1032.43
01/17/2024,$1031.75,149786,$1025.01,$1040.67,$1025.01
01/16/2024,$1027.32,194003,$1029.16,$1033.6499,$1017.80
01/12/2024,$1032.83,146182,$1027.12,$1033.805,$1018.835
01/11/2024,$1019.82,188763,$1015.00,$1022.982,$1004.25
01/10/2024,$1015.00,205795,$1005.81,$1017.21,$1002.81
01/09/2024,$1000.12,210737,$988.94,$1002.85,$985.29
01/08/2024,$997.18,257686,$975.00,$997.81,$975.00
01/05/2024,$978.61,217945,$977.48,$986.76,$976.01
01/04/2024,$975.53,207083,$977.89,$994.18,$974.05
01/03/2024,$972.61,271475,$987.78,$993.40,$972.08
01/02/2024,$992.20,245605,$1005.64,$1013.50,$989.31
12/29/2023,$1011.60,161192,$1015.00,$1018.50,$1008.01
12/28/2023,$1012.79,118897,$998.71,$1014.31,$998.71
