Date,Close/Last,Volume,Open,High,Low
09/06/2024,$421.77,235148,$429.29,$431.52,$421.27
09/05/2024,$430.47,255491,$430.20,$432.55,$427.47
09/04/2024,$429.60,329659,$420.70,$430.59,$420.70
09/03/2024,$420.00,209186,$431.78,$432.00,$419.25
08/30/2024,$432.80,296960,$428.12,$433.795,$424.725
08/29/2024,$426.61,170624,$427.44,$432.06,$425.295
08/28/2024,$425.46,138316,$426.29,$429.39,$424.30
08/27/2024,$425.53,97186,$422.17,$426.365,$421.67
08/26/2024,$422.17,80094,$424.00,$427.00,$421.78
08/23/2024,$422.52,104227,$420.00,$422.935,$418.56
08/22/2024,$417.75,122533,$418.97,$420.94,$417.23
08/21/2024,$418.73,230962,$417.27,$420.825,$415.78
08/20/2024,$415.45,142205,$419.45,$419.45,$415.02
08/19/2024,$419.42,124351,$416.43,$419.44,$415.97
08/16/2024,$416.58,144169,$413.36,$416.97,$412.80
08/15/2024,$413.36,132713,$411.63,$414.00,$409.06
08/14/2024,$408.53,131954,$410.77,$410.96,$406.42
08/13/2024,$410.86,159614,$408.36,$410.98,$406.355
08/12/2024,$407.59,170616,$409.27,$410.54,$404.75
08/09/2024,$409.04,137245,$409.86,$410.10,$405.38
08/08/2024,$410.18,153333,$404.75,$410.61,$404.45
08/07/2024,$404.62,183665,$408.31,$414.315,$403.78
08/06/2024,$406.54,340225,$400.22,$411.93,$399.06
08/05/2024,$399.73,296642,$404.04,$405.33,$397.7801
08/02/2024,$410.54,328712,$415.24,$416.28,$407.83
08/01/2024,$418.18,222225,$422.42,$424.50,$414.65
07/31/2024,$421.86,316298,$424.50,$429.83,$420.91
07/30/2024,$423.98,218479,$424.74,$426.225,$421.51
07/29/2024,$423.04,314661,$422.20,$424.01,$421.01
07/26/2024,$421.56,335622,$420.00,$425.90,$415.91
07/25/2024,$415.70,480876,$415.81,$422.86,$413.69
07/24/2024,$417.00,733274,$419.00,$424.10,$410.47
07/23/2024,$402.17,326696,$400.30,$404.86,$399.89
07/22/2024,$397.74,208992,$395.54,$398.97,$392.73
07/19/2024,$392.93,414013,$401.03,$401.03,$391.58
07/18/2024,$399.12,269402,$400.40,$404.725,$398.8674
07/17/2024,$402.06,270408,$402.95,$405.85,$401.69
07/16/2024,$403.42,332862,$395.85,$404.54,$394.37
07/15/2024,$394.87,212175,$394.36,$398.005,$392.65
07/12/2024,$394.11,193046,$396.32,$397.8435,$393.81
07/11/2024,$393.99,291223,$391.00,$396.725,$391.00
07/10/2024,$388.70,173254,$383.62,$389.59,$382.81
07/09/2024,$381.69,203579,$382.40,$386.555,$381.39
07/08/2024,$382.84,348986,$384.05,$385.01,$381.97
07/05/2024,$381.47,292516,$386.09,$388.0635,$381.03
07/03/2024,$387.28,136135,$384.72,$390.63,$384.72
07/02/2024,$384.56,193445,$382.59,$388.19,$381.495
07/01/2024,$382.91,261818,$389.66,$390.495,$382.88
06/28/2024,$387.98,406051,$388.41,$391.70,$384.42
06/27/2024,$386.41,201289,$386.04,$387.535,$383.75
