Date,Close/Last,Volume,Open,High,Low
08/30/2024,$73.99,842930,$74.77,$75.00,$73.51
08/29/2024,$74.52,1367193,$71.91,$75.42,$71.47
08/28/2024,$71.60,713827,$71.09,$71.88,$70.80
08/27/2024,$71.03,545838,$71.34,$71.83,$70.25
08/26/2024,$71.34,538343,$72.64,$72.64,$71.04
08/23/2024,$72.29,530783,$71.91,$73.3696,$71.14
08/22/2024,$71.35,471459,$72.89,$73.5099,$71.14
08/21/2024,$72.65,930508,$72.96,$73.22,$71.90
08/20/2024,$72.34,943531,$74.99,$75.27,$72.30
08/19/2024,$74.99,680366,$74.52,$75.11,$73.97
08/16/2024,$74.52,798166,$74.72,$75.34,$73.08
08/15/2024,$74.91,1015375,$73.61,$75.03,$72.935
08/14/2024,$72.75,1284105,$73.56,$75.60,$72.485
08/13/2024,$73.45,805193,$71.65,$73.73,$71.55
08/12/2024,$71.78,791472,$71.77,$72.14,$70.48
08/09/2024,$71.77,829674,$72.98,$73.42,$71.48
08/08/2024,$73.37,1439565,$71.90,$73.68,$70.17
08/07/2024,$70.96,2594528,$77.52,$77.52,$70.135
08/06/2024,$78.42,1555844,$77.66,$80.545,$77.06
08/05/2024,$77.66,1098738,$81.29,$81.29,$76.94
08/02/2024,$80.17,857927,$81.30,$81.30,$77.93
08/01/2024,$82.35,789942,$81.92,$83.325,$80.97
07/31/2024,$81.59,1024447,$82.78,$83.62,$81.51
07/30/2024,$81.97,1258544,$80.00,$82.34,$79.995
07/29/2024,$79.72,1270608,$80.89,$81.00,$78.36
07/26/2024,$80.60,969063,$79.72,$81.32,$78.77
07/25/2024,$78.67,883151,$77.57,$79.78,$77.04
07/24/2024,$77.61,915195,$76.58,$77.9313,$75.94
07/23/2024,$76.51,861461,$77.89,$78.17,$76.28
07/22/2024,$77.77,631172,$76.35,$77.88,$74.79
07/19/2024,$75.46,587477,$75.93,$76.6399,$74.20
07/18/2024,$75.92,738884,$77.45,$78.60,$75.59
07/17/2024,$78.29,649909,$79.35,$80.515,$78.28
07/16/2024,$79.82,909307,$77.59,$80.12,$76.88
07/15/2024,$77.21,710891,$77.20,$77.88,$76.66
07/12/2024,$77.31,1323530,$76.73,$78.47,$76.15
07/11/2024,$76.37,1118208,$73.00,$76.54,$72.373
07/10/2024,$72.07,917253,$71.81,$72.37,$71.165
07/09/2024,$71.29,727409,$71.48,$71.96,$70.30
07/08/2024,$71.56,841071,$71.66,$72.68,$71.38
07/05/2024,$71.44,564539,$71.48,$72.63,$70.62
07/03/2024,$71.45,508022,$71.87,$72.705,$71.39
07/02/2024,$71.24,884518,$71.67,$72.35,$70.96
07/01/2024,$71.61,1405502,$71.78,$73.3737,$71.01
06/28/2024,$71.65,4737522,$72.05,$72.61,$70.65
06/27/2024,$71.82,1236561,$71.97,$72.425,$70.99
06/26/2024,$72.10,1338199,$72.85,$73.1468,$71.92
06/25/2024,$73.07,631275,$74.29,$74.7799,$72.85
06/24/2024,$74.49,840784,$73.96,$75.49,$73.55
06/21/2024,$73.66,1578266,$74.79,$75.28,$73.51
06/20/2024,$74.53,784181,$74.25,$75.245,$73.43
06/18/2024,$74.54,1147737,$74.84,$75.24,$74.33
06/17/2024,$74.81,772994,$75.48,$75.985,$74.61
06/14/2024,$75.87,787761,$76.50,$77.02,$74.79
06/13/2024,$76.88,529506,$77.12,$77.66,$75.88
06/12/2024,$77.45,782456,$78.16,$78.99,$76.57
06/11/2024,$76.89,827522,$76.75,$77.30,$75.90
06/10/2024,$77.10,722231,$76.99,$77.62,$75.90
06/07/2024,$77.63,897308,$78.14,$78.47,$77.11
06/06/2024,$78.83,785617,$78.85,$79.9261,$78.495
06/05/2024,$79.26,930552,$77.31,$79.30,$76.59
06/04/2024,$76.90,1095060,$77.32,$78.58,$76.14
06/03/2024,$77.90,863746,$77.89,$79.195,$77.11
05/31/2024,$77.19,1307031,$77.47,$78.815,$76.17
05/30/2024,$77.25,1222601,$78.22,$78.22,$75.16
05/29/2024,$78.60,718496,$78.44,$78.70,$77.68
05/28/2024,$79.39,795261,$80.93,$80.93,$79.04
05/24/2024,$80.79,452637,$80.84,$81.029,$79.95
05/23/2024,$80.41,793186,$82.32,$83.96,$79.76
05/22/2024,$82.98,696296,$80.97,$83.28,$80.29
05/21/2024,$82.68,840134,$82.42,$83.40,$80.83
05/20/2024,$82.50,1006916,$83.23,$84.22,$82.38
05/17/2024,$83.805,1379971,$82.98,$84.61,$82.19
05/16/2024,$82.84,1389946,$83.15,$83.82,$82.32
05/15/2024,$83.50,1149196,$84.94,$85.57,$83.00
05/14/2024,$84.15,926909,$82.41,$84.47,$82.065
05/13/2024,$81.97,1418015,$82.14,$82.75,$80.55
05/10/2024,$80.91,1463839,$79.61,$81.09,$79.47
05/09/2024,$79.63,816087,$77.24,$79.79,$76.61
05/08/2024,$77.05,838284,$77.53,$77.70,$76.565
05/07/2024,$77.46,1007595,$76.87,$77.59,$75.85
05/06/2024,$76.06,1090356,$77.48,$77.7199,$75.20
05/03/2024,$77.29,1509857,$76.89,$77.98,$76.18
05/02/2024,$75.60,2255997,$74.45,$76.31,$73.08
05/01/2024,$73.46,3117232,$70.54,$76.68,$70.012
04/30/2024,$63.21,1329624,$63.83,$64.78,$63.16
04/29/2024,$64.51,1604634,$64.39,$66.63,$64.284
04/26/2024,$64.06,973784,$62.83,$64.36,$62.40
04/25/2024,$62.66,965762,$63.21,$63.31,$61.79
04/24/2024,$63.52,984815,$63.22,$63.945,$62.61
04/23/2024,$63.69,1217190,$64.00,$64.585,$63.56
04/22/2024,$62.80,829547,$62.54,$63.39,$61.815
04/19/2024,$62.12,909608,$62.45,$62.96,$61.94
04/18/2024,$62.21,1174667,$61.61,$62.43,$61.16
04/17/2024,$62.73,902987,$64.54,$64.81,$62.70
04/16/2024,$64.01,1616348,$65.29,$65.29,$63.645
04/15/2024,$65.52,735418,$67.26,$67.46,$65.10
04/12/2024,$66.73,703423,$68.09,$68.52,$66.28
04/11/2024,$68.81,1100965,$70.68,$70.825,$68.74
04/10/2024,$69.51,843726,$69.58,$70.17,$69.245
04/09/2024,$71.23,1175061,$68.76,$71.27,$68.73
04/08/2024,$68.22,1008251,$67.26,$68.86,$66.74
04/05/2024,$66.99,1053192,$67.02,$68.36,$66.85
04/04/2024,$67.05,858803,$68.49,$68.87,$66.77
04/03/2024,$67.87,810475,$68.29,$68.88,$67.41
04/02/2024,$68.76,689314,$68.90,$68.98,$67.34
04/01/2024,$69.41,772939,$70.75,$70.82,$68.61
03/28/2024,$70.39,1179959,$69.89,$70.765,$69.28
03/27/2024,$69.42,971586,$69.08,$69.79,$68.00
03/26/2024,$68.40,1465106,$69.36,$69.485,$68.295
03/25/2024,$69.22,1136284,$71.73,$71.75,$69.08
03/22/2024,$71.50,975518,$72.38,$72.455,$70.65
03/21/2024,$72.33,821923,$72.75,$72.775,$71.81
03/20/2024,$71.88,1190446,$70.84,$71.95,$70.725
03/19/2024,$70.76,1041638,$71.88,$72.405,$70.04
03/18/2024,$71.88,1004049,$72.48,$72.87,$71.04
