Date,Close/Last,Volume,Open,High,Low
09/06/2024,$143.38,1772920,$146.92,$148.085,$142.93
09/05/2024,$147.07,1316981,$148.17,$148.17,$145.81
09/04/2024,$147.68,1974596,$147.81,$148.69,$146.645
09/03/2024,$148.40,1467428,$152.00,$152.86,$147.78
08/30/2024,$153.60,1855724,$152.65,$153.83,$151.90
08/29/2024,$151.49,2295368,$152.14,$153.50,$151.03
08/28/2024,$151.24,933481,$152.16,$153.16,$150.87
08/27/2024,$151.87,812456,$152.05,$152.605,$151.35
08/26/2024,$152.54,1046352,$153.09,$154.205,$152.37
08/23/2024,$153.08,1630394,$151.46,$153.19,$151.065
08/22/2024,$150.69,1412009,$152.88,$153.435,$150.40
08/21/2024,$152.71,1492650,$151.30,$152.95,$151.20
08/20/2024,$150.08,760129,$150.18,$151.30,$149.90
08/19/2024,$150.51,856749,$149.74,$150.58,$148.78
08/16/2024,$149.43,1022107,$148.74,$149.55,$148.06
08/15/2024,$149.04,1109367,$147.24,$149.20,$146.30
08/14/2024,$145.13,1254338,$146.66,$146.66,$145.03
08/13/2024,$146.43,1034891,$146.20,$146.79,$145.05
08/12/2024,$144.70,1014803,$144.26,$145.45,$143.89
08/09/2024,$143.99,1085692,$142.76,$144.47,$142.50
08/08/2024,$143.46,2196730,$142.98,$143.57,$141.66
08/07/2024,$141.97,2478405,$144.78,$145.9275,$141.93
08/06/2024,$142.93,1888762,$143.84,$146.135,$142.90
08/05/2024,$143.44,2108525,$146.83,$146.90,$141.69
08/02/2024,$145.40,1980480,$148.11,$148.43,$144.89
08/01/2024,$150.31,1758321,$155.04,$156.18,$149.25
07/31/2024,$154.33,2251578,$153.10,$156.23,$151.35
07/30/2024,$152.95,1432612,$155.84,$156.39,$152.26
07/29/2024,$155.77,1417892,$156.38,$156.665,$154.37
07/26/2024,$156.38,1185249,$156.73,$157.48,$155.45
07/25/2024,$154.54,2706659,$156.545,$157.97,$154.37
07/24/2024,$156.85,4501673,$153.85,$159.98,$152.65
07/23/2024,$151.40,2217206,$151.29,$152.72,$150.40
07/22/2024,$152.94,1601413,$151.37,$153.41,$149.94
07/19/2024,$150.69,4178593,$156.64,$157.04,$150.59
07/18/2024,$156.49,1792303,$157.11,$159.58,$156.19
07/17/2024,$157.05,1864875,$158.10,$158.98,$157.02
07/16/2024,$159.66,2015931,$157.22,$159.75,$156.45
07/15/2024,$156.18,1613543,$156.46,$157.49,$155.93
07/12/2024,$155.81,1272225,$155.62,$157.42,$155.08
07/11/2024,$154.76,1601297,$154.79,$155.095,$153.95
07/10/2024,$153.51,1507663,$150.43,$153.80,$150.145
07/09/2024,$149.76,1435476,$151.02,$151.38,$149.735
07/08/2024,$150.66,2174139,$150.05,$150.84,$149.61
07/05/2024,$149.43,1508500,$148.36,$149.77,$147.66
07/03/2024,$148.78,767040,$150.14,$150.23,$148.49
07/02/2024,$149.94,1241265,$148.03,$150.565,$147.53
07/01/2024,$148.47,1367945,$150.41,$150.59,$147.78
06/28/2024,$150.43,1854179,$149.45,$151.03,$148.71
06/27/2024,$148.71,924018,$148.10,$148.88,$147.815
06/26/2024,$147.84,1879628,$148.72,$149.08,$147.16
06/25/2024,$149.49,1736484,$150.79,$150.79,$148.13
06/24/2024,$151.10,1674463,$152.35,$153.54,$151.09
06/21/2024,$152.00,3174220,$150.69,$152.33,$149.55
06/20/2024,$150.50,1947819,$150.97,$152.00,$149.72
06/18/2024,$151.18,1823395,$151.11,$152.78,$150.55
06/17/2024,$150.18,1584277,$147.68,$150.24,$146.67
06/14/2024,$147.35,2534276,$149.20,$150.08,$144.95
06/13/2024,$150.56,1575334,$150.21,$150.61,$148.35
06/12/2024,$150.72,1229276,$150.62,$151.99,$149.54
06/11/2024,$149.56,1196413,$149.13,$149.58,$148.14
06/10/2024,$149.67,1440586,$148.52,$149.78,$148.52
06/07/2024,$149.17,1548493,$148.87,$150.31,$148.47
06/06/2024,$149.33,1089572,$150.00,$150.015,$149.00
06/05/2024,$149.99,1205417,$148.96,$150.055,$148.16
06/04/2024,$148.19,1161526,$148.32,$148.61,$146.97
06/03/2024,$149.11,1600425,$150.00,$150.24,$147.92
05/31/2024,$149.70,2167562,$147.69,$149.89,$146.58
05/30/2024,$148.25,1179604,$148.32,$148.64,$147.1822
05/29/2024,$147.99,1452107,$148.87,$148.95,$147.38
05/28/2024,$150.40,1290766,$151.21,$152.30,$150.065
05/24/2024,$150.87,1180062,$151.02,$152.18,$150.68
05/23/2024,$150.00,1753067,$152.32,$152.32,$149.83
05/22/2024,$151.66,1411789,$151.49,$152.785,$151.17
05/21/2024,$151.80,993920,$151.02,$152.31,$150.90
05/20/2024,$151.69,756019,$150.83,$151.95,$150.20
05/17/2024,$151.01,1048205,$151.57,$151.585,$150.57
05/16/2024,$151.09,1506270,$151.63,$152.14,$150.97
05/15/2024,$151.46,1341886,$150.00,$151.73,$149.795
05/14/2024,$149.29,1197797,$148.50,$149.43,$148.05
05/13/2024,$147.84,1437376,$146.82,$147.95,$146.675
05/10/2024,$146.19,1217928,$147.00,$147.19,$145.88
05/09/2024,$146.10,1324120,$145.00,$146.35,$144.49
05/08/2024,$144.80,1279885,$142.48,$144.91,$142.48
05/07/2024,$143.24,1419704,$142.96,$144.04,$142.92
05/06/2024,$142.22,1951434,$142.48,$142.849,$141.15
05/03/2024,$142.00,1197854,$141.65,$142.94,$140.26
05/02/2024,$140.01,1719694,$141.03,$141.765,$137.61
05/01/2024,$139.45,1410158,$140.26,$141.99,$139.42
04/30/2024,$141.48,2083966,$142.61,$143.45,$141.43
04/29/2024,$142.82,1695099,$141.51,$142.82,$141.44
04/26/2024,$140.21,2653836,$141.15,$141.96,$140.02
04/25/2024,$140.48,3219403,$141.36,$141.45,$138.49
04/24/2024,$140.00,5767329,$141.96,$142.60,$138.37
04/23/2024,$143.23,2993615,$143.99,$145.61,$142.98
04/22/2024,$143.77,3026221,$141.47,$144.11,$140.39
04/19/2024,$140.55,4138032,$140.65,$141.33,$140.115
04/18/2024,$140.48,2295878,$141.75,$142.65,$140.29
04/17/2024,$141.48,1865331,$143.56,$143.76,$140.925
04/16/2024,$142.85,1794691,$142.10,$143.95,$141.8275
04/15/2024,$142.02,1455046,$144.68,$145.44,$141.54
04/12/2024,$142.98,1946581,$145.07,$145.99,$142.80
04/11/2024,$146.71,1322095,$145.78,$146.96,$143.72
04/10/2024,$144.94,3264813,$145.64,$146.44,$144.16
04/09/2024,$147.87,1541367,$147.24,$147.98,$146.34
04/08/2024,$144.78,1209823,$145.53,$145.70,$144.47
04/05/2024,$144.65,1105711,$144.73,$145.79,$143.46
04/04/2024,$144.48,2106806,$147.87,$147.96,$143.915
04/03/2024,$145.68,1753894,$142.82,$145.77,$142.82
04/02/2024,$142.69,1850289,$142.29,$143.35,$141.74
04/01/2024,$143.96,1371202,$145.105,$145.25,$143.615
03/28/2024,$145.24,1544811,$145.65,$146.24,$144.86
03/27/2024,$144.93,2502180,$142.73,$145.24,$142.73
03/26/2024,$141.63,1625514,$141.66,$142.28,$141.4375
03/25/2024,$141.61,1757543,$144.00,$144.00,$141.59
03/22/2024,$143.31,1526739,$143.89,$144.44,$143.12
03/21/2024,$143.99,3178910,$142.67,$145.02,$142.48
03/20/2024,$141.33,1772564,$140.99,$142.00,$140.08
03/19/2024,$140.67,2137142,$139.86,$141.44,$139.77
03/18/2024,$140.00,2565389,$140.09,$141.49,$139.90
03/15/2024,$139.16,2979157,$138.16,$139.84,$138.16
03/14/2024,$139.45,1716173,$140.98,$141.29,$138.895
03/13/2024,$141.39,1582015,$141.04,$141.865,$140.59
03/12/2024,$140.54,1653222,$142.13,$142.13,$140.24
03/11/2024,$141.03,2153553,$139.46,$141.46,$139.46
03/08/2024,$140.53,2069071,$142.85,$143.27,$140.365
03/07/2024,$142.46,1874201,$142.00,$143.08,$141.73
03/06/2024,$141.41,3034411,$141.83,$143.265,$141.34
03/05/2024,$140.24,2254265,$142.25,$143.305,$139.75
03/04/2024,$143.06,2295708,$143.65,$144.11,$143.04
03/01/2024,$143.74,1626660,$143.29,$144.17,$142.32
02/29/2024,$143.56,2693364,$144.07,$144.47,$143.07
02/28/2024,$143.10,1634305,$143.03,$144.11,$142.67
02/27/2024,$143.63,2799863,$143.83,$144.425,$143.075
02/26/2024,$142.79,1963836,$143.17,$143.69,$142.62
02/23/2024,$143.11,1273462,$144.00,$144.33,$142.45
02/22/2024,$143.63,1700504,$143.55,$144.03,$142.21
02/21/2024,$140.74,1789349,$140.25,$140.93,$139.76
02/20/2024,$140.22,2012768,$141.04,$141.44,$139.36
02/16/2024,$142.40,1951760,$143.22,$144.06,$142.305
02/15/2024,$143.17,2587877,$142.80,$144.63,$142.77
02/14/2024,$142.80,2789913,$141.92,$142.96,$141.12
02/13/2024,$140.74,1953329,$141.19,$142.06,$139.31
02/12/2024,$143.29,2281558,$143.94,$145.01,$143.0775
02/09/2024,$144.05,1401721,$143.16,$144.45,$142.74
02/08/2024,$143.11,1781077,$142.20,$143.25,$141.53
02/07/2024,$141.99,3090594,$141.80,$142.49,$140.85
02/06/2024,$141.55,1885548,$140.76,$141.79,$140.11
02/05/2024,$140.79,1632900,$142.13,$142.46,$140.26
02/02/2024,$142.82,1315004,$141.72,$143.539,$141.045
02/01/2024,$142.25,3586453,$142.50,$142.61,$140.20
01/31/2024,$142.19,2766477,$144.00,$144.57,$141.99
01/30/2024,$145.23,1233157,$145.81,$146.8424,$145.19
01/29/2024,$145.67,1856801,$143.04,$145.73,$142.60
01/26/2024,$144.48,3302368,$145.80,$145.82,$143.47
01/25/2024,$144.26,3641751,$144.52,$145.00,$142.86
01/24/2024,$143.63,4074180,$143.39,$146.83,$141.55
