Date,Close/Last,Volume,Open,High,Low
09/06/2024,$121.45,2298602,$124.91,$125.865,$119.81
09/05/2024,$126.10,1317141,$124.02,$128.02,$123.95
09/04/2024,$126.76,1632212,$123.64,$128.40,$122.63
09/03/2024,$124.54,3193900,$133.49,$134.315,$123.79
08/30/2024,$136.73,1497084,$136.84,$137.81,$134.49
08/29/2024,$133.96,1496235,$134.16,$138.09,$132.82
08/28/2024,$132.31,1352705,$134.14,$135.77,$130.59
08/27/2024,$134.98,1066232,$132.09,$136.05,$130.63
08/26/2024,$133.00,1648818,$135.46,$135.79,$132.52
08/23/2024,$135.94,1847085,$133.81,$137.52,$133.01
08/22/2024,$131.20,1815117,$135.85,$136.1744,$130.54
08/21/2024,$135.41,1409437,$133.25,$136.59,$132.215
08/20/2024,$131.73,1671932,$132.685,$134.5443,$130.12
08/19/2024,$133.98,1347868,$132.36,$134.15,$130.29
08/16/2024,$133.12,1338232,$131.40,$133.49,$129.54
08/15/2024,$131.73,2169436,$129.16,$132.45,$127.85
08/14/2024,$125.25,1323678,$127.53,$128.35,$123.51
08/13/2024,$127.08,1730421,$123.64,$127.40,$122.92
08/12/2024,$122.32,989525,$122.65,$123.83,$120.49
08/09/2024,$121.72,1188985,$121.73,$123.24,$120.01
08/08/2024,$122.88,2255272,$118.31,$123.08,$115.32
08/07/2024,$114.25,2599887,$121.99,$123.18,$113.50
08/06/2024,$118.32,1623831,$117.09,$122.20,$116.33
08/05/2024,$116.39,2726134,$111.16,$119.62,$109.15
08/02/2024,$117.27,3522573,$119.75,$120.00,$115.715
08/01/2024,$121.74,3950743,$128.77,$131.615,$119.65
07/31/2024,$131.16,4440788,$126.75,$131.58,$125.93
07/30/2024,$121.34,2812505,$128.59,$128.70,$120.10
07/29/2024,$127.93,1744283,$128.37,$130.27,$127.14
07/26/2024,$126.46,2617182,$125.16,$126.59,$123.03
07/25/2024,$124.335,6539001,$128.442,$129.9705,$120.35
07/24/2024,$143.54,3150209,$149.62,$150.70,$143.18
