Date,Close/Last,Volume,Open,High,Low
09/06/2024,$244.53,331071,$243.82,$247.99,$241.79
09/05/2024,$243.15,221670,$244.90,$244.90,$241.25
09/04/2024,$244.96,225962,$244.45,$247.99,$244.16
09/03/2024,$244.84,274028,$244.09,$248.00,$243.47
08/30/2024,$245.17,435640,$244.72,$245.60,$241.90
08/29/2024,$243.54,196072,$243.74,$245.09,$240.61
08/28/2024,$241.92,219429,$242.59,$244.2688,$239.80
08/27/2024,$241.81,279525,$242.10,$242.68,$239.47
08/26/2024,$241.76,268702,$243.04,$245.285,$241.34
08/23/2024,$242.41,181994,$239.88,$243.34,$238.53
08/22/2024,$239.07,253744,$239.66,$241.72,$238.44
08/21/2024,$238.27,200815,$238.71,$238.883,$236.05
08/20/2024,$237.04,160093,$237.56,$238.935,$235.935
08/19/2024,$238.00,464182,$238.77,$238.925,$237.18
08/16/2024,$239.25,291839,$238.27,$239.7625,$236.30
08/15/2024,$237.70,391374,$234.75,$239.31,$234.75
08/14/2024,$232.65,352659,$231.72,$233.26,$229.27
08/13/2024,$232.07,327559,$228.16,$232.375,$228.16
08/12/2024,$228.31,303007,$229.42,$232.62,$228.01
08/09/2024,$229.59,665727,$231.26,$233.245,$227.53
08/08/2024,$230.00,1376792,$225.31,$231.58,$225.14
08/07/2024,$225.31,796428,$231.00,$232.89,$225.31
08/06/2024,$230.83,895322,$234.14,$236.39,$230.00
08/05/2024,$233.33,576237,$232.89,$237.905,$230.01
08/02/2024,$237.13,745171,$237.37,$242.33,$233.555
08/01/2024,$235.95,771480,$226.725,$243.88,$226.725
07/31/2024,$220.92,726841,$221.99,$223.50,$219.46
07/30/2024,$222.71,362369,$222.87,$224.18,$221.56
07/29/2024,$222.63,278654,$220.51,$223.76,$218.415
07/26/2024,$220.30,500583,$222.13,$223.305,$217.30
07/25/2024,$222.49,266777,$223.62,$228.36,$222.24
07/24/2024,$224.57,167956,$224.11,$226.23,$220.00
07/23/2024,$223.37,157009,$223.27,$224.854,$221.46
07/22/2024,$222.59,374607,$222.59,$224.02,$220.29
07/19/2024,$221.79,292416,$222.25,$224.95,$217.17
07/18/2024,$220.27,535138,$228.28,$228.28,$218.995
07/17/2024,$230.30,590172,$229.88,$236.48,$228.95
07/16/2024,$229.28,356023,$220.69,$229.50,$219.55
07/15/2024,$219.84,245250,$219.73,$221.38,$217.57
07/12/2024,$220.47,493043,$225.35,$226.48,$220.03
07/11/2024,$224.48,376311,$221.98,$227.06,$221.28
07/10/2024,$220.58,364342,$218.19,$220.68,$215.805
07/09/2024,$218.07,453240,$212.55,$218.08,$210.65
07/08/2024,$211.73,283224,$213.79,$213.79,$210.87
07/05/2024,$214.06,257204,$211.92,$214.29,$209.94
07/03/2024,$211.44,228226,$212.51,$212.73,$210.63
07/02/2024,$211.25,461773,$211.38,$214.36,$210.89
07/01/2024,$211.44,586213,$214.27,$218.19,$210.89
06/28/2024,$210.33,1149451,$207.66,$211.17,$206.08
06/27/2024,$207.23,617328,$200.03,$207.68,$199.73
06/26/2024,$200.03,436489,$197.23,$203.06,$196.49
06/25/2024,$198.62,315806,$200.73,$200.95,$197.41
06/24/2024,$200.73,344459,$203.75,$203.87,$200.705
06/21/2024,$203.40,767181,$202.75,$203.85,$201.13
06/20/2024,$202.08,658162,$200.72,$203.41,$200.37
06/18/2024,$202.09,378717,$206.63,$208.60,$201.30
06/17/2024,$205.77,505154,$206.14,$208.27,$203.81
06/14/2024,$208.29,193248,$208.55,$208.71,$206.71
06/13/2024,$209.30,339538,$209.48,$209.95,$205.39
06/12/2024,$211.10,341471,$208.44,$214.83,$208.44
06/11/2024,$206.54,340096,$207.28,$207.995,$204.39
06/10/2024,$207.09,550392,$211.08,$211.19,$203.13
06/07/2024,$212.57,427810,$215.18,$216.17,$209.88
06/06/2024,$216.40,511285,$214.81,$219.76,$214.81
06/05/2024,$215.35,385400,$214.95,$217.20,$212.84
06/04/2024,$215.05,441707,$215.00,$215.77,$212.16
06/03/2024,$214.93,693545,$208.34,$217.47,$208.27
05/31/2024,$209.07,1163126,$206.98,$210.39,$206.005
05/30/2024,$206.64,887539,$203.41,$208.41,$202.63
05/29/2024,$202.51,469659,$202.85,$205.02,$202.01
05/28/2024,$204.64,1116980,$205.80,$206.59,$203.51
05/24/2024,$206.35,476857,$206.54,$208.13,$204.63
05/23/2024,$206.54,1042787,$211.96,$211.96,$205.83
05/22/2024,$213.09,283091,$212.86,$214.47,$212.575
05/21/2024,$212.99,637044,$213.85,$215.0215,$212.66
05/20/2024,$214.59,527455,$217.43,$217.43,$213.85
05/17/2024,$217.64,392913,$219.48,$219.48,$214.80
05/16/2024,$218.57,1238765,$214.00,$219.56,$212.31
05/15/2024,$219.79,489886,$214.70,$220.27,$214.20
05/14/2024,$212.62,470457,$208.92,$213.92,$208.39
05/13/2024,$207.32,457341,$204.52,$207.805,$203.38
05/10/2024,$203.93,316507,$204.57,$206.69,$203.28
05/09/2024,$204.70,407774,$201.40,$205.38,$199.76
05/08/2024,$200.45,460885,$200.00,$201.335,$197.99
05/07/2024,$201.52,462601,$201.72,$203.785,$201.19
05/06/2024,$200.96,551439,$204.93,$205.035,$199.29
05/03/2024,$203.01,604098,$201.19,$206.515,$199.12
05/02/2024,$198.73,706549,$208.46,$213.41,$198.205
05/01/2024,$211.54,620701,$207.79,$213.275,$207.135
04/30/2024,$208.75,489548,$206.68,$209.52,$205.455
04/29/2024,$208.48,502328,$207.59,$210.135,$207.33
04/26/2024,$206.71,433169,$206.84,$208.56,$206.36
04/25/2024,$206.71,345088,$209.52,$209.52,$205.39
04/24/2024,$211.17,201415,$209.74,$212.495,$209.74
04/23/2024,$211.11,284357,$208.31,$212.56,$207.51
04/22/2024,$207.27,329746,$208.17,$209.28,$205.5474
04/19/2024,$206.56,416411,$208.67,$208.90,$205.26
04/18/2024,$207.38,154319,$208.74,$209.935,$206.75
04/17/2024,$208.30,170359,$210.67,$210.67,$207.09
04/16/2024,$210.10,202561,$210.26,$213.23,$207.7908
04/15/2024,$210.66,288334,$216.22,$216.345,$209.86
04/12/2024,$214.44,189485,$215.27,$216.18,$212.79
04/11/2024,$217.42,178015,$220.90,$220.91,$216.235
04/10/2024,$218.24,161154,$219.35,$220.36,$216.27
04/09/2024,$223.79,228255,$217.52,$223.94,$215.69
04/08/2024,$216.90,245228,$217.43,$220.23,$215.9483
04/05/2024,$216.77,304373,$211.08,$217.86,$210.535
