Date,Close/Last,Volume,Open,High,Low
09/06/2024,$151.28,4045069,$151.61,$153.33,$150.72
09/05/2024,$151.90,3358882,$153.06,$153.55,$150.67
09/04/2024,$152.48,3841041,$152.65,$153.735,$148.87
09/03/2024,$151.80,4070975,$152.99,$154.96,$151.35
08/30/2024,$153.62,3933162,$153.69,$154.15,$152.19
08/29/2024,$153.42,3879497,$156.26,$156.26,$152.47
08/28/2024,$156.86,2666472,$157.75,$158.32,$155.69
08/27/2024,$158.68,3252292,$158.90,$159.77,$157.76
08/26/2024,$158.90,3655215,$159.31,$161.84,$157.97
08/23/2024,$158.50,3188295,$157.58,$159.6196,$156.74
08/22/2024,$156.82,7452356,$159.90,$160.12,$156.4214
08/21/2024,$159.25,25572110,$167.33,$167.40,$158.97
08/20/2024,$144.33,6815076,$144.50,$145.70,$142.88
08/19/2024,$144.63,4426996,$144.50,$148.64,$144.42
08/16/2024,$144.04,3473906,$141.12,$144.24,$140.89
08/15/2024,$141.66,4640641,$143.29,$143.88,$140.5601
08/14/2024,$135.76,4837956,$136.70,$136.91,$135.51
08/13/2024,$136.66,3319751,$135.68,$136.91,$133.67
08/12/2024,$135.02,3695560,$134.59,$136.545,$134.12
08/09/2024,$135.50,3778303,$133.61,$135.60,$132.75
08/08/2024,$133.97,3894009,$134.79,$135.99,$133.07
08/07/2024,$133.47,3209671,$136.18,$137.75,$133.34
08/06/2024,$133.85,5005677,$134.51,$135.91,$133.25
08/05/2024,$133.87,6887654,$136.00,$136.35,$132.42
08/02/2024,$139.17,6476490,$145.32,$145.42,$138.04
08/01/2024,$147.02,3782377,$151.21,$151.35,$146.08
07/31/2024,$150.41,5743885,$148.71,$152.395,$147.925
07/30/2024,$147.95,2379216,$147.37,$148.29,$146.76
07/29/2024,$146.82,2486982,$147.38,$147.90,$145.14
07/26/2024,$149.00,2426969,$147.25,$149.99,$147.25
07/25/2024,$146.29,3019653,$146.58,$149.4189,$145.99
07/24/2024,$146.45,3029508,$150.29,$150.92,$145.30
07/23/2024,$150.27,1622400,$150.20,$150.96,$149.64
07/22/2024,$151.02,3692971,$149.37,$151.74,$148.72
07/19/2024,$149.73,3186989,$151.46,$151.46,$149.36
07/18/2024,$152.09,2927396,$154.82,$155.25,$151.84
07/17/2024,$155.93,3353650,$154.04,$156.74,$154.04
07/16/2024,$155.01,3391784,$151.45,$155.01,$151.39
07/15/2024,$151.30,3645851,$152.85,$153.45,$150.91
07/12/2024,$152.85,2675771,$152.47,$153.635,$150.81
07/11/2024,$151.40,4728715,$147.00,$151.89,$146.50
07/10/2024,$146.11,4105702,$147.45,$147.45,$143.405
07/09/2024,$147.60,2848969,$148.00,$149.621,$147.23
07/08/2024,$148.72,5183791,$151.86,$151.97,$147.785
07/05/2024,$145.65,3562244,$144.54,$146.43,$144.50
07/03/2024,$144.80,1633259,$145.32,$146.23,$144.37
07/02/2024,$145.39,3296556,$145.50,$146.99,$144.46
07/01/2024,$145.74,2638855,$148.34,$148.94,$145.07
06/28/2024,$148.04,12772530,$147.54,$148.7089,$146.12
06/27/2024,$146.72,2273610,$145.75,$147.00,$145.30
06/26/2024,$147.17,2447102,$146.01,$147.31,$144.92
06/25/2024,$146.77,3367570,$148.48,$149.12,$146.34
06/24/2024,$149.69,3933203,$147.00,$150.79,$146.72
06/21/2024,$146.13,5652005,$143.99,$146.27,$143.99
06/20/2024,$143.38,2628654,$142.15,$143.77,$141.73
06/18/2024,$142.54,2969474,$144.355,$144.8509,$142.42
06/17/2024,$144.97,5006330,$141.35,$145.06,$140.80
06/14/2024,$141.16,5019720,$143.77,$143.80,$139.38
06/13/2024,$144.68,3470565,$147.09,$147.09,$144.55
06/12/2024,$146.78,3064275,$146.34,$148.03,$145.10
06/11/2024,$146.19,3592381,$148.25,$148.37,$145.92
06/10/2024,$148.52,3052921,$146.05,$148.91,$145.57
06/07/2024,$146.00,3110844,$144.63,$146.60,$144.15
06/06/2024,$145.13,4682855,$146.70,$147.19,$145.05
06/05/2024,$147.35,5746077,$150.50,$150.98,$146.75
06/04/2024,$150.55,4683706,$152.37,$154.19,$150.11
06/03/2024,$153.03,4162466,$152.09,$154.49,$151.38
05/31/2024,$156.16,7500984,$148.88,$156.93,$148.76
05/30/2024,$149.87,4239436,$148.52,$150.36,$147.92
05/29/2024,$147.74,3038460,$146.05,$148.13,$145.50
05/28/2024,$147.10,4344281,$145.00,$147.4401,$144.53
05/24/2024,$145.23,3550295,$144.90,$145.73,$143.56
05/23/2024,$144.41,6661102,$142.50,$145.58,$141.76
05/22/2024,$143.27,18724020,$140.54,$145.67,$139.98
05/21/2024,$155.78,6291009,$156.71,$156.84,$154.65
05/20/2024,$156.71,4429218,$159.90,$160.80,$155.96
05/17/2024,$160.13,4005467,$160.18,$160.465,$159.10
05/16/2024,$160.65,5232861,$160.25,$163.65,$159.72
05/15/2024,$157.51,2563650,$160.61,$161.08,$157.04
05/14/2024,$158.96,2707913,$160.30,$161.60,$158.58
05/13/2024,$160.90,2629007,$164.21,$164.40,$160.59
05/10/2024,$163.13,2414113,$164.61,$165.65,$161.70
05/09/2024,$164.32,2537985,$159.44,$164.40,$159.04
05/08/2024,$159.59,2678278,$159.00,$161.25,$158.99
05/07/2024,$160.41,3492502,$161.07,$162.36,$159.84
05/06/2024,$158.35,3314545,$158.04,$158.40,$156.50
05/03/2024,$158.04,3802181,$159.00,$160.31,$157.81
05/02/2024,$158.12,3880034,$157.29,$158.64,$155.80
05/01/2024,$156.43,4380435,$160.83,$161.63,$156.33
04/30/2024,$160.98,3534392,$162.45,$162.63,$160.42
04/29/2024,$163.73,2737235,$164.70,$165.72,$162.06
04/26/2024,$164.74,2085518,$165.15,$166.275,$164.14
04/25/2024,$164.44,3141691,$163.89,$165.15,$163.1777
04/24/2024,$165.34,2631351,$165.03,$166.54,$164.79
04/23/2024,$166.51,1890252,$167.64,$168.01,$166.10
04/22/2024,$167.11,2155534,$168.76,$169.09,$166.0342
04/19/2024,$168.30,3377054,$167.33,$168.47,$166.77
04/18/2024,$166.58,3169461,$165.72,$167.53,$165.09
04/17/2024,$164.47,3700382,$166.76,$167.94,$163.87
04/16/2024,$163.32,3450687,$165.06,$166.00,$162.2101
04/15/2024,$165.01,5075360,$169.18,$169.80,$164.96
04/12/2024,$166.12,3551672,$170.82,$171.06,$165.7814
04/11/2024,$171.33,2248121,$172.79,$173.045,$170.385
04/10/2024,$171.62,2148746,$169.90,$171.855,$168.75
04/09/2024,$171.63,1847129,$170.00,$171.74,$169.26
04/08/2024,$169.70,2123077,$170.90,$172.13,$169.62
04/05/2024,$171.77,2333972,$171.62,$172.54,$170.03
04/04/2024,$172.22,3614382,$176.84,$177.23,$171.975
04/03/2024,$175.49,3033852,$176.53,$177.19,$175.10
04/02/2024,$176.24,3022070,$177.65,$177.89,$175.09
04/01/2024,$177.82,3917377,$178.77,$181.86,$177.66
03/28/2024,$177.21,3716230,$175.00,$177.395,$174.685
03/27/2024,$174.67,4747265,$174.10,$175.48,$173.54
03/26/2024,$172.64,3513108,$172.63,$174.20,$172.16
03/25/2024,$172.66,4262579,$170.00,$173.58,$169.73
03/22/2024,$168.63,2443809,$170.00,$170.17,$168.49
03/21/2024,$170.17,2624530,$170.67,$170.88,$168.97
03/20/2024,$170.46,2969720,$167.92,$170.57,$167.38
03/19/2024,$168.21,2290482,$167.07,$168.61,$166.30
03/18/2024,$167.59,3189594,$163.98,$168.188,$163.435
03/15/2024,$164.22,5074986,$162.87,$165.25,$162.71
03/14/2024,$164.31,3365891,$166.76,$167.17,$163.045
03/13/2024,$166.67,5546260,$167.24,$167.54,$164.19
03/12/2024,$167.57,2292056,$168.64,$169.06,$167.53
03/11/2024,$168.07,3142428,$170.19,$170.58,$166.68
03/08/2024,$169.72,3362621,$171.34,$172.29,$169.45
03/07/2024,$171.54,3644659,$175.00,$175.27,$171.32
03/06/2024,$173.54,8955240,$172.22,$175.5299,$171.60
03/05/2024,$168.58,22986760,$166.057,$170.47,$165.21
03/04/2024,$150.49,9096141,$153.19,$154.77,$150.085
03/01/2024,$155.29,4285496,$153.24,$155.54,$152.00
02/29/2024,$152.92,4447831,$152.39,$153.65,$152.00
02/28/2024,$151.44,2298383,$151.33,$152.25,$150.65
02/27/2024,$151.99,2851684,$150.79,$152.31,$150.45
02/26/2024,$150.15,3856937,$150.61,$150.95,$149.095
02/23/2024,$151.48,3503633,$150.98,$152.78,$150.41
02/22/2024,$150.34,2503830,$148.79,$150.98,$147.985
02/21/2024,$148.79,2307567,$149.31,$149.85,$147.86
02/20/2024,$149.89,3474440,$150.00,$152.11,$149.21
02/16/2024,$149.61,4319878,$145.73,$150.29,$145.1257
02/15/2024,$146.33,2807586,$145.79,$148.255,$145.43
02/14/2024,$145.03,2986367,$144.69,$146.09,$143.735
02/13/2024,$146.11,3061805,$147.22,$147.87,$144.5922
02/12/2024,$149.40,3492607,$147.52,$150.40,$147.50
02/09/2024,$146.53,2792412,$147.08,$147.57,$146.30
02/08/2024,$147.40,2946883,$147.01,$149.09,$146.85
02/07/2024,$146.73,3979600,$149.00,$149.00,$145.255
02/06/2024,$144.43,2873927,$142.66,$144.47,$141.455
02/05/2024,$142.33,4697391,$144.22,$144.885,$141.50
02/02/2024,$145.49,3776039,$143.49,$147.04,$142.5701
02/01/2024,$144.42,3613852,$140.94,$144.47,$138.50
01/31/2024,$139.08,5804407,$140.53,$141.45,$138.96
01/30/2024,$140.52,2879472,$140.62,$141.20,$137.8401
01/29/2024,$141.52,4878965,$142.73,$142.98,$136.345
01/26/2024,$142.53,3014884,$142.89,$143.00,$141.64
01/25/2024,$142.18,2566508,$140.28,$142.28,$139.01
01/24/2024,$139.20,2845913,$141.60,$141.80,$138.96
01/23/2024,$140.88,2806826,$140.84,$141.71,$139.85
01/22/2024,$140.36,2778677,$138.40,$140.76,$137.91
01/19/2024,$138.14,3592626,$137.22,$138.60,$135.8008
01/18/2024,$137.40,4160686,$138.63,$139.12,$135.67
01/17/2024,$138.74,3566339,$140.08,$140.745,$138.385
01/16/2024,$141.07,3482382,$142.19,$142.4599,$139.92
01/12/2024,$140.91,2236556,$142.70,$143.15,$140.67
01/11/2024,$142.02,3215302,$144.50,$144.50,$140.985
01/10/2024,$144.09,2777416,$143.38,$144.41,$142.915
01/09/2024,$143.77,3664385,$140.995,$143.97,$140.53
01/08/2024,$141.73,3563278,$140.20,$141.99,$139.56
01/05/2024,$140.75,2745251,$139.32,$141.95,$139.32
01/04/2024,$140.25,3903017,$138.86,$140.925,$137.70
01/03/2024,$138.67,4662126,$142.36,$142.97,$138.33
01/02/2024,$143.10,3601516,$142.19,$144.20,$141.5804
12/29/2023,$142.42,2517434,$142.02,$143.365,$141.72
12/28/2023,$142.54,2146723,$142.06,$143.11,$142.00
12/27/2023,$142.38,2806617,$140.93,$142.73,$140.61
12/26/2023,$141.03,2237681,$140.00,$141.44,$139.295
12/22/2023,$140.20,3223130,$139.44,$140.42,$138.63
12/21/2023,$139.37,3980171,$137.95,$139.638,$137.29
12/20/2023,$136.90,3711734,$138.73,$138.87,$136.55
12/19/2023,$139.58,2834632,$138.00,$139.70,$137.90
12/18/2023,$137.72,3116977,$139.00,$139.15,$137.40
12/15/2023,$138.37,5680232,$141.10,$141.60,$138.205
12/14/2023,$141.14,4636393,$139.70,$142.20,$139.445
12/13/2023,$138.38,3531705,$136.00,$138.42,$134.70
12/12/2023,$135.66,3352141,$136.91,$136.91,$135.23
12/11/2023,$136.76,3571671,$136.11,$136.95,$135.485
12/08/2023,$135.19,2880821,$135.23,$136.40,$135.105
12/07/2023,$135.19,3939241,$134.60,$135.82,$134.1262
12/06/2023,$133.38,3894396,$133.24,$133.99,$132.29
12/05/2023,$132.88,2997807,$133.32,$133.86,$132.495
12/04/2023,$133.71,7625135,$134.22,$136.24,$133.185
12/01/2023,$134.78,4594776,$133.40,$134.95,$132.51
11/30/2023,$133.81,5759516,$132.21,$133.96,$130.3893
11/29/2023,$131.32,2918926,$131.96,$133.10,$131.17
11/28/2023,$131.67,3804859,$131.33,$131.80,$130.22
11/27/2023,$131.33,3736677,$131.15,$132.3499,$130.25
11/24/2023,$131.46,1863112,$130.50,$131.47,$129.7601
11/22/2023,$130.50,3589640,$130.50,$132.36,$129.89
11/21/2023,$130.80,4057923,$130.22,$130.8699,$128.7075
11/20/2023,$129.65,5838646,$129.35,$130.2279,$128.37
11/17/2023,$129.89,5983144,$130.38,$131.09,$128.90
11/16/2023,$129.94,12033210,$127.26,$130.81,$127.19
11/15/2023,$130.46,32230790,$126.08,$131.53,$124.88
11/14/2023,$110.79,7656097,$108.25,$112.31,$108.08
11/13/2023,$107.30,4016019,$108.72,$108.83,$107.125
11/10/2023,$108.33,6239706,$107.105,$108.63,$105.23
11/09/2023,$106.79,5604550,$110.305,$110.305,$106.325
11/08/2023,$109.85,4514024,$111.04,$111.94,$109.30
11/07/2023,$111.35,2859192,$110.83,$112.67,$110.80
11/06/2023,$111.05,3684151,$113.29,$113.44,$110.92
11/03/2023,$112.85,4341125,$112.20,$114.21,$112.0791
11/02/2023,$111.07,3817841,$110.24,$111.83,$108.915
11/01/2023,$109.54,3081469,$111.08,$111.08,$108.61
10/31/2023,$110.79,5549356,$108.88,$111.28,$108.46
10/30/2023,$108.67,3852694,$107.76,$109.10,$106.60
10/27/2023,$107.23,3448150,$110.52,$111.10,$106.89
10/26/2023,$110.87,3092443,$110.20,$111.91,$109.99
10/25/2023,$110.36,4123180,$108.43,$111.075,$107.92
10/24/2023,$108.68,2518133,$107.67,$109.2299,$107.31
10/23/2023,$107.42,3189793,$108.09,$108.45,$106.6566
10/20/2023,$108.83,4215699,$108.25,$110.2399,$107.70
10/19/2023,$108.36,4249535,$110.22,$110.90,$108.33
10/18/2023,$110.21,2940763,$111.94,$111.97,$109.93
10/17/2023,$112.56,3387899,$111.18,$113.1799,$110.75
10/16/2023,$111.39,3872723,$112.56,$112.79,$109.79
10/13/2023,$111.98,4654301,$111.21,$112.23,$110.01
10/12/2023,$110.80,6497328,$112.99,$112.995,$109.5064
10/11/2023,$108.99,3977387,$110.12,$110.41,$106.93
10/10/2023,$109.63,6791773,$106.45,$111.16,$106.21
10/09/2023,$105.76,4819926,$105.24,$106.12,$103.74
10/06/2023,$105.01,7556860,$104.75,$106.27,$102.93
10/05/2023,$105.15,4749303,$105.87,$106.70,$104.63
10/04/2023,$106.62,5523089,$108.40,$108.40,$105.75
10/03/2023,$107.16,5370253,$106.18,$108.59,$106.18
10/02/2023,$106.69,6121320,$110.35,$110.3916,$105.75
09/29/2023,$110.57,4738145,$110.37,$111.65,$109.88
09/28/2023,$109.56,4676519,$109.54,$110.48,$108.1501
09/27/2023,$109.74,4498097,$109.38,$110.64,$108.49
09/26/2023,$109.48,6022236,$111.36,$112.39,$109.12
09/25/2023,$112.26,5353284,$112.11,$112.75,$110.53
09/22/2023,$112.60,6593656,$116.97,$117.37,$112.54
09/21/2023,$117.32,4138784,$119.55,$120.34,$116.88
09/20/2023,$120.41,3264205,$120.58,$121.54,$120.065
09/19/2023,$120.17,4056940,$119.455,$120.79,$118.95
09/18/2023,$119.34,5415228,$122.92,$122.92,$118.5501
09/15/2023,$123.05,4919837,$124.76,$125.10,$122.72
09/14/2023,$124.77,3760916,$123.60,$124.96,$122.8075
09/13/2023,$122.93,2541536,$122.74,$123.675,$122.4927
09/12/2023,$122.40,2930593,$122.90,$123.48,$122.25
09/11/2023,$122.67,2613061,$124.35,$124.61,$122.5433
09/08/2023,$123.69,2923526,$124.36,$124.7325,$122.5309
09/07/2023,$124.46,3267388,$123.845,$124.88,$123.52
09/06/2023,$123.71,3562081,$125.19,$125.47,$123.13
09/05/2023,$125.19,3427328,$125.42,$127.47,$125.00
09/01/2023,$125.52,2997077,$127.55,$127.70,$125.15
