Date,Close/Last,Volume,Open,High,Low
09/06/2024,$611.33,1868789,$607.49,$619.70,$607.49
09/05/2024,$606.88,1467659,$611.04,$614.17,$601.26
09/04/2024,$611.90,1005979,$605.66,$612.67,$604.23
09/03/2024,$606.43,1282258,$611.47,$615.03,$603.645
08/30/2024,$615.07,1058979,$616.11,$618.00,$605.00
08/29/2024,$611.68,722498,$614.43,$616.55,$609.66
08/28/2024,$613.14,790456,$610.25,$618.00,$609.21
08/27/2024,$610.40,737395,$605.60,$610.98,$602.00
08/26/2024,$605.59,519485,$606.00,$606.9099,$602.25
08/23/2024,$606.12,777265,$606.77,$607.70,$600.56
08/22/2024,$603.86,1138403,$613.17,$613.70,$602.00
08/21/2024,$610.17,965573,$615.00,$618.12,$609.00
08/20/2024,$614.54,1075495,$609.92,$614.80,$608.33
08/19/2024,$607.60,959411,$604.19,$610.88,$603.95
08/16/2024,$603.98,1076197,$601.79,$606.58,$599.59
08/15/2024,$603.69,1241073,$605.52,$608.62,$599.98
08/14/2024,$602.10,1128139,$602.09,$603.47,$595.80
08/13/2024,$604.21,1042544,$599.98,$605.57,$599.458
08/12/2024,$599.07,1164022,$596.26,$599.53,$591.59
08/09/2024,$596.18,963806,$600.00,$601.35,$593.875
08/08/2024,$600.04,1116715,$589.74,$601.14,$587.50
08/07/2024,$587.37,1692238,$600.97,$601.78,$585.68
08/06/2024,$602.02,1316881,$600.26,$612.88,$596.6074
08/05/2024,$598.03,2117077,$607.54,$611.37,$592.81
08/02/2024,$615.69,1564731,$621.95,$622.00,$605.47
08/01/2024,$621.77,1458185,$616.40,$622.30,$612.87
07/31/2024,$613.34,1702277,$614.23,$620.63,$609.295
07/30/2024,$615.06,1627170,$609.81,$615.737,$602.85
07/29/2024,$604.12,1621893,$604.25,$607.81,$595.20
07/26/2024,$607.14,2715365,$600.85,$614.65,$599.30
07/25/2024,$594.50,3625187,$576.14,$603.82,$572.13
07/24/2024,$574.73,2857263,$552.92,$575.25,$552.65
07/23/2024,$552.24,2005647,$570.97,$572.24,$550.67
07/22/2024,$546.42,1163691,$540.67,$547.12,$535.98
07/19/2024,$534.35,1667269,$541.15,$542.23,$531.475
07/18/2024,$540.62,1744967,$551.69,$557.16,$537.77
07/17/2024,$555.06,1131158,$553.00,$559.96,$550.85
07/16/2024,$555.42,1122114,$549.24,$555.775,$547.72
07/15/2024,$544.68,1326049,$546.59,$549.68,$542.99
07/12/2024,$548.09,945210,$542.69,$551.66,$540.855
07/11/2024,$542.69,1403938,$539.76,$548.63,$537.87
07/10/2024,$536.87,1976237,$533.25,$537.00,$528.82
07/09/2024,$531.86,1567536,$538.09,$538.33,$528.37
07/08/2024,$536.29,1140129,$541.45,$543.02,$535.43
07/05/2024,$540.10,1233257,$538.65,$540.165,$533.85
07/03/2024,$535.61,908266,$533.00,$539.81,$532.435
07/02/2024,$533.93,1316367,$539.31,$541.59,$533.46
07/01/2024,$541.72,1459439,$553.45,$557.5655,$539.40
06/28/2024,$553.00,6150885,$552.93,$558.27,$545.63
06/27/2024,$550.78,1506859,$556.72,$558.26,$549.23
06/26/2024,$558.17,1091353,$556.80,$561.38,$554.84
06/25/2024,$556.52,1943699,$564.84,$568.34,$556.19
06/24/2024,$565.95,1557605,$565.61,$571.51,$562.32
06/21/2024,$564.60,3198558,$558.71,$568.59,$558.105
06/20/2024,$557.21,3071545,$560.85,$560.85,$551.71
06/18/2024,$569.17,1398080,$569.56,$572.04,$564.62
06/17/2024,$568.00,1318499,$566.45,$569.305,$563.745
06/14/2024,$572.05,1413701,$572.86,$573.10,$566.74
06/13/2024,$572.63,1304701,$573.36,$574.63,$565.001
06/12/2024,$575.69,1397925,$579.26,$581.97,$574.60
06/11/2024,$575.89,1407737,$578.95,$580.00,$573.91
06/10/2024,$581.48,1540561,$580.00,$582.28,$575.86
