Date,Close/Last,Volume,Open,High,Low
09/06/2024,$40.36,2294222,$41.01,$41.46,$40.075
09/05/2024,$41.36,3339497,$41.46,$41.51,$41.03
09/04/2024,$41.19,3695582,$41.33,$41.95,$40.81
09/03/2024,$41.57,3987215,$40.99,$41.76,$40.97
08/30/2024,$40.97,2806202,$40.81,$41.065,$40.30
08/29/2024,$40.52,1928300,$40.68,$40.83,$40.1103
08/28/2024,$40.70,2526825,$39.95,$40.77,$39.40
08/27/2024,$40.26,1962845,$40.44,$40.55,$39.93
08/26/2024,$40.67,2243857,$41.98,$42.00,$40.43
08/23/2024,$41.66,2505429,$40.69,$41.72,$40.43
08/22/2024,$40.17,2198995,$41.15,$41.28,$40.10
08/21/2024,$41.15,3301451,$40.55,$41.61,$40.55
08/20/2024,$40.38,2630341,$40.50,$40.71,$40.15
08/19/2024,$40.58,2434445,$40.61,$40.98,$40.01
08/16/2024,$40.40,4707332,$39.15,$40.67,$39.095
08/15/2024,$39.20,7174609,$40.74,$41.52,$38.09
08/14/2024,$37.96,3827302,$38.33,$38.33,$37.79
08/13/2024,$38.23,2840921,$37.63,$38.38,$37.47
08/12/2024,$37.49,2940095,$38.23,$38.40,$37.13
08/09/2024,$38.23,3299404,$37.73,$38.65,$37.45
08/08/2024,$37.93,3175015,$36.76,$38.00,$36.685
08/07/2024,$36.29,2444559,$37.75,$37.75,$36.235
08/06/2024,$37.08,2631455,$36.94,$37.48,$36.40
08/05/2024,$36.86,4346181,$35.79,$37.25,$35.23
08/02/2024,$38.13,3279594,$38.54,$38.54,$37.47
08/01/2024,$39.15,2459105,$40.28,$40.40,$38.86
07/31/2024,$40.09,3513891,$39.71,$40.89,$39.71
07/30/2024,$39.77,3769865,$40.46,$40.72,$39.29
07/29/2024,$40.36,3124704,$40.72,$40.81,$40.16
07/26/2024,$40.82,2380018,$40.21,$41.01,$40.03
07/25/2024,$39.65,1978415,$39.84,$40.53,$39.36
07/24/2024,$39.84,2131210,$41.00,$41.215,$39.74
07/23/2024,$41.16,2394707,$41.43,$41.72,$40.56
07/22/2024,$41.79,1920599,$41.41,$41.83,$40.60
07/19/2024,$41.23,1586090,$41.61,$41.75,$40.98
07/18/2024,$41.69,1616610,$42.56,$43.38,$41.48
07/17/2024,$42.59,1979792,$42.66,$43.43,$42.59
07/16/2024,$42.96,2625891,$42.96,$43.32,$42.49
07/15/2024,$42.48,2138265,$43.56,$43.72,$42.31
07/12/2024,$43.90,2667737,$44.17,$44.63,$43.84
07/11/2024,$43.48,3022228,$42.98,$43.86,$42.98
07/10/2024,$42.35,1414167,$41.92,$42.38,$41.56
07/09/2024,$41.56,1868597,$41.90,$42.33,$41.297
07/08/2024,$41.91,2467396,$40.48,$41.91,$40.33
07/05/2024,$40.14,2836169,$40.01,$40.485,$39.59
07/03/2024,$40.19,1249157,$40.70,$40.80,$40.12
07/02/2024,$40.54,2427329,$41.73,$42.07,$40.42
07/01/2024,$41.99,1906971,$42.75,$42.85,$41.45
06/28/2024,$42.79,3509971,$41.46,$42.82,$41.01
06/27/2024,$41.61,1989423,$41.36,$41.755,$40.99
06/26/2024,$41.70,2390518,$41.76,$41.96,$41.19
06/25/2024,$41.87,2040749,$43.00,$43.00,$41.81
06/24/2024,$42.73,2263005,$41.79,$42.77,$41.50
06/21/2024,$41.64,5373522,$41.22,$41.70,$41.01
06/20/2024,$41.31,1880626,$41.10,$41.69,$40.98
06/18/2024,$41.01,4178832,$41.85,$42.05,$40.85
06/17/2024,$41.92,2355955,$41.68,$42.18,$41.42
06/14/2024,$41.81,1600261,$41.74,$42.16,$41.44
06/13/2024,$42.36,1709915,$42.63,$42.94,$42.305
06/12/2024,$42.83,1530307,$43.55,$44.19,$42.705
06/11/2024,$43.02,1950680,$43.95,$44.29,$42.71
06/10/2024,$44.19,2412439,$43.10,$44.27,$43.09
06/07/2024,$43.38,1938497,$43.01,$43.80,$42.99
06/06/2024,$43.55,3526414,$43.75,$44.06,$43.39
06/05/2024,$43.50,1828828,$43.10,$43.61,$42.715
06/04/2024,$43.06,2019776,$44.185,$44.19,$43.005
06/03/2024,$44.28,2274947,$43.79,$44.49,$43.5842
05/31/2024,$43.49,3049813,$42.46,$43.52,$42.24
05/30/2024,$42.35,2758993,$41.53,$42.53,$41.2304
05/29/2024,$41.52,2113029,$41.04,$41.81,$40.94
05/28/2024,$41.41,2538003,$42.61,$42.62,$41.18
05/24/2024,$42.30,2294897,$41.89,$42.40,$41.65
05/23/2024,$41.36,2095247,$41.31,$41.9395,$40.974
05/22/2024,$41.48,2462903,$42.07,$42.22,$41.39
05/21/2024,$42.35,2443791,$42.26,$42.62,$42.115
05/20/2024,$42.46,2269508,$42.37,$42.76,$42.14
05/17/2024,$42.32,3817797,$42.53,$42.76,$42.175
05/16/2024,$42.52,2593092,$42.64,$42.99,$42.41
05/15/2024,$42.67,3603435,$42.53,$42.77,$42.24
05/14/2024,$42.11,2871301,$41.80,$42.365,$41.76
05/13/2024,$41.35,4497287,$40.48,$41.60,$40.48
05/10/2024,$40.07,3602114,$40.23,$40.60,$38.99
05/09/2024,$40.37,5358991,$37.61,$40.46,$37.5011
05/08/2024,$38.98,4493485,$38.61,$39.04,$38.52
05/07/2024,$38.99,5292383,$39.77,$40.12,$38.87
05/06/2024,$39.48,3385007,$39.67,$39.945,$39.34
05/03/2024,$39.24,3309937,$39.09,$39.77,$39.03
05/02/2024,$38.79,3740314,$40.03,$40.10,$38.72
05/01/2024,$39.49,3506462,$39.80,$40.07,$39.155
04/30/2024,$39.92,5029541,$40.55,$40.74,$39.90
04/29/2024,$40.98,4161359,$40.31,$41.01,$40.18
04/26/2024,$40.05,3329580,$39.54,$40.38,$39.40
04/25/2024,$39.39,4311056,$39.85,$39.905,$38.945
04/24/2024,$40.03,4829291,$39.39,$40.07,$39.03
04/23/2024,$39.44,6548285,$39.87,$40.125,$38.73
04/22/2024,$40.31,3854644,$40.86,$40.88,$40.06
04/19/2024,$40.62,3467495,$40.48,$41.075,$40.4001
04/18/2024,$40.50,3814609,$40.84,$41.07,$40.09
04/17/2024,$40.49,4344190,$41.35,$41.55,$40.22
04/16/2024,$40.86,4288002,$40.53,$40.95,$39.975
