Date,Close/Last,Volume,Open,High,Low
09/06/2024,$146.75,1612464,$149.99,$150.915,$145.04
09/05/2024,$149.78,2139641,$147.64,$150.02,$147.64
09/04/2024,$147.15,2327661,$151.65,$152.42,$146.20
09/03/2024,$149.88,3130218,$146.21,$150.48,$143.89
08/30/2024,$146.90,2325456,$145.00,$147.02,$145.00
08/29/2024,$146.29,894215,$144.89,$146.68,$143.64
08/28/2024,$144.29,1223156,$145.00,$145.8298,$144.16
08/27/2024,$145.13,1207944,$145.21,$147.08,$144.73
08/26/2024,$145.47,1416473,$145.55,$146.21,$143.70
08/23/2024,$144.13,869714,$143.65,$144.21,$142.715
08/22/2024,$142.85,1363616,$142.44,$144.00,$142.18
08/21/2024,$142.31,1295122,$142.50,$143.2899,$141.58
08/20/2024,$141.60,928400,$144.35,$144.81,$140.90
08/19/2024,$144.49,1413418,$142.42,$144.835,$142.42
08/16/2024,$142.46,1530642,$142.24,$142.96,$141.26
08/15/2024,$142.83,2235735,$141.48,$142.91,$140.74
08/14/2024,$140.16,2106645,$136.86,$140.25,$136.60
08/13/2024,$136.60,2030005,$136.89,$137.075,$135.50
08/12/2024,$137.59,1886719,$136.45,$138.47,$136.45
08/09/2024,$135.69,1744611,$136.72,$137.145,$135.16
08/08/2024,$136.71,1905375,$133.87,$137.13,$133.50
08/07/2024,$133.24,3539331,$133.55,$137.49,$133.15
08/06/2024,$131.62,3240363,$129.06,$133.74,$128.44
08/05/2024,$127.86,2917066,$126.19,$128.30,$122.56
08/02/2024,$130.58,1766901,$134.82,$134.875,$129.225
08/01/2024,$136.10,2290379,$135.35,$139.35,$134.30
07/31/2024,$135.28,1560571,$134.59,$136.48,$134.05
07/30/2024,$134.14,1264119,$133.23,$134.74,$132.615
07/29/2024,$133.01,1084440,$132.27,$133.095,$131.12
07/26/2024,$131.57,1364845,$132.36,$133.07,$131.25
07/25/2024,$131.98,1588451,$131.62,$133.06,$130.67
07/24/2024,$131.62,1557445,$136.05,$136.375,$131.53
07/23/2024,$135.93,921512,$137.10,$137.75,$135.69
07/22/2024,$137.76,1399288,$136.15,$138.28,$135.8828
07/19/2024,$136.37,1552763,$136.73,$136.875,$135.31
07/18/2024,$136.17,1618570,$134.00,$136.535,$133.43
07/17/2024,$133.97,994711,$135.00,$136.725,$133.72
07/16/2024,$134.82,807573,$134.89,$135.15,$133.83
07/15/2024,$134.34,1150012,$135.86,$136.295,$134.23
07/12/2024,$135.05,990308,$134.36,$135.47,$133.31
07/11/2024,$133.61,879002,$132.76,$133.75,$132.01
07/10/2024,$132.89,728666,$132.74,$133.36,$132.03
07/09/2024,$132.41,1149716,$132.00,$133.63,$131.52
07/08/2024,$132.55,1004807,$131.98,$133.2499,$131.72
07/05/2024,$132.49,819053,$133.29,$133.35,$131.81
07/03/2024,$133.60,892813,$131.76,$133.78,$131.11
07/02/2024,$131.00,1238042,$131.85,$132.078,$130.45
07/01/2024,$131.27,1858132,$129.98,$131.32,$127.96
06/28/2024,$128.78,3430547,$129.11,$130.53,$128.65
06/27/2024,$128.58,2011230,$128.00,$128.89,$127.82
06/26/2024,$127.50,1617989,$130.00,$130.23,$127.20
06/25/2024,$129.83,1496883,$128.04,$129.88,$127.29
06/24/2024,$128.60,1439892,$125.54,$129.04,$125.17
06/21/2024,$125.10,3372550,$129.68,$129.68,$124.85
06/20/2024,$126.32,2152330,$123.91,$126.57,$123.46
06/18/2024,$123.44,1588785,$122.24,$123.79,$121.64
