Date,Close/Last,Volume,Open,High,Low
09/06/2024,$54.15,2296679,$55.81,$55.965,$54.09
09/05/2024,$55.78,1294350,$55.35,$55.88,$55.01
09/04/2024,$55.49,1325625,$54.81,$55.59,$54.76
09/03/2024,$54.94,1328910,$56.10,$56.50,$54.775
08/30/2024,$56.69,1581330,$56.81,$57.01,$56.45
08/29/2024,$56.35,795819,$56.20,$57.085,$55.91
08/28/2024,$56.13,798426,$56.50,$56.83,$56.035
08/27/2024,$56.60,659556,$56.31,$56.73,$56.11
08/26/2024,$56.71,552395,$57.08,$57.46,$56.615
08/23/2024,$56.99,696642,$56.56,$57.08,$56.40
08/22/2024,$56.05,863705,$56.48,$56.74,$55.921
08/21/2024,$56.48,705456,$56.38,$56.59,$55.88
08/20/2024,$56.09,1180809,$56.00,$56.40,$55.87
08/19/2024,$55.89,1236076,$54.74,$55.95,$54.715
08/16/2024,$54.37,840093,$53.78,$54.70,$53.46
08/15/2024,$54.04,1402993,$54.00,$54.13,$53.4602
08/14/2024,$53.17,1230483,$52.74,$53.4899,$52.54
08/13/2024,$52.64,1423592,$52.47,$53.42,$52.22
08/12/2024,$52.11,2137704,$51.53,$52.45,$51.30
08/09/2024,$51.65,1286625,$51.61,$51.95,$51.03
08/08/2024,$51.54,1289335,$50.77,$51.74,$50.76
08/07/2024,$50.59,2821191,$52.06,$53.12,$50.52
08/06/2024,$51.53,2698561,$50.35,$52.72,$49.84
08/05/2024,$49.82,2171744,$49.47,$50.28,$48.645
08/02/2024,$50.86,2058111,$51.39,$51.4809,$50.025
08/01/2024,$52.51,1576871,$54.54,$54.71,$52.375
07/31/2024,$54.54,2281717,$54.91,$55.445,$54.42
07/30/2024,$54.20,1506166,$55.46,$55.71,$53.93
07/29/2024,$55.00,944658,$55.54,$55.54,$54.79
07/26/2024,$55.36,1258068,$54.92,$55.39,$54.57
07/25/2024,$54.70,2067494,$55.70,$55.88,$54.66
07/24/2024,$55.70,1321293,$57.11,$57.49,$55.58
07/23/2024,$57.11,678209,$57.16,$57.51,$56.96
07/22/2024,$57.30,778867,$56.40,$57.32,$56.21
07/19/2024,$55.98,845173,$57.47,$57.57,$55.69
07/18/2024,$57.27,1311489,$57.98,$58.52,$57.10
07/17/2024,$58.15,852671,$58.32,$59.00,$58.09
07/16/2024,$58.61,786751,$57.55,$58.71,$57.28
