Date,Close/Last,Volume,Open,High,Low
09/06/2024,$101.69,1320882,$103.96,$105.30,$101.00
09/05/2024,$104.12,776533,$104.91,$105.08,$103.2801
09/04/2024,$104.62,1077764,$104.15,$105.20,$103.86
09/03/2024,$104.48,1421035,$105.15,$106.08,$104.11
08/30/2024,$106.04,1832001,$105.53,$106.20,$104.3475
08/29/2024,$104.96,2070340,$108.41,$109.30,$104.81
08/28/2024,$107.51,750998,$107.62,$108.65,$107.07
08/27/2024,$107.90,784513,$108.81,$108.834,$107.62
08/26/2024,$109.28,954947,$110.60,$110.80,$108.81
08/23/2024,$109.62,732690,$109.99,$111.19,$109.31
08/22/2024,$109.23,704467,$109.71,$109.91,$108.62
08/21/2024,$109.55,671949,$108.67,$109.71,$107.58
08/20/2024,$108.51,627170,$109.19,$109.50,$108.408
08/19/2024,$109.41,790021,$108.86,$109.55,$107.74
08/16/2024,$108.78,828524,$108.23,$108.945,$107.31
08/15/2024,$108.24,806473,$107.37,$108.545,$107.05
08/14/2024,$105.93,802189,$105.83,$106.39,$105.48
08/13/2024,$105.43,689205,$105.56,$105.56,$104.43
08/12/2024,$104.64,1262137,$105.72,$105.90,$104.42
08/09/2024,$105.35,682992,$104.85,$105.87,$104.42
08/08/2024,$104.84,859876,$104.36,$105.19,$104.01
08/07/2024,$102.83,1072802,$105.87,$106.19,$102.70
08/06/2024,$103.89,1180174,$103.37,$105.61,$103.08
08/05/2024,$103.16,2308241,$103.80,$104.9525,$100.49
08/02/2024,$106.47,1987838,$110.00,$110.14,$105.66
08/01/2024,$112.03,1283825,$113.93,$114.475,$111.11
07/31/2024,$114.21,2012877,$113.38,$115.33,$113.38
07/30/2024,$112.70,1207139,$113.80,$115.02,$112.60
07/29/2024,$113.10,1910553,$111.78,$113.22,$110.3155
07/26/2024,$112.08,1972652,$113.21,$113.375,$109.54
07/25/2024,$115.49,1391410,$115.00,$117.705,$114.19
07/24/2024,$114.38,1383717,$116.62,$117.48,$113.89
07/23/2024,$117.01,921755,$115.69,$117.46,$115.11
07/22/2024,$115.97,814993,$115.69,$116.35,$114.54
07/19/2024,$114.79,820770,$116.84,$116.84,$114.60
07/18/2024,$116.66,835501,$117.76,$120.08,$116.32
07/17/2024,$118.15,1280992,$120.38,$121.05,$117.981
07/16/2024,$120.75,972964,$119.12,$121.17,$118.84
07/15/2024,$118.74,894845,$118.40,$119.67,$118.22
07/12/2024,$118.02,797537,$118.04,$118.77,$117.405
07/11/2024,$117.17,843280,$117.57,$119.01,$116.79
07/10/2024,$116.08,623758,$114.85,$116.14,$114.60
07/09/2024,$114.47,904878,$114.68,$115.18,$114.12
07/08/2024,$114.67,727155,$115.01,$115.51,$114.03
07/05/2024,$114.79,853886,$115.29,$115.29,$114.08
07/03/2024,$115.77,839478,$114.61,$116.205,$114.24
07/02/2024,$114.60,638304,$113.91,$114.639,$113.80
07/01/2024,$113.85,861734,$115.61,$116.00,$113.60
06/28/2024,$115.31,1598508,$115.86,$116.58,$114.84
06/27/2024,$115.43,884284,$116.63,$116.6899,$115.17
06/26/2024,$116.51,860700,$116.82,$117.805,$116.345
06/25/2024,$117.41,804547,$118.89,$118.89,$116.54
06/24/2024,$118.88,866305,$118.29,$119.72,$118.10
06/21/2024,$118.42,1670559,$118.20,$118.56,$117.42
06/20/2024,$118.19,1032587,$117.10,$118.6599,$116.70
06/18/2024,$117.57,910100,$117.00,$118.15,$116.57
06/17/2024,$117.04,858968,$114.49,$117.09,$113.93
06/14/2024,$114.90,768641,$113.85,$114.98,$113.36
06/13/2024,$116.57,1077193,$117.67,$117.745,$115.90
06/12/2024,$118.39,1756019,$117.45,$120.54,$117.23
06/11/2024,$114.49,867401,$114.38,$114.86,$113.82
06/10/2024,$115.07,862464,$115.20,$116.04,$114.35
06/07/2024,$115.55,649816,$115.31,$116.16,$114.46
06/06/2024,$116.23,637847,$116.45,$116.88,$115.39
06/05/2024,$116.86,984638,$116.90,$116.90,$115.54
06/04/2024,$116.57,988636,$116.17,$117.77,$116.17
06/03/2024,$116.83,1227163,$118.35,$118.60,$115.80
05/31/2024,$117.83,2670808,$115.75,$117.935,$115.55
05/30/2024,$115.55,1013721,$115.92,$116.335,$115.10
05/29/2024,$115.26,908225,$114.36,$115.53,$114.22
05/28/2024,$116.33,1109161,$118.20,$118.20,$115.86
05/24/2024,$118.20,795117,$117.19,$118.37,$116.92
05/23/2024,$116.91,1142542,$118.20,$118.44,$116.47
05/22/2024,$117.68,936948,$117.63,$118.58,$117.155
05/21/2024,$117.63,953752,$116.77,$117.895,$116.16
05/20/2024,$117.13,942503,$116.61,$117.58,$116.225
05/17/2024,$116.76,1093124,$116.17,$116.97,$115.685
05/16/2024,$116.05,1299022,$114.20,$116.26,$114.20
