Date,Close/Last,Volume,Open,High,Low
09/06/2024,$234.46,2114722,$232.10,$236.59,$232.10
09/05/2024,$231.85,1509330,$234.10,$234.18,$229.495
09/04/2024,$231.42,1136993,$229.63,$231.77,$228.97
09/03/2024,$227.87,1040603,$226.24,$229.26,$226.18
08/30/2024,$228.07,1466474,$226.50,$228.21,$225.555
08/29/2024,$226.33,985704,$225.21,$227.04,$222.215
08/28/2024,$224.40,776883,$223.29,$226.055,$222.745
08/27/2024,$223.64,729918,$223.21,$224.75,$222.2144
08/26/2024,$222.78,697229,$222.63,$224.96,$221.93
08/23/2024,$221.82,1142811,$219.48,$222.39,$218.5717
08/22/2024,$217.86,776542,$216.87,$218.52,$216.18
08/21/2024,$216.92,761332,$217.70,$218.44,$215.39
08/20/2024,$217.02,667204,$218.57,$218.74,$216.575
08/19/2024,$218.95,545224,$216.48,$219.11,$216.48
08/16/2024,$216.57,1599830,$216.42,$218.10,$215.6352
08/15/2024,$216.43,848745,$215.90,$217.60,$214.61
08/14/2024,$214.09,664193,$211.20,$214.43,$211.20
08/13/2024,$210.88,1147741,$210.55,$211.37,$208.63
08/12/2024,$209.73,867800,$214.12,$214.12,$209.57
08/09/2024,$212.48,1112099,$211.99,$212.61,$209.89
08/08/2024,$211.68,1033358,$209.73,$212.47,$209.34
08/07/2024,$209.37,1334556,$209.81,$211.23,$209.06
08/06/2024,$208.28,1280740,$208.01,$210.91,$207.32
08/05/2024,$208.61,1798245,$212.00,$212.00,$206.43
08/02/2024,$214.53,1852389,$213.31,$215.19,$210.49
08/01/2024,$212.05,1593396,$218.22,$218.95,$210.85
07/31/2024,$216.44,1425469,$220.00,$220.90,$216.34
07/30/2024,$220.42,1128508,$215.00,$221.375,$215.00
07/29/2024,$213.93,906641,$214.00,$215.06,$212.5421
07/26/2024,$213.85,1220457,$210.70,$214.97,$210.36
07/25/2024,$209.23,1239870,$208.26,$211.93,$207.73
07/24/2024,$207.73,1276508,$209.32,$209.875,$205.94
07/23/2024,$208.53,1536537,$205.54,$208.82,$205.24
07/22/2024,$205.42,1283592,$203.21,$205.80,$203.21
07/19/2024,$203.48,2819784,$214.33,$215.26,$202.95
07/18/2024,$220.60,1197886,$220.57,$224.76,$219.795
07/17/2024,$220.80,1296387,$218.86,$221.895,$218.4894
07/16/2024,$217.79,1319823,$214.70,$217.96,$214.465
07/15/2024,$213.40,1221196,$212.33,$214.34,$212.00
07/12/2024,$211.60,1326142,$209.63,$212.82,$209.48
07/11/2024,$208.95,1470533,$206.41,$210.04,$205.855
07/10/2024,$207.19,1129406,$203.83,$207.46,$203.7201
07/09/2024,$203.14,936191,$203.76,$206.20,$202.83
07/08/2024,$204.23,852316,$202.87,$207.00,$202.69
07/05/2024,$201.87,579872,$203.17,$203.37,$200.4027
07/03/2024,$203.69,523058,$203.11,$204.15,$201.91
07/02/2024,$203.66,1752498,$201.54,$203.94,$201.06
07/01/2024,$202.97,1244021,$204.99,$205.92,$201.66
06/28/2024,$203.34,2390759,$200.68,$205.25,$200.21
06/27/2024,$206.95,970534,$205.10,$207.42,$204.16
06/26/2024,$205.74,1093896,$207.51,$207.625,$203.90
06/25/2024,$208.72,1094326,$211.02,$212.26,$208.23
06/24/2024,$211.09,1403873,$209.76,$212.67,$209.01
06/21/2024,$209.80,2663477,$211.33,$212.00,$208.51
06/20/2024,$211.97,1686244,$209.45,$213.32,$208.58
06/18/2024,$208.51,1066364,$207.73,$209.93,$207.53
06/17/2024,$208.13,1232091,$205.96,$208.20,$205.25
06/14/2024,$205.85,1783709,$204.18,$207.18,$202.73
06/13/2024,$207.07,1402596,$207.26,$207.72,$204.70
06/12/2024,$207.26,1408920,$209.15,$210.28,$206.63
06/11/2024,$209.41,1135998,$212.13,$212.13,$208.22
06/10/2024,$213.00,918684,$211.01,$213.415,$210.02
06/07/2024,$212.95,1295317,$210.76,$214.88,$209.36
06/06/2024,$209.71,935806,$209.09,$210.41,$208.10
06/05/2024,$208.41,908263,$210.07,$210.07,$206.68
06/04/2024,$209.64,1119338,$209.41,$210.83,$207.88
06/03/2024,$210.34,1561792,$214.60,$214.96,$209.22
05/31/2024,$215.70,2119648,$212.10,$215.89,$211.62
05/30/2024,$212.49,1269792,$210.21,$213.29,$209.10
05/29/2024,$210.07,1406566,$210.81,$210.81,$208.42
05/28/2024,$210.37,1097698,$212.44,$213.21,$210.02
05/24/2024,$213.33,649983,$213.00,$214.41,$212.90
05/23/2024,$212.24,950084,$215.91,$215.91,$211.48
05/22/2024,$216.54,912853,$216.06,$217.70,$215.41
05/21/2024,$216.25,775629,$216.36,$217.88,$215.51
05/20/2024,$215.60,883920,$219.88,$220.17,$215.435
05/17/2024,$219.71,1348907,$220.31,$220.31,$218.36
05/16/2024,$219.22,1398339,$216.50,$219.80,$216.34
05/15/2024,$214.35,1355055,$216.60,$218.00,$213.62
05/14/2024,$217.59,751426,$217.18,$217.985,$216.25
05/13/2024,$216.58,767448,$218.66,$219.49,$216.54
05/10/2024,$218.50,820478,$220.00,$220.51,$218.22
05/09/2024,$219.42,1021106,$216.96,$219.79,$216.03
05/08/2024,$217.34,598844,$217.70,$218.10,$217.05
05/07/2024,$216.97,581785,$216.69,$217.50,$216.32
05/06/2024,$215.91,668562,$215.16,$216.98,$214.92
05/03/2024,$213.85,1298445,$213.08,$214.36,$211.19
05/02/2024,$214.37,1001436,$213.87,$215.07,$212.42
05/01/2024,$213.15,1143902,$212.16,$215.24,$212.16
04/30/2024,$212.16,1385757,$212.75,$213.82,$211.74
04/29/2024,$212.90,1454623,$213.45,$214.78,$212.025
04/26/2024,$213.45,1706046,$212.50,$214.51,$211.53
04/25/2024,$213.99,1323191,$212.50,$214.13,$210.92
04/24/2024,$213.43,1129281,$212.56,$214.585,$212.50
04/23/2024,$214.32,1042971,$214.64,$215.95,$213.12
04/22/2024,$214.27,1471720,$214.46,$215.52,$212.56
04/19/2024,$214.07,1918462,$211.72,$215.50,$210.725
04/18/2024,$210.42,2048308,$208.48,$211.77,$207.24
04/17/2024,$206.58,5764992,$206.075,$209.82,$202.60
04/16/2024,$223.12,1412209,$221.68,$223.885,$220.77
04/15/2024,$221.06,1063589,$223.83,$224.655,$220.525
04/12/2024,$221.10,1100306,$220.68,$222.77,$220.37
04/11/2024,$220.40,1155605,$223.03,$223.03,$219.72
04/10/2024,$224.38,1086651,$223.14,$224.95,$221.68
04/09/2024,$223.84,975779,$231.03,$231.355,$223.30
04/08/2024,$230.59,1462566,$230.89,$231.96,$230.16
04/05/2024,$230.89,857048,$230.46,$231.605,$229.24
04/04/2024,$228.50,1212026,$230.91,$232.75,$228.04
04/03/2024,$229.06,856609,$227.50,$229.41,$226.88
04/02/2024,$227.85,1115988,$229.15,$229.78,$227.51
04/01/2024,$228.16,801404,$229.81,$230.00,$227.31
