Date,Close/Last,Volume,Open,High,Low
09/06/2024,$270.59,987509,$271.66,$274.06,$269.02
09/05/2024,$270.81,682835,$272.54,$272.54,$267.30
09/04/2024,$272.68,983924,$268.75,$273.49,$267.2985
09/03/2024,$268.35,1063484,$266.80,$269.295,$265.48
08/30/2024,$267.55,1362464,$273.00,$273.03,$265.76
08/29/2024,$273.71,572423,$275.24,$277.695,$273.09
08/28/2024,$273.26,629730,$272.27,$275.54,$272.25
08/27/2024,$272.94,617654,$271.27,$273.42,$269.705
08/26/2024,$272.82,824210,$269.59,$274.58,$268.46
08/23/2024,$269.18,510897,$267.71,$269.49,$265.715
08/22/2024,$265.28,398119,$267.73,$267.86,$264.8234
08/21/2024,$267.61,611200,$262.09,$269.17,$260.07
08/20/2024,$263.40,524265,$263.46,$265.315,$263.12
08/19/2024,$263.94,614423,$262.86,$265.08,$261.74
08/16/2024,$263.48,1018766,$264.36,$264.71,$262.32
08/15/2024,$263.00,620447,$266.03,$269.23,$261.35
08/14/2024,$262.29,562044,$261.05,$264.37,$258.41
08/13/2024,$260.34,769662,$261.23,$266.00,$257.49
08/12/2024,$262.23,776541,$260.73,$265.33,$259.17
08/09/2024,$260.52,621865,$260.92,$263.645,$257.61
08/08/2024,$260.92,723874,$253.83,$261.96,$252.10
08/07/2024,$251.95,808055,$261.01,$262.655,$251.53
08/06/2024,$260.02,736507,$259.22,$262.35,$256.3301
08/05/2024,$256.15,1214274,$250.10,$258.81,$247.51
08/02/2024,$252.77,880390,$253.12,$253.19,$248.35
08/01/2024,$256.26,748640,$264.17,$264.90,$255.10
07/31/2024,$263.32,572624,$262.49,$266.45,$260.153
07/30/2024,$261.74,1193718,$264.28,$265.09,$260.16
07/29/2024,$265.08,719656,$262.90,$265.38,$260.42
07/26/2024,$262.52,971420,$259.46,$266.82,$259.42
07/25/2024,$257.44,2336198,$256.50,$267.675,$252.6702
07/24/2024,$262.52,1311006,$269.44,$270.13,$262.49
07/23/2024,$270.36,801627,$271.81,$272.155,$268.50
07/22/2024,$271.08,1105648,$268.85,$271.545,$263.00
07/19/2024,$268.45,793747,$269.76,$271.59,$266.71
07/18/2024,$269.93,1329166,$278.50,$278.50,$269.02
07/17/2024,$278.82,966221,$280.58,$283.21,$278.575
07/16/2024,$283.17,1195978,$271.32,$283.23,$270.84
07/15/2024,$270.84,1218965,$271.15,$274.98,$267.29
07/12/2024,$271.07,948644,$264.20,$272.24,$264.09
07/11/2024,$262.82,1146430,$259.88,$264.19,$259.25
07/10/2024,$259.25,933824,$257.94,$259.38,$256.21
07/09/2024,$257.26,867894,$260.16,$260.63,$256.195
07/08/2024,$260.92,1252627,$263.51,$264.4099,$256.9001
07/05/2024,$262.53,1081765,$261.85,$263.25,$260.31
07/03/2024,$261.65,766488,$264.54,$264.82,$258.69
07/02/2024,$266.03,743755,$267.49,$268.1552,$265.36
07/01/2024,$267.74,1014052,$271.05,$273.65,$266.68
06/28/2024,$270.00,1701059,$272.19,$276.57,$268.505
06/27/2024,$267.55,2121060,$266.18,$268.94,$265.00
06/26/2024,$267.00,1454954,$264.55,$269.85,$262.28
06/25/2024,$264.56,2756381,$275.70,$275.70,$262.4083
06/24/2024,$277.37,1241666,$280.76,$285.41,$275.36
06/21/2024,$281.56,1755488,$278.89,$284.64,$278.89
06/20/2024,$280.23,1758906,$289.94,$289.96,$279.94
06/18/2024,$289.98,1020546,$289.49,$290.38,$286.62
06/17/2024,$289.55,899777,$279.03,$290.07,$278.79
06/14/2024,$280.25,931653,$280.71,$282.25,$277.77
06/13/2024,$281.48,1084067,$280.89,$282.30,$277.50
06/12/2024,$279.91,859029,$280.00,$280.85,$276.37
06/11/2024,$278.30,1116228,$273.00,$279.05,$271.40
06/10/2024,$273.62,632831,$270.89,$273.90,$269.345
06/07/2024,$270.93,954616,$269.35,$272.82,$268.55
06/06/2024,$269.76,683470,$269.31,$270.67,$268.18
06/05/2024,$270.37,1102623,$269.95,$270.56,$267.595
06/04/2024,$269.71,1179038,$265.43,$273.48,$265.373
06/03/2024,$267.56,1980286,$280.42,$281.32,$262.665
05/31/2024,$285.29,1321214,$281.62,$285.52,$278.83
05/30/2024,$280.80,730158,$282.50,$284.00,$280.52
05/29/2024,$281.02,751746,$280.30,$281.36,$278.07
05/28/2024,$281.86,1078712,$281.43,$282.25,$279.635
05/24/2024,$282.00,790018,$282.94,$283.06,$280.19
05/23/2024,$283.26,910944,$283.40,$285.63,$280.30
05/22/2024,$282.76,725603,$284.91,$286.81,$281.39
05/21/2024,$285.68,1856761,$285.46,$287.78,$282.59
05/20/2024,$284.04,1059983,$286.36,$287.89,$281.38
05/17/2024,$285.67,2181383,$276.92,$286.15,$274.00
05/16/2024,$276.21,793159,$274.41,$278.56,$274.41
05/15/2024,$275.96,603714,$273.67,$276.38,$273.41
05/14/2024,$274.50,946919,$272.61,$276.07,$271.26
05/13/2024,$271.67,793556,$272.60,$273.80,$270.005
05/10/2024,$271.43,931481,$269.78,$272.20,$268.38
05/09/2024,$269.70,610271,$266.69,$270.45,$266.00
05/08/2024,$266.65,833521,$268.00,$269.04,$266.116
05/07/2024,$270.13,640912,$270.07,$272.905,$268.33
05/06/2024,$269.54,681692,$270.44,$271.15,$267.70
05/03/2024,$270.21,1135143,$267.94,$271.85,$266.47
05/02/2024,$266.70,1269394,$271.41,$271.41,$266.17
05/01/2024,$271.17,1493553,$273.56,$274.59,$267.42
04/30/2024,$273.08,967493,$277.35,$279.38,$272.35
04/29/2024,$277.88,1066180,$273.38,$278.1575,$271.78
04/26/2024,$273.90,1599528,$264.66,$274.66,$264.03
04/25/2024,$265.26,2295482,$258.10,$266.04,$251.26
04/24/2024,$258.13,1321605,$253.03,$258.33,$250.90
04/23/2024,$255.96,1009596,$255.00,$259.64,$254.4069
04/22/2024,$253.38,1070546,$255.52,$256.165,$252.70
04/19/2024,$252.79,1284772,$248.11,$253.37,$248.11
04/18/2024,$247.35,826653,$249.72,$250.15,$246.11
04/17/2024,$247.39,1219967,$245.87,$248.37,$245.38
04/16/2024,$244.84,1103525,$242.48,$246.57,$242.48
04/15/2024,$241.97,944519,$248.33,$248.76,$241.52
04/12/2024,$244.89,991919,$247.79,$248.59,$244.18
04/11/2024,$250.19,1078673,$254.74,$254.74,$246.76
04/10/2024,$253.30,907646,$248.95,$253.91,$246.70
04/09/2024,$253.19,790346,$251.28,$253.71,$248.11
04/08/2024,$249.57,1013565,$251.39,$254.21,$249.44
04/05/2024,$252.49,1228550,$252.51,$254.30,$250.68
04/04/2024,$252.51,936425,$255.51,$255.86,$251.07
04/03/2024,$252.14,866822,$256.95,$258.125,$251.89
04/02/2024,$256.89,867718,$258.00,$258.83,$254.29
04/01/2024,$258.24,893775,$261.69,$263.015,$257.43
03/28/2024,$261.72,646953,$261.77,$263.79,$259.46
03/27/2024,$260.44,816120,$259.59,$260.89,$258.02
03/26/2024,$258.06,645238,$258.69,$259.77,$257.07
03/25/2024,$258.68,762564,$262.46,$263.9774,$258.52
03/22/2024,$262.97,1233937,$265.36,$266.01,$261.68
03/21/2024,$266.17,1128231,$256.00,$268.02,$256.00
03/20/2024,$257.02,871779,$257.17,$257.4599,$253.03
03/19/2024,$256.37,830658,$255.56,$258.63,$255.19
03/18/2024,$255.72,790390,$258.55,$258.74,$254.07
03/15/2024,$257.15,1458026,$252.75,$259.619,$252.21
03/14/2024,$253.87,1808914,$256.11,$256.37,$249.74
03/13/2024,$253.67,1223222,$250.17,$256.20,$249.79
03/12/2024,$249.68,581649,$249.42,$252.32,$248.11
03/11/2024,$248.89,613560,$250.26,$250.47,$246.14
03/08/2024,$250.49,499703,$250.67,$251.635,$248.47
03/07/2024,$249.09,861218,$250.99,$252.05,$247.00
03/06/2024,$250.66,710767,$248.85,$250.90,$247.80
03/05/2024,$247.86,964282,$252.58,$252.58,$247.62
03/04/2024,$253.26,915492,$249.77,$253.36,$248.25
03/01/2024,$252.42,899868,$254.89,$254.89,$250.25
02/29/2024,$254.32,1369101,$254.48,$255.65,$251.34
02/28/2024,$252.60,869489,$250.00,$253.52,$249.99
02/27/2024,$251.20,1663102,$243.49,$252.67,$243.40
02/26/2024,$242.71,1472435,$242.68,$246.77,$242.34
02/23/2024,$243.07,1063927,$239.94,$243.52,$239.15
02/22/2024,$239.71,970760,$235.35,$240.005,$234.48
02/21/2024,$235.38,551566,$236.81,$236.81,$233.8204
02/20/2024,$236.42,759850,$235.21,$237.4599,$234.95
02/16/2024,$236.49,697398,$236.59,$238.70,$235.76
02/15/2024,$237.66,699100,$236.72,$239.13,$236.26
02/14/2024,$235.49,1050790,$235.12,$235.86,$230.935
02/13/2024,$233.32,1137141,$232.06,$234.925,$230.32
02/12/2024,$236.21,1239087,$236.00,$237.44,$234.46
02/09/2024,$235.08,992538,$231.83,$235.19,$231.33
02/08/2024,$231.83,1192197,$233.84,$235.01,$230.492
02/07/2024,$233.45,928533,$235.06,$237.10,$233.365
02/06/2024,$233.79,987786,$232.56,$235.00,$230.40
02/05/2024,$230.96,1312586,$231.63,$233.865,$228.7201
02/02/2024,$232.94,1916363,$234.07,$234.56,$226.52
02/01/2024,$234.90,3009612,$225.29,$235.41,$221.76
01/31/2024,$224.60,2148303,$227.81,$228.29,$224.27
01/30/2024,$227.79,1283309,$224.65,$229.54,$223.73
01/29/2024,$226.34,2019736,$226.39,$230.32,$225.09
01/26/2024,$227.62,1078424,$227.43,$228.06,$225.09
01/25/2024,$226.33,1451394,$226.00,$226.78,$223.64
01/24/2024,$226.03,1329766,$229.41,$229.50,$225.99
01/23/2024,$228.40,1642506,$231.36,$232.13,$226.43
01/22/2024,$232.50,1586114,$231.71,$233.41,$230.44
01/19/2024,$231.06,1685089,$230.56,$233.52,$228.915
01/18/2024,$230.25,1421006,$228.18,$230.86,$226.38
01/17/2024,$227.53,2313180,$220.78,$227.65,$220.78
01/16/2024,$224.27,1636979,$221.98,$224.35,$220.97
01/12/2024,$223.57,1016192,$221.43,$224.015,$219.72
01/11/2024,$221.59,912462,$220.06,$221.81,$219.15
01/10/2024,$220.03,1220478,$220.73,$221.40,$219.18
01/09/2024,$220.82,1347801,$222.82,$224.53,$219.79
01/08/2024,$223.53,1290306,$218.20,$223.71,$217.82
01/05/2024,$218.91,1428953,$213.71,$219.59,$213.62
01/04/2024,$215.04,1250072,$212.65,$215.98,$212.65
01/03/2024,$212.65,1182520,$216.48,$216.48,$211.7575
01/02/2024,$216.565,1329367,$213.26,$219.66,$212.74
12/29/2023,$215.03,1070444,$216.45,$217.005,$214.22
12/28/2023,$215.90,1276919,$213.17,$217.77,$212.68
12/27/2023,$212.64,829330,$210.73,$213.79,$209.00
12/26/2023,$210.73,849727,$211.50,$212.57,$210.62
12/22/2023,$211.92,1004872,$212.69,$215.32,$211.325
12/21/2023,$211.70,912909,$212.26,$213.815,$210.93
12/20/2023,$209.78,1683737,$213.92,$214.87,$209.61
12/19/2023,$216.14,978628,$216.37,$217.82,$215.56
12/18/2023,$215.75,1276172,$217.85,$218.1775,$213.81
12/15/2023,$217.30,2866212,$221.60,$221.60,$216.15
12/14/2023,$224.10,1856111,$222.90,$225.86,$220.83
12/13/2023,$220.46,1122850,$215.82,$221.13,$213.97
12/12/2023,$215.30,938802,$216.34,$216.63,$214.59
12/11/2023,$216.07,1234479,$212.60,$216.635,$212.45
12/08/2023,$212.07,1171480,$210.17,$212.77,$209.695
12/07/2023,$209.05,1093375,$208.81,$210.02,$207.00
12/06/2023,$209.46,1255969,$208.02,$211.18,$206.60
12/05/2023,$207.19,965377,$207.44,$208.215,$205.48
12/04/2023,$212.01,1364596,$209.44,$215.89,$209.01
12/01/2023,$210.07,1341652,$203.40,$210.24,$203.03
11/30/2023,$203.01,1426517,$200.33,$203.28,$197.91
11/29/2023,$200.19,841227,$200.59,$205.37,$200.12
11/28/2023,$199.92,847318,$197.37,$201.26,$197.00
11/27/2023,$197.78,1247431,$198.02,$199.335,$197.44
11/24/2023,$198.19,569263,$198.66,$199.885,$197.53
11/22/2023,$198.44,953565,$198.58,$200.51,$198.00
11/21/2023,$197.45,1210218,$200.00,$200.00,$193.73
11/20/2023,$200.71,947851,$202.03,$202.67,$198.95
11/17/2023,$202.61,986434,$205.01,$205.01,$202.40
11/16/2023,$203.06,1102231,$206.74,$207.26,$201.76
11/15/2023,$207.50,1454292,$207.09,$211.07,$206.00
11/14/2023,$206.73,1695455,$198.74,$207.6983,$198.74
11/13/2023,$196.10,1586225,$197.65,$199.34,$196.04
11/10/2023,$198.54,1296372,$195.77,$199.19,$193.60
11/09/2023,$195.08,1397085,$199.00,$199.50,$193.98
11/08/2023,$199.50,912408,$199.72,$203.43,$197.77
11/07/2023,$199.185,748654,$199.90,$200.00,$197.5981
11/06/2023,$199.25,910731,$199.11,$200.195,$197.6977
11/03/2023,$199.28,1306791,$197.51,$200.35,$196.47
11/02/2023,$195.16,1063143,$192.33,$196.54,$191.385
11/01/2023,$190.56,1042180,$191.75,$192.335,$188.075
10/31/2023,$192.56,912071,$190.76,$193.24,$190.22
10/30/2023,$191.19,1347089,$189.66,$191.93,$186.06
10/27/2023,$187.81,1984282,$188.09,$192.34,$187.00
10/26/2023,$188.79,3450115,$187.23,$194.06,$185.00
10/25/2023,$198.07,1744341,$197.40,$199.30,$196.10
10/24/2023,$198.22,1062541,$198.67,$200.7947,$197.585
10/23/2023,$198.17,1518886,$194.96,$199.54,$193.58
10/20/2023,$195.27,2212589,$202.62,$202.62,$194.56
10/19/2023,$202.14,887856,$206.38,$206.94,$201.83
10/18/2023,$207.37,1096480,$207.36,$209.22,$205.04
10/17/2023,$207.41,1377309,$205.34,$209.28,$205.34
10/16/2023,$205.67,1094774,$201.99,$206.81,$201.20
10/13/2023,$200.74,1650231,$194.47,$201.385,$194.47
10/12/2023,$196.75,1613298,$203.72,$203.72,$194.79
10/11/2023,$204.31,888692,$205.34,$205.815,$202.72
10/10/2023,$205.03,1029936,$203.48,$205.71,$202.615
10/09/2023,$203.90,1021796,$204.12,$205.44,$200.35
10/06/2023,$204.47,856094,$204.74,$206.36,$201.82
10/05/2023,$205.17,1175513,$203.00,$205.51,$202.12
10/04/2023,$206.01,995196,$203.63,$207.01,$203.39
10/03/2023,$203.53,930801,$202.45,$204.22,$201.08
10/02/2023,$203.50,1227470,$203.82,$204.99,$200.11
09/29/2023,$203.05,1343153,$206.06,$206.39,$202.135
09/28/2023,$203.42,709376,$205.25,$205.585,$202.71
09/27/2023,$203.01,1190426,$202.11,$205.13,$200.88
09/26/2023,$203.03,856475,$205.23,$207.58,$202.90
09/25/2023,$206.35,824505,$205.00,$207.94,$204.72
09/22/2023,$205.05,754121,$204.63,$207.15,$204.63
09/21/2023,$204.59,1257569,$206.50,$207.025,$203.40
09/20/2023,$207.55,977758,$209.54,$209.59,$207.35
09/19/2023,$210.15,812028,$208.26,$210.44,$206.92
09/18/2023,$209.49,961154,$212.72,$212.81,$208.845
09/15/2023,$212.84,1724271,$214.49,$214.82,$212.25
09/14/2023,$215.93,1053128,$215.90,$216.06,$213.76
09/13/2023,$215.89,1023161,$217.15,$218.32,$214.81
09/12/2023,$217.10,731742,$217.68,$218.655,$216.60
09/11/2023,$217.68,731983,$218.10,$219.0325,$216.90
09/08/2023,$217.39,986079,$218.88,$220.04,$216.79
09/07/2023,$219.00,1225152,$217.31,$220.44,$216.24
09/06/2023,$215.74,1188507,$216.89,$217.75,$213.41
09/05/2023,$218.08,1229289,$219.28,$220.04,$216.93
09/01/2023,$220.52,1416775,$219.12,$220.64,$217.365
08/31/2023,$218.50,2179528,$221.47,$221.54,$215.90
08/30/2023,$222.95,1044936,$223.20,$223.33,$221.23
08/29/2023,$222.59,1006004,$219.22,$223.48,$218.61
08/28/2023,$219.00,1675570,$214.35,$219.67,$213.47
08/25/2023,$213.54,1188846,$212.51,$214.82,$210.9431
08/24/2023,$211.63,1162351,$212.82,$216.10,$211.60
08/23/2023,$214.59,1434024,$213.37,$216.33,$212.32
08/22/2023,$215.00,1738298,$214.12,$215.01,$208.62
08/21/2023,$215.62,1288390,$219.35,$220.23,$215.33
08/18/2023,$219.32,692455,$218.31,$221.03,$218.31
08/17/2023,$219.00,1145085,$221.76,$223.04,$218.39
08/16/2023,$220.88,831161,$222.38,$223.049,$220.27
08/15/2023,$222.05,585444,$221.10,$222.72,$220.59
08/14/2023,$222.44,830845,$222.43,$223.40,$220.27
08/11/2023,$222.52,842825,$223.52,$224.02,$221.84
