Date,Close/Last,Volume,Open,High,Low
09/06/2024,$65.87,3443335,$65.23,$66.27,$65.23
09/05/2024,$65.13,2798613,$66.00,$66.14,$65.00
09/04/2024,$65.72,1777699,$64.69,$65.96,$64.67
09/03/2024,$64.81,2584323,$64.06,$65.105,$64.06
08/30/2024,$64.31,2055758,$63.94,$64.42,$63.75
08/29/2024,$64.65,1371238,$65.61,$65.61,$64.44
08/28/2024,$65.69,3043653,$63.94,$65.71,$63.81
08/27/2024,$63.93,1557086,$64.16,$64.35,$63.81
08/26/2024,$64.13,1950364,$63.63,$64.32,$63.5901
08/23/2024,$63.46,2184449,$63.24,$63.51,$62.78
08/22/2024,$63.01,2412380,$63.41,$63.56,$62.64
08/21/2024,$63.31,2730821,$62.50,$63.34,$62.35
08/20/2024,$62.41,3590745,$62.37,$62.47,$61.57
08/19/2024,$62.47,1638231,$62.48,$62.7695,$62.03
08/16/2024,$62.52,1484701,$61.88,$62.58,$61.475
08/15/2024,$62.04,2725829,$62.31,$62.31,$61.705
08/14/2024,$62.03,2393088,$61.30,$62.30,$61.30
08/13/2024,$61.17,1741781,$60.65,$61.19,$60.53
08/12/2024,$60.33,2705571,$61.61,$61.63,$60.10
08/09/2024,$61.69,2051293,$61.68,$61.8299,$61.1755
08/08/2024,$61.88,2423888,$60.80,$62.10,$60.6703
08/07/2024,$61.14,2950981,$61.72,$62.15,$61.04
08/06/2024,$61.54,4195335,$62.57,$62.81,$61.24
08/05/2024,$62.51,5787555,$62.62,$63.90,$62.00
08/02/2024,$61.23,3074718,$60.96,$61.57,$60.13
08/01/2024,$60.76,1874754,$61.28,$61.6001,$60.435
07/31/2024,$60.90,2043613,$60.85,$61.41,$60.32
07/30/2024,$60.91,1276821,$60.65,$61.14,$60.27
07/29/2024,$60.86,1185892,$60.83,$61.17,$60.20
07/26/2024,$61.01,1223233,$60.36,$61.32,$60.36
07/25/2024,$60.29,1970318,$59.54,$61.0539,$59.47
07/24/2024,$59.38,1565903,$59.23,$59.42,$58.655
07/23/2024,$59.23,818491,$59.51,$59.56,$58.8901
07/22/2024,$59.51,1166242,$59.64,$59.84,$59.00
07/19/2024,$59.73,1418475,$60.59,$60.59,$59.11
07/18/2024,$60.43,1509604,$60.05,$60.72,$60.00
07/17/2024,$60.46,1856227,$59.26,$60.73,$59.09
07/16/2024,$59.07,1468729,$57.78,$59.09,$57.28
07/15/2024,$57.47,1054418,$57.37,$57.79,$57.02
07/12/2024,$57.32,1012045,$57.13,$57.576,$56.83
07/11/2024,$56.88,1199989,$56.57,$57.26,$56.32
07/10/2024,$56.43,1363907,$55.93,$56.47,$55.65
07/09/2024,$55.91,1594586,$56.54,$56.54,$55.87
07/08/2024,$56.69,1538387,$56.18,$56.80,$55.88
07/05/2024,$56.02,3194975,$56.33,$56.40,$55.67
07/03/2024,$56.60,716083,$57.17,$57.26,$56.37
07/02/2024,$57.22,1371239,$57.40,$57.79,$57.02
07/01/2024,$57.36,1263126,$57.30,$57.86,$57.20
06/28/2024,$57.14,3135654,$56.51,$57.16,$56.21
06/27/2024,$56.44,1555609,$56.86,$57.00,$56.22
06/26/2024,$56.90,1423738,$56.52,$57.1599,$56.334
