Date,Close/Last,Volume,Open,High,Low
09/06/2024,$85.71,900955,$87.20,$88.32,$85.55
09/05/2024,$87.23,812380,$88.34,$88.34,$86.57
09/04/2024,$88.55,956019,$88.75,$89.66,$88.18
09/03/2024,$88.94,971850,$90.41,$90.76,$88.50
08/30/2024,$91.20,1057413,$90.37,$91.48,$89.43
08/29/2024,$90.20,652613,$90.75,$91.11,$89.8937
08/28/2024,$90.10,464051,$89.68,$90.685,$89.54
08/27/2024,$89.53,423744,$89.99,$89.99,$89.40
08/26/2024,$90.06,429333,$90.27,$90.93,$89.95
08/23/2024,$89.91,788717,$89.24,$90.38,$88.802
08/22/2024,$88.77,518663,$88.67,$88.98,$88.13
08/21/2024,$88.64,814691,$88.34,$88.68,$87.79
08/20/2024,$87.94,579550,$88.39,$88.61,$87.50
08/19/2024,$88.62,661345,$88.00,$88.64,$87.61
08/16/2024,$87.94,683360,$87.85,$88.10,$87.535
08/15/2024,$87.81,794428,$87.26,$88.11,$86.55
08/14/2024,$85.99,566383,$86.25,$86.88,$85.63
08/13/2024,$86.20,662119,$85.36,$86.235,$84.54
08/12/2024,$84.83,1009292,$85.27,$85.605,$84.45
08/09/2024,$85.13,796142,$84.94,$85.42,$84.44
08/08/2024,$84.78,1610656,$83.29,$85.18,$83.25
08/07/2024,$83.46,1107108,$85.45,$85.67,$83.36
08/06/2024,$84.57,923930,$84.99,$86.19,$84.355
08/05/2024,$84.88,1166453,$85.16,$85.825,$83.52
08/02/2024,$87.23,1126988,$89.43,$89.43,$86.67
08/01/2024,$90.60,995696,$92.84,$93.66,$89.78
07/31/2024,$92.90,818966,$92.60,$93.98,$92.03
07/30/2024,$92.06,591818,$92.14,$92.96,$91.73
07/29/2024,$91.51,772843,$92.11,$92.42,$91.11
07/26/2024,$92.06,743273,$92.12,$92.75,$91.62
07/25/2024,$91.29,896465,$90.08,$92.3042,$90.08
07/24/2024,$90.12,1062143,$91.85,$92.0832,$89.76
07/23/2024,$92.13,876848,$91.82,$92.70,$91.72
07/22/2024,$91.82,1105482,$91.00,$92.05,$90.20
07/19/2024,$90.33,1458077,$93.23,$93.23,$90.20
07/18/2024,$92.62,2015464,$91.51,$94.565,$90.50
07/17/2024,$92.07,1663051,$93.41,$94.10,$91.98
07/16/2024,$94.02,1503877,$91.43,$94.27,$91.19
07/15/2024,$91.09,1103858,$89.00,$91.52,$88.82
07/12/2024,$88.79,929938,$88.88,$89.53,$88.5001
07/11/2024,$88.22,909751,$86.54,$88.37,$86.50
07/10/2024,$86.31,649942,$85.22,$86.35,$85.205
07/09/2024,$85.13,589144,$85.84,$85.99,$85.08
07/08/2024,$85.85,635591,$85.27,$85.95,$85.072
07/05/2024,$84.96,1379274,$85.81,$85.89,$84.51
07/03/2024,$86.21,651392,$85.70,$86.32,$85.595
07/02/2024,$85.78,629517,$85.21,$86.075,$85.15
07/01/2024,$85.37,729314,$86.48,$87.03,$85.205
06/28/2024,$85.86,1845273,$86.73,$87.17,$85.405
06/27/2024,$86.34,853016,$86.76,$86.95,$85.93
06/26/2024,$86.54,798100,$85.66,$86.715,$85.525
06/25/2024,$86.01,1135550,$86.83,$87.025,$85.67
06/24/2024,$87.48,767667,$86.96,$88.51,$86.80
06/21/2024,$86.74,2674117,$86.33,$87.03,$85.90
06/20/2024,$86.26,812977,$85.87,$86.81,$85.7591
06/18/2024,$85.96,885684,$85.62,$86.065,$85.32
