Date,Close/Last,Volume,Open,High,Low
09/06/2024,$581.16,215837,$586.84,$590.00,$579.84
09/05/2024,$583.86,138228,$581.93,$586.42,$579.74
09/04/2024,$586.66,188300,$576.50,$587.14,$576.50
09/03/2024,$578.72,180741,$587.12,$587.765,$574.76
08/30/2024,$587.87,294709,$589.90,$592.225,$583.07
08/29/2024,$587.63,176618,$583.16,$592.45,$583.16
08/28/2024,$581.05,111626,$577.93,$581.88,$577.09
08/27/2024,$578.59,141298,$571.75,$581.855,$571.75
08/26/2024,$571.68,208483,$571.92,$575.27,$570.7984
08/23/2024,$571.73,203128,$576.14,$576.32,$567.02
08/22/2024,$572.68,145516,$581.14,$581.37,$570.89
08/21/2024,$581.19,180474,$576.34,$581.24,$576.34
08/20/2024,$576.63,199164,$580.88,$584.58,$575.91
08/19/2024,$579.58,165248,$584.00,$585.745,$579.04
08/16/2024,$584.17,177595,$580.54,$584.24,$578.825
08/15/2024,$582.01,175512,$581.59,$582.30,$578.24
08/14/2024,$581.18,130396,$578.32,$584.89,$577.84
08/13/2024,$579.28,158002,$581.42,$581.8799,$576.56
08/12/2024,$579.76,200915,$575.99,$580.34,$570.84
08/09/2024,$575.23,132439,$577.96,$578.3418,$572.22
08/08/2024,$579.52,186088,$571.27,$580.405,$567.74
08/07/2024,$568.48,223996,$569.21,$578.94,$565.21
08/06/2024,$570.63,212111,$566.17,$579.56,$566.17
08/05/2024,$569.01,297162,$560.57,$575.76,$555.3435
08/02/2024,$575.81,271472,$563.50,$575.86,$557.1601
08/01/2024,$569.71,236128,$566.64,$572.225,$560.145
07/31/2024,$568.11,342449,$574.79,$574.79,$565.01
07/30/2024,$574.55,300571,$579.68,$580.595,$568.56
07/29/2024,$576.99,487121,$584.35,$588.04,$575.37
07/26/2024,$590.65,584307,$570.91,$593.50,$569.25
07/25/2024,$564.34,622653,$528.06,$572.80,$526.79
07/24/2024,$515.80,294349,$525.45,$525.565,$515.79
07/23/2024,$526.37,200611,$529.19,$533.46,$526.26
07/22/2024,$529.09,184846,$526.65,$531.07,$524.50
07/19/2024,$524.33,153624,$528.88,$528.88,$520.71
07/18/2024,$525.91,211337,$528.64,$533.81,$525.40
07/17/2024,$528.03,259968,$526.90,$531.57,$525.82
07/16/2024,$528.92,154148,$521.65,$528.95,$517.90
07/15/2024,$520.91,186680,$525.00,$527.71,$520.18
07/12/2024,$523.08,265327,$515.46,$525.5643,$514.50
07/11/2024,$514.31,197753,$515.00,$521.14,$509.1904
07/10/2024,$511.88,173270,$509.37,$512.16,$503.54
07/09/2024,$508.86,149922,$512.75,$512.75,$504.91
07/08/2024,$511.48,144439,$513.00,$514.43,$507.31
07/05/2024,$513.42,178005,$509.03,$513.46,$506.95
07/03/2024,$508.56,111288,$507.28,$514.38,$504.95
07/02/2024,$509.00,192760,$501.98,$519.44,$501.98
07/01/2024,$499.52,258679,$502.79,$502.79,$495.2086
06/28/2024,$502.78,665137,$498.93,$506.07,$497.12
06/27/2024,$493.81,257755,$488.63,$497.43,$485.00
06/26/2024,$488.63,149770,$486.02,$491.26,$484.05
06/25/2024,$488.24,194662,$492.95,$494.60,$485.1725
06/24/2024,$491.57,265680,$488.51,$495.235,$486.41
06/21/2024,$489.14,1027445,$479.96,$489.64,$476.4201
06/20/2024,$479.04,259613,$474.16,$479.22,$469.66
06/18/2024,$472.90,234747,$465.68,$473.23,$463.84
06/17/2024,$467.27,385492,$465.98,$468.19,$458.50
06/14/2024,$471.79,170008,$472.57,$475.05,$470.4056
06/13/2024,$474.49,224192,$477.59,$480.155,$471.05
06/12/2024,$478.58,344874,$486.63,$490.055,$477.93
06/11/2024,$481.97,275032,$476.00,$483.35,$476.00
06/10/2024,$477.02,204176,$480.90,$483.135,$476.86
06/07/2024,$481.84,148839,$481.50,$484.24,$480.22
06/06/2024,$481.42,133229,$486.35,$490.255,$480.78
06/05/2024,$483.83,133431,$480.60,$484.27,$478.52
06/04/2024,$479.10,167495,$473.12,$480.56,$467.89
06/03/2024,$474.19,161616,$480.28,$480.28,$468.01
05/31/2024,$480.36,299343,$477.08,$480.36,$468.35
05/30/2024,$477.38,220316,$473.07,$480.90,$470.00
05/29/2024,$475.40,185998,$476.16,$481.02,$475.367
05/28/2024,$479.13,311026,$490.71,$492.485,$476.11
05/24/2024,$492.05,92009,$491.30,$494.835,$486.89
05/23/2024,$491.13,207029,$499.55,$499.55,$487.90
05/22/2024,$497.51,147744,$497.26,$500.49,$495.64
05/21/2024,$495.98,152696,$494.78,$498.66,$492.75
05/20/2024,$493.92,129885,$490.00,$495.00,$488.15
05/17/2024,$489.14,110509,$489.94,$489.94,$485.86
05/16/2024,$487.97,188877,$488.99,$490.855,$485.32
05/15/2024,$489.14,211934,$487.23,$492.57,$483.94
05/14/2024,$484.85,224000,$482.22,$487.11,$477.99
05/13/2024,$481.10,131957,$486.73,$487.28,$479.61
05/10/2024,$484.76,197162,$482.95,$488.71,$480.42
05/09/2024,$481.84,176293,$481.69,$483.855,$475.61
05/08/2024,$481.02,195985,$481.17,$485.405,$477.16
05/07/2024,$481.38,280929,$476.40,$483.83,$474.01
05/06/2024,$476.02,198618,$472.08,$477.86,$471.305
05/03/2024,$469.00,176465,$470.00,$471.53,$464.15
05/02/2024,$464.46,195318,$459.71,$465.22,$452.57
05/01/2024,$458.53,266556,$460.64,$464.20,$455.07
04/30/2024,$461.55,322975,$463.91,$466.10,$461.40
04/29/2024,$465.20,325787,$458.31,$465.22,$455.2433
04/26/2024,$460.74,286608,$459.00,$465.781,$456.1904
04/25/2024,$458.07,503041,$445.72,$464.81,$435.03
04/24/2024,$419.00,308374,$419.41,$421.545,$415.24
04/23/2024,$418.44,200218,$412.70,$419.85,$412.70
04/22/2024,$411.41,238198,$407.36,$413.29,$403.65
04/19/2024,$403.35,285356,$404.60,$404.60,$400.54
04/18/2024,$402.95,221711,$403.85,$405.47,$399.765
04/17/2024,$402.84,261993,$399.68,$404.255,$397.8024
04/16/2024,$399.22,178381,$400.87,$402.36,$398.36
04/15/2024,$400.68,178620,$414.71,$415.29,$399.75
