Date,Close/Last,Volume,Open,High,Low
09/06/2024,$44.05,3557497,$44.37,$44.37,$43.43
09/05/2024,$44.42,1997364,$44.98,$44.98,$44.14
09/04/2024,$44.59,2247595,$44.16,$45.10,$44.16
09/03/2024,$44.92,2056414,$44.35,$45.10,$44.35
08/30/2024,$44.51,2523292,$44.39,$44.53,$43.98
08/29/2024,$44.11,2087673,$44.12,$44.51,$43.94
08/28/2024,$44.19,1851475,$43.77,$44.22,$43.615
08/27/2024,$43.64,1558464,$43.00,$43.81,$42.83
08/26/2024,$43.22,1322351,$43.59,$43.69,$43.09
08/23/2024,$43.30,1353637,$42.75,$43.33,$42.51
08/22/2024,$42.56,1172618,$42.49,$42.65,$42.26
08/21/2024,$42.38,1763443,$42.14,$42.38,$41.99
08/20/2024,$42.10,1280912,$42.02,$42.189,$41.79
08/19/2024,$41.94,1299914,$41.83,$42.07,$41.56
08/16/2024,$41.71,1224718,$41.54,$41.83,$41.29
08/15/2024,$41.62,2042580,$41.83,$41.965,$41.43
08/14/2024,$41.78,1068166,$41.68,$42.10,$41.60
08/13/2024,$41.69,806867,$41.95,$41.95,$41.61
08/12/2024,$41.56,2148793,$41.71,$41.80,$41.345
08/09/2024,$41.87,2946769,$41.52,$41.91,$41.24
08/08/2024,$41.36,1311266,$41.12,$41.53,$40.9145
08/07/2024,$41.15,2882161,$41.22,$42.18,$41.11
08/06/2024,$41.22,2104565,$40.03,$41.675,$39.96
08/05/2024,$39.96,2922951,$40.39,$40.87,$39.80
08/02/2024,$40.59,4218957,$40.80,$41.50,$40.05
08/01/2024,$40.73,4092085,$40.52,$40.74,$40.19
07/31/2024,$40.07,7241353,$40.72,$40.905,$39.46
07/30/2024,$40.85,3251612,$41.31,$41.37,$40.38
07/29/2024,$41.16,3155165,$41.33,$41.495,$40.86
07/26/2024,$41.27,1361341,$40.89,$41.50,$40.73
07/25/2024,$40.67,2018474,$41.56,$42.08,$40.35
07/24/2024,$41.50,2021650,$42.05,$42.21,$41.40
07/23/2024,$42.01,2712878,$41.98,$42.18,$41.82
07/22/2024,$42.03,1686458,$41.54,$42.14,$41.32
07/19/2024,$41.52,1044618,$41.87,$41.87,$41.31
07/18/2024,$41.63,2153662,$41.50,$42.42,$41.43
07/17/2024,$41.67,2672084,$41.05,$41.73,$41.05
07/16/2024,$41.08,3121388,$40.78,$41.13,$40.40
07/15/2024,$40.56,3724669,$40.68,$41.36,$40.425
07/12/2024,$40.35,2568651,$40.81,$40.85,$40.16
07/11/2024,$40.61,2135972,$41.42,$41.59,$40.405
07/10/2024,$40.65,1675011,$40.59,$40.69,$40.12
07/09/2024,$40.81,1471569,$40.83,$41.045,$40.47
07/08/2024,$40.82,1802143,$40.90,$41.095,$40.68
07/05/2024,$40.87,3267666,$40.68,$40.89,$40.42
07/03/2024,$40.60,918846,$41.00,$41.01,$40.485
07/02/2024,$40.99,2789963,$41.14,$41.32,$40.825
07/01/2024,$41.04,1616489,$41.01,$41.1799,$40.57
06/28/2024,$41.15,3343693,$41.10,$41.31,$40.695
06/27/2024,$40.77,1393405,$40.50,$40.79,$40.33
06/26/2024,$40.46,1448069,$40.47,$40.80,$40.37
06/25/2024,$40.82,1417546,$41.22,$41.22,$40.55
06/24/2024,$41.16,1359244,$40.81,$41.47,$40.66
06/21/2024,$40.72,4111912,$40.71,$40.76,$40.34
06/20/2024,$40.58,1677759,$40.68,$40.685,$40.39
06/18/2024,$40.63,1295694,$40.48,$40.67,$40.355
06/17/2024,$40.34,1618984,$40.00,$40.46,$39.66
06/14/2024,$40.28,1984895,$39.85,$40.325,$39.63
06/13/2024,$39.91,1703202,$39.70,$40.18,$39.60
06/12/2024,$39.56,1904895,$40.09,$40.19,$39.405
06/11/2024,$39.30,2727566,$39.48,$39.75,$39.25
06/10/2024,$39.83,2132562,$39.55,$40.24,$39.37
06/07/2024,$39.67,2050001,$39.05,$39.735,$39.05
06/06/2024,$39.60,1374529,$39.50,$39.74,$39.37
06/05/2024,$39.76,1853609,$39.41,$39.785,$39.11
06/04/2024,$39.59,2970372,$38.85,$39.809,$38.63
06/03/2024,$38.86,2476707,$38.78,$39.02,$38.53
05/31/2024,$38.62,3719213,$38.33,$38.63,$37.97
05/30/2024,$37.87,1353030,$37.86,$38.13,$37.715
05/29/2024,$37.57,1510163,$37.64,$37.85,$37.03
05/28/2024,$38.21,1714043,$39.19,$39.255,$38.185
05/24/2024,$38.96,1272610,$39.07,$39.08,$38.85
05/23/2024,$38.81,1538126,$39.49,$39.49,$38.80
05/22/2024,$39.60,2207921,$39.65,$39.995,$39.45
05/21/2024,$39.69,2219186,$39.33,$39.74,$39.16
05/20/2024,$39.39,1847214,$39.52,$39.66,$39.18
05/17/2024,$39.54,2139609,$39.57,$39.63,$39.355
05/16/2024,$39.42,1574615,$39.57,$39.79,$39.41
05/15/2024,$39.62,1595121,$39.97,$39.97,$39.525
05/14/2024,$39.37,1673685,$39.36,$39.53,$39.025
05/13/2024,$39.12,1734047,$39.10,$39.46,$39.00
05/10/2024,$39.04,1716519,$39.22,$39.34,$38.995
05/09/2024,$39.04,3301928,$38.55,$39.16,$38.27
05/08/2024,$38.27,2887325,$38.85,$38.92,$38.125
05/07/2024,$38.97,2253301,$39.15,$39.31,$38.845
05/06/2024,$38.89,2654721,$38.53,$38.99,$38.26
05/03/2024,$38.23,2867237,$38.12,$38.38,$37.84
05/02/2024,$37.57,5231261,$37.64,$37.905,$37.01
05/01/2024,$37.49,5340526,$37.07,$38.045,$36.86
04/30/2024,$38.08,3264666,$38.05,$38.415,$37.78
04/29/2024,$38.29,2531024,$38.21,$38.48,$38.02
04/26/2024,$37.91,2117561,$38.09,$38.66,$37.89
04/25/2024,$37.97,2399782,$38.04,$38.16,$37.72
04/24/2024,$37.89,2891907,$37.01,$38.185,$36.87
04/23/2024,$37.27,2412000,$36.98,$37.60,$36.98
04/22/2024,$37.01,2513031,$36.56,$37.07,$36.28
04/19/2024,$36.40,3671118,$36.03,$36.445,$35.95
04/18/2024,$35.78,3354625,$35.41,$35.95,$35.14
04/17/2024,$35.34,2479726,$35.51,$35.82,$35.17
04/16/2024,$35.27,2128890,$35.67,$35.68,$35.22
04/15/2024,$35.85,1969280,$36.88,$36.98,$35.635
04/12/2024,$36.64,3225310,$37.07,$37.13,$36.26
04/11/2024,$37.17,4043479,$37.54,$37.67,$36.6705
04/10/2024,$37.22,4513640,$36.98,$37.37,$36.72
04/09/2024,$37.87,3610838,$37.35,$37.96,$37.21
04/08/2024,$37.63,4593161,$37.01,$37.92,$36.95
04/05/2024,$36.51,1530289,$36.23,$36.63,$36.07
04/04/2024,$36.39,1801259,$36.76,$37.00,$36.16
04/03/2024,$36.46,1886534,$36.08,$36.525,$35.82
04/02/2024,$36.18,1923891,$36.32,$36.405,$36.01
04/01/2024,$36.64,1756437,$37.33,$37.40,$36.63
03/28/2024,$37.41,3007630,$37.17,$37.65,$36.98
03/27/2024,$37.01,4166321,$36.78,$37.35,$36.61
03/26/2024,$36.41,1382004,$36.94,$36.945,$36.39
03/25/2024,$36.88,1116581,$37.28,$37.35,$36.745
03/22/2024,$37.16,1636998,$37.66,$37.71,$37.02
03/21/2024,$37.61,2290717,$37.16,$37.995,$37.155
03/20/2024,$37.06,1927790,$36.55,$37.14,$36.39
03/19/2024,$36.73,1640056,$36.87,$37.00,$36.405
03/18/2024,$36.81,1752442,$37.19,$37.31,$36.735
03/15/2024,$37.17,3888232,$36.21,$37.19,$36.21
03/14/2024,$36.67,2588378,$37.21,$37.28,$36.11
03/13/2024,$37.40,2528557,$37.02,$37.77,$37.00
03/12/2024,$37.08,3595122,$37.80,$37.985,$36.98
03/11/2024,$37.84,2760181,$38.10,$38.28,$37.69
03/08/2024,$38.10,2665141,$38.03,$38.19,$37.78
03/07/2024,$37.69,2447405,$37.38,$37.77,$37.26
03/06/2024,$37.25,3808348,$37.48,$37.51,$37.07
03/05/2024,$37.16,2998893,$37.16,$37.50,$36.97
03/04/2024,$37.28,3893796,$36.26,$37.41,$36.24
03/01/2024,$35.94,3320568,$35.38,$35.96,$34.99
02/29/2024,$35.50,4277409,$35.76,$35.95,$35.32
02/28/2024,$35.41,2436133,$34.76,$35.83,$34.76
02/27/2024,$35.08,3057982,$35.33,$35.66,$34.895
02/26/2024,$35.02,1782189,$35.70,$35.875,$34.96
02/23/2024,$35.85,1707980,$36.13,$36.205,$35.84
02/22/2024,$36.15,2666624,$36.45,$36.45,$36.10
02/21/2024,$36.30,2890146,$35.85,$36.33,$35.66
02/20/2024,$35.80,2272037,$35.76,$36.005,$35.54
02/16/2024,$36.08,2831213,$35.62,$36.27,$35.43
02/15/2024,$36.05,2712411,$35.18,$36.09,$35.09
02/14/2024,$34.87,3178173,$34.70,$35.04,$34.61
02/13/2024,$34.62,2893944,$34.79,$34.86,$34.185
02/12/2024,$35.57,2352248,$35.43,$35.74,$35.34
02/09/2024,$35.37,3274161,$35.41,$35.68,$35.26
02/08/2024,$35.49,3538544,$35.21,$35.58,$34.88
02/07/2024,$35.32,5196024,$35.35,$35.60,$34.44
02/06/2024,$35.56,3481893,$35.42,$35.93,$35.33
02/05/2024,$35.43,2358663,$35.87,$35.87,$35.39
02/02/2024,$36.31,3557347,$36.18,$36.515,$35.535
02/01/2024,$36.51,3461027,$35.80,$36.535,$35.38
01/31/2024,$36.02,5522893,$36.73,$36.95,$35.87
01/30/2024,$36.48,4547611,$36.40,$36.73,$36.16
01/29/2024,$36.74,2415437,$36.65,$37.07,$36.47
01/26/2024,$36.69,3296990,$36.62,$36.76,$36.175
01/25/2024,$36.53,3229708,$37.08,$37.32,$36.37
01/24/2024,$36.71,3486010,$37.80,$37.80,$36.68
01/23/2024,$37.49,3233959,$37.93,$38.12,$37.37
01/22/2024,$37.84,3655143,$37.68,$38.115,$37.68
01/19/2024,$37.61,3623786,$37.27,$37.83,$37.04
01/18/2024,$37.21,5791830,$37.44,$37.74,$36.94
01/17/2024,$37.49,3032895,$37.70,$38.34,$36.95
01/16/2024,$38.34,3550592,$38.45,$38.615,$38.16
01/12/2024,$38.59,2967621,$38.91,$39.10,$38.315
01/11/2024,$38.50,3404509,$37.93,$38.63,$37.66
01/10/2024,$38.22,2591856,$38.32,$38.44,$38.095
01/09/2024,$38.13,3237070,$37.75,$38.315,$37.54
01/08/2024,$38.59,2676038,$37.75,$38.725,$37.65
01/05/2024,$37.82,2981069,$37.54,$38.06,$37.32
01/04/2024,$37.86,2130339,$37.62,$38.18,$37.44
01/03/2024,$37.66,2475799,$38.30,$38.32,$37.575
