Date,Close/Last,Volume,Open,High,Low
09/06/2024,$229.15,929670,$239.08,$241.95,$226.59
09/05/2024,$239.31,704783,$237.99,$239.32,$235.53
09/04/2024,$238.60,523987,$236.65,$238.6872,$235.66
09/03/2024,$236.47,599252,$237.27,$239.29,$235.10
08/30/2024,$237.97,494187,$235.40,$238.26,$235.40
08/29/2024,$235.69,378406,$237.84,$237.86,$234.81
08/28/2024,$236.83,619947,$235.50,$237.785,$235.50
08/27/2024,$235.36,521552,$232.55,$235.60,$232.55
08/26/2024,$233.04,493806,$233.37,$235.2099,$231.5301
08/23/2024,$233.14,684942,$230.57,$233.7604,$229.79
08/22/2024,$229.29,519705,$228.98,$230.49,$228.66
08/21/2024,$227.80,506555,$227.56,$228.84,$226.3701
08/20/2024,$227.56,553958,$227.70,$229.01,$225.90
08/19/2024,$227.52,454299,$226.55,$228.28,$224.62
08/16/2024,$226.44,570552,$223.93,$227.00,$222.62
08/15/2024,$223.27,543708,$223.03,$224.09,$219.67
08/14/2024,$221.85,533980,$221.54,$224.3399,$219.925
08/13/2024,$220.48,560150,$218.08,$221.66,$218.08
08/12/2024,$217.74,387267,$215.18,$217.88,$214.48
08/09/2024,$215.22,502479,$218.09,$218.675,$214.86
08/08/2024,$218.40,715340,$212.56,$218.56,$212.00
08/07/2024,$212.07,978974,$213.96,$215.28,$210.03
08/06/2024,$212.11,1603630,$211.06,$213.60,$209.76
08/05/2024,$211.00,778424,$209.11,$213.6699,$205.15
08/02/2024,$213.21,858520,$214.34,$216.915,$210.96
08/01/2024,$215.82,849637,$215.11,$218.99,$212.79
07/31/2024,$213.76,1108920,$215.99,$216.84,$211.7501
07/30/2024,$215.10,878667,$217.12,$218.96,$214.76
07/29/2024,$217.43,914806,$215.65,$219.61,$214.3594
07/26/2024,$213.69,1474291,$209.58,$214.64,$206.36
07/25/2024,$204.99,2759867,$192.19,$207.70,$192.00
07/24/2024,$185.97,958691,$187.00,$189.78,$185.05
07/23/2024,$185.30,854308,$184.37,$186.50,$181.29
07/22/2024,$182.17,610683,$181.33,$183.50,$179.81
07/19/2024,$180.82,634561,$183.02,$183.02,$179.50
07/18/2024,$181.48,825626,$183.51,$186.75,$180.49
07/17/2024,$183.77,865926,$183.88,$189.65,$181.40
07/16/2024,$183.88,1034886,$180.00,$183.93,$177.37
07/15/2024,$178.68,709316,$179.19,$183.365,$178.0606
07/12/2024,$184.43,421387,$184.63,$187.23,$184.20
07/11/2024,$183.95,808968,$181.62,$184.14,$180.61
07/10/2024,$180.18,736040,$181.87,$182.39,$179.31
07/09/2024,$180.95,587255,$181.55,$183.205,$180.09
07/08/2024,$180.63,939334,$181.74,$182.22,$177.345
07/05/2024,$180.93,893054,$184.15,$184.635,$177.65
07/03/2024,$185.39,239235,$184.40,$186.45,$183.93
07/02/2024,$184.72,414477,$182.52,$185.0875,$180.77
07/01/2024,$182.20,559877,$186.05,$188.53,$182.07
06/28/2024,$184.93,1162964,$191.75,$194.02,$182.21
06/27/2024,$191.56,404605,$189.40,$191.58,$187.04
06/26/2024,$189.67,721590,$191.19,$191.19,$186.48
06/25/2024,$187.70,1020911,$191.50,$193.48,$181.82
06/24/2024,$191.01,468550,$189.78,$191.92,$188.73
06/21/2024,$189.10,783735,$188.81,$190.105,$187.13
06/20/2024,$188.68,349849,$189.83,$191.51,$188.34
06/18/2024,$190.56,403628,$189.50,$191.28,$188.32
06/17/2024,$189.81,555157,$186.75,$190.16,$186.10
06/14/2024,$187.85,590814,$186.66,$188.2199,$183.25
06/13/2024,$188.18,520602,$186.73,$188.67,$183.25
06/12/2024,$187.24,892272,$188.16,$189.38,$186.14
06/11/2024,$185.68,608545,$188.01,$188.38,$185.60
06/10/2024,$188.93,671849,$186.65,$189.30,$185.78
06/07/2024,$187.53,343793,$187.54,$188.89,$187.31
06/06/2024,$189.34,541291,$188.81,$190.495,$187.60
06/05/2024,$189.47,629933,$185.88,$189.83,$185.48
06/04/2024,$184.64,458097,$185.86,$186.60,$181.20
06/03/2024,$186.60,634315,$188.48,$189.16,$184.63
05/31/2024,$189.80,847368,$186.20,$189.95,$184.76
05/30/2024,$185.90,776900,$180.33,$186.645,$180.18
05/29/2024,$180.23,900471,$174.50,$181.61,$174.43
05/28/2024,$175.18,404028,$175.22,$176.29,$174.28
05/24/2024,$176.37,588267,$178.46,$178.565,$176.17
