Date,Close/Last,Volume,Open,High,Low
09/06/2024,$367.59,1077258,$364.43,$369.125,$361.815
09/05/2024,$363.78,885417,$361.97,$366.54,$361.00
09/04/2024,$359.92,1155005,$357.00,$365.8899,$356.68
09/03/2024,$358.80,2316269,$352.00,$367.5799,$350.10
08/30/2024,$352.84,4999779,$344.085,$361.43,$342.00
08/29/2024,$367.58,2271201,$368.53,$375.61,$367.205
08/28/2024,$366.82,1330998,$368.26,$376.70,$366.74
08/27/2024,$371.35,972380,$372.47,$373.49,$367.93
08/26/2024,$374.98,878189,$377.33,$381.17,$372.7456
08/23/2024,$378.65,987894,$372.69,$379.82,$372.29
08/22/2024,$374.26,1139144,$382.13,$383.25,$373.00
08/21/2024,$380.915,1529307,$374.74,$386.04,$374.74
08/20/2024,$369.05,1545435,$376.34,$378.0997,$368.84
08/19/2024,$377.06,2648633,$382.51,$392.61,$376.1001
08/16/2024,$377.23,2942803,$368.00,$383.71,$367.02
08/15/2024,$365.80,4424858,$371.64,$373.00,$358.35
08/14/2024,$329.05,970798,$330.04,$332.92,$325.00
08/13/2024,$331.56,1059383,$320.35,$333.13,$318.27
08/12/2024,$320.55,843647,$321.25,$326.39,$318.17
08/09/2024,$322.17,919617,$325.86,$327.78,$321.82
08/08/2024,$327.11,749902,$322.25,$330.71,$322.1811
08/07/2024,$321.31,785663,$327.12,$332.50,$320.79
08/06/2024,$326.42,847410,$327.26,$331.15,$325.84
08/05/2024,$327.28,1076601,$333.47,$336.40,$326.93
08/02/2024,$341.01,959256,$345.64,$346.51,$338.11
08/01/2024,$349.95,1216539,$364.64,$364.87,$345.33
07/31/2024,$364.89,693094,$369.76,$373.0499,$364.66
07/30/2024,$367.53,893875,$364.00,$368.3938,$361.40
07/29/2024,$366.61,1079139,$371.80,$372.09,$362.10
07/26/2024,$369.46,1023110,$364.13,$372.37,$362.49
07/25/2024,$363.30,1164263,$372.00,$372.835,$363.01
07/24/2024,$369.61,1507902,$379.50,$381.00,$364.67
07/23/2024,$389.29,557614,$389.87,$395.67,$388.98
07/22/2024,$391.67,596864,$390.92,$392.45,$382.2126
07/19/2024,$390.92,897250,$394.60,$394.684,$387.00
07/18/2024,$393.12,786401,$396.99,$402.075,$390.64
07/17/2024,$400.47,737659,$407.65,$407.86,$398.22
07/16/2024,$409.70,763446,$399.46,$412.64,$396.28
07/15/2024,$395.16,1148688,$404.00,$406.48,$393.0099
07/12/2024,$412.94,845762,$404.63,$413.88,$401.08
07/11/2024,$400.82,627497,$396.25,$403.70,$395.00
07/10/2024,$396.03,631141,$395.03,$398.46,$392.84
07/09/2024,$396.01,645529,$395.38,$398.5938,$391.41
07/08/2024,$395.82,912291,$392.27,$403.255,$391.235
07/05/2024,$390.00,550375,$390.00,$390.67,$384.89
07/03/2024,$389.67,431443,$393.00,$396.99,$388.0001
07/02/2024,$393.02,749462,$384.50,$394.49,$383.98
07/01/2024,$384.41,862023,$385.87,$390.50,$381.96
06/28/2024,$385.87,818129,$385.98,$388.02,$382.46
06/27/2024,$385.95,932750,$389.00,$391.43,$383.10
06/26/2024,$387.88,489261,$388.00,$390.3353,$386.33
06/25/2024,$388.19,595214,$390.20,$392.4399,$386.12
06/24/2024,$389.72,834112,$383.85,$394.82,$383.00
06/21/2024,$383.85,1348367,$380.80,$385.6673,$379.64
06/20/2024,$378.40,995254,$381.85,$384.77,$376.39
06/18/2024,$382.59,778570,$388.00,$390.63,$382.28
06/17/2024,$389.15,670959,$390.11,$391.50,$385.40
06/14/2024,$390.82,781219,$395.25,$396.705,$388.50
06/13/2024,$396.39,981864,$393.00,$399.175,$392.43
06/12/2024,$390.12,916465,$389.745,$394.56,$386.25
06/11/2024,$387.69,965659,$381.99,$387.82,$380.2381
06/10/2024,$382.50,793405,$381.55,$382.66,$376.56
06/07/2024,$382.61,758376,$383.09,$385.37,$380.395
06/06/2024,$384.88,684552,$384.43,$389.13,$382.27
06/05/2024,$387.16,820380,$390.00,$390.965,$385.09
06/04/2024,$389.41,872709,$386.99,$396.305,$386.50
06/03/2024,$389.91,1188486,$394.40,$399.81,$386.09
05/31/2024,$395.09,3378148,$421.21,$421.21,$382.12
05/30/2024,$385.58,2349917,$381.65,$388.89,$380.74
05/29/2024,$378.28,1264577,$379.00,$386.46,$377.82
05/28/2024,$381.13,968466,$381.35,$386.00,$377.69
05/24/2024,$381.78,969385,$375.33,$383.41,$375.305
05/23/2024,$376.14,850103,$380.25,$380.80,$376.0208
05/22/2024,$378.33,769816,$383.10,$383.10,$376.905
05/21/2024,$381.83,940881,$386.51,$388.76,$378.0934
05/20/2024,$386.50,1016760,$392.66,$394.98,$386.01
05/17/2024,$399.56,533523,$402.37,$402.37,$396.06
05/16/2024,$401.04,517045,$401.84,$406.98,$400.60
05/15/2024,$403.41,501022,$406.31,$407.00,$401.575
05/14/2024,$401.68,665677,$407.40,$409.59,$401.30
05/13/2024,$403.96,708298,$404.45,$411.60,$401.315
05/10/2024,$401.59,664596,$397.00,$402.82,$397.00
05/09/2024,$396.67,602768,$389.18,$397.14,$388.00
05/08/2024,$388.48,699351,$393.51,$397.99,$387.23
05/07/2024,$393.67,789104,$393.50,$398.7999,$390.77
05/06/2024,$394.88,909653,$397.28,$398.6585,$392.75
05/03/2024,$397.39,591398,$402.50,$404.51,$397.275
05/02/2024,$397.33,639766,$402.52,$405.18,$396.73
05/01/2024,$402.11,575722,$403.14,$404.51,$398.45
04/30/2024,$404.84,904813,$410.04,$412.04,$402.00
04/29/2024,$410.04,673827,$404.86,$410.04,$404.14
04/26/2024,$406.39,637675,$405.62,$411.35,$402.95
04/25/2024,$408.01,707068,$409.35,$409.35,$403.13
04/24/2024,$410.55,866445,$414.63,$417.87,$407.16
04/23/2024,$419.27,692353,$420.86,$424.8499,$417.27
04/22/2024,$417.98,635460,$417.43,$419.285,$412.64
04/19/2024,$413.50,1072899,$413.83,$418.785,$410.9981
04/18/2024,$425.11,862502,$428.82,$428.82,$416.58
04/17/2024,$424.55,947644,$428.80,$429.92,$423.675
04/16/2024,$424.17,1144548,$430.90,$432.46,$422.10
04/15/2024,$433.24,904772,$444.36,$444.87,$431.68
04/12/2024,$442.32,487251,$445.55,$448.50,$441.00
04/11/2024,$447.91,450213,$454.66,$455.08,$446.74
04/10/2024,$450.95,876239,$449.99,$453.70,$446.23
04/09/2024,$454.80,595027,$450.10,$455.33,$450.00
04/08/2024,$452.78,967272,$453.48,$457.75,$450.79
04/05/2024,$444.75,1285887,$447.23,$455.40,$441.42
04/04/2024,$448.64,2916850,$443.91,$467.49,$443.58
04/03/2024,$439.98,4214327,$469.57,$474.12,$438.671
04/02/2024,$519.68,609483,$527.50,$528.80,$516.46
04/01/2024,$529.01,647023,$520.84,$529.67,$520.84
03/28/2024,$522.88,804546,$515.67,$525.77,$513.68
03/27/2024,$513.52,923015,$515.64,$516.66,$507.02
03/26/2024,$514.34,866896,$505.66,$514.68,$505.00
03/25/2024,$505.57,773757,$521.97,$523.54,$505.26
03/22/2024,$520.37,1061145,$522.00,$526.58,$515.27
03/21/2024,$523.55,967907,$523.96,$531.11,$521.235
03/20/2024,$523.96,694662,$528.63,$532.70,$522.90
03/19/2024,$529.08,811628,$535.08,$535.08,$524.465
03/18/2024,$532.33,1064510,$534.36,$544.36,$525.67
03/15/2024,$535.98,2891583,$504.00,$546.58,$502.20
03/14/2024,$565.44,1399900,$572.62,$574.76,$561.21
03/13/2024,$567.18,815571,$559.83,$572.48,$558.33
03/12/2024,$555.57,558404,$549.13,$556.875,$548.145
03/11/2024,$548.56,626352,$540.62,$549.22,$538.54
03/08/2024,$540.22,499679,$549.67,$551.12,$540.115
03/07/2024,$548.32,372050,$550.14,$554.495,$546.36
