Date,Close/Last,Volume,Open,High,Low
09/06/2024,$249.63,2406225,$251.40,$253.67,$249.24
09/05/2024,$251.53,2562529,$255.80,$256.11,$249.87
09/04/2024,$255.70,2880270,$255.44,$258.07,$252.09
09/03/2024,$255.21,2585798,$255.87,$256.9489,$254.05
08/30/2024,$256.09,2386564,$251.92,$256.30,$251.92
08/29/2024,$253.20,1287795,$253.81,$254.65,$251.39
08/28/2024,$252.67,2359782,$250.47,$254.39,$249.81
08/27/2024,$250.35,1466246,$248.49,$250.50,$248.05
08/26/2024,$247.84,1680550,$247.76,$249.55,$247.00
08/23/2024,$246.85,2449222,$245.00,$246.99,$244.025
08/22/2024,$244.32,2722350,$246.03,$247.00,$242.83
08/21/2024,$245.73,1482850,$247.73,$248.30,$245.00
08/20/2024,$246.50,1552013,$246.07,$247.24,$245.31
08/19/2024,$246.07,1686486,$245.00,$246.66,$244.17
08/16/2024,$244.53,1951386,$244.00,$245.40,$243.40
08/15/2024,$243.71,2127983,$243.93,$245.27,$242.75
08/14/2024,$241.22,1903113,$237.97,$242.25,$237.31
08/13/2024,$237.27,1486284,$238.03,$239.00,$235.23
08/12/2024,$236.75,1782063,$238.35,$238.35,$234.90
08/09/2024,$237.52,1621058,$240.47,$240.47,$236.95
08/08/2024,$240.54,1444831,$237.24,$240.89,$236.90
08/07/2024,$236.84,1939343,$239.85,$241.94,$236.47
08/06/2024,$238.55,2514582,$235.38,$241.51,$234.731
08/05/2024,$234.87,2494424,$237.01,$237.97,$231.26
08/02/2024,$239.97,2114653,$243.53,$243.90,$235.70
08/01/2024,$244.47,2166090,$247.37,$249.335,$243.785
07/31/2024,$246.73,2285693,$245.52,$249.175,$244.48
07/30/2024,$245.43,1914371,$243.15,$247.26,$242.81
07/29/2024,$242.15,2022953,$240.99,$243.89,$240.01
07/26/2024,$240.36,2818609,$237.22,$243.15,$235.89
07/25/2024,$235.35,3017631,$235.86,$239.70,$230.90
07/24/2024,$237.38,3289032,$238.20,$240.7409,$236.84
07/23/2024,$239.50,2538276,$242.23,$242.9025,$239.29
07/22/2024,$243.27,2187038,$242.78,$243.37,$240.86
07/19/2024,$242.32,3870094,$244.80,$244.80,$241.50
07/18/2024,$243.01,2491272,$242.64,$245.865,$242.18
07/17/2024,$243.89,2933013,$243.44,$246.06,$242.76
07/16/2024,$243.06,3417400,$236.00,$243.82,$235.90
07/15/2024,$235.99,2569467,$230.60,$236.45,$230.28
07/12/2024,$230.22,1912319,$229.67,$232.43,$228.72
07/11/2024,$228.72,1517930,$224.85,$228.97,$224.255
07/10/2024,$224.41,1832736,$222.34,$224.53,$221.93
07/09/2024,$221.78,1514184,$222.28,$222.91,$220.63
07/08/2024,$223.39,1781645,$224.51,$224.675,$222.13
07/05/2024,$225.17,1659395,$225.16,$226.68,$222.82
07/03/2024,$225.57,1219762,$225.96,$228.0999,$225.01
07/02/2024,$225.50,1530530,$224.86,$225.54,$223.82
07/01/2024,$224.86,1697337,$226.14,$227.88,$224.15
06/28/2024,$226.26,3492610,$224.90,$227.4399,$224.305
06/27/2024,$223.47,1815037,$224.58,$225.33,$222.78
06/26/2024,$223.61,1921476,$224.00,$225.14,$222.87
06/25/2024,$224.06,3199922,$224.85,$225.13,$219.575
06/24/2024,$226.36,2407606,$226.66,$229.38,$225.95
06/21/2024,$226.11,3322635,$226.13,$226.60,$223.14
06/20/2024,$225.17,2267817,$222.31,$225.425,$221.47
06/18/2024,$222.58,2057245,$221.38,$223.83,$221.15
06/17/2024,$221.38,3134484,$219.53,$222.51,$219.29
06/14/2024,$222.10,2130498,$221.34,$222.19,$218.55
06/13/2024,$222.12,3283888,$225.65,$226.20,$221.38
06/12/2024,$226.47,1931892,$228.94,$231.27,$225.765
06/11/2024,$227.41,1619895,$227.78,$228.925,$226.33
06/10/2024,$228.95,1884822,$227.35,$228.99,$226.25
06/07/2024,$227.97,2555622,$227.54,$230.72,$226.69
06/06/2024,$228.31,2023241,$227.65,$228.92,$226.421
06/05/2024,$227.41,2920756,$228.73,$229.09,$226.00
06/04/2024,$227.62,1820824,$228.11,$229.80,$226.24
06/03/2024,$228.32,2593985,$233.00,$233.50,$227.34
05/31/2024,$232.82,5524511,$228.16,$233.30,$227.08
05/30/2024,$229.24,2840385,$226.05,$229.42,$225.49
05/29/2024,$225.88,3279065,$226.79,$228.34,$225.67
05/28/2024,$229.01,2480869,$232.15,$232.27,$228.24
05/24/2024,$232.05,2305534,$232.00,$234.13,$231.04
05/23/2024,$232.71,2815747,$234.23,$234.88,$231.80
05/22/2024,$234.71,2634161,$234.77,$235.25,$232.52
05/21/2024,$234.96,2967591,$240.00,$240.05,$234.54
05/20/2024,$243.63,1130283,$244.93,$244.93,$241.84
05/17/2024,$244.97,2105806,$246.31,$246.92,$243.33
05/16/2024,$245.90,1526046,$246.14,$247.265,$244.935
05/15/2024,$246.54,1769238,$245.85,$246.88,$245.3823
05/14/2024,$244.94,1357477,$246.82,$247.00,$243.155
05/13/2024,$245.68,1317192,$247.41,$248.40,$245.35
05/10/2024,$247.40,1299524,$248.00,$248.49,$246.617
05/09/2024,$246.61,1765166,$245.58,$248.895,$244.95
05/08/2024,$245.90,1739000,$241.47,$246.40,$241.19
05/07/2024,$242.38,1585332,$241.37,$243.14,$239.795
05/06/2024,$239.21,1527724,$241.81,$241.81,$239.035
05/03/2024,$240.36,2174714,$242.27,$243.38,$239.7619
05/02/2024,$237.69,2440891,$236.00,$238.05,$233.205
05/01/2024,$234.96,1651734,$235.82,$237.08,$234.1731
04/30/2024,$237.16,1737008,$239.72,$240.065,$236.77
04/29/2024,$240.95,1730440,$243.39,$244.40,$239.47
04/26/2024,$242.79,2255458,$243.90,$244.83,$240.73
04/25/2024,$243.55,3897600,$240.24,$243.61,$236.12
04/24/2024,$231.98,2951169,$233.87,$234.13,$229.32
04/23/2024,$236.29,1980828,$235.40,$237.32,$234.81
04/22/2024,$234.47,2200025,$232.99,$235.645,$232.04
04/19/2024,$232.08,2971911,$230.69,$232.81,$230.425
04/18/2024,$229.81,1570176,$230.72,$231.41,$229.10
04/17/2024,$229.23,1997011,$231.80,$232.13,$227.87
04/16/2024,$231.26,2025415,$234.43,$234.43,$230.945
04/15/2024,$233.94,2297997,$237.71,$237.915,$232.49
04/12/2024,$234.40,2594970,$234.81,$235.48,$233.25
04/11/2024,$236.16,1692360,$236.86,$237.73,$235.025
04/10/2024,$236.85,2181008,$238.18,$238.65,$235.88
04/09/2024,$240.79,1736948,$241.03,$241.85,$238.01
04/08/2024,$240.29,2139221,$242.00,$243.50,$240.04
04/05/2024,$242.01,1503722,$241.57,$242.81,$240.72
04/04/2024,$240.69,2062525,$243.27,$244.9338,$239.755
04/03/2024,$241.55,2097225,$242.87,$245.00,$240.80
04/02/2024,$242.53,2019453,$242.27,$243.88,$240.8701
04/01/2024,$243.30,2493861,$245.50,$245.95,$242.63
03/28/2024,$245.93,2265924,$245.87,$246.76,$244.215
03/27/2024,$244.63,2150556,$242.18,$244.77,$241.99
03/26/2024,$240.69,2801961,$243.98,$244.23,$240.50
03/25/2024,$243.85,1974723,$244.47,$245.2034,$242.65
03/22/2024,$244.97,1676987,$248.36,$249.085,$244.87
03/21/2024,$248.11,3215458,$247.53,$250.36,$246.63
03/20/2024,$246.31,2564836,$242.88,$247.55,$242.65
03/19/2024,$242.71,3244316,$244.30,$245.1798,$241.28
03/18/2024,$244.36,2280848,$245.06,$245.62,$243.86
