Date,Close/Last,Volume,Open,High,Low
09/06/2024,$127.54,3590415,$127.67,$128.14,$126.71
09/05/2024,$127.40,5311072,$129.29,$129.30,$126.69
09/04/2024,$128.92,5710565,$127.69,$129.53,$127.13
09/03/2024,$127.50,5821221,$127.585,$128.32,$127.062
08/30/2024,$128.55,4116068,$127.51,$128.70,$126.89
08/29/2024,$126.98,3477608,$128.02,$128.29,$126.76
08/28/2024,$127.19,3361096,$127.61,$128.765,$126.65
08/27/2024,$127.90,3214032,$129.66,$129.73,$127.25
08/26/2024,$129.26,4501438,$128.87,$129.58,$128.385
08/23/2024,$127.97,6310292,$127.525,$129.26,$126.94
08/22/2024,$126.84,5083190,$128.18,$128.18,$126.135
08/21/2024,$127.90,4895909,$129.65,$129.78,$127.59
08/20/2024,$128.88,2342529,$128.83,$129.20,$127.59
08/19/2024,$128.95,3157931,$127.76,$129.875,$127.637
08/16/2024,$129.65,3255863,$128.51,$130.06,$128.365
08/15/2024,$128.55,4448327,$127.88,$129.40,$127.88
08/14/2024,$126.42,3155693,$126.36,$126.80,$125.73
08/13/2024,$126.49,3057574,$125.305,$126.96,$124.85
08/12/2024,$124.86,2549544,$126.01,$126.12,$124.57
08/09/2024,$125.82,3825042,$126.34,$126.34,$124.675
08/08/2024,$126.21,3823201,$123.20,$126.34,$123.12
08/07/2024,$123.32,4741854,$125.25,$127.105,$123.25
08/06/2024,$124.50,5608270,$126.06,$127.79,$124.42
08/05/2024,$126.02,5243011,$126.83,$127.95,$125.80
08/02/2024,$128.06,5098995,$129.88,$130.64,$127.20
08/01/2024,$130.58,4790636,$131.04,$132.4899,$129.61
07/31/2024,$130.37,7025937,$129.25,$131.15,$127.45
07/30/2024,$129.03,4747688,$128.70,$130.86,$128.46
07/29/2024,$128.61,5414343,$129.14,$129.24,$127.65
07/26/2024,$128.83,7271324,$128.84,$129.86,$128.46
07/25/2024,$127.08,7761913,$129.27,$129.55,$126.535
07/24/2024,$128.53,11642490,$126.51,$129.245,$124.80
07/23/2024,$127.68,25353850,$130.14,$132.26,$124.975
07/22/2024,$145.18,3629819,$145.75,$146.17,$143.69
07/19/2024,$145.18,3073801,$145.87,$145.88,$143.2395
07/18/2024,$144.76,3412940,$146.02,$148.15,$144.45
07/17/2024,$147.38,2863582,$146.99,$147.792,$146.40
07/16/2024,$147.33,3805311,$144.03,$147.57,$144.03
07/15/2024,$144.15,4164009,$143.01,$145.25,$142.75
07/12/2024,$142.35,4801344,$139.00,$143.38,$138.69
07/11/2024,$138.24,3449990,$135.89,$139.05,$135.77
07/10/2024,$135.65,2834762,$134.34,$135.76,$133.81
07/09/2024,$134.28,3118789,$135.26,$135.87,$133.93
07/08/2024,$135.53,2773687,$136.35,$137.315,$135.41
07/05/2024,$136.35,3237538,$134.87,$136.46,$134.44
07/03/2024,$135.55,1539867,$135.74,$136.49,$135.19
07/02/2024,$134.91,3280478,$135.61,$135.96,$134.06
07/01/2024,$135.95,2668235,$136.64,$138.10,$135.5647
06/28/2024,$136.85,6609563,$136.18,$137.20,$135.70
06/27/2024,$135.83,3732537,$137.99,$137.99,$135.19
06/26/2024,$138.15,6104304,$136.48,$138.95,$135.10
06/25/2024,$134.36,4893665,$138.04,$138.04,$134.05
06/24/2024,$138.60,3695903,$137.80,$139.64,$137.14
06/21/2024,$136.60,9237861,$136.62,$138.59,$136.29
06/20/2024,$136.87,4165689,$134.02,$137.49,$133.625
06/18/2024,$134.20,4104086,$136.30,$137.24,$133.92
06/17/2024,$135.85,4117678,$135.51,$136.29,$134.68
06/14/2024,$135.65,3800244,$134.105,$135.695,$132.90
06/13/2024,$134.89,4944207,$136.32,$136.32,$133.81
06/12/2024,$136.43,3484617,$138.48,$138.575,$136.21
06/11/2024,$137.35,2659815,$136.76,$137.9832,$136.445
06/10/2024,$137.68,3633585,$136.77,$138.06,$136.41
06/07/2024,$137.64,3209458,$136.90,$139.59,$136.38
06/06/2024,$137.56,2852484,$137.01,$137.72,$135.855
06/05/2024,$137.57,3109042,$136.15,$137.69,$135.20
06/04/2024,$135.63,3874832,$137.91,$138.31,$135.50
06/03/2024,$138.42,2728264,$139.635,$139.79,$137.35
05/31/2024,$138.93,5887429,$137.55,$139.07,$136.12
05/30/2024,$136.86,4077753,$134.29,$136.99,$133.58
05/29/2024,$134.41,3996893,$136.32,$136.92,$134.30
05/28/2024,$137.58,3314722,$138.00,$139.2155,$136.2439
05/24/2024,$138.66,2995428,$140.29,$140.49,$137.93
05/23/2024,$139.10,4437193,$143.01,$143.175,$139.03
05/22/2024,$143.77,3590547,$144.42,$144.8996,$142.78
05/21/2024,$145.42,2750419,$147.44,$147.72,$145.12
05/20/2024,$147.59,1812759,$148.32,$149.5699,$147.29
05/17/2024,$149.24,1956712,$149.58,$149.71,$148.175
05/16/2024,$149.66,2298712,$148.50,$150.03,$147.38
05/15/2024,$147.94,2696084,$148.46,$149.00,$147.79
05/14/2024,$147.94,3597286,$151.41,$153.4203,$147.88
05/13/2024,$150.60,4185615,$147.85,$150.78,$147.85
05/10/2024,$147.37,2504551,$147.005,$147.99,$146.51
05/09/2024,$148.06,2510562,$148.08,$148.39,$147.215
05/08/2024,$147.77,2799696,$146.12,$147.93,$145.92
05/07/2024,$147.09,3403522,$147.37,$147.75,$146.365
05/06/2024,$146.67,2073763,$147.57,$147.81,$146.165
05/03/2024,$146.43,2039256,$147.95,$148.20,$146.42
05/02/2024,$147.22,2039028,$147.48,$147.81,$146.58
05/01/2024,$145.92,2842906,$147.29,$148.14,$145.37
04/30/2024,$147.48,2402852,$147.54,$148.215,$146.655
04/29/2024,$148.55,2654696,$148.26,$150.88,$147.82
04/26/2024,$147.59,2607558,$146.84,$148.72,$146.84
04/25/2024,$147.39,3553363,$147.95,$148.43,$145.28
04/24/2024,$146.62,5284711,$147.93,$147.96,$143.78
04/23/2024,$148.87,6371056,$145.996,$149.74,$145.25
04/22/2024,$145.36,4578511,$143.21,$146.07,$142.56
04/19/2024,$142.77,5118505,$143.15,$144.12,$142.55
04/18/2024,$142.74,3430749,$143.08,$143.31,$141.88
04/17/2024,$142.25,4165654,$142.50,$143.42,$141.35
