Date,Close/Last,Volume,Open,High,Low
09/06/2024,$681.10,372239,$698.90,$709.80,$680.75
09/05/2024,$697.52,315564,$699.31,$700.58,$683.65
09/04/2024,$700.57,401134,$701.43,$708.2499,$697.06
09/03/2024,$701.85,503034,$727.98,$733.3199,$698.04
08/30/2024,$741.26,338023,$734.69,$741.58,$724.16
08/29/2024,$728.74,276889,$732.82,$740.635,$719.645
08/28/2024,$727.73,317880,$730.93,$734.72,$723.79
08/27/2024,$736.45,276404,$737.86,$742.71,$733.79
08/26/2024,$743.38,285843,$750.00,$757.85,$741.37
08/23/2024,$745.03,283925,$721.23,$748.515,$721.23
08/22/2024,$717.05,259849,$725.60,$726.05,$711.15
08/21/2024,$724.75,206721,$719.50,$730.2199,$717.21
08/20/2024,$716.24,244684,$720.00,$724.325,$710.00
08/19/2024,$719.90,303104,$716.10,$721.31,$709.39
08/16/2024,$714.47,310871,$717.13,$722.94,$709.465
08/15/2024,$720.64,342276,$718.18,$727.56,$712.80
08/14/2024,$702.19,365776,$703.71,$713.67,$695.575
08/13/2024,$703.11,383296,$695.00,$704.10,$686.00
08/12/2024,$688.27,280282,$695.83,$698.905,$685.72
08/09/2024,$696.10,338680,$688.79,$701.2899,$681.675
08/08/2024,$689.26,503960,$674.41,$691.55,$665.81
08/07/2024,$661.59,516343,$694.75,$699.975,$660.81
08/06/2024,$681.72,464808,$672.75,$699.0299,$663.79
08/05/2024,$668.61,835924,$640.00,$687.975,$634.30
08/02/2024,$671.43,1004257,$690.00,$691.945,$664.06
08/01/2024,$716.49,701267,$756.63,$757.34,$710.18
07/31/2024,$757.10,556742,$744.34,$773.61,$743.635
07/30/2024,$737.08,803294,$744.47,$754.815,$721.905
07/29/2024,$744.81,394431,$753.42,$756.74,$740.29
07/26/2024,$752.21,939572,$763.59,$789.7995,$750.065
07/25/2024,$754.26,1207914,$715.00,$768.6206,$700.00
07/24/2024,$715.82,1212428,$740.28,$747.155,$715.74
07/23/2024,$743.94,596419,$731.74,$751.41,$724.25
07/22/2024,$738.35,520977,$731.78,$738.35,$715.00
07/19/2024,$718.64,493345,$733.18,$733.18,$716.42
07/18/2024,$728.45,885030,$721.14,$759.98,$720.10
07/17/2024,$723.59,826403,$731.65,$739.1338,$721.11
07/16/2024,$743.01,647092,$707.24,$743.24,$707.24
07/15/2024,$707.41,594322,$687.66,$713.0725,$683.00
07/12/2024,$679.58,544913,$672.70,$688.9999,$670.00
07/11/2024,$666.29,678804,$654.20,$675.58,$652.67
07/10/2024,$645.19,603157,$630.79,$649.21,$629.56
07/09/2024,$627.41,434729,$631.75,$636.06,$626.00
07/08/2024,$637.42,546895,$638.10,$645.00,$628.5701
07/05/2024,$633.95,530081,$650.45,$652.18,$629.47
07/03/2024,$653.95,350743,$649.36,$660.33,$642.78
07/02/2024,$645.88,446460,$635.79,$647.58,$634.64
07/01/2024,$640.84,507153,$649.07,$649.07,$629.41
06/28/2024,$646.73,820126,$631.21,$652.085,$631.21
06/27/2024,$623.04,576187,$626.15,$630.82,$620.12
06/26/2024,$629.83,586917,$636.57,$636.57,$624.00
06/25/2024,$640.45,442279,$644.48,$644.67,$629.22
06/24/2024,$645.37,364193,$644.00,$653.90,$635.39
06/21/2024,$640.78,725382,$641.11,$641.36,$627.73
06/20/2024,$639.22,615750,$639.79,$647.22,$630.495
06/18/2024,$644.89,1017957,$615.66,$646.41,$607.42
06/17/2024,$619.29,859085,$615.01,$621.00,$610.00
06/14/2024,$616.21,709104,$616.50,$618.50,$596.48
06/13/2024,$627.83,656913,$622.60,$628.48,$616.62
06/12/2024,$625.13,1111048,$650.00,$668.31,$623.31
06/11/2024,$627.98,750355,$640.50,$640.50,$624.07
06/10/2024,$645.10,535219,$640.42,$651.00,$640.42
06/07/2024,$643.40,677060,$630.83,$647.83,$626.26
06/06/2024,$630.52,504263,$638.79,$644.62,$626.16
06/05/2024,$640.87,382187,$634.36,$643.485,$625.06
06/04/2024,$631.20,821362,$630.80,$635.965,$617.619
06/03/2024,$637.51,561047,$675.00,$675.00,$625.44
05/31/2024,$669.41,859709,$661.30,$670.19,$650.00
05/30/2024,$659.23,415315,$645.25,$663.15,$643.00
05/29/2024,$644.89,559485,$656.45,$657.9067,$644.53
05/28/2024,$664.75,395312,$676.15,$676.15,$655.60
05/24/2024,$673.55,296107,$671.34,$675.15,$662.12
05/23/2024,$666.77,482066,$690.00,$690.00,$660.78
05/22/2024,$682.60,280411,$690.94,$692.28,$679.527
05/21/2024,$694.59,276033,$698.94,$700.89,$690.09
